SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority,Area sqkm,latitude,longitude,dist_to_0,dist_to_1,dist_to_2,dist_to_3,dist_to_4,dist_to_5,dist_to_6,dist_to_7,dist_to_8,dist_to_9,dist_to_10,dist_to_11,dist_to_12,dist_to_13,dist_to_14,dist_to_15,nearest_employment_center_km,nearest_center_name,employment_accessibility_score,accessibility_category,estimated_pt_quality,state_code,pt_multiplier,public_transport_score,estimated_weekly_transport_cost,transport_to_income_ratio,housing_transport_burden,severe_combined_burden,optimal_location_score,new_dwellings,new_total_public_housing,new_public_housing_rate,new_public_housing_gap
10201102928,310,721,556,68,1.7,0.4299583911234396,1,0,Moderate Stress (30-50%),435,405,107.40740740740742,1,0,74,38,0.0,435,435,0.0,1,3.3,27.0,0.0,0.0,0.8330058939096268,0.033,1.0,26.99011787819254,20.66,Moderate (25-50),Low (0-25),36.11622396856582,Moderate Priority,1.2726,-38.27,147.23,606.0043052096943,204.8967750861489,1316.4791973216786,854.7693810533194,2923.522782782277,512.9077076999525,3295.9750363346197,372.9482948505366,600.1397480764044,722.3713162376231,538.5488953921496,250.95270141785227,1275.8335416249029,1402.5010802119775,2114.303483836669,2378.383544299963,204.8967750861489,1,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2773925104022191,0.7073509015256587,1,30.05811198428291,50,50,131.57894736842107,385
10202104625,300,737,543,68,1.7,0.4070556309362279,1,0,Moderate Stress (30-50%),347,382,90.83769633507852,1,0,83,43,0.0,347,347,0.0,1,4.3,24.4,0.0,0.0,0.7753765553372626,0.043,1.0,25.93753110674525,20.86,Moderate (25-50),Low (0-25),34.06630910281598,Moderate Priority,0.6551,-38.1,142.4,921.1157067475682,226.9559004364462,1541.6075121469055,489.4466526842932,2501.7793580589923,675.2759081954516,3071.98603507828,676.767151478799,908.3953469719886,1024.6691285432648,863.5203312832399,171.68284169906116,1516.8667372187797,1617.4723965152866,2138.1232810329,2378.223947570463,171.68284169906116,11,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2713704206241519,0.6784260515603798,1,29.03315455140799,50,50,116.27906976744187,297
10202104711,320,697,507,71,1.6,0.4591104734576757,1,0,Moderate Stress (30-50%),287,280,102.5,1,0,95,49,0.0,287,287,0.0,1,6.8,27.1,0.0,0.0,0.7360838244924689,0.068,1.0,25.40167648984938,21.36,Moderate (25-50),Low (0-25),32.923185330713814,Moderate Priority,0.1488,-38.14,142.36,926.2974577994676,231.0234660550636,1547.2463472928132,490.1449632358868,2498.9220292218206,673.8032484163501,3074.5479585496555,681.846059608155,913.615341033653,1029.9714520291982,868.6025212941248,175.04738398573522,1522.4790262548945,1623.1238233717686,2143.235657350535,2383.161331587123,175.04738398573522,11,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2869440459110473,0.746054519368723,1,28.461592665356907,50,50,102.04081632653062,237
10202105008,400,896,538,62,1.9,0.4464285714285714,1,0,Moderate Stress (30-50%),302,368,82.06521739130434,1,0,101,49,0.0,302,302,0.0,1,4.1,38.0,0.0,0.0,0.7459070072036673,0.0409999999999999,1.0,25.32814014407335,20.82,Moderate (25-50),Low (0-25),32.918466273739355,Moderate Priority,0.8584,-37.97,142.53,904.2956569988008,214.21007831010988,1523.271855622491,487.6496447463453,2511.155473502292,680.3403664284626,3063.7333587412654,660.3060117869235,891.4488961350215,1007.4458425725752,847.0339118090217,161.6074410842284,1498.6175560964673,1599.096039398817,2121.530932178677,2362.2050696895103,161.6074410842284,11,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2232142857142857,0.6696428571428571,1,28.45923313686968,50,50,102.04081632653062,252
10202105328,370,1003,630,54,1.7,0.3688933200398803,1,0,Moderate Stress (30-50%),250,342,73.09941520467837,1,0,409,202,0.0,250,250,0.0,1,8.6,44.7,0.0,0.0,0.7118533071381794,0.086,1.0,25.09706614276359,21.72,Moderate (25-50),Low (0-25),32.254425671250814,Moderate Priority,0.1702,-37.97,142.53,904.2956569988008,214.21007831010988,1523.271855622491,487.6496447463453,2511.155473502292,680.3403664284626,3063.7333587412654,660.3060117869235,891.4488961350215,1007.4458425725752,847.0339118090217,161.6074410842284,1498.6175560964673,1599.096039398817,2121.530932178677,2362.2050696895103,161.6074410842284,11,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.1994017946161515,0.5682951146560318,1,28.127212835625407,50,50,24.752475247524753,200
10202105406,253,600,477,74,1.4,0.4216666666666667,1,0,Moderate Stress (30-50%),428,319,134.1692789968652,1,5,95,43,11.627906976744184,428,423,0.0116822429906542,1,16.7,14.5,0.0,0.0,0.825147347740668,0.1669999999999999,0.9612403100775194,27.78535005558855,22.56480620155039,Moderate (25-50),Low (0-25),37.53856045445546,Moderate Priority,0.4754,-37.99,142.51,906.8812354317324,216.1204977547416,1526.0936643518833,487.8788284997377,2509.704089875524,679.5337229683848,3064.995650084135,662.8338250351819,894.054134442552,1010.0946176148242,849.5671355882159,163.06565526614426,1501.4260405297796,1601.9240873508857,2124.081294219448,2364.666733157402,163.06565526614426,11,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.3333333333333333,0.755,1,30.76928022722773,50,55,127.90697674418605,373
10302106227,150,887,387,18,3.2,0.1691093573844419,0,0,Affordable (<30%),6,8,75.0,1,0,16,8,0.0,0,0,0.0,0,85.7,58.3,0.0,0.0,0.5481335952848723,0.857,1.0,29.53267190569745,37.14,Moderate (25-50),Moderate (25-50),36.82707662082515,Moderate Priority,0.1408,-32.88,142.62,804.8827727178641,588.2537716094282,1166.2519679550442,435.2309557589365,2507.302494995406,1185.9025647824876,2566.894375917108,656.1176470710913,785.1413647869875,855.0571382798843,784.5976864490233,606.7823664792706,1165.4037559840708,1222.298794201684,1571.0681004579503,1802.880653219519,435.2309557589365,3,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2254791431792559,0.3945885005636978,0,30.413538310412576,50,50,625.0,-50
10401108222,270,841,513,62,1.8,0.3210463733650416,1,0,Moderate Stress (30-50%),230,250,92.0,1,0,184,91,0.0,230,230,0.0,1,10.9,30.8,0.0,0.0,0.6987557301899149,0.109,1.0,25.0651146037983,22.18,Moderate (25-50),Low (0-25),32.078717747216764,Moderate Priority,2.6878,-37.73,147.77,529.5716645376464,246.8775622185385,1241.9569892319512,877.9971919056268,2967.00894991653,574.1139399525166,3273.402183303518,298.2140766702757,523.8037580789419,645.9950014972956,462.10207270585136,302.4957317790191,1200.5993084379486,1328.3862366153028,2055.957746571323,2322.3069642772275,246.8775622185385,1,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2378121284185493,0.558858501783591,1,28.039358873608386,50,50,54.94505494505495,180
10401108244,310,775,483,72,1.8,0.4,1,0,Moderate Stress (30-50%),262,276,94.92753623188406,1,0,32,16,0.0,262,262,0.0,1,8.9,19.2,0.0,0.0,0.7197118533071382,0.089,1.0,25.28423706614277,21.78,Moderate (25-50),Low (0-25),32.59505042567125,Moderate Priority,1.3282,-37.71,147.79,526.7370878729515,248.76062939713697,1239.2005122799708,878.987001695934,2968.6568761873705,576.4462138669843,3272.606645751334,295.4622348684752,520.9738185946042,643.1630941347582,459.2665397315727,304.61785128948554,1197.8142462021606,1325.645742385328,2053.8246988672827,2320.2578534602294,248.76062939713697,1,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.2580645161290322,0.6580645161290323,1,28.297525212835627,50,50,312.5,212
10402108942,175,550,550,73,1.0,0.3181818181818182,1,0,Moderate Stress (30-50%),8,9,88.88888888888889,1,0,5,0,0.0,8,8,0.0,0,100.0,16.7,0.0,0.0,0.5533726260641781,1.0,1.0,31.067452521283567,40.0,Moderate (25-50),Moderate (25-50),39.02815979043877,Moderate Priority,0.4801,-37.73,142.77,873.3338331987468,192.98155893771653,1489.3836339049842,486.2530543706475,2528.8222040347887,690.7846086395969,3048.7962520364867,630.116709988635,860.2448530228558,975.6906754971092,816.7313955672574,147.182924885547,1464.8898351034702,1565.1336014552564,2090.9941651350337,2332.7460601439584,147.182924885547,11,0.2817075114452976,Poor (>60km),50.0,1,1.2,60.0,200.0,0.3636363636363636,0.6818181818181819,1,31.598592148652976,50,50,inf,-42
