SAL_CODE_2021,Suburb_Name,Median_mortgage_repay_monthly,Median_rent_weekly,Manager_Concentration_Pct,Manager_Plus_Professional_Pct,Median_tot_prsnl_inc_weekly,Total_Population,Total_Employed
SAL10329,Beverley Park,3000,540,15.547703180212014,44.78798586572438,859,2646,1132
SAL10330,Beverly Hills,2500,460,12.763545681251417,41.237814554522785,701,10483,4411
SAL10333,Bexley,2351,470,12.632722007722009,38.50144787644788,735,19646,8288
SAL10334,Bexley North,2800,450,14.760348583877997,44.82570806100218,735,4281,1836
SAL10347,Bilambil Heights,1901,470,11.446540880503145,33.459119496855344,748,3491,1590
SAL10350,Bilgola Plateau,3315,895,22.094298245614034,54.66008771929825,1062,3650,1824
SAL10373,Birchgrove,4000,700,26.59636789689514,73.98945518453426,1661,3228,1707
SAL10376,Birmingham Gardens,1700,380,5.227781926811053,25.24271844660194,666,2598,1339
SAL10378,Birrong,2033,440,8.325791855203619,31.674208144796378,548,3331,1105
SAL10389,Blackalls Park,1600,350,6.618819776714513,22.966507177033492,683,2812,1254
SAL10390,Blackbutt (NSW),2000,420,11.016393442622952,29.442622950819676,707,3291,1525
SAL10392,Blackheath,1733,380,13.295687885010269,45.53388090349076,740,4672,1948
SAL10396,Blacktown,2094,400,8.046134834546203,27.905167284543914,757,50961,21849
SAL10399,Blair Athol (NSW),2167,470,8.79284649776453,32.190760059612515,809,2725,1342
SAL10402,Blakehurst,3208,600,19.102606400527876,50.379412735070936,901,6652,3031
SAL10406,Blaxland (NSW),2230,420,14.086471408647142,45.91352859135286,937,7434,3585
SAL10409,Blayney,1380,265,10.204081632653061,21.724818959842,696,3448,1519
SAL10410,Bligh Park,2167,410,10.465470033465166,24.247033769394584,935,6220,3287
SAL10414,Blue Haven,1794,420,8.765217391304347,18.295652173913044,714,6563,2875
SAL10421,Boambee East,1619,410,9.90428630878069,26.550145651269247,706,5304,2403
SAL10438,Bogangar,1898,460,12.063492063492063,33.46031746031746,761,3313,1575
SAL10450,Bolwarra Heights,2167,420,13.600451467268623,37.528216704288944,979,3436,1772
SAL10452,Bomaderry,1584,310,8.876881512929371,26.24469316866075,612,6738,2591
SAL10462,Bondi,3033,656,20.426579163248565,61.722723543888435,1386,10411,6095
SAL10463,Bondi Beach,3033,675,22.24675683135523,65.2911951421474,1583,11513,7246
SAL10465,Bondi Junction,3100,660,19.727891156462583,58.86970172684458,1307,10361,5733
SAL10466,Bonnells Bay,1820,400,10.182460270747498,27.545615067686875,685,4066,1699
SAL10467,Bonnet Bay,3000,700,19.368600682593858,50.7679180887372,1104,2238,1172
SAL10468,Bonny Hills,1820,445,11.558156547183614,32.84564740307242,677,3045,1367
SAL10469,Bonnyrigg,1950,374,7.750910897648228,23.65021530308049,486,9785,3019
SAL10470,Bonnyrigg Heights,2038,450,10.34103410341034,28.71287128712871,568,7369,2727
SAL10472,Bonville,2000,465,16.80731364275668,35.16174402250351,733,2939,1422
SAL10513,Bossley Park,2167,465,10.106820049301561,28.61544782251438,497,15492,4868
SAL10515,Botany,2741,550,17.184146515953643,41.82286450135928,1153,12960,6989
SAL10521,Bourkelands,1733,360,11.051373954599761,38.47072879330944,1003,3113,1674
SAL10534,Bowral,2167,500,17.80224822206928,46.501491167699015,802,10764,4359
SAL10537,Box Hill (NSW),3000,580,15.572826712723087,47.06390328151986,1271,6450,3474
SAL10540,Bradbury (NSW),2000,385,8.785599140247179,24.529822675980657,731,9433,3722
SAL10546,Branxton,2037,350,10.572687224669604,25.11013215859031,845,2255,1135
SAL10554,Breakfast Point,2800,680,26.824124841838888,61.3243357233235,1249,4678,2371
SAL10566,Brighton-Le-Sands,2300,450,14.630225080385854,39.549839228295816,814,8336,3732
SAL10572,Bringelly,2167,500,15.317073170731707,27.707317073170735,686,2433,1025
SAL10589,Broken Hill,867,220,9.925352502073542,26.430743710257122,650,17706,7234
SAL10591,Bronte,3975,675,22.353850115889777,67.3448364666495,1562,7166,3883
SAL10598,Brookvale,2600,550,16.460089241447694,40.406544372830936,1113,3389,2017
SAL10639,Budgewoi,1717,350,8.267433501078362,26.168224299065418,663,3497,1391
SAL10642,Buff Point,1733,380,9.295967190704033,23.78673957621326,657,3559,1463
SAL10659,Bulli,2525,370,16.104527499240355,47.675478577939835,952,6798,3291
SAL10667,Bundanoon (NSW),1820,400,15.099223468507333,37.27351164797239,664,2869,1159
SAL10679,Bungarribee,2600,453,13.574660633484163,44.14996767937944,1077,3177,1547
SAL10681,Bungendore,2383,510,19.65748324646314,43.29858525688757,1298,4745,2686
SAL10698,Burradoo,3000,550,23.71615312791783,56.209150326797385,950,2879,1071
SAL10702,Burraneer,3987,660,23.860727086533537,51.86891961085509,1209,3719,1953
SAL10716,Burwood (NSW),2449,500,10.785587714116952,40.968694624926165,707,18224,8465
SAL10718,Busby,1800,330,6.697247706422019,16.788990825688074,461,4446,1090
SAL10724,Buxton (NSW),2102,410,9.416195856873824,20.998116760828626,793,2071,1062
SAL10731,Byron Bay,2167,600,17.594936708860757,40.60126582278481,805,6330,3160
SAL10738,Cabramatta,1500,330,5.8342336780367345,19.38570767093687,461,21142,6479
SAL10739,Cabramatta West,1950,380,8.295122967903293,25.177157148812007,481,7822,2399
SAL10741,Caddens,2817,560,13.95631067961165,38.228155339805824,1053,3487,1648
SAL10747,Calala,1600,350,12.304250559284116,33.199105145413874,878,4577,2235
SAL10749,Calderwood,2470,580,11.428571428571429,32.82674772036474,1126,3013,1645
SAL10767,Cambridge Park,1900,385,7.788267026298044,20.66756574511126,750,7054,2966
SAL10769,Camden,2143,400,12.61558784676354,34.80845442536328,865,3378,1514
SAL10771,Camden Park (NSW),2600,420,19.726247987117553,41.948470209339774,1084,2233,1242
SAL10772,Camden South,2200,450,11.046250561293219,32.68971710821733,929,4595,2227
SAL10774,Cameron Park,2167,510,11.206414320343091,32.25806451612903,987,9977,5363
SAL10777,Cammeray,3033,580,24.445551956142538,68.20333914776975,1612,7088,4013
SAL10779,Campbelltown (NSW),2000,390,8.911036201084567,30.763593727099515,739,16577,6823
SAL10780,Camperdown (NSW),2817,570,17.8665785997358,64.46499339498018,1291,9381,6056
SAL10781,Campsie,2000,400,9.301860372074415,30.36607321464293,652,26132,9998
SAL10790,Canley Heights,2000,400,7.600102014792146,22.54526906401428,481,12320,3921
SAL10791,Canley Vale,1694,330,7.101493447119781,25.480036574215177,475,10300,3281
SAL10795,Canowindra,1100,220,23.53525322740814,37.835153922542204,609,2437,1007
SAL10796,Canterbury (NSW),2200,470,12.613813013546524,42.14967799244948,852,9430,4503
SAL10808,Cardiff (NSW),1733,375,8.84125920964501,29.336905559276627,780,6318,2986
SAL10810,Cardiff South,1777,400,9.915748541801685,27.154893065456903,805,2931,1543
SAL10814,Caringbah,2500,470,15.584019518145775,39.20402561756633,1032,12575,6558
SAL10815,Caringbah South,3380,730,21.252285191956126,46.51127361365021,1041,13168,6564
SAL10817,Carlingford,2500,500,14.155548324113246,49.6745850959974,791,28044,12292
SAL10818,Carlton (NSW),2167,450,11.319234642497483,37.764350453172206,762,10631,4965
SAL10819,Carnes Hill,2700,600,13.519163763066203,38.88501742160278,932,3332,1435
SAL10825,Carramar (NSW),1500,300,5.636540330417882,21.08843537414966,529,3475,1029
SAL10829,Carrington (Newcastle - NSW),1950,430,14.20814479638009,46.60633484162896,930,2061,1105
SAL10842,Casino,1300,280,8.551617873651772,18.181818181818183,591,10930,3894
SAL10844,Castle Cove,4000,1000,26.463104325699742,64.63104325699746,1219,2643,1179
SAL10846,Castle Hill (NSW),3000,560,19.46971263179657,54.238164151333464,931,40874,19348
SAL10848,Castlecrag,4333,1010,26.891334250343878,69.73865199449793,1446,2965,1454
SAL10850,Casuarina (NSW),2500,635,17.78728606356968,44.86552567237164,983,3256,1636
SAL10851,Casula,2167,450,11.343331206126356,32.4345883854499,645,16584,6268
SAL10855,Catherine Field,2500,520,13.003095975232199,31.037151702786375,885,2609,1292
SAL10861,Caves Beach,2090,420,12.761020881670534,35.96287703016242,711,4016,1724
SAL10864,Cecil Hills,2167,550,13.850145961725591,33.14952967888421,727,6906,3083
SAL10872,Centennial Park (NSW),2466,500,20.441176470588236,60.588235294117645,1415,2225,1360
SAL10877,Cessnock,1499,320,8.268217335998546,18.771579138651646,588,16300,5503
SAL10884,Charlestown (NSW),2000,400,10.676156583629894,37.36654804270463,880,13601,7025
SAL10888,Charmhaven,1705,375,9.613572101790764,19.886899151743638,631,2501,1061
SAL10891,Chatswood,2858,577,17.475568695080888,57.033752155703375,938,25553,12177
SAL10895,Cheltenham (NSW),3612,695,18.54912764003673,63.54453627180901,1159,2166,1089
SAL10897,Cherrybrook,3000,695,18.422760709649502,56.78277801817395,940,19082,9244
SAL10898,Chester Hill,2167,380,9.03826787512588,27.920443101711985,495,14007,3972
SAL10900,Chifley (NSW),3210,400,17.37207833228048,41.0612760581175,841,3490,1583
SAL10906,Chippendale,2409,520,14.179624042701322,56.50963100487352,882,7803,4309
SAL10907,Chipping Norton,2200,500,13.954068896655016,37.343984023964055,773,9412,4006
SAL10908,Chisholm (NSW),2344,550,12.702265372168284,36.16504854368932,1164,4577,2472
SAL10909,Chiswick,2875,600,24.937185929648244,60.48994974874372,1447,2909,1592
SAL10917,Claremont Meadows,2167,430,10.412792859799183,27.779843808107103,979,5177,2689
SAL10919,Clarence Town,1993,365,11.51012891344383,26.058931860036832,794,2265,1086
SAL10931,Cliftleigh,1950,435,7.388748950461797,21.49454240134341,937,2309,1191
SAL10937,Clovelly,4333,700,23.940058479532166,68.96929824561403,1633,4887,2736
SAL10948,Cobar,1109,200,10.291382517048978,22.194668319900806,937,3603,1613
SAL10953,Cobbitty,2700,530,15.714959886739027,35.81878244454931,992,4206,2119
SAL10959,Coffs Harbour,1733,355,10.398783977110156,29.282904148783977,652,27089,11184
SAL10965,Colebee,3000,620,15.372424722662439,43.58161648177496,1173,4914,2524
SAL10970,Collaroy (NSW),2800,600,19.91869918699187,48.32615973218556,1074,7944,4182
SAL10971,Collaroy Plateau,3467,800,20.070560564484516,45.08036064288514,1071,4805,2551
SAL10987,Colyton,1950,380,8.529580700746697,19.95979322228604,713,8770,3482
SAL10996,Como (NSW),3000,590,20.37392138063279,53.25982742090125,1149,4053,2086
SAL10999,Concord,3033,570,18.711524695776667,49.93557623478883,935,14551,6985
SAL11000,Concord West,3000,450,18.225918225918225,50.173250173250175,938,6178,2886
SAL11001,Condell Park,2300,500,11.34768932978466,32.01064601984031,565,13066,4133
SAL11002,Condobolin,1000,200,20.311284046692606,32.295719844357976,668,3185,1285
SAL11010,Coniston,1820,350,9.805825242718447,34.85436893203884,739,2267,1030
SAL11013,Connells Point,3434,600,18.618181818181817,49.67272727272727,947,2884,1375
SAL11014,Constitution Hill,2167,410,11.69833729216152,39.01425178147269,722,4030,1684
SAL11015,Coogee (NSW),3226,650,20.228136882129277,62.933188484519285,1555,14634,9205
SAL11019,Cooks Hill,2297,430,13.266696955929122,52.112676056338024,1025,3774,2201
SAL11025,Coolamon,1500,270,15.090735434574976,31.614135625596944,746,2275,1047
SAL11036,Cooma (NSW),1300,290,12.1894667108314,30.506790327923156,771,6715,3019
SAL11043,Coonabarabran,1000,210,16.991869918699187,32.764227642276424,594,3477,1230
SAL11052,Cooranbong,2058,380,10.00645577792124,33.27953518398967,732,7077,3098
SAL11053,Cootamundra,1149,220,12.887828162291171,28.082736674622115,587,6885,2514
SAL11056,Copacabana,2300,510,16.047652417659425,44.358794674141556,893,2809,1427
SAL11070,Cordeaux Heights,2167,495,12.562814070351758,39.154103852596315,896,4460,2388
SAL11075,Corlette,1950,445,14.918314703353397,34.52278589853826,674,5699,2326
SAL11080,Corowa,1213,230,10.703750526759375,22.71386430678466,634,5595,2373
SAL11082,Corrimal,2167,365,10.316713703355283,33.36469112574475,762,6972,3189
SAL11099,Cowra,1235,230,15.616638287521283,29.068353198735103,617,10145,4111
SAL11105,Cranebrook,2167,410,11.464230571281524,27.586206896551722,903,15779,7772
SAL11113,Cremorne (NSW),3200,600,24.124031007751938,66.35658914728683,1502,11263,6450
SAL11114,Cremorne Point,2996,650,25.528455284552848,71.46341463414633,1661,2270,1230
SAL11116,Crestwood,1733,320,12.128892107168717,31.20926864590876,982,4936,2762
SAL11119,Cromer (NSW),3142,650,18.241702558905498,43.9067646313656,949,8030,3947
SAL11120,Cronulla,2404,500,17.667738047408598,45.60064282844516,1179,17899,9956
SAL11124,Crookwell,1356,280,15.143369175627242,28.85304659498208,639,2686,1116
SAL11132,Crows Nest (NSW),3033,550,22.885572139303484,66.69776119402985,1657,4974,3216
SAL11135,Croydon (NSW),2700,480,15.735735735735737,52.19219219219219,835,10755,4995
SAL11136,Croydon Park (NSW),2522,410,15.482182403865513,45.137910207368634,807,10929,4967
SAL11147,Culburra Beach,1768,350,10.930828351836038,31.596925704526047,633,2946,1171
SAL11155,Cumbalum,2167,610,13.534482758620689,33.44827586206897,897,2211,1160
SAL11168,Curl Curl,3775,705,23.419773095623984,56.88816855753647,1260,2364,1234
SAL11176,Currans Hill,2167,450,11.703239289446186,27.13340299547196,971,5541,2871
SAL11203,Dapto,1880,400,8.068810157689944,21.667007986893303,686,10954,4883
SAL11212,Darling Point,3900,825,27.097729516288254,70.4837117472853,1799,3977,2026
SAL11213,Darlinghurst,2964,550,21.368375946293387,66.51906870447078,1535,10615,7001
SAL11215,Darlington (Sydney - NSW),3200,650,13.092852371409485,61.18904475617902,780,2597,1497
SAL11221,Davidson,3250,1000,24.40775305096913,54.41493180186647,1046,2725,1393
SAL11223,Davistown,2167,420,11.44465290806754,29.73733583489681,699,2602,1066
SAL11226,Dean Park,2102,400,7.442196531791907,22.18208092485549,753,3180,1384
SAL11229,Dee Why,2457,550,15.165807996516945,40.78078513895944,1065,23354,13781
SAL11237,Denham Court,2784,548,13.680861478218306,42.82917278511992,981,9129,4086
SAL11239,Deniliquin,1083,230,13.421783400185127,28.972539339709968,695,7432,3241
SAL11240,Denistone,2902,600,18.267108167770417,57.615894039735096,970,3726,1812
SAL11241,Denistone East,2974,650,15.458937198067632,55.265700483091784,879,2292,1035
SAL11277,Doonside,2100,350,7.2668319664314325,23.78409307648293,647,13614,5243
SAL11283,Double Bay,3000,720,24.072672218016656,69.03860711582135,1662,4709,2642
SAL11286,Dover Heights,4333,798,24.61459403905447,66.64953751284686,1404,4044,1946
SAL11296,Drummoyne,3200,600,23.389463927081724,61.26989031361039,1388,12011,6473
SAL11299,Dubbo,1582,310,10.995890280034407,30.32591035075982,876,43516,20926
SAL11303,Dudley,2324,420,13.425549227013834,50.44751830756713,1075,2505,1229
SAL11306,Dulwich Hill,2500,470,17.44320369657297,56.98883326915672,1157,14046,7791
SAL11315,Dundas (NSW),2500,428,13.60787824529991,39.928379588182636,764,4959,2234
SAL11316,Dundas Valley,2672,428,13.835238470634609,42.17579818683485,726,5875,2537
SAL11331,Dural (Hornsby - NSW),3033,600,21.026761332605133,49.15346805024577,909,7900,3662
SAL11344,Eagle Vale,1907,400,7.285828662930344,21.897518014411528,728,5789,2498
SAL11346,Earlwood,2817,570,17.935660166438954,48.23003353620668,837,18053,8051
SAL11347,East Albury,1560,280,13.143036386449184,40.37013801756587,858,6224,3188
SAL11348,East Ballina,1800,460,11.711385061638868,38.14358230601885,814,5882,2758
SAL11351,East Corrimal,2167,361,11.273613650213285,38.634978671541745,840,3432,1641
SAL11352,East Gosford,2000,380,14.140902179422199,41.9158641662443,759,4391,1973
SAL11354,East Hills,2500,375,13.442622950819672,36.0,789,3370,1525
SAL11358,East Killara,3900,1000,20.793650793650794,61.1904761904762,905,2895,1260
SAL11359,East Kurrajong,2600,500,14.793388429752067,27.768595041322314,949,2203,1210
SAL11360,East Lindfield,4000,990,23.987730061349694,65.95092024539878,1132,3710,1630
SAL11361,East Lismore,1430,310,7.464724624487938,27.99271734182977,670,4980,2197
SAL11363,East Maitland,1733,330,10.03283473184969,30.682232761765775,744,11860,5482
SAL11364,East Ryde,3346,735,20.344287949921753,55.55555555555556,1114,2522,1278
SAL11366,East Tamworth,1616,325,12.679162072767364,42.85189268651231,915,5417,2721
SAL11370,Eastgardens,2760,650,14.119291705498602,43.80242311276794,1113,4086,2146
SAL11371,Eastlakes,2167,380,9.457422758100979,31.801055011303692,631,6347,2654
SAL11372,Eastwood (NSW),2730,450,14.064896755162243,50.11209439528024,760,18695,8475
SAL11378,Eden,1517,270,10.236886632825719,21.40439932318105,577,3350,1182
SAL11380,Edensor Park,2167,450,10.331491712707182,29.226519337016576,538,10279,3620
SAL11382,Edgecliff,3000,600,22.347153900210824,67.46310611384399,1510,2499,1423
SAL11384,Edgeworth,1733,360,7.609451007644196,20.7088255733148,713,6401,2878
SAL11386,Edmondson Park,2800,550,12.700125921928404,42.18384601547041,1008,12080,5559
SAL11389,Eglinton (NSW),1805,415,9.974093264248705,27.72020725388601,941,3012,1544
SAL11392,Elanora Heights,3586,750,21.168501270110077,49.40728196443692,1046,4581,2362
SAL11394,Elderslie (Camden - NSW),2383,480,13.245702730030334,33.367037411526795,955,7878,3956
SAL11396,Eleebana,2167,495,14.887459807073956,45.241157556270096,900,6460,3110
SAL11397,Elermore Vale,1842,380,10.156534401164908,36.69457590098289,712,6057,2747
SAL11398,Elizabeth Bay,2582,500,22.712628865979383,69.3298969072165,1676,4878,3104
SAL11400,Elizabeth Hills,2513,560,16.066066066066064,37.76276276276276,822,3208,1332
SAL11414,Emerald Beach,1950,463,11.787665886026542,37.15846994535519,811,2677,1281
SAL11418,Empire Bay,2165,410,13.893653516295027,33.61921097770154,755,2522,1166
SAL11420,Emu Heights (NSW),2167,440,11.5494568324757,32.01829616923956,978,3205,1749
SAL11421,Emu Plains,2200,420,13.60062893081761,35.0104821802935,880,8126,3816
SAL11424,Enfield (NSW),2276,450,13.63973313565604,40.32616753150482,764,2992,1349
SAL11425,Engadine,2600,500,13.539783001808317,36.5619349005425,946,17736,8848
SAL11428,Enmore (Inner West - NSW),2994,500,17.3305954825462,60.205338809034906,1245,3871,2435
SAL11431,Epping (NSW),2600,500,14.011103400416378,58.410825815405964,946,29551,14410
SAL11436,Erina,2146,380,13.257575757575758,35.858585858585855,607,5205,1584
SAL11438,Ermington,2600,420,15.418424753867793,42.98523206751055,812,12686,5688
SAL11441,Erskine Park,2167,450,10.602055800293686,25.433186490455213,906,6486,3405
SAL11442,Erskineville,2800,620,21.16091109478325,69.72814107274064,1704,9657,6805
SAL11444,Eschol Park,1842,400,9.294605809128631,22.738589211618258,820,2607,1205
SAL11447,Estella,1667,380,9.027237354085603,33.385214007782096,916,2541,1285
SAL11448,Ettalong Beach,1950,390,12.319228709159079,32.3513658275308,636,5161,1867
SAL11472,Evans Head,1642,321,12.431941923774954,31.488203266787657,638,2907,1102
SAL11480,Fairfield (NSW),1733,365,6.390134529147982,22.937219730941706,454,18596,4460
SAL11481,Fairfield East,1900,300,6.527777777777779,23.40277777777778,459,5198,1440
SAL11482,Fairfield Heights,2167,450,6.713589604764484,22.57715213860314,431,8269,1847
SAL11483,Fairfield West,2000,440,8.34679590737749,23.39795368874529,476,12981,3714
SAL11485,Fairlight,3467,720,24.281984334203656,64.25877574702639,1491,6141,3447
SAL11487,Fairy Meadow,2167,390,9.412114014251781,34.47149643705463,674,7512,3368
SAL11494,Farmborough Heights,2008,450,11.411992263056092,36.847195357833655,887,4179,2068
SAL11499,Faulconbridge,2077,420,12.709359605911331,44.532019704433495,933,4156,2030
SAL11504,Fern Bay,2299,510,12.691326530612246,37.5,735,4046,1568
SAL11518,Figtree,2229,430,12.690790601955069,41.03927285199794,815,12335,5831
SAL11523,Finley,953,175,19.113300492610836,31.330049261083744,636,2455,1015
SAL11533,Five Dock,3000,570,20.227408737283064,53.281468182724915,1079,9823,5013
SAL11536,Fletcher (NSW),2217,510,11.540273198304286,39.095619406500234,1019,8014,4246
SAL11537,Flinders (NSW),2167,490,9.861932938856016,28.064243448858832,822,7118,3549
SAL11539,Forbes (NSW),1257,230,15.267175572519085,31.35425501837716,706,8157,3537
SAL11547,Forest Hill (NSW),1300,310,7.374100719424461,19.304556354916066,932,3081,1668
SAL11549,Forest Lodge,3033,590,19.961550785004807,68.66388977891701,1469,4965,3121
SAL11551,Forestville (NSW),3250,650,21.319287684976175,53.398545272134434,936,8659,3987
SAL11552,Forresters Beach,2171,470,14.635761589403973,40.66225165562914,819,3354,1510
SAL11553,Forster (NSW),1733,340,10.725356478611284,29.94420334779913,581,14187,4839
SAL11567,Freemans Reach,2167,463,17.293233082706767,31.296992481203006,877,2049,1064
SAL11571,Frenchs Forest,3467,800,20.83044021663658,51.256769893070405,1038,14267,7201
SAL11572,Freshwater (NSW),3055,600,21.612903225806452,56.20493358633776,1355,9186,5270
SAL11580,Gables,3200,600,16.790405482581384,47.972587093089665,1345,3339,1751
SAL11586,Galston,2600,495,20.093457943925234,45.12683578104139,875,3195,1498
SAL11598,Gateshead,1705,300,5.977382875605816,18.416801292407108,611,3121,1238
SAL11605,Georges Hall,2500,520,13.240628778718259,34.220072551390565,650,9739,3308
SAL11607,Georgetown (NSW),2000,423,12.111017661900757,40.87468460891506,942,2072,1189
SAL11610,Gerringong,2167,500,15.972588297311544,45.44016868740116,802,4165,1897
SAL11623,Gilgandra,1062,200,13.333333333333334,26.842105263157894,606,2983,1140
SAL11628,Gillieston Heights,1950,430,10.297110297110297,27.228327228327228,947,4796,2457
