City,Num_Suburbs,Avg_Score,Avg_Manager_Pct,Avg_Age_55_74_Pct,Avg_Income,Avg_Mortgage,Total_Pop_55_74
Sydney,20,59.83045506262713,25.263899540199105,22.995977334431252,1428.3,4195.65,30219
Melbourne,20,50.225790596937166,21.7417273902256,24.584481221654205,1180.2,3001.0,55321
Perth,20,47.72127734670597,18.58741578355222,23.62236438926845,1163.95,3056.65,30489
Canberra,20,46.36990486223312,22.89341500676272,21.54030270000422,1375.7,2423.45,16699
Brisbane,20,42.84215426078093,19.22939898124,21.26640059162623,1166.8,2522.4,35184
Adelaide,20,41.22467756805204,17.14055293436235,24.239537237124853,1028.8,2229.85,21073
