Suburb,Region,Rezoning_Category,Rezoning_Likelihood,Subdivision_Risk_Score,Transport_Score,Heritage_Constraint,Separate_House_Pct,Apartment_Pct,Age_65_74_Pct,Age_75_Plus_Pct,Target_Score
Elizabeth Bay,Inner City/Inner West,Low Risk,32.39532667785889,8.287433514641025,0,0,0.3466204506065857,98.61351819757364,10.63960639606396,10.209102091020911,48.92553490755349
Clovelly,Eastern Suburbs,Low Risk,32.30013352666064,8.073809269889495,0,0,24.97261774370208,46.27601314348303,7.509719664415797,4.13341518313894,54.84960822096062
North Bondi,Eastern Suburbs,Low Risk,28.702361431698222,0.0,0,0,19.252281424786577,52.722990874300855,5.909580193756728,3.864370290635091,48.16223172097952
Longueville,Lower North Shore,Heritage Protected,25.29984524087282,67.36436715908147,0,100,98.76352395672336,1.7001545595054095,11.57844990548204,7.655954631379962,65.61050864152898
Castlecrag,Lower North Shore,Heritage Protected,24.60560762607754,65.80641908958357,0,100,97.38219895287958,1.1518324607329842,11.602023608768972,7.183811129848229,63.12449399440964
Hunters Hill,Lower North Shore,Heritage Protected,23.18573129927087,62.62005532142829,0,100,70.83906464924347,17.46905089408528,10.849789216773909,13.157310849789216,57.75063616695454
Vaucluse,Eastern Suburbs,Heritage Protected,11.742915359542991,36.941076506407086,0,100,48.710949347892026,40.40036396724295,9.589905362776026,9.453207150368032,56.82930168444566
Mosman,Lower North Shore,Heritage Protected,10.921828516016012,35.0984643582016,0,100,34.89258489258489,51.98371448371448,10.858131243601962,11.069928341981717,56.16516839412131
Woollahra,Eastern Suburbs,Heritage Protected,8.667008130600943,30.038391277088277,0,100,17.8045515394913,50.401606425702816,10.905550146056475,12.101822228404508,55.80134567387189
Balmain East,Inner City/Inner West,Heritage Protected,6.702847298115887,25.63059125021153,0,100,15.723270440251572,37.61006289308176,12.210526315789473,8.263157894736842,64.04703089950931
Bellevue Hill,Eastern Suburbs,Heritage Protected,5.027797078119961,21.871588279270192,0,100,33.82642998027613,61.36587771203156,10.226628895184136,6.88385269121813,54.14250605633431
Balmain,Inner City/Inner West,Heritage Protected,3.67866549939998,18.843983762068607,0,100,21.775095014531637,37.64811088754751,10.06313372871628,6.236847139850775,58.0620838774616
Paddington (NSW),Eastern Suburbs,Heritage Protected,0.0,10.588640503537787,0,100,6.566024008730448,31.811567842851947,8.070230690496812,7.196283757184474,53.54354759014955
