SAL_CODE_2021,Suburb_Name,Median_mortgage_repay_monthly,Median_rent_weekly,Manager_Concentration_Pct,Manager_Plus_Professional_Pct,Median_tot_prsnl_inc_weekly,Total_Population,Total_Employed
SAL11832,Gwynneville,2250,350,8.862526168876483,36.287508722958826,602,3139,1433
SAL12093,Keiraville,2200,420,9.151414309484194,41.8191902384914,610,4001,1803
