SA1_CODE_2021,Tot_P_P,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Year12_Total,High_Income_Total,Families_with_children,latitude,longitude,beach_min_km,beach_avg_km,beachs_within_5km,beachs_within_10km,park_min_km,park_avg_km,parks_within_5km,parks_within_10km,school_min_km,school_avg_km,schools_within_5km,schools_within_10km,hospital_min_km,hospital_avg_km,hospitals_within_5km,hospitals_within_10km,beach_score,park_score,school_score,hospital_score,education_score,income_score,age_score,lifestyle_premium_index,school_demand_index,lifestyle_preference_index,value_score,state,state_name,is_coastal,is_highly_coastal,is_metro,income_bracket
31605143524,1433,43,762,550,2167,1692,623.0,187,0,-31.0398,153.1681,27.84579240016965,39.89906185548865,0,0,116.13497056605192,159.24433690106486,0,0,113.74110350378216,179.25121185127855,0,0,99.88333874294088,192.98852070452511,0,0,0.202018762890227,0.0,0.0,0.0,1.0,0.4543828264758497,0.999444598736858,23.58142651624733,60.0,72.70247928589824,3.094675395832983,3,QLD,True,False,False,$500-800
30305107501,1305,31,804,423,1560,1711,710.0,79,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,1.0,0.479427549194991,0.7453593045429805,22.73637672203148,60.0,66.33215659603897,2.827907552491477,3,QLD,True,False,False,$800-1200
30305107330,722,36,729,485,2000,2281,425.0,117,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.8620689655172413,0.4347048300536673,0.9103839103891423,21.734962215021454,51.72413793103448,66.28813812470247,2.981476298356853,3,QLD,True,False,False,$500-800
30805153910,714,40,764,220,1200,1203,340.0,145,0,-30.9398,153.1781,32.13475052618383,37.58885068643223,0,0,106.077327262741,164.10685725392278,0,0,104.21347454608764,176.1052294184481,0,0,103.75513570342252,195.17067433943467,0,0,0.2482229862713554,0.0,0.0,0.0,0.6896551724137931,0.4555754323196184,0.9862071167439164,21.347801356480808,41.37931034482759,66.15808856657428,2.794214837235708,3,QLD,True,False,False,$500-800
30305107307,623,37,729,550,2350,2083,365.0,67,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.7403651115618661,0.4347048300536673,0.9349874032704532,20.640941139874258,44.42190669371197,64.59216583203428,2.8314048202845346,3,QLD,True,False,False,$500-800
30305107312,674,32,801,410,1467,1612,375.0,48,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.7606490872210954,0.4776386404293381,0.7827045382418681,20.51170467508033,45.63894523326572,62.57604991314486,2.5607621317203915,3,QLD,True,False,False,$800-1200
31105132705,607,37,774,460,1950,1922,328.0,78,0,-31.1498,153.1571,23.304108266181547,39.16656587646504,0,0,110.48275954088484,153.0732428407636,0,0,124.53818597931168,179.51625529515232,0,0,96.94256859573665,185.68716385053287,0,0,0.2166686824706992,0.0,0.0,0.0,0.665314401622718,0.4615384615384615,0.9349874032704532,20.276839297378046,39.91886409736309,64.43283320749103,2.6197466792478097,3,QLD,True,False,False,$500-800
30305107350,631,34,797,400,2167,1875,342.0,88,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.6937119675456389,0.4752534287418008,0.8516705072294409,20.16331120638826,41.622718052738335,63.18702600488605,2.5299010296597566,3,QLD,True,False,False,$500-800
30305107329,599,40,679,488,2000,1947,336.0,89,0,-31.3998,153.1321,33.74948357239367,39.46173823158336,0,0,82.95381839711125,137.41755769315697,0,0,149.93588364137193,171.2909872973581,0,0,95.94935175924476,172.05157306379311,0,0,0.2107652353683329,0.0,0.0,0.0,0.6815415821501014,0.4048896839594514,0.9862071167439164,20.01065295218177,40.89249492900608,63.46152934329209,2.9470770179943697,3,QLD,True,False,False,$500-800
30909154139,883,40,803,570,1983,1526,562.0,104,0,-30.9298,157.1791,413.0756417648218,416.5304971717029,0,0,415.4077921119973,475.69232054645454,0,0,387.9721605716685,465.6263330835943,0,0,357.75361171868724,420.3691972566333,0,0,0.0,0.0,0.0,0.0,1.0,0.4788312462731067,0.9862071167439164,19.719348046450648,60.0,73.52777581597283,2.4557095948257346,3,QLD,False,False,False,$800-1200
