state,Avg_Local_Morans_I,Avg_Risk_Score,SA1_Count
VIC,0.4673264522679913,61.89176127758927,3545
SA,0.4295324520757112,61.75019278484449,491
NSW,0.39130544116087845,63.193411391676264,3582
QLD,0.36964163429519803,63.11302388531478,1294
WA,0.32646582936796437,60.77954976175543,664
NT,0.250075598093422,58.97582605250494,64
ACT,0.23296539551954584,61.219899929770655,257
TAS,0.1095161658295069,63.59671522504309,101
OT,0.0,80.59850079767816,2
