rank,SA1_CODE_2021,state,gentrification_risk_score,local_morans_i,spatial_lag,lisa_category,total_population,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
8499,21301156906,VIC,55.68271996470512,0.44728313528879016,58.571205293392325,LL (Coldspot),463,479,58.9041095890411,27.213822894168462,41.52982240086077
8500,11801134122,NSW,55.68098586610266,0.3143589524953013,59.715772736381595,LL (Coldspot),276,1103,77.97356828193833,38.04347826086957,-1.1762560760225824
8501,20904143213,VIC,55.68092354563274,0.011718108820432557,62.31946180498056,LH (Low-High Outlier),497,645,59.02578796561605,33.400402414486926,24.24927745964425
8502,21101125439,VIC,55.68010199896425,0.7675334182254437,55.81787546353367,LL (Coldspot),435,1017,89.30817610062893,31.95402298850575,18.796284557319765
8503,11802165225,NSW,55.67882010061993,0.3750603341699498,59.19458154065447,LL (Coldspot),1042,1937,100.0,46.257197696737045,0.2515723270440304
8504,20607114301,VIC,55.67828875842935,0.48737986234384073,58.22891183620097,LL (Coldspot),593,1129,84.82905982905983,38.61720067453626,6.348608192106653
8505,21401137238,VIC,55.67664213965776,-0.0,0.0,LL (Coldspot),253,733,66.27218934911244,35.177865612648226,26.24579176742273
8506,12302170527,NSW,55.6744484286486,0.2897818612520164,59.929631097445764,LL (Coldspot),299,709,68.0,27.759197324414718,34.343949874105746
8507,30504113231,QLD,55.67234923545817,0.4657551533927879,58.41840525700482,LL (Coldspot),482,1191,82.61964735516372,41.078838174273855,0.5594801612149496
8508,21203155637,VIC,55.67158061236582,0.6757897257514819,56.614404029103206,LL (Coldspot),693,901,76.17977528089888,45.16594516594517,16.269143041141774
8509,30302105216,QLD,55.670614494439725,-0.3008528473074681,65.00460289850696,LH (Low-High Outlier),363,1004,81.81818181818183,34.43526170798898,12.641832183242045
8510,20607114018,VIC,55.66839829133315,0.5163270758363151,57.986476354880594,LL (Coldspot),342,1365,93.10344827586206,49.707602339181285,3.714207896846162
8511,20703116213,VIC,55.66664390098701,0.33704342916031454,59.52677071666536,LL (Coldspot),560,712,75.4424778761062,23.75,47.250208019381496
8512,30908156002,QLD,55.66646952399176,0.48434345935987533,58.26231348716293,LL (Coldspot),339,711,67.3076923076923,30.08849557522124,32.47023142062296
8513,21305146632,VIC,55.66579012962856,0.6404070715959134,56.92310149233827,LL (Coldspot),490,1082,85.3035143769968,42.85714285714285,10.017841674895834
8514,21303134804,VIC,55.6654993186752,-0.6771231054095096,68.23236290656189,LH (Low-High Outlier),527,1058,74.55012853470437,44.4022770398482,-3.31080044499393
8515,12203169408,NSW,55.66519632510296,0.5421422192955024,57.76700358151366,LL (Coldspot),345,1222,80.64516129032258,40.0,-3.3142547522361525
8516,12203169501,NSW,55.66436966245338,0.4516826500509228,58.54390315033605,LL (Coldspot),501,1121,74.81296758104739,43.51297405189621,-7.332301213305413
