rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
51,80101100308,93.71808844014052,99.9191514132333,Very High,1012,400,900,0,2.8862945475713087,99.40598659321697,97.36040609137056,0.0,97.78025059681264,16.699604743083004,49.90118577075099,38.63636363636363,35.177865612648226,1.0,0,1.8990443518745408,99.6792949486872,86.78878181410006,97.78025059681264,78.45911035428003,100.0,8,ACT,Australian Capital Territory
52,80105105308,93.67021104459609,99.91753444149796,Very High,577,351,0,310,2.567751115710497,99.72539324351231,100.0,0.0,98.4227721963571,12.824956672443674,54.24610051993067,42.114384748700175,37.43500866551127,1.0,100,1.5772278036428982,100.0,84.46399321520926,98.4227721963571,81.0624247206878,100.0,8,ACT,Australian Capital Territory
106,80105105307,89.8990635645764,99.83021796778992,Very High,821,277,75,301,2.2912489489683723,99.4441494657198,99.21752738654148,0.0,98.41972844938638,10.596833130328868,45.43239951278928,39.82947624847747,37.75883069427528,1.0,100,1.2978845054316754,99.71761295481808,69.90995185791851,98.41972844938638,80.17028699588819,100.0,8,ACT,Australian Capital Territory
110,80110114601,89.59083733381944,99.82375008084858,Very High,7,75,900,0,2.0309164995795874,99.72539324351231,100.0,0.0,98.96512292738709,85.71428571428571,0.0,57.14285714285714,100.0,6.0,0,1.0348770726129215,100.0,99.93015656569855,98.96512292738709,99.685176724675,0.0198749534180779,8,ACT,Australian Capital Territory
168,80101100224,86.53259953650048,99.7299657201992,Very High,236,421,0,0,3.1975616066231165,99.4126236145218,97.80701754385966,0.0,97.47244918907386,24.15254237288136,52.96610169491526,51.271186440677965,46.61016949152542,0.0,0,2.213509760679572,99.68595894975344,94.50315542658542,97.47244918907386,88.38559621215268,0.0,8,ACT,Australian Capital Territory
216,80105104901,84.27956803221474,99.65235107690316,Very High,2848,257,0,9,2.214442791540004,99.445808721046,99.53051643192488,0.0,98.49898981026718,11.165730337078651,37.21910112359551,26.1938202247191,20.084269662921347,1.0,100,1.2202891448174469,99.71927895508462,55.67852064954395,98.49898981026718,59.273995929725466,100.0,8,ACT,Australian Capital Territory
219,80105106009,84.16634184089612,99.64750016169718,Very High,9,725,725,690,35.97923808291831,99.72539324351231,100.0,0.0,64.66797353589807,33.33333333333333,44.44444444444444,44.44444444444444,44.44444444444444,2.0,100,35.33202646410193,100.0,96.5643682079339,64.66797353589807,85.01723636665697,88.8973541468262,8,ACT,Australian Capital Territory
403,80101100209,79.28088287044143,99.3499773623957,Very High,278,702,1273,300,32.04110342151219,87.16897856242119,80.0,0.0,56.0391165350408,48.92086330935252,12.23021582733813,51.798561151079134,51.43884892086332,2.1,0,31.35342644776607,87.39254298280687,96.38227639707657,56.0391165350408,90.36092536445572,84.26649000041407,8,ACT,Australian Capital Territory
518,80104104021,77.74541766126234,99.16402561283228,Very High,44,599,754,246,17.971023866502815,76.69244043273379,73.33333333333333,0.0,59.73464412323774,65.9090909090909,0.0,25.0,18.181818181818183,1.1,100,17.13877317650903,76.87341729974678,98.76859373570912,59.73464412323774,56.35585828799269,99.7954536044056,8,ACT,Australian Capital Territory
813,80101100201,74.44532887749612,98.68701895090874,Very High,425,751,1523,370,40.84955694974452,86.82219419924337,79.76539589442815,0.0,46.79195980678217,43.76470588235294,11.529411764705882,43.52941176470589,36.47058823529412,2.1,0,40.25238912031365,87.04434892709581,93.83299104507395,46.79195980678217,81.265938447481,84.26649000041407,8,ACT,Australian Capital Territory
909,80101100216,73.52072111194232,98.53178966431668,Very High,1468,947,1594,460,71.5421059439881,99.04095042145086,93.69009584664538,0.0,28.052462875015,59.40054495912806,24.182561307901903,65.12261580381471,63.62397820163488,1.9,0,71.26031201502899,99.31277489004398,99.41048815571762,28.052462875015,96.9697221414628,92.558486191048,8,ACT,Australian Capital Territory
912,80101100213,73.51238178523826,98.52693874911068,Very High,19,939,1593,420,70.58890110600868,99.72539324351231,100.0,0.0,29.70268724985705,42.10526315789473,31.57894736842105,63.1578947368421,36.84210526315789,1.5,0,70.29731275014295,100.0,97.243678753461,29.70268724985705,89.209619138597,98.84559645563328,8,ACT,Australian Capital Territory
1309,80105105311,70.51945138819913,97.88500097018304,Very High,365,1036,1739,560,80.49285298492983,99.27988318842505,95.0920245398773,0.0,19.24964862539832,54.52054794520548,28.767123287671232,64.93150684931507,56.98630136986301,1.8,100,80.3030303030303,99.55267892842862,99.1161479683044,19.24964862539832,95.51937533745898,95.18198004223429,8,ACT,Australian Capital Territory
1400,80101100317,70.02716896183884,97.73785654226764,Very High,478,997,1965,410,77.06244744841861,98.85013605893674,93.08755760368663,0.0,22.28380839937161,63.38912133891213,19.456066945606697,47.28033472803347,43.72384937238494,2.0,0,76.83737646001796,99.12118485938956,99.54019739084886,22.28380839937161,85.84873530755493,88.8973541468262,8,ACT,Australian Capital Territory
1421,80101100808,69.92229194332394,97.70390013582563,Very High,364,850,1640,438,57.91265118685725,89.3318178801354,81.56028368794325,0.0,32.073363254551175,43.68131868131868,10.164835164835164,45.604395604395606,43.13186813186813,2.1,0,57.49081107571673,89.5641743302679,93.3573905162594,32.073363254551175,84.95992025584583,84.26649000041407,8,ACT,Australian Capital Territory
