rank,SA1_CODE_2021,gentrification_risk_score,gentrification_risk_percentile,risk_category,total_population,median_personal_income,median_household_income,median_rent_weekly,income_percentile,education_percentile,pct_year12,pct_tertiary,edu_income_mismatch,pct_young_professionals,pct_age_20_24,pct_overseas_born,pct_non_english,avg_household_size,rental_stress,income_component,education_component,youth_component,mismatch_component,diversity_component,density_component,state_code,state,state_name
263,12602172305,82.58733744269081,99.57635340534247,Very High,582,644,1397,365,23.800206972382124,89.24055883719387,81.4977973568282,0.0,66.44469166511294,44.50171821305842,6.185567010309279,71.1340206185567,74.5704467353952,2.2,0,23.02785265049416,89.4725443156071,92.42780766448546,66.44469166511294,99.06300618847862,78.9756117759099,1,NSW,New South Wales
264,11802157028,82.579429737247,99.57473643360714,Very High,396,249,991,430,2.1772524416273207,99.4109643591956,97.69736842105264,0.0,98.50157629507213,6.8181818181818175,42.67676767676768,30.303030303030305,23.484848484848484,1.8,100,1.182716654414768,99.68429294948687,48.20859905711364,98.50157629507213,65.8088632304689,95.18198004223429,1,NSW,New South Wales
265,11703164519,82.57770183845524,99.5731194618718,Very High,947,658,1857,550,25.545727960675247,97.2008362646844,89.38172043010752,0.0,72.67387127481769,68.21541710665258,14.255543822597676,78.03590285110876,69.58817317845829,2.9,0,24.791309319611205,97.46518059442889,99.72977242680992,72.67387127481769,99.1992357851892,26.69703117883317,1,NSW,New South Wales
266,12003168036,82.57364373081778,99.57150249013648,Very High,708,707,1808,440,32.90618329991592,98.3946704718922,91.747572815534,0.0,66.43647253995567,45.62146892655367,31.497175141242938,82.7683615819209,81.63841807909604,2.6,0,32.22739524626317,98.66386778621884,98.02027122533654,66.43647253995567,99.8621090667442,50.30019460891887,1,NSW,New South Wales
267,21001122804,82.53923038920516,99.56988551840114,Very High,9,725,899,315,35.97923808291831,99.72539324351231,100.0,0.0,64.66797353589807,44.44444444444444,0.0,33.33333333333333,33.33333333333333,1.2,100,35.33202646410193,100.0,89.88517406813061,64.66797353589807,74.60314823275324,99.73831311332864,2,VIC,Victoria
268,30501111024,82.47529910783842,99.5682685466658,Very High,369,739,990,330,38.67877239505854,95.58638083228249,87.17105263157895,0.0,57.78486314369131,53.65853658536586,18.69918699186992,48.50948509485095,42.81842818428184,1.7,100,38.05929919137466,95.84416233506596,98.3196002294856,57.78486314369131,85.96585953399509,96.97486646515672,3,QLD,Queensland
269,30306107816,82.43091753430056,99.56665157493046,Very High,430,668,1367,355,26.867602354310847,96.77274839052234,88.78504672897196,0.0,70.90858621021084,47.906976744186046,13.953488372093023,64.4186046511628,68.6046511627907,2.7,0,26.12676631544556,97.0353525256564,96.32906235189452,70.90858621021084,97.63924076919882,42.11419816984802,3,QLD,Queensland
270,30304106903,82.41327480200556,99.56503460319512,Very High,538,675,1625,398,27.8030205032016,99.00942457025288,93.56435643564356,0.0,72.20932475657945,57.62081784386617,14.312267657992564,74.1635687732342,74.90706319702602,2.9,0,27.0717961283999,99.28112088497934,98.59897396669136,72.20932475657945,99.28396394899696,26.69703117883317,3,QLD,Queensland
271,20604111750,82.37452962087796,99.5634176314598,Very High,403,687,1211,333,29.64636828148244,89.17252936881927,81.44927536231884,0.0,60.47015352153673,44.66501240694789,15.63275434243176,56.07940446650124,54.3424317617866,1.7,0,28.934084783141383,89.40423830467812,95.40114243903253,60.47015352153673,92.5156788636458,96.97486646515672,2,VIC,Victoria
272,11703164535,82.35141387973067,99.56180065972448,Very High,548,764,1680,622,43.2362072310976,98.43698148271056,91.83222958057397,0.0,56.042787940774026,52.18978102189781,22.81021897810219,74.63503649635037,69.8905109489051,2.1,100,42.6635628522421,98.70635079301611,98.42602831984968,56.04278794077403,98.9732940150351,84.26649000041407,1,NSW,New South Wales
273,11903166415,82.23432905277606,99.56018368798914,Very High,408,557,1678,440,13.36912230774206,92.29607752040884,83.92282958199357,0.0,80.05089792066511,35.78431372549019,8.57843137254902,73.2843137254902,80.63725490196079,2.7,0,12.489585885812298,92.5404838064774,84.6701976402897,80.05089792066511,99.56472982514433,42.11419816984802,1,NSW,New South Wales
274,12003167803,82.22823997276568,99.5585667162538,Very High,495,740,1335,500,38.88089386197529,95.34247029932966,86.90176322418137,0.0,57.33576278710113,49.09090909090909,21.818181818181817,77.97979797979798,77.57575757575758,2.1,100,38.26349750878052,95.59926029588163,97.72260516009946,57.33576278710113,99.63533662831748,84.26649000041407,1,NSW,New South Wales
275,20604111729,82.18529723933283,99.55694974451846,Very High,307,752,1735,462,41.02499838302827,98.07858233224928,91.01123595505618,0.0,57.91686147561721,49.5114006514658,20.52117263843648,52.44299674267101,45.928338762214985,2.0,0,40.42963325982194,98.34649473543917,97.66606523709352,57.91686147561721,88.56169788594924,88.8973541468262,2,VIC,Victoria
276,12003167816,82.16565615741511,99.55533277278312,Very High,403,624,1068,400,21.04084470603454,88.34041282272516,80.82191780821918,0.0,68.32860194972895,34.98759305210918,16.129032258064516,60.297766749379655,56.575682382134,2.1,100,20.2401372212693,88.56873917099826,88.43675427583169,68.32860194972895,94.29497030360923,84.26649000041407,1,NSW,New South Wales
277,12003167818,82.13825235256922,99.5537158010478,Very High,554,759,1398,500,42.333128516913526,97.39496913785092,89.7025171624714,0.0,55.908897855543714,50.722021660649816,22.92418772563177,75.09025270758123,77.25631768953069,2.1,100,41.75120477007269,97.6601026256164,98.1799133608827,55.908897855543714,99.4949536902438,84.26649000041407,1,NSW,New South Wales
278,12003168033,82.08755194180966,99.55209882931246,Very High,584,725,1852,550,35.97923808291831,98.62779584522468,92.35412474849096,0.0,63.56591435956861,46.917808219178085,18.32191780821918,82.02054794520548,84.07534246575342,2.5,0,35.33202646410193,98.89794082367054,96.73149356858376,63.56591435956861,99.8820451052872,58.33712889735414,1,NSW,New South Wales
279,12003167804,82.08299852328894,99.55048185757714,Very High,537,701,1805,460,31.866470474096115,96.69144487953808,88.66213151927438,0.0,65.77671941106756,40.78212290502793,21.41527001862197,76.72253258845437,75.04655493482309,2.5,0,31.176999101527404,96.95371851259496,94.95214893280895,65.77671941106756,99.46338829588404,58.33712889735414,1,NSW,New South Wales
