rank,SA1_CODE_2021,state,total_population,gentrification_risk_score,gentrification_risk_percentile,estimated_median_price,estimated_median_price_k,price_to_risk_ratio,investment_opportunity_score,opportunity_category,median_personal_income,pct_year12,pct_young_professionals,edu_income_mismatch
200,40101100119,SA,635,85.24801462398122,99.67822262466852,677426.5981573344,677.4265981573344,7.946538123443484,99.88592590143337,Excellent,638,84.05797101449275,42.204724409448815,70.5552127756265
81,21205156718,VIC,330,91.0623194403623,99.87064226117327,725378.0933007413,725.3780933007413,7.965732673609299,99.88427265362805,Excellent,528,93.06122448979592,48.48484848484848,89.17244835301199
2459,60105102710,TAS,287,65.65322309272891,96.02548347454886,523377.6778163103,523.3776778163103,7.97185047681649,99.88261940582274,Excellent,789,75.93360995850622,35.88850174216028,33.70970802236974
184,50603112412,WA,241,85.88048157835362,99.70409417243388,684760.6149706745,684.7606149706745,7.973413776748895,99.88096615801743,Excellent,291,94.56066945606696,15.767634854771783,98.14303630014136
314,50603112427,WA,95,81.39226165431776,99.49388784684044,650987.4367980987,650.9874367980988,7.998149007861667,99.87931291021211,Excellent,630,95.23809523809524,43.15789473684211,78.49685695435133
1050,40101100107,SA,597,72.21996035569674,98.30379664963456,577771.1369567506,577.7711369567506,8.000158600352593,99.8776596624068,Excellent,839,81.8359375,43.21608040201005,34.17630477009557
531,50302104305,WA,405,77.58749460445132,99.14300498027296,620736.4483683483,620.7364483683483,8.000470327504758,99.87600641460149,Excellent,740,79.41176470588235,45.18518518518518,48.217743328218006
388,20604150524,VIC,599,79.61472907448177,99.37423193842572,637964.0292362552,637.9640292362552,8.013140742329504,99.87435316679617,Excellent,820,89.76660682226212,56.42737896494157,45.05611061137907
995,40402110221,SA,3,72.7734490493657,98.39192160921029,586208.7985007848,586.2087985007848,8.055256500253705,99.87269991899086,Excellent,450,100.0,0.0,96.72139181573144
2767,60105102714,TAS,584,64.74037755038881,95.52745618006595,522646.92912737885,522.6469291273788,8.072966962860104,99.87104667118554,Excellent,1016,86.33663366336634,42.465753424657535,16.550156340306316
1751,40402110239,SA,402,68.18464605702384,97.1702994631654,550493.6201095679,550.4936201095679,8.073571572831542,99.86939342338023,Excellent,474,63.934426229508205,32.08955223880597,53.11286389634295
