SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
31903151106,230,647,445,69,1.6,0.3554868624420402,1,0,Moderate Stress (30-50%),281,231,121.64502164502164,1,5,148,74,6.756756756756757,281,276,0.017793594306049824,1,11.5,18.4,0.0,0.0,0.7288801571709234,0.115,0.9774774774774775,25.502377918193243,21.84954954954955,Moderate (25-50),Low (0-25),33.217355882404995,Moderate Priority
40304108615,328,907,572,59,2.0,0.36163175303197354,1,0,Moderate Stress (30-50%),276,357,77.31092436974791,1,0,203,101,0.0,276,276,0.0,1,8.2,38.3,0.0,0.0,0.7288801571709234,0.08199999999999999,1.0,25.39760314341847,21.64,Moderate (25-50),Low (0-25),32.845445972495085,Moderate Priority
21105127719,336,762,557,65,1.7,0.4409448818897638,1,0,Moderate Stress (30-50%),275,276,99.63768115942028,1,0,96,46,0.0,275,275,0.0,1,2.6,36.0,0.0,0.0,0.7282252783235101,0.026000000000000002,1.0,24.824505566470204,20.520000000000003,Low (0-25),Low (0-25),32.03656057629338,Moderate Priority
50201102713,300,728,477,83,1.5,0.41208791208791207,1,0,Moderate Stress (30-50%),275,244,112.70491803278688,1,0,49,23,0.0,275,275,0.0,1,12.8,8.2,0.0,0.0,0.7282252783235101,0.128,1.0,25.844505566470204,22.560000000000002,Moderate (25-50),Low (0-25),33.46456057629339,Moderate Priority
60104102235,270,604,463,77,1.3,0.4470198675496689,1,0,Moderate Stress (30-50%),275,220,125.0,1,0,86,43,0.0,275,275,0.0,1,15.6,11.5,0.0,0.0,0.7282252783235101,0.156,1.0,26.1245055664702,23.12,Moderate (25-50),Low (0-25),33.85656057629339,Moderate Priority
31105132336,250,634,505,78,1.4,0.3943217665615142,1,0,Moderate Stress (30-50%),274,221,123.98190045248869,1,0,20,11,0.0,274,274,0.0,1,6.5,7.1,0.0,0.0,0.7275703994760969,0.065,1.0,25.20140798952194,21.3,Moderate (25-50),Low (0-25),32.557675180091685,Moderate Priority
11203155028,278,691,483,77,1.6,0.402315484804631,1,0,Moderate Stress (30-50%),308,273,112.82051282051282,1,35,161,85,41.17647058823529,308,273,0.11363636363636363,1,2.3,16.8,0.0,0.0,0.7269155206286837,0.023,0.8627450980392157,23.39576139296583,17.714901960784317,Low (0-25),Low (0-25),31.39577017604684,Moderate Priority
21201154925,358,686,492,71,1.7,0.521865889212828,1,1,Severe Stress (50%+),271,246,110.16260162601625,1,0,41,24,0.0,271,271,0.0,1,4.2,29.5,0.0,0.0,0.7256057629338573,0.042,1.0,24.932115258677147,20.84,Low (0-25),Low (0-25),32.16101899148658,Moderate Priority
50201102815,300,770,525,66,1.7,0.38961038961038963,1,0,Moderate Stress (30-50%),270,292,92.46575342465754,1,0,138,66,0.0,270,270,0.0,1,7.6,32.2,0.0,0.0,0.724950884086444,0.076,1.0,25.259017681728878,21.52,Moderate (25-50),Low (0-25),32.612133595284874,Moderate Priority
50603112417,260,558,515,82,1.1,0.4659498207885305,1,0,Moderate Stress (30-50%),270,199,135.678391959799,1,0,112,55,0.0,270,270,0.0,1,7.7,3.8,0.0,0.0,0.724950884086444,0.077,1.0,25.269017681728883,21.54,Moderate (25-50),Low (0-25),32.62613359528488,Moderate Priority
10804116232,295,698,488,62,1.8,0.42263610315186245,1,0,Moderate Stress (30-50%),278,269,103.3457249070632,1,9,128,67,13.432835820895523,278,269,0.03237410071942446,1,9.4,31.0,0.0,0.0,0.7242960052390308,0.094,0.9552238805970149,24.978158910750764,20.9844776119403,Low (0-25),Low (0-25),32.66014372147123,Moderate Priority
