SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
51104128522,0,900,449,55,2.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,50.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
60401108401,0,350,350,56,1.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,100.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
70204106316,43,1312,306,31,4.1,0.03277439024390244,0,0,Affordable (<30%),0,9,0.0,0,0,5,5,0.0,0,0,0.0,0,100.0,11.8,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
31905152502,260,757,426,57,2.0,0.34346103038309117,1,0,Moderate Stress (30-50%),462,512,90.234375,1,0,69,35,0.0,462,462,0.0,1,14.8,31.1,0.0,0.0,0.8506876227897839,0.14800000000000002,1.0,28.493752455795686,22.96,Moderate (25-50),Low (0-25),38.3981296660118,Moderate Priority
30903123708,340,612,478,73,1.3,0.5555555555555556,1,1,Severe Stress (50%+),451,335,134.62686567164178,1,0,135,68,0.0,451,451,0.0,1,14.1,16.7,0.0,0.0,0.8434839554682384,0.141,1.0,28.279679109364768,22.82,Moderate (25-50),Low (0-25),38.02639030779306,Moderate Priority
10501109214,150,450,342,32,2.3,0.3333333333333333,1,0,Moderate Stress (30-50%),15,16,93.75,1,12,29,17,70.58823529411765,15,3,0.8,0,100.0,3.6,0.0,0.0,0.550098231827112,1.0,0.7647058823529411,28.649023460071653,35.294117647058826,Moderate (25-50),Moderate (25-50),37.96255633884202,Moderate Priority
11101121103,200,588,521,70,1.3,0.3401360544217687,1,0,Moderate Stress (30-50%),458,339,135.1032448377581,1,0,65,32,0.0,458,458,0.0,1,11.1,18.5,0.0,0.0,0.8480681074001309,0.111,1.0,28.07136214800262,22.220000000000002,Moderate (25-50),Low (0-25),37.780588081204975,Moderate Priority
10801115218,280,703,509,61,1.6,0.39829302987197723,1,0,Moderate Stress (30-50%),495,478,103.55648535564855,1,24,437,218,11.009174311926607,495,471,0.048484848484848485,1,8.3,30.7,0.0,0.0,0.8565815324165029,0.083,0.963302752293578,27.59465817126584,20.92605504587156,Moderate (25-50),Low (0-25),37.56530924100142,Moderate Priority
10202105406,253,600,477,74,1.4,0.4216666666666667,1,0,Moderate Stress (30-50%),428,319,134.1692789968652,1,5,95,43,11.627906976744185,428,423,0.011682242990654205,1,16.7,14.5,0.0,0.0,0.825147347740668,0.16699999999999998,0.9612403100775194,27.78535005558855,22.56480620155039,Moderate (25-50),Low (0-25),37.538560454455464,Moderate Priority
40702117424,300,687,462,76,1.6,0.4366812227074236,1,0,Moderate Stress (30-50%),491,429,114.45221445221445,1,0,32,19,0.0,491,491,0.0,1,2.6,16.0,0.0,0.0,0.8696791093647676,0.026000000000000002,1.0,27.653582187295356,20.520000000000003,Moderate (25-50),Low (0-25),37.411806155861164,Moderate Priority
50502109726,194,542,493,80,1.1,0.35793357933579334,1,0,Moderate Stress (30-50%),412,301,136.87707641196013,1,3,205,103,2.912621359223301,412,409,0.007281553398058253,1,16.0,6.7,0.0,0.0,0.8159790438768828,0.16,0.9902912621359223,27.82249349889688,23.005825242718448,Moderate (25-50),Low (0-25),37.208368715865234,Moderate Priority
20604111737,413,522,323,23,1.7,0.7911877394636015,1,1,Severe Stress (50%+),365,675,54.074074074074076,1,0,994,496,0.0,365,365,0.0,1,23.2,48.6,0.0,0.0,0.7871643745907008,0.23199999999999998,1.0,28.063287491814016,24.64,Moderate (25-50),Low (0-25),37.16024623444663,Moderate Priority
10501109301,150,662,364,40,2.3,0.22658610271903323,0,0,Affordable (<30%),34,23,147.82608695652172,1,0,46,23,0.0,0,0,0.0,0,87.5,16.3,0.0,0.0,0.5481335952848723,0.875,1.0,29.71267190569745,37.5,Moderate (25-50),Moderate (25-50),37.07907662082515,Moderate Priority
10302106227,150,887,387,18,3.2,0.16910935738444194,0,0,Affordable (<30%),6,8,75.0,1,0,16,8,0.0,0,0,0.0,0,85.7,58.3,0.0,0.0,0.5481335952848723,0.857,1.0,29.53267190569745,37.14,Moderate (25-50),Moderate (25-50),36.82707662082515,Moderate Priority
10501109628,168,593,274,28,3.3,0.28330522765598654,0,0,Affordable (<30%),22,15,146.66666666666666,1,0,18,9,0.0,0,0,0.0,0,83.3,14.6,0.0,0.0,0.5481335952848723,0.833,1.0,29.292671905697443,36.660000000000004,Moderate (25-50),Moderate (25-50),36.49107662082515,Moderate Priority
50604113442,174,573,443,77,1.3,0.3036649214659686,1,0,Moderate Stress (30-50%),434,317,136.90851735015772,1,12,114,56,21.428571428571427,434,422,0.027649769585253458,1,9.1,6.0,0.0,0.0,0.8244924688932548,0.091,0.9285714285714286,26.68556366357938,20.39142857142857,Moderate (25-50),Low (0-25),36.3189995322294,Moderate Priority
31304137328,355,728,526,61,1.9,0.4876373626373626,1,0,Moderate Stress (30-50%),382,374,102.1390374331551,1,0,236,118,0.0,382,382,0.0,1,13.7,28.7,0.0,0.0,0.7982973149967256,0.13699999999999998,1.0,27.33594629993451,22.740000000000002,Moderate (25-50),Low (0-25),36.25329796987557,Moderate Priority
31301136205,355,691,486,68,1.6,0.5137481910274964,1,1,Severe Stress (50%+),405,374,108.28877005347594,1,0,152,76,0.0,405,405,0.0,1,8.9,23.6,0.0,0.0,0.8133595284872298,0.08900000000000001,1.0,27.157190569744593,21.78,Moderate (25-50),Low (0-25),36.153662082514735,Moderate Priority
10201102928,310,721,556,68,1.7,0.42995839112343964,1,0,Moderate Stress (30-50%),435,405,107.40740740740742,1,0,74,38,0.0,435,435,0.0,1,3.3,27.0,0.0,0.0,0.8330058939096268,0.033,1.0,26.99011787819254,20.66,Moderate (25-50),Low (0-25),36.11622396856582,Moderate Priority
50705118811,250,640,541,55,1.4,0.390625,1,0,Moderate Stress (30-50%),430,403,106.69975186104219,1,35,494,247,14.17004048582996,430,395,0.08139534883720931,1,11.5,41.2,0.0,0.0,0.8068107400130976,0.115,0.9527665317139001,26.813880117400956,21.355330634278,Moderate (25-50),Low (0-25),36.07987424735331,Moderate Priority
31901149302,375,1105,554,67,2.1,0.3393665158371041,1,0,Moderate Stress (30-50%),425,685,62.04379562043796,1,0,209,108,0.0,425,425,0.0,1,4.5,31.4,0.0,0.0,0.8264571054354944,0.045,1.0,26.97914210870989,20.900000000000002,Moderate (25-50),Low (0-25),36.03537000654879,Moderate Priority
31102130719,315,794,480,72,1.9,0.3967254408060453,1,0,Moderate Stress (30-50%),408,445,91.68539325842696,1,20,104,53,37.735849056603776,408,388,0.049019607843137254,1,13.4,17.7,0.0,0.0,0.802226588081205,0.134,0.8742138364779874,26.126670126403972,20.16427672955975,Moderate (25-50),Low (0-25),35.85746569299774,Moderate Priority
10801115413,320,723,483,68,1.7,0.4426002766251729,1,0,Moderate Stress (30-50%),420,382,109.94764397905759,1,7,106,51,13.725490196078432,420,413,0.016666666666666666,1,6.2,26.3,0.0,0.0,0.8185985592665357,0.062,0.9542483660130718,26.53445484546143,20.324967320261436,Moderate (25-50),Low (0-25),35.79173871618064,Moderate Priority
11602163326,190,625,516,72,1.3,0.304,1,0,Moderate Stress (30-50%),391,322,121.42857142857142,1,0,44,22,0.0,391,391,0.0,1,8.2,18.8,0.0,0.0,0.8041912246234446,0.08199999999999999,1.0,26.903824492468896,21.64,Moderate (25-50),Low (0-25),35.7072665356909,Moderate Priority
31901150022,215,599,449,80,1.4,0.3589315525876461,1,0,Moderate Stress (30-50%),350,268,130.59701492537314,1,0,51,30,0.0,350,350,0.0,1,14.3,4.9,0.0,0.0,0.7773411918795023,0.14300000000000002,1.0,26.976823837590047,22.860000000000003,Moderate (25-50),Low (0-25),35.54096529142109,Moderate Priority
50201102408,250,786,510,70,1.8,0.31806615776081426,1,0,Moderate Stress (30-50%),406,469,86.56716417910447,1,0,37,22,0.0,406,406,0.0,1,4.3,24.0,0.0,0.0,0.8140144073346431,0.043,1.0,26.71028814669286,20.86,Moderate (25-50),Low (0-25),35.53454747871644,Moderate Priority
