SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
12702151106,320,1213,469,39,3.1,0.26380873866446825,0,0,Affordable (<30%),96,158,60.75949367088608,1,0,170,86,0.0,0,0,0.0,0,16.7,41.5,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
20101100219,260,1125,625,29,1.8,0.2311111111111111,0,0,Affordable (<30%),59,92,64.13043478260869,1,0,120,59,0.0,0,0,0.0,0,16.7,63.5,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
21205132752,152,735,547,86,1.3,0.20680272108843537,0,0,Affordable (<30%),173,191,90.57591623036649,1,0,5,5,0.0,0,0,0.0,0,16.7,1.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
21304157201,500,1937,850,43,2.7,0.2581311306143521,0,0,Affordable (<30%),0,3,0.0,0,0,6,3,0.0,0,0,0.0,0,16.7,85.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
21305136819,435,1125,575,59,1.3,0.38666666666666666,1,0,Moderate Stress (30-50%),0,7,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,54.5,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
30204104226,288,562,546,59,1.2,0.5124555160142349,1,1,Severe Stress (50%+),145,126,115.07936507936508,1,0,5,5,0.0,145,145,0.0,1,16.7,29.2,0.0,0.0,0.6430910281597905,0.16699999999999998,1.0,24.53182056319581,23.34,Low (0-25),Low (0-25),30.77545907007204,Moderate Priority
30305107632,500,1574,2041,43,1.0,0.3176620076238882,1,0,Moderate Stress (30-50%),0,5,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,75.0,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
30502111708,0,1375,850,42,2.3,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,85.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
30906124805,281,1012,1187,36,1.3,0.2776679841897233,0,0,Affordable (<30%),0,3,0.0,0,0,4,4,0.0,0,0,0.0,0,16.7,66.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
31003129503,265,2250,900,42,2.6,0.11777777777777777,0,0,Affordable (<30%),0,3,0.0,0,0,3,3,0.0,0,0,0.0,0,16.7,40.0,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
31103131146,148,654,436,72,1.5,0.22629969418960244,0,0,Affordable (<30%),95,70,135.71428571428572,1,0,6,3,0.0,0,0,0.0,0,16.7,11.1,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
31601141628,178,601,447,79,1.4,0.2961730449251248,0,0,Affordable (<30%),509,391,130.17902813299233,1,0,45,21,0.0,0,0,0.0,0,16.7,6.2,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
31802146803,0,0,411,85,0.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,16.7,3.3,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
31901150003,115,593,436,81,1.4,0.19392917369308602,0,0,Affordable (<30%),207,158,131.0126582278481,1,0,18,6,0.0,0,0,0.0,0,16.7,2.7,0.0,0.0,0.5481335952848723,0.16699999999999998,1.0,22.632671905697446,23.34,Low (0-25),Low (0-25),27.16707662082515,Moderate Priority
