SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name
SAL10011,174,145,317,37,1560,737,360,2205,0.9,2069,3.0,142,116,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,Abernethy
SAL10012,13,17,29,42,1150,1075,0,2416,0.8,2374,2.7,13,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Abington (NSW)
SAL10013,14,15,30,53,1571,575,275,1187,0.7,949,2.1,16,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acacia Creek
SAL10014,1828,1840,3668,36,2484,1055,540,2800,0.9,2796,3.2,1390,1460,2856,0,21,56,28,18,5,0,0,134,0,3,10,5,0,0,142,56,29,7,0,0,293,3,13,29,12,6,0,0,0,0,0,3,30,13,3,0,0,0,49,0,0,0,10,7,3,0,0,0,22,0,0,7,34,21,3,0,0,0,72,Acacia Gardens
SAL10015,182,152,339,52,1083,588,300,1350,0.6,954,2.0,157,136,295,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,6,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,Adaminaby
SAL10016,3079,3261,6335,36,2100,925,395,2438,0.8,1875,2.4,2525,2746,5264,0,36,48,32,16,6,3,0,136,0,9,10,12,6,4,109,64,41,19,7,0,317,4,24,45,30,24,18,3,0,0,0,11,27,25,17,0,0,0,79,0,0,6,13,8,0,0,0,0,29,0,0,19,41,27,14,0,0,0,107,Adamstown
SAL10017,2824,2803,5621,39,2201,983,475,2671,0.8,2325,2.8,2163,2222,4387,0,21,46,56,18,22,8,0,166,0,7,15,19,7,9,110,92,31,31,12,0,320,0,18,37,37,28,16,8,0,0,0,15,36,33,12,0,0,0,99,0,0,4,12,5,4,0,0,4,32,0,0,18,43,43,20,0,4,4,130,Adamstown Heights
SAL10018,470,466,938,49,1200,599,205,1448,0.7,1158,2.3,396,400,798,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,3,0,0,0,19,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,Adelong
SAL10019,60,41,101,41,625,1050,150,2312,0.8,2312,2.8,43,35,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adjungbilly
SAL10020,19,14,32,64,650,596,0,1374,0.5,762,1.8,19,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Afterlee
SAL10021,511,486,996,38,2600,953,440,2517,0.8,2454,3.1,406,396,802,0,3,0,4,0,0,0,0,11,0,0,0,0,0,0,5,6,3,3,0,0,31,0,0,4,4,0,0,0,0,0,0,3,8,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,5,0,0,0,20,Agnes Banks
SAL10022,1489,1776,3265,29,2210,451,220,1111,0.9,944,2.9,1055,1336,2387,0,8,16,12,0,6,0,0,43,0,0,0,0,0,0,26,14,0,6,0,0,71,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,4,Airds
SAL10023,83,76,165,43,780,435,240,1042,0.8,778,2.4,74,64,139,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Akolele
SAL10024,37,40,77,50,463,612,0,1625,0.8,1187,2.6,33,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Albert
SAL10025,6787,7038,13826,36,2058,804,460,2132,0.8,1938,2.9,5276,5688,10968,0,18,20,27,13,14,3,0,101,0,12,8,7,11,10,60,54,37,20,3,0,241,7,51,33,32,23,27,3,4,0,4,12,35,37,23,9,0,0,122,0,0,3,8,5,7,0,0,0,26,0,4,24,45,45,30,3,0,0,151,Albion Park
SAL10026,3340,3571,6920,41,1820,636,390,1645,0.8,1411,2.5,2727,2983,5709,0,11,3,6,6,5,6,0,38,0,0,3,0,5,0,17,12,10,5,7,0,76,6,17,16,9,6,8,0,0,0,0,4,3,9,4,3,0,0,23,0,0,0,0,3,3,0,0,0,15,0,0,4,8,13,3,0,0,0,38,Albion Park Rail
SAL10027,2373,2589,4955,45,1733,930,270,2359,0.7,1601,2.0,1976,2263,4235,0,31,20,25,21,37,11,0,148,0,3,13,11,11,13,62,55,49,61,12,0,329,4,9,44,35,36,38,10,0,0,0,8,16,20,14,9,4,0,59,0,0,5,8,7,15,4,0,0,38,0,0,9,24,31,24,8,3,0,98,Albury
SAL10028,1063,377,1443,36,1483,624,350,1445,0.7,1222,2.5,1015,325,1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aldavilla
SAL10029,80,74,151,49,1257,733,160,2125,0.7,1803,2.4,70,60,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Alectown
SAL10030,5023,4630,9649,34,2751,1629,560,3600,1.1,2654,2.0,4464,4122,8587,7,242,234,116,52,23,6,0,682,0,38,42,27,22,9,465,226,107,49,14,0,1426,0,84,97,54,37,27,4,0,0,3,97,115,46,21,3,0,0,285,0,0,65,67,34,14,0,0,0,182,0,3,163,184,76,39,6,0,0,466,Alexandria
SAL10031,1552,1577,3131,43,2595,956,768,2978,0.8,2969,3.3,1277,1320,2597,0,12,14,16,24,10,0,0,69,0,0,0,4,4,4,28,27,41,13,0,0,138,0,6,4,14,17,9,0,0,0,0,3,9,9,13,3,0,0,40,0,0,3,7,5,4,0,0,0,20,0,0,4,15,23,16,3,0,0,63,Alfords Point
SAL10032,40,40,80,41,2600,814,265,2583,0.8,2624,3.1,35,34,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alfredtown
SAL10033,0,0,4,59,400,333,0,1074,1.0,1074,3.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alice
SAL10034,36,47,85,47,3500,669,600,2562,0.7,2249,2.9,34,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alison (Central Coast - NSW)
SAL10035,49,55,99,53,2214,792,270,2312,0.6,1375,2.1,42,48,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alison (Dungog - NSW)
