SAL_CODE_2021,Suburb_Name,KMeans_5,KMeans_10,KMeans_15,KMeans_20,Hierarchical_10,Hierarchical_20,HDBSCAN
SAL10001,Aarons Pass,0,8,4,3,4,7,0
SAL10002,Abbotsbury,4,6,9,18,3,14,-1
SAL10003,Abbotsford (NSW),1,5,5,1,1,5,-1
SAL10004,Abercrombie,0,0,0,8,4,12,-1
SAL10005,Abercrombie River,0,8,4,3,4,7,0
SAL10006,Aberdare,0,8,4,3,3,14,0
SAL10007,Aberdeen (NSW),0,8,4,3,3,14,-1
SAL10008,Aberfoyle,0,0,0,8,4,12,0
SAL10009,Aberglasslyn,4,6,9,15,3,18,-1
SAL10010,Abermain,0,0,0,8,3,14,0
SAL10011,Abernethy,0,0,0,8,4,12,0
SAL10012,Abington (NSW),0,0,0,8,4,12,0
SAL10013,Acacia Creek,0,8,4,3,4,7,0
SAL10014,Acacia Gardens,4,6,9,18,3,14,-1
SAL10015,Adaminaby,0,8,4,3,4,7,0
SAL10016,Adamstown,4,6,9,15,3,9,-1
SAL10017,Adamstown Heights,4,5,9,19,1,11,-1
SAL10018,Adelong,0,8,4,3,4,7,0
SAL10019,Adjungbilly,0,0,0,8,4,12,0
SAL10020,Afterlee,0,8,4,3,4,7,0
SAL10021,Agnes Banks,0,0,0,8,4,12,0
SAL10022,Airds,0,8,4,3,3,14,-1
SAL10023,Akolele,0,8,4,3,4,7,0
SAL10024,Albert,0,8,4,3,4,7,0
SAL10025,Albion Park,1,5,10,15,3,18,-1
SAL10026,Albion Park Rail,4,6,9,18,3,14,-1
SAL10027,Albury,4,5,5,1,1,16,-1
SAL10028,Aldavilla,0,8,4,3,4,7,0
SAL10029,Alectown,0,8,4,3,4,7,0
SAL10030,Alexandria,3,4,1,2,0,0,-1
SAL10031,Alfords Point,4,6,9,18,3,14,-1
SAL10032,Alfredtown,0,0,0,8,4,12,0
SAL10033,Alice,0,8,4,3,4,7,0
SAL10034,Alison (Central Coast - NSW),0,0,0,8,4,12,-1
SAL10035,Alison (Dungog - NSW),0,8,4,3,4,7,0
SAL10036,Allambie Heights,1,5,10,1,1,16,-1
SAL10037,Allandale (NSW),0,0,0,8,4,12,0
SAL10038,Allawah,4,6,9,18,3,9,-1
SAL10039,Alleena,0,0,0,0,4,12,0
SAL10040,Allgomera,0,8,4,3,4,7,0
SAL10041,Allworth,0,8,4,3,4,7,0
SAL10042,Allynbrook,0,8,4,3,4,7,-1
SAL10043,Alma Park,0,8,4,3,4,7,0
SAL10044,Alpine,0,0,0,8,4,12,0
SAL10045,Alstonvale,0,0,0,8,4,12,0
SAL10046,Alstonville,4,6,9,1,3,9,-1
SAL10047,Alumy Creek,0,8,4,3,4,7,0
SAL10048,Amaroo (NSW),0,0,0,8,4,12,0
SAL10049,Ambarvale,4,6,9,18,3,9,-1
SAL10050,Amosfield,0,8,4,3,4,7,0
SAL10051,Anabranch North,0,0,0,8,4,12,-1
SAL10052,Anabranch South,0,8,4,0,4,12,0
SAL10053,Anambah,0,0,0,8,4,12,0
SAL10054,Ando,0,0,0,8,4,12,0
SAL10055,Anembo,0,8,4,3,4,7,0
SAL10056,Angledale,0,8,4,3,4,7,0
SAL10057,Angledool,0,8,4,3,4,12,-1
SAL10058,Anglers Reach,0,8,4,3,4,7,0
SAL10059,Angourie,0,8,4,3,4,7,0
SAL10060,Angus,0,0,0,8,4,12,0
SAL10061,Anna Bay,4,6,9,18,3,14,-1
SAL10062,Annandale (NSW),3,4,1,2,0,0,-1
SAL10063,Annangrove,0,0,0,8,4,12,-1
SAL10064,Appin (NSW),0,0,0,18,4,12,-1
SAL10065,Apple Tree Flat,0,0,0,8,4,7,0
SAL10066,Appleby,0,0,0,8,4,12,0
SAL10067,Appletree Flat,0,0,0,8,4,12,-1
SAL10068,Apsley (NSW),0,8,4,3,4,7,0
SAL10069,Arable,0,0,0,8,4,12,-1
SAL10070,Arakoon,0,8,4,3,4,7,-1
SAL10071,Araluen (NSW),0,8,4,3,4,7,0
SAL10072,Aratula (NSW),0,8,4,0,4,12,-1
SAL10073,Arcadia (NSW),4,0,9,18,3,14,-1
SAL10074,Arcadia Vale,0,0,0,8,4,7,0
SAL10075,Ardglen,0,8,4,3,4,7,0
SAL10076,Arding,0,8,4,3,4,7,0
SAL10077,Ardlethan,0,8,4,3,4,7,0
SAL10078,Argalong,0,0,0,0,4,12,0
SAL10079,Argenton,0,8,4,3,4,7,0
SAL10080,Argents Hill,0,8,4,3,4,7,0
SAL10081,Argoon,0,0,0,0,4,12,0
SAL10082,Ariah Park,0,8,4,3,4,7,0
SAL10083,Arkell,0,8,4,3,4,7,0
SAL10084,Arkstone,0,0,0,0,4,19,0
SAL10085,Armatree,0,8,4,3,4,7,0
SAL10086,Armidale,3,2,14,17,5,2,-1
SAL10087,Arncliffe,1,5,10,13,1,5,-1
SAL10088,Arndell Park,0,0,0,8,4,12,-1
SAL10089,Arrawarra,0,8,4,3,4,7,0
SAL10090,Arrawarra Headland,0,0,0,8,4,7,0
SAL10091,Artarmon,1,4,1,19,1,11,-1
SAL10092,Arthurville,0,0,0,8,4,12,0
SAL10093,Arumpo,0,0,0,8,4,12,0
SAL10094,Ashbury,4,6,9,18,3,14,-1
SAL10095,Ashby (NSW),0,8,4,3,4,7,0
SAL10096,Ashby Heights,0,8,4,3,4,7,0
SAL10097,Ashby Island,0,8,4,3,4,7,0
SAL10098,Ashcroft,0,8,4,0,3,14,-1
SAL10099,Ashfield (NSW),3,9,8,2,5,2,-1
SAL10100,Ashford (NSW),0,8,4,3,4,7,0
SAL10101,Ashley,0,0,0,8,4,12,0
SAL10102,Ashmont,0,8,4,3,3,14,-1
SAL10103,Ashtonfield,4,6,9,18,3,14,-1
SAL10104,Asquith,4,5,10,15,3,9,-1
SAL10105,Atholwood,0,8,4,3,4,7,0
SAL10106,Attunga,0,8,4,3,4,7,0
SAL10107,Auburn (NSW),3,4,8,10,0,0,-1
SAL10108,Auburn Vale,0,0,0,8,4,7,0
SAL10109,Austinmer,4,6,9,1,1,16,-1
SAL10110,Austral,4,6,9,18,3,9,-1
SAL10111,Austral Eden,0,8,4,3,4,7,0
SAL10112,Avalon Beach,1,2,6,7,5,17,-1
SAL10113,Avisford,0,8,4,3,4,7,0
SAL10114,Avoca (NSW),0,0,0,8,4,12,0
SAL10115,Avoca Beach,4,6,9,1,3,9,-1
SAL10116,Avon (NSW),0,3,2,11,6,13,1
SAL10117,Avondale (NSW),0,0,0,8,3,14,0
SAL10118,Avonside,0,0,0,8,4,12,0
SAL10119,Awaba,0,0,0,8,4,12,0
SAL10120,Aylmerton,0,0,0,8,4,7,0
SAL10121,Baan Baa,0,8,4,3,4,7,0
SAL10122,Babinda (NSW),0,8,4,3,4,7,0
SAL10123,Babyl Creek,0,8,4,3,4,7,0
SAL10124,Back Creek (Bland - NSW),0,0,0,8,4,12,0
SAL10125,Back Creek (Gwydir - NSW),0,8,4,0,4,7,0
SAL10126,Back Creek (Mid-Coast - NSW),0,8,4,3,4,7,0
SAL10127,Back Creek (Queanbeyan-Palerang Regional - NSW),0,8,4,3,4,7,0
SAL10128,Back Creek (Tenterfield - NSW),0,8,4,3,4,7,0
SAL10129,Back Creek (Tweed - NSW),0,8,4,3,4,7,0
SAL10130,Back Forest,0,0,0,8,4,12,-1
SAL10131,Backmede,0,0,0,8,4,12,0
SAL10132,Backwater,0,8,4,3,4,7,0
SAL10133,Badgerys Creek,0,8,4,3,4,12,0
SAL10134,Badja,0,8,4,3,4,7,0
SAL10135,Baerami,0,8,4,3,4,7,0
SAL10136,Baerami Creek,0,8,4,3,4,7,0
SAL10137,Bagnoo,0,8,4,3,4,7,0
SAL10138,Bago,0,0,0,8,4,12,0
SAL10139,Bagotville,0,0,0,8,4,12,0
SAL10140,Bakers Creek (Mid-Coast - NSW),0,8,4,3,4,7,0
SAL10141,Bakers Creek (Nambucca Valley - NSW),0,8,4,3,4,7,0
SAL10142,Bakers Creek (Uralla - NSW),0,8,4,3,4,12,0
SAL10143,Bakers Swamp,0,0,0,8,4,7,0
SAL10144,Balaclava (NSW),0,0,0,8,4,12,0
SAL10145,Balala,0,8,4,3,4,7,0
SAL10146,Balcolyn,0,0,0,8,4,7,-1
SAL10147,Bald Blair,0,8,4,0,4,7,0
SAL10148,Bald Hills (NSW),0,8,4,8,4,7,0
SAL10149,Bald Nob,0,8,4,3,4,7,0
SAL10150,Bald Ridge,0,0,0,0,4,7,0
SAL10151,Baldersleigh,0,8,4,3,4,7,0
SAL10152,Baldry,0,0,0,0,4,7,0
SAL10153,Balfours Peak,0,8,4,3,4,7,0
SAL10154,Balgowlah,1,5,5,7,1,16,-1
SAL10155,Balgowlah Heights,4,5,5,1,1,16,-1
SAL10156,Balgownie,4,6,9,1,1,16,-1
SAL10157,Balickera,0,0,0,0,4,12,0
SAL10158,Balladoran,0,8,4,3,4,7,0
SAL10159,Ballalaba,0,8,4,3,4,7,0
SAL10160,Balldale,0,8,4,3,4,7,0
SAL10161,Ballengarra,0,0,0,8,4,7,0
SAL10162,Ballimore,0,0,0,8,4,12,0
SAL10163,Ballina,4,6,5,19,1,11,-1
SAL10164,Ballyroe,0,8,4,3,4,7,0
SAL10165,Balmain,3,2,14,2,5,2,-1
SAL10166,Balmain East,4,6,9,1,3,14,-1
SAL10167,Balmoral (Lake Macquarie - NSW),0,0,0,8,4,12,0
SAL10168,Balmoral (Wingecarribee - NSW),0,0,0,8,4,12,0
SAL10169,Balranald,0,8,4,3,4,7,0
SAL10170,Bamarang,0,8,4,3,4,7,0
SAL10171,Banda Banda,0,3,2,11,6,13,1
SAL10172,Bandon Grove,0,8,4,3,4,7,0
SAL10173,Bangadang,0,8,4,0,4,19,0
SAL10174,Bangalee (NSW),0,0,0,8,4,12,0
SAL10175,Bangalow,4,6,9,18,3,14,-1
SAL10176,Bangheet,0,8,4,3,4,7,0
SAL10177,Bango,0,0,0,8,4,12,0
SAL10178,Bangor (NSW),4,5,10,1,3,18,-1
SAL10179,Banksia,0,6,9,18,3,14,-1
SAL10180,Banksmeadow,0,0,0,8,4,12,-1
SAL10181,Bankstown,1,4,1,10,0,0,-1
SAL10182,Bankstown Aerodrome,0,8,4,3,4,12,-1
SAL10183,Bannaby,0,8,4,3,4,7,0
SAL10184,Bannister (NSW),0,0,0,8,4,12,0
SAL10185,Banoon,0,8,4,3,4,7,0
SAL10186,Banora Point,1,5,10,15,3,9,-1
SAL10187,Banyabba,0,8,4,3,4,7,0
SAL10188,Bar Beach,4,6,9,18,3,14,-1
SAL10189,Bar Point,0,8,4,3,4,7,0
SAL10190,Bara,0,8,4,3,4,7,0
SAL10191,Baradine,0,8,4,3,4,7,0
SAL10192,Barangaroo,4,0,0,8,4,12,-1
SAL10193,Barcoongere,0,3,2,11,4,7,1
SAL10194,Barden Ridge,4,6,9,18,3,14,-1
SAL10195,Bardia,4,6,9,18,3,9,-1
SAL10196,Bardwell Park,4,6,9,18,3,14,-1
SAL10197,Bardwell Valley,4,6,9,18,3,14,-1
SAL10198,Barellan,0,8,4,3,4,7,-1
SAL10199,Bargo,4,6,9,18,3,14,-1
SAL10200,Barham,0,8,4,3,4,7,-1
SAL10201,Barigan,0,3,2,11,6,13,1
SAL10202,Barkers Vale,0,8,4,3,4,7,0
SAL10203,Barmedman,0,8,4,3,4,7,0
SAL10204,Barneys Reef,0,3,2,11,6,13,1
SAL10205,Barnsley,0,0,0,8,3,14,-1
SAL10206,Barooga,0,8,4,3,3,14,0
SAL10207,Barraba,0,8,4,3,4,7,0
SAL10208,Barrack Heights,0,6,9,18,3,14,-1
SAL10209,Barrack Point,0,0,0,8,4,12,-1
SAL10210,Barraganyatti,0,8,4,3,4,7,0
SAL10211,Barragga Bay,0,8,4,3,4,7,0
SAL10212,Barratta (NSW),0,0,0,8,4,12,0
SAL10213,Barren Grounds,0,3,2,11,6,13,1
SAL10214,Barrengarry,0,0,0,8,4,12,0
SAL10215,Barretts Creek,0,8,4,3,4,7,0
SAL10216,Barringella,0,0,0,8,4,12,-1
SAL10217,Barrington (NSW),0,8,4,3,4,7,0
SAL10218,Barrington Tops,0,8,4,3,4,7,0
SAL10219,Barry (Blayney - NSW),0,8,4,3,4,7,0
SAL10220,Barry (Tamworth Regional - NSW),0,3,2,11,4,7,1
SAL10221,Barwang,0,0,0,8,4,12,0
SAL10222,Baryulgil,0,8,4,0,4,7,0
SAL10223,Basin View,0,8,4,3,3,14,0
SAL10224,Bass Hill,4,6,9,15,3,9,-1
SAL10225,Bassendean (NSW),0,8,4,0,4,19,-1
SAL10226,Batar Creek,0,0,0,8,4,7,0
SAL10227,Bateau Bay,4,5,10,15,3,9,-1
SAL10228,Batehaven,0,8,4,3,3,14,-1
SAL10229,Batemans Bay,0,8,4,3,3,9,-1
SAL10230,Bathampton,0,0,0,8,4,7,0
SAL10231,Bathurst,4,6,9,1,1,16,-1
SAL10232,Batlow,0,8,4,3,4,7,0
SAL10233,Baulkham Hills,2,9,3,9,2,6,-1
SAL10234,Baw Baw (NSW),0,0,0,8,4,12,0
SAL10235,Bawley Point,0,8,4,3,3,14,-1
SAL10236,Baxters Ridge,0,3,2,11,6,13,1
SAL10237,Bayview (NSW),4,5,5,1,1,16,-1
SAL10238,Beacon Hill,1,5,10,1,1,16,-1
SAL10239,Beaconsfield (NSW),4,0,0,18,4,12,-1
SAL10240,Bean Creek,0,8,4,3,4,7,0
SAL10241,Bearbong,0,0,0,8,4,12,0
SAL10242,Beaumont (NSW),0,0,0,8,4,7,0
SAL10243,Beaumont Hills,1,5,10,13,1,5,-1
SAL10244,Beckom,0,8,4,3,4,7,0
SAL10245,Bective,0,8,4,8,4,7,0
SAL10246,Bectric,0,8,4,3,4,7,0
SAL10247,Bedgerabong,0,8,4,3,4,7,0
SAL10248,Beechwood,0,0,0,8,4,7,0
SAL10249,Beecroft,3,2,14,17,5,2,-1
SAL10250,Beecroft Peninsula,0,8,4,3,4,7,0
SAL10251,Beelbangera,0,0,0,8,4,12,0
SAL10252,Beemunnel,0,0,0,8,4,12,0
SAL10253,Bega,4,6,9,18,3,9,-1
SAL10254,Beggan Beggan,0,0,0,8,4,12,0
SAL10255,Belanglo,0,0,0,8,4,12,-1
SAL10256,Belbora,0,8,4,3,4,7,0
SAL10257,Belfield,4,6,9,15,3,9,-1
SAL10258,Belford,0,0,0,8,4,12,0
SAL10259,Belfrayden,0,8,4,3,4,7,0
SAL10260,Belgravia,0,0,0,8,4,12,0
SAL10261,Belimbla Park,0,0,0,8,4,12,0
SAL10262,Bell (NSW),0,8,4,3,4,7,0
SAL10263,Bella Vista,1,5,5,7,1,5,-1
SAL10264,Bellambi,0,6,9,18,3,14,-1
SAL10265,Bellangry,0,8,4,3,4,7,0
SAL10266,Bellata,0,8,4,3,4,7,0
SAL10267,Bellawongarah,0,0,0,8,4,7,-1
SAL10268,Bellbird,0,0,0,8,4,12,-1
SAL10269,Bellbird Heights,0,0,0,8,4,7,0
SAL10270,Bellbrook,0,8,4,3,4,7,0
SAL10271,Bellevue Hill,2,2,6,12,5,17,-1
SAL10272,Bellimbopinni,0,8,4,3,4,7,0
SAL10273,Bellingen,4,6,9,18,3,9,-1
SAL10274,Bellmount Forest,0,0,0,8,4,12,-1
SAL10275,Belltrees,0,0,0,8,4,12,0
SAL10276,Belmont (NSW),4,6,9,1,1,16,-1
SAL10277,Belmont North,4,6,9,18,3,14,-1
SAL10278,Belmont South,0,8,4,3,4,7,-1
SAL10279,Belmore,4,5,10,15,3,18,-1
SAL10280,Belmore River,0,8,4,3,4,7,0
SAL10281,Beloka,0,0,0,8,4,12,-1
SAL10282,Belowra,0,8,4,3,4,12,0
SAL10283,Belrose,1,5,5,7,1,16,-1
SAL10284,Bemboka,0,8,4,3,4,7,0
SAL10285,Ben Bullen,0,8,4,3,4,7,0
SAL10286,Ben Lomond (NSW),0,8,4,3,4,7,0
SAL10287,Benandarah,0,8,4,3,4,7,0
SAL10288,Bendalong,0,8,4,3,4,7,0
SAL10289,Bendemeer,0,8,4,3,4,7,0
SAL10290,Bendick Murrell,0,8,4,3,4,7,0
SAL10291,Bendolba,0,0,0,8,4,7,0
SAL10292,Bendoura,0,8,4,8,4,7,0
SAL10293,Benerembah,0,0,0,8,4,12,0
SAL10294,Bengalla,0,8,4,3,4,7,0
SAL10295,Bennetts Green,0,8,4,3,4,7,0
SAL10296,Benolong,0,0,0,8,4,12,0
SAL10297,Bensville,4,6,9,18,3,14,-1
SAL10298,Bentley (NSW),0,8,4,3,4,7,0
SAL10299,Berala,4,6,9,18,3,9,-1
SAL10300,Berambing,0,0,0,8,4,12,0
SAL10301,Beresfield,0,8,4,3,3,14,-1
SAL10302,Bergalia,0,0,0,8,4,7,0
SAL10303,Berkeley,4,6,9,18,3,14,-1
SAL10304,Berkeley Vale,4,6,9,18,3,9,-1
SAL10305,Berkshire Park,0,0,0,8,4,12,-1
SAL10306,Berlang,0,3,2,11,6,13,1
SAL10307,Bermagui,0,8,4,18,3,14,-1
SAL10308,Berowra,4,6,9,1,1,16,-1
SAL10309,Berowra Heights,4,6,9,1,1,16,-1
SAL10310,Berowra Waters,0,0,0,8,4,12,-1
SAL10311,Berrambool,0,8,4,3,4,7,0
SAL10312,Berrara,0,8,4,3,4,7,0
SAL10313,Berremangra,0,8,4,3,4,7,0
SAL10314,Berrico,0,8,4,3,4,7,0
SAL10315,Berridale,0,8,4,3,3,14,0
SAL10316,Berrigal,0,8,4,3,4,7,0
SAL10317,Berrigan,0,8,4,3,4,7,0
SAL10318,Berrilee,0,0,0,8,4,12,0
SAL10319,Berrima,0,0,0,8,3,14,-1
SAL10320,Berringer Lake,0,8,4,3,4,7,0
SAL10321,Berry,4,6,9,1,3,14,-1
SAL10322,Berry Jerry,0,0,0,8,4,12,0
SAL10323,Berry Mountain,0,0,0,8,4,12,-1
SAL10324,Berry Park,0,8,4,3,4,7,0
SAL10325,Berthong,0,0,0,0,4,19,0
SAL10326,Beryl,0,8,4,8,4,7,0
SAL10327,Bethungra,0,8,4,3,4,7,0
SAL10328,Bevendale,0,8,4,3,4,7,0
SAL10329,Beverley Park,4,6,9,18,3,14,-1
SAL10330,Beverly Hills,1,5,10,15,1,5,-1
SAL10331,Bewong,0,0,0,8,4,12,0
SAL10332,Bexhill,0,0,0,8,4,7,0
SAL10333,Bexley,1,5,10,13,1,5,-1
SAL10334,Bexley North,4,6,9,18,3,14,-1
SAL10335,Biala,0,0,0,8,4,12,-1
SAL10336,Bibbenluke,0,8,4,3,4,7,0
SAL10337,Biddon,0,8,4,0,4,7,0
SAL10338,Bidgeemia,0,0,0,8,4,12,0
SAL10339,Bidwill (NSW),0,8,4,3,3,14,-1
SAL10340,Bielsdown Hills,0,8,4,3,4,7,0
SAL10341,Big Hill (NSW),0,0,0,8,4,12,0
SAL10342,Big Jacks Creek,0,0,0,8,4,12,0
SAL10343,Big Ridge,0,8,4,3,4,7,0
SAL10344,Big Springs,0,0,0,8,4,7,0
SAL10345,Bigga,0,8,4,3,4,7,0
SAL10346,Bilambil,0,0,0,8,4,7,0
SAL10347,Bilambil Heights,0,6,9,18,3,14,-1
SAL10348,Bilbul,0,0,0,8,4,7,0
SAL10349,Bilgola Beach,0,0,0,8,4,12,-1
SAL10350,Bilgola Plateau,4,6,9,1,1,16,-1
SAL10351,Billeroy,0,8,4,3,4,12,0
SAL10352,Billilingra,0,8,4,3,4,12,0
SAL10353,Billimari,0,8,4,3,4,7,0
SAL10354,Billinudgel,0,8,4,8,4,7,0
SAL10355,Billys Creek,0,8,4,3,4,7,0
SAL10356,Billywillinga,0,0,0,8,4,12,0
SAL10357,Bilpin,0,0,0,8,4,7,0
SAL10358,Bimberi,0,3,2,11,6,13,1
SAL10359,Bimbi,0,8,4,3,4,7,0
SAL10360,Bimbimbie,0,8,4,0,4,7,0
SAL10361,Binalong,0,8,4,3,4,7,0
SAL10362,Binda,0,8,4,3,4,7,0
SAL10363,Bindera,0,8,4,3,4,12,-1
SAL10364,Bingara,0,8,4,3,4,7,0
SAL10365,Bingeebeebra Creek,0,8,4,3,4,7,0
SAL10366,Bingie,0,8,4,3,4,7,0
SAL10367,Bingleburra,0,8,4,3,4,7,0
SAL10368,Biniguy,0,0,0,0,4,12,0
SAL10369,Binjura,0,0,0,8,4,12,0
SAL10370,Binna Burra (NSW),0,0,0,8,4,12,0
SAL10371,Binnaway,0,8,4,3,4,7,0
SAL10372,Binya,0,0,0,0,4,7,0
SAL10373,Birchgrove,1,5,5,7,1,16,-1
SAL10374,Birdwood (NSW),0,8,4,3,4,7,0
SAL10375,Birganbigil,0,8,4,0,4,7,0
SAL10376,Birmingham Gardens,0,0,0,8,3,9,-1
SAL10377,Birriwa,0,8,4,3,4,7,0
SAL10378,Birrong,0,0,0,18,3,14,-1
SAL10379,Bishops Bridge,0,0,0,8,4,12,0
SAL10380,Bithramere,0,8,4,3,4,7,0
SAL10381,Black Creek (Port Macquarie-Hastings - NSW),0,8,4,3,4,7,0
SAL10382,Black Creek (Snowy Valleys - NSW),0,0,0,0,4,19,-1
SAL10383,Black Head,0,8,4,3,4,7,-1
SAL10384,Black Hill (NSW),0,0,0,8,4,12,0
SAL10385,Black Hollow,0,8,4,3,4,12,0
SAL10386,Black Mountain (NSW),0,0,0,8,4,7,0
SAL10387,Black Range (NSW),0,0,0,8,4,12,0
SAL10388,Black Springs (NSW),0,0,0,8,4,7,0
SAL10389,Blackalls Park,0,8,4,18,3,14,-1
SAL10390,Blackbutt (NSW),4,6,9,18,3,14,-1
SAL10391,Blackett,0,8,4,3,3,14,0
SAL10392,Blackheath,4,6,5,1,1,16,-1
SAL10393,Blackmans Flat,0,0,0,8,4,12,-1
SAL10394,Blackmans Point,0,8,4,3,4,7,0
SAL10395,Blacksmiths,0,8,4,3,3,14,-1
SAL10396,Blacktown,3,9,8,9,0,0,-1
SAL10397,Blackville,0,8,4,3,4,7,0
SAL10398,Blackwall (NSW),0,0,0,18,3,14,-1
SAL10399,Blair Athol (NSW),0,0,0,18,3,14,-1
SAL10400,Blairmount,0,0,0,8,4,12,0
SAL10401,Blakebrook,0,0,0,8,4,7,0
SAL10402,Blakehurst,1,5,5,1,1,5,-1
SAL10403,Blakney Creek,0,0,0,8,4,12,0
SAL10404,Bland,0,0,0,0,4,7,0
SAL10405,Blandford,0,8,4,3,4,7,0
SAL10406,Blaxland (NSW),1,5,5,1,1,5,-1
SAL10407,Blaxlands Creek,0,8,4,3,4,7,0
SAL10408,Blaxlands Ridge,0,0,0,8,4,12,0
SAL10409,Blayney,0,8,4,18,3,9,-1
SAL10410,Bligh Park,4,6,9,18,3,9,-1
SAL10411,Blighty,0,8,4,0,4,7,0
SAL10412,Blowering,0,8,4,3,4,7,-1
SAL10413,Blue Bay,0,8,4,3,3,14,-1
SAL10414,Blue Haven,4,6,9,18,3,9,-1
SAL10415,Blue Knob,0,8,4,3,4,7,0
SAL10416,Blue Mountains National Park,0,8,4,3,4,7,-1
SAL10417,Blue Nobby,0,8,4,3,4,7,0
SAL10418,Blue Vale,0,0,0,8,4,12,0
SAL10419,Blueys Beach,0,8,4,3,4,7,0
SAL10420,Boambee,0,0,9,18,3,14,-1
SAL10421,Boambee East,4,6,9,18,3,9,-1
SAL10422,Boambolo,0,0,0,8,4,12,0
SAL10423,Boat Harbour (Lismore - NSW),0,0,0,8,4,12,-1
SAL10424,Boat Harbour (Port Stephens - NSW),0,0,0,8,4,12,-1
SAL10425,Bobadah,0,0,0,8,4,12,0
SAL10426,Bobin,0,8,4,3,4,7,0
SAL10427,Bobs Creek,0,0,0,8,4,7,0
SAL10428,Bobs Farm,0,8,4,3,4,7,0
SAL10429,Bobundara,0,8,4,3,4,7,0
SAL10430,Boco,0,0,0,8,4,12,-1
SAL10431,Bocoble,0,8,4,3,4,7,0
SAL10432,Bocobra,0,8,4,3,4,7,0
SAL10433,Bodalla,0,8,4,3,4,7,0
SAL10434,Bodangora,0,8,4,3,4,7,0
SAL10435,Boeill Creek,0,0,0,8,4,12,0
SAL10436,Bogan,0,0,0,8,4,12,0
SAL10437,Bogan Gate,0,8,4,3,4,7,0
SAL10438,Bogangar,4,6,9,18,3,14,-1
SAL10439,Bogee,0,8,4,3,4,7,0
SAL10440,Boggabilla,0,8,4,0,4,7,0
SAL10441,Boggabri,0,8,4,3,3,14,-1
SAL10442,Bogong Peaks Wilderness,0,3,2,11,6,13,1
SAL10443,Bohena Creek,0,0,0,8,4,12,0
SAL10444,Bohnock,0,8,4,3,4,7,0
SAL10445,Bolaro,0,8,4,3,4,7,0
SAL10446,Bolivia,0,8,4,3,4,7,0
SAL10447,Bolong,0,0,0,8,4,7,0
SAL10448,Bolton Point,0,8,4,3,3,14,-1
SAL10449,Bolwarra (NSW),0,0,0,18,4,12,-1
SAL10450,Bolwarra Heights,4,6,9,18,3,14,-1
SAL10451,Bom Bom,0,8,4,3,4,7,-1
SAL10452,Bomaderry,4,6,9,18,3,9,-1
SAL10453,Bombah Point,0,0,0,8,4,12,-1
SAL10454,Bombala,0,8,4,3,4,7,0
SAL10455,Bombay,0,0,0,8,4,7,0
SAL10456,Bombira,0,0,0,8,4,12,-1
SAL10457,Bombo,0,0,0,8,4,12,0
SAL10458,Bombowlee,0,0,0,8,4,12,0
SAL10459,Bombowlee Creek,0,0,0,8,4,12,0
SAL10460,Bomen,0,0,0,8,4,12,0
SAL10461,Bonalbo,0,8,4,3,4,7,0
SAL10462,Bondi,1,4,1,2,0,0,-1
SAL10463,Bondi Beach,3,4,1,2,0,0,-1
SAL10464,Bondi Forest,0,3,2,11,4,7,-1
SAL10465,Bondi Junction,3,2,6,12,5,17,-1
SAL10466,Bonnells Bay,4,6,9,18,3,14,-1
SAL10467,Bonnet Bay,4,6,9,18,3,14,-1
SAL10468,Bonny Hills,4,6,9,18,3,14,-1
SAL10469,Bonnyrigg,4,6,9,18,3,9,-1
SAL10470,Bonnyrigg Heights,4,6,9,18,3,14,-1
SAL10471,Bonshaw (NSW),0,8,4,3,4,7,0
SAL10472,Bonville,0,6,9,18,3,14,-1
SAL10473,Booerie Creek,0,8,4,3,4,7,0
SAL10474,Book Book,0,0,0,8,4,12,0
SAL10475,Booker Bay,0,8,4,3,3,14,-1
SAL10476,Bookham,0,8,4,3,4,7,0
SAL10477,Bookookoorara,0,3,2,11,6,13,1
SAL10478,Bookram,0,3,2,11,6,13,1
SAL10479,Boolambayte,0,8,4,3,4,7,0
SAL10480,Boolaroo,0,0,0,8,3,14,-1
SAL10481,Boolcarroll,0,0,0,8,4,12,0
SAL10482,Booligal,0,0,0,8,4,12,0
SAL10483,Boolijah,0,3,2,11,6,13,1
SAL10484,Boomanoomana,0,0,0,8,4,12,0
SAL10485,Boomerang Beach,0,8,4,3,4,7,0
SAL10486,Boomey,0,0,0,8,4,12,-1
SAL10487,Boomi,0,8,4,0,4,7,0
SAL10488,Boomi Creek,0,8,4,3,4,7,0
SAL10489,Boona Mount,0,0,0,8,4,12,-1
SAL10490,Boonal,0,0,0,0,4,12,0
SAL10491,Boonoo Boonoo,0,8,4,3,4,7,0
SAL10492,Boorabee Park,0,0,0,8,4,12,0
SAL10493,Booragul,0,8,4,3,3,14,0
SAL10494,Booral (NSW),0,0,0,8,4,7,-1
SAL10495,Boorga,0,0,0,8,4,12,0
SAL10496,Boorganna,0,8,4,3,4,7,0
SAL10497,Boorolong,0,8,4,3,4,7,0
SAL10498,Boorook,0,8,4,3,4,7,0
SAL10499,Boorooma,0,0,0,8,4,12,-1
SAL10500,Booroorban,0,8,4,0,4,7,0
SAL10501,Boorowa,0,8,4,3,3,14,0
SAL10502,Bootawa,0,8,4,3,4,7,0
SAL10503,Booti Booti,0,3,2,11,4,7,1
SAL10504,Booyong,0,0,0,8,4,12,0
