SAL_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,M_3000_3499_15_19_yrs,M_3000_3499_20_24_yrs,M_3000_3499_25_34_yrs,M_3000_3499_35_44_yrs,M_3000_3499_45_54_yrs,M_3000_3499_55_64_yrs,M_3000_3499_65_74_yrs,M_3000_3499_75_84_yrs,M_3000_3499_85ov,M_3000_3499_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,Suburb_Name,KMeans_10,anomaly_score,is_anomaly,age_zscore,income_zscore,population_zscore
SAL32611,17776,19005,36786,37,1647,666,410,1569,0.9,1268,2.1,15506,17083,32585,29,410,202,132,96,62,38,3,992,3,58,44,41,35,20,434,268,193,111,54,11,1998,34,174,128,122,99,63,22,5,0,3,44,50,40,24,13,8,0,183,0,4,20,23,34,16,9,6,0,116,0,5,70,73,73,42,21,13,0,304,Southport (Qld),4,-0.7743358172303634,True,-0.5478651818880954,-0.2923373311723053,8.703204640732876
SAL13998,6245,6611,12850,43,3484,1144,590,3486,0.8,3046,2.8,4975,5426,10401,3,84,266,261,190,107,53,20,986,0,7,32,47,43,14,548,477,307,181,88,19,1811,8,31,84,84,94,55,23,3,0,0,21,83,95,69,18,12,0,302,0,0,17,65,54,33,13,9,4,193,0,0,40,147,144,100,34,20,4,493,Turramurra,2,-0.7727656962014056,True,-0.0612167317190845,1.167763723790724,2.773230365730227
SAL22121,16417,17376,33790,37,2000,872,392,2345,0.9,1844,2.4,13797,14930,28727,19,405,459,215,113,52,4,0,1263,4,65,109,108,63,26,1032,497,258,89,15,0,2901,21,249,350,304,179,66,6,3,0,0,68,174,107,31,8,0,0,391,0,0,36,92,58,28,5,0,0,217,0,3,109,263,163,59,12,0,0,612,Preston (Vic.),9,-0.7727656962014056,True,-0.5478651818880954,0.33691124063184535,7.960966884720679
SAL10897,9425,9661,19082,43,3000,940,695,3098,0.8,2924,3.1,7573,7999,15571,4,99,417,387,235,172,57,10,1373,5,19,27,55,47,43,821,671,373,240,68,16,2451,5,35,89,130,115,81,22,5,0,0,33,119,161,87,18,0,0,428,0,0,16,68,57,32,3,0,0,180,0,0,47,188,216,123,29,0,0,604,Cherrybrook,2,-0.7722430303408213,True,-0.0612167317190845,0.544624361421565,4.3171641759665444
SAL21153,7024,7809,14834,36,2500,1244,415,3242,0.9,2253,2.3,5887,6744,12628,16,278,252,178,131,92,64,7,1017,0,38,54,53,44,23,556,369,254,180,100,20,2157,9,123,134,130,118,68,34,9,0,0,48,93,66,51,19,11,0,289,0,0,40,71,67,20,6,4,0,208,0,0,85,156,132,70,30,12,4,502,Hawthorn East,2,-0.7717207179892026,True,-0.6289732569162638,1.4732241955403116,3.264752297615473
SAL22343,9855,9635,19490,36,2000,1214,381,2737,1.0,1779,1.7,9204,8986,18192,12,374,304,176,140,80,38,0,1134,8,58,66,54,53,37,670,342,315,170,60,7,2421,12,166,145,155,140,76,15,0,0,0,65,92,69,34,7,3,0,279,0,0,44,74,73,31,12,0,0,236,0,6,111,168,144,65,19,0,0,513,St Kilda (Vic.),9,-0.771612438637193,True,-0.6289732569162638,1.3815860540154354,4.418243282926817
SAL10099,11275,11741,23012,36,2210,890,440,2256,1.0,1888,2.3,9905,10410,20315,12,486,356,187,140,79,34,13,1308,6,58,47,47,29,24,734,383,290,152,56,15,2725,13,162,130,111,69,58,20,6,0,0,53,83,77,25,8,0,0,246,0,3,28,56,52,27,3,0,0,172,0,3,86,137,130,49,8,4,0,419,Ashfield (NSW),9,-0.7711987589074509,True,-0.6289732569162638,0.39189412554677117,5.290793809186815
SAL13294,5516,6265,11775,41,3689,1224,630,3757,0.9,3379,2.9,4418,5040,9453,5,93,246,241,212,114,52,19,986,3,10,31,43,31,28,550,472,351,190,68,24,1898,3,27,88,107,80,74,27,3,0,0,25,81,71,50,26,8,5,269,0,0,15,55,55,37,14,8,0,178,0,0,45,136,124,86,37,15,5,453,Pymble,2,-0.7706771528566296,True,-0.22343288177542145,1.412132101190394,2.506906738322646
SAL20771,12032,12989,25020,40,2167,719,450,1958,0.8,1592,2.4,10206,11328,21530,29,390,374,177,160,113,59,14,1312,0,28,50,46,35,36,765,373,269,163,77,14,2596,4,95,140,118,99,85,37,7,0,0,27,90,66,36,19,9,0,244,0,0,23,36,37,21,5,7,3,124,0,0,49,126,102,53,21,15,0,368,Doncaster,2,-0.7701558995979635,True,-0.30454095680358995,-0.13044328114502382,5.788261570893254
SAL12514,13035,13537,26570,37,2600,1077,480,2714,1.0,2170,2.3,11159,11848,23012,5,356,340,228,129,79,21,0,1162,0,65,67,64,40,27,825,534,315,169,41,0,2712,4,189,174,153,117,64,15,0,0,0,84,132,118,43,14,4,0,391,0,0,56,126,72,31,4,0,0,294,0,0,145,251,191,76,15,4,0,684,Marrickville,9,-0.768074409714999,True,-0.5478651818880954,0.9631052077185002,6.1722630801786025
