SAL_CODE_2021,Suburb_Name,PCA_X,PCA_Y,PCA_Z,tSNE_X,tSNE_Y,UMAP_X,UMAP_Y,UMAP_Z
SAL13093,Olinda (NSW),-2.2962625396333642,0.1610907701013572,-0.4333964345618514,-54.779217,18.786964,-0.29226226,0.008721314,0.41131258
SAL13094,Olney,-2.589232584252714,-0.25470000586470437,-5.716893601960289,17.079073,-84.05253,16.651114,2.6081803,-0.8631713
SAL13095,Omadale,-2.6074205126682166,-0.1887028670006131,-5.596897277555232,-92.48105,-27.154789,3.9423773,-3.4260361,4.6832166
SAL13096,One Mile (NSW),-1.7127186655228983,0.31137080957559626,0.6948027003911573,7.1732755,12.98604,-0.65853345,6.189869,-0.8871712
SAL13097,One Tree,-2.2772654311610623,0.23592101408367336,-0.498162825120421,-58.77004,17.812431,-0.8463349,0.16288477,0.6664519
SAL13098,Oolong,-2.058192911379422,0.2112950313924784,1.020726095866074,0.8792421,35.816208,-2.1432898,5.1563344,-2.0907295
SAL13099,Ooma,-2.0426442817015684,0.25537406273724195,1.449460519303434,-36.02583,55.553665,-2.7151127,0.23811302,-0.6245343
SAL13100,Ootha,-2.244802318238088,0.16428273489997525,-0.6000975138938773,-34.8787,-6.01579,0.95483,2.5949311,0.3042107
SAL13101,Ophir,-2.013960464631569,0.21395258742545525,1.1948131796111157,10.391491,39.638454,-2.6609437,5.5211897,-1.9170607
SAL13102,Oran Park,11.95035876194705,-8.102040350677072,2.130691279270211,81.65049,-14.266359,-4.851228,18.12119,-3.0770874
SAL13103,Orange,48.07873373150479,6.0021967818544235,-5.88185346280444,99.928276,-1.5411172,-6.0190625,18.398006,-3.8601005
SAL13104,Orange Grove (NSW),-1.8941199609207549,0.2601328016350847,1.7043407095810965,18.251314,56.12789,-3.539107,5.903184,-1.6245598
SAL13105,Orangeville,-0.38273901959677237,0.15068317854783803,2.7030973514448418,39.628544,41.855564,-3.2589211,7.862831,-2.0029984
SAL13106,Orchard Hills,-0.0601992224859139,0.6758361270625827,1.8727514798287548,45.525043,5.6475744,-4.4741397,14.401848,-3.1016088
SAL13107,Orient Point,-1.9429956174754388,0.15539190056176208,-0.651228798851003,27.590849,-50.894096,0.1524571,8.710358,-1.2866757
SAL13108,Orton Park,-1.9249124906509774,0.3249360682657561,2.2175779547576626,29.38652,49.821926,-3.4347732,6.4743776,-1.9051414
SAL13109,Osborne (NSW),-2.2940171894390544,0.15978510222907621,-0.26878035646626597,-54.01441,20.332872,-0.43653584,-0.09956544,0.31303808
SAL13110,Osterley (NSW),-1.9361434623589746,0.3002949648465262,2.041776842212435,29.723732,49.33225,-3.283723,6.463015,-1.8819996
SAL13111,Oswald,-1.870422184450102,0.3527860270046859,2.230583574279364,17.692114,56.88053,-3.6096985,5.732266,-1.3447537
SAL13112,Otford,-0.8633842851560045,0.16868582776241642,2.974777561349254,32.104843,55.538574,-3.5309937,7.3289933,-1.8946387
SAL13113,Oura,-2.0461535770188397,0.13945585146778985,0.6944486674839636,-5.8188915,46.011566,-2.4443083,4.366622,-1.929413
SAL13114,Ourimbah,1.644467387104542,-0.9174069792589097,1.4481843844902975,46.95812,16.80504,-2.3542607,10.308069,-1.7898769
SAL13115,Ournie,-2.2570638734676054,0.17922613279581906,-0.48813821378685845,-38.18878,5.4400797,0.7013393,1.5523913,0.21211559
SAL13116,Owens Gap,-1.9861694532650964,0.25786864469166026,1.1097444684393551,10.945402,55.027668,-3.2098184,5.213229,-1.420988
SAL13117,Oxford Falls,-1.911373964304138,0.34854474689711434,0.5385612246730245,18.906849,-2.9328558,-0.46268496,6.5355268,-2.2016015
SAL13118,Oxley (Balranald - NSW),-1.8019631820993798,0.5083430132491193,2.89911221837779,0.7353552,79.980194,4.247107,6.454874,0.60155684
SAL13119,Oxley (Warren - NSW),-2.291102155673434,0.09354310952289886,-1.1804745907161296,-52.813526,43.25576,-1.4277396,-0.04203775,-0.40304428
SAL13120,Oxley Island,-2.0801884045389056,0.12589086499950283,0.31854171907874684,1.5961634,-9.948884,-0.2002116,4.876246,-1.3650235
SAL13121,Oxley Park,0.07117572894979189,-1.3549004606557469,0.6543556251482523,38.93467,-6.934122,-1.6380916,9.566343,-1.2525134
SAL13122,Oxley Vale,0.47667263138501254,-0.6010647350264691,-0.18323314984812622,39.967644,-30.263712,-1.4701817,10.118118,-1.5939025
SAL13123,Oyster Bay,9.640885547317865,0.26067238087561156,4.347316618639828,77.77498,-5.7500024,-4.81647,17.057127,-3.1536965
SAL13124,Oyster Cove (NSW),-2.2099645352341515,0.18121880266787593,-0.3213059188298812,-10.610832,-39.597836,2.011896,4.4793158,-0.28833735
SAL13125,Packsaddle,-2.2456177854349395,0.07654270750230006,-0.39106359670588675,-44.059944,6.54664,-0.64477026,2.7425249,-1.1369653
SAL13126,Paddington (NSW),48.526396945748466,12.755829306284358,-5.053113454088041,101.43051,-2.774218,-5.995911,18.265392,-3.914929
