SA2_CODE,SA3_CODE,state,total_population,total_commuters,total_car,total_public_transit,total_active_transport,sa2_employment,sa2_employment_density,tod_score,car_dependency_ratio,public_transit_ratio,active_transport_ratio,sa1_count,tod_category
101021007,10102,NSW,4349,1362,1192,0,117,2010,0.4628137232327884,74.89960484596318,0.8807707011492616,0.0,0.08237429854726003,10,High
101021008,10102,NSW,8514,3618,3448,31,65,4315,0.5066337912410473,81.67775992544003,0.9104594344859819,0.009214895985399547,0.01721176674513103,23,Very High
101021009,10102,NSW,11326,5061,4575,175,216,6248,0.550872861929113,85.35638141671316,0.8885994476105213,0.03373105364884636,0.05772724257009371,26,Extreme
101021010,10102,NSW,5067,2378,2178,38,92,2925,0.5752212389380531,81.84753355817286,0.9260555183120905,0.00976995162110543,0.02807686806703553,16,Very High
101021012,10102,NSW,12751,5812,5607,56,56,7404,0.5809792843691148,85.11868631605363,0.896046559065038,0.007623516397683428,0.013866145240941641,32,Extreme
101021610,10102,NSW,6223,2767,2669,23,34,3619,0.5814588688946015,90.22486363689599,0.965078347281229,0.006241609873595574,0.012829547927589306,15,Extreme
101021611,10102,NSW,16548,6723,6371,21,137,9026,0.545740371243727,83.72720747129094,0.9499590751654381,0.0025059283621762475,0.02127764859620729,46,Very High
101031013,10103,NSW,2454,813,741,0,56,1100,0.4482477587612062,67.8057616237308,0.9078267970564672,0.0,0.07058469881020948,8,High
101031014,10103,NSW,6768,2402,2139,9,212,3043,0.4500813489128827,73.12968517029138,0.9011867473324003,0.0026099812926196333,0.08201678170404267,18,High
101031015,10103,NSW,3450,1224,1117,5,59,1725,0.496831797235023,60.762381136985745,0.8049684659527087,0.003968253968253966,0.05225854925243931,18,Medium
101031016,10103,NSW,8033,3282,2782,35,379,4699,0.5848164281269446,71.95432501013399,0.7573680045452293,0.01467300955213974,0.1462808743190019,23,High
101041017,10104,NSW,8581,2359,2181,17,107,3071,0.3578836965388649,53.627861973856824,0.8040403937642765,0.005605441189001199,0.043096146958666044,23,Medium
101041018,10104,NSW,8941,2446,2348,31,43,3277,0.3666368315059297,59.052273907904144,0.9213874616078876,0.010941386401109596,0.01679702025192216,24,Medium
101041019,10104,NSW,8893,2948,2661,0,234,3838,0.4325969341749324,59.991453826643735,0.8747801320422706,0.0,0.07088355239595313,26,Medium
101041020,10104,NSW,9553,3000,2712,10,149,4238,0.4434445955843884,53.5481727123455,0.7824608515417134,0.003497009453984178,0.04990569024895794,32,Medium
101041021,10104,NSW,3794,1125,1022,3,77,1538,0.4055907172995781,65.3479280339199,0.897037872933726,0.0021551724137931,0.08360366121246643,8,High
101041022,10104,NSW,43,9,9,0,0,13,0.3023255813953488,52.17547377271845,1.0,0.0,0.0,1,Medium
101041023,10104,NSW,3420,974,877,4,62,1210,0.3532846715328467,53.33927673447046,0.8088796151355495,0.0033333333333333296,0.05743903227844553,10,Medium
101041024,10104,NSW,3512,1072,980,0,59,1501,0.4258156028368794,57.70488342950828,0.9167379408882059,0.0,0.05295955735338995,12,Medium
101041025,10104,NSW,11504,3573,3263,7,220,4791,0.416138278467819,58.65925011350151,0.8447453262492896,0.0014101690049876192,0.06894244943660127,31,Medium
101041026,10104,NSW,8610,2509,2329,0,113,3286,0.3820930232558139,59.960684241191686,0.934175071538794,0.0,0.04319244421936182,25,Medium
101041027,10104,NSW,9886,2419,2184,3,189,3401,0.3439522653721683,51.46840114050424,0.8264981076368082,0.0015151515151515134,0.06123781581859084,30,Medium
101051539,10105,NSW,24570,8651,8183,27,357,10870,0.4424994911459393,66.76840237228207,0.9160479710565862,0.0020467875767604857,0.044586214918955536,69,High
101051540,10105,NSW,13821,4535,4051,12,255,6454,0.4663631765300961,67.9856672500719,0.8898971952376558,0.003471230389388953,0.05848751547780845,34,High
101061541,10106,NSW,6775,2424,2208,33,130,3216,0.4755286115629158,70.4118795086153,0.8491496831250482,0.010829894936355569,0.05503369696383102,16,High
101061542,10106,NSW,12706,4693,4337,10,179,6827,0.5370093604971289,72.82220760145783,0.892653224859698,0.0013943838542848025,0.04117907269122081,37,High
101061543,10106,NSW,11011,3694,3428,0,185,4523,0.4110323518720465,65.42510705106172,0.8854653064051035,0.0,0.059544610916392765,30,High
101061544,10106,NSW,7649,2382,2076,0,191,3260,0.4246450436368373,63.24286574087145,0.8774261831136111,0.0,0.07582194448741131,22,Medium
102011028,10201,NSW,7520,1810,1696,43,38,3731,0.4966058831358977,64.75672291740376,0.884983610380366,0.0234034616262033,0.019111224444466432,18,Medium
102011029,10201,NSW,11053,2327,2205,47,28,4844,0.4386886433617098,58.20097752058029,0.880304037851534,0.016064929635806333,0.014540325792475283,28,Medium
102011030,10201,NSW,4722,1219,986,16,128,2292,0.4860050890585242,58.981897004829584,0.8091603780122856,0.015053696303696299,0.10834664970665261,13,Medium
102011031,10201,NSW,14777,3029,2872,48,86,5897,0.3995798888738311,59.97317882698226,0.9508188732941449,0.01414768090156463,0.02840986690982642,38,Medium
102011032,10201,NSW,21212,5716,4818,530,297,10256,0.4836823240897944,64.10524819307943,0.8390952285796054,0.07663598923366476,0.050822878471925785,46,Medium
102011033,10201,NSW,6480,1918,1815,24,29,3346,0.5159599074787973,64.36905147816798,0.8592796852275526,0.009599854900071435,0.009545004081413625,20,Medium
102011034,10201,NSW,7619,1684,1626,13,31,3048,0.4002626395272488,61.59103567268973,0.9600761064140251,0.00589800368783099,0.02666952468891525,19,Medium
102011035,10201,NSW,7159,1902,1806,64,9,3532,0.4935028643286293,69.45451223013158,0.9504756215982343,0.029792405155421024,0.01066000094067477,17,High
102011036,10201,NSW,8221,2245,2090,68,37,4020,0.489945155393053,66.48431625015711,0.929308955122062,0.026874277717951187,0.014995082991091374,22,High
102011037,10201,NSW,6560,1436,1285,126,14,2975,0.452746918277279,61.95188335630553,0.8929165836064704,0.08696876252432728,0.012980390466542178,14,Medium
102011038,10201,NSW,7157,1776,1714,7,13,3359,0.4691340782122905,67.85531243165256,0.9643117113669258,0.004014743563393206,0.007035932586962306,17,High
102011039,10201,NSW,14867,3515,3346,18,90,7162,0.4823220418883426,67.1660790526742,0.9193965934685882,0.003931641183709994,0.028280572865061783,32,High
102011040,10201,NSW,24730,5115,4421,426,180,9792,0.396485403085395,55.95913843259874,0.8630149796964072,0.07117138936426728,0.033320403863820715,58,Medium
102011041,10201,NSW,10692,2675,2560,19,42,5178,0.4850585480093677,65.1251148445688,0.8804529726540755,0.006604757249918532,0.014147188777537695,25,High
102011042,10201,NSW,14337,3035,2467,400,128,5629,0.3923741809563641,51.23608304831257,0.7600898555123193,0.12820437217109426,0.0381362091457677,33,Medium
102011043,10201,NSW,11428,2684,2482,112,52,4798,0.4200297645101987,59.36085596944476,0.8974072592877088,0.03745409713022967,0.020693119933246903,30,Medium
102021044,10202,NSW,22831,5786,5530,52,75,9762,0.4276889375684556,61.44504187262275,0.927661124730658,0.007499214147752516,0.010885309824827692,59,Medium
102021045,10202,NSW,11298,3235,3120,38,26,4803,0.4254207263064659,66.82918653116154,0.9241577114734264,0.011209239118582173,0.007068848961290087,24,High
