feature,importance
public_housing_rate,0.662098701510905
unemployment_rate,0.14830006658141398
low_income_households,0.06064576166354873
Median_tot_hhd_inc_weekly,0.026646700484337465
labour_force_participation,0.021727997165528565
public_housing_dwellings,0.019217148008261506
Median_tot_prsnl_inc_weekly,0.01581416454833971
total_households,0.009511604289643118
low_income_pct,0.00886872884877312
Median_age_persons,0.007797533425761958
total_dwellings,0.007465167464271006
total_rental_dwellings,0.007339902649476146
Average_household_size,0.004566523359739637
