SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,is_sydney_metro
SAL12628,SAL12628,35,435,825,1800,201,2.8,166,191,705,137,507,1104,15.0,17.3,63.9,45.9,50.3,Extreme (>50%),36,24.4,Manageable (<30%),83,27.5,67.9,10.6,0.9,88.3,4.8,544,1104,27.1,23.1,27.1,3374,46.8,30.0,53.0,46.0,True
SAL12661,SAL12661,30,461,779,1235,215,1.7,15,9,100,61,33,127,11.8,7.1,78.7,26.0,36.6,Moderate (30-40%),0,27.6,Manageable (<30%),0,26.0,29.9,38.6,0.9,85.0,0.0,21,127,58.9,31.4,6.2,1179,60.4,38.7,59.3,45.9,True
SAL10837,SAL10837,35,426,826,1755,225,2.6,137,170,542,134,357,898,15.3,18.9,60.4,39.8,49.0,Severe (40-50%),29,27.2,Manageable (<30%),133,37.1,58.0,15.8,1.0,86.0,4.0,410,898,26.0,24.2,27.0,2616,46.0,32.1,51.0,45.5,True
SAL10394,SAL10394,58,580,737,2089,260,1.9,38,13,24,0,0,79,48.1,16.5,30.4,0.0,65.4,Extreme (>50%),3,35.3,Moderate (30-40%),0,0.0,40.5,35.4,0.9,84.8,6.3,9,79,16.9,16.9,61.8,178,31.3,40.0,47.0,45.3,True
SAL14053,SAL14053,44,542,850,1888,390,2.1,36,21,27,0,0,102,35.3,20.6,26.5,0.0,51.3,Extreme (>50%),14,45.9,Severe (40-50%),19,0.0,91.2,29.4,1.0,93.1,14.7,20,102,24.7,27.9,30.4,283,35.8,43.2,41.3,45.1,True
SAL10339,SAL10339,30,451,899,1733,200,2.8,122,183,923,106,783,1265,9.6,14.5,73.0,61.9,44.5,Severe (40-50%),36,22.2,Manageable (<30%),23,2.1,66.5,4.1,0.9,80.1,4.6,941,1265,29.2,21.3,22.5,4202,50.7,25.7,54.1,44.6,True
SAL10904,SAL10904,62,521,719,1950,245,1.8,571,88,131,16,0,828,69.0,10.6,15.8,0.0,62.6,Extreme (>50%),29,34.1,Moderate (30-40%),33,0.6,46.0,37.1,1.0,102.2,5.8,107,828,11.7,16.5,63.4,1639,22.0,43.8,41.1,44.2,True
SAL10229,SAL10229,53,539,791,1300,285,1.8,232,66,404,200,96,775,29.9,8.5,52.1,12.4,37.9,Moderate (30-40%),0,36.0,Moderate (30-40%),55,40.9,39.9,9.9,0.7,91.5,4.5,160,775,18.4,21.5,48.7,1573,42.3,33.5,43.6,43.7,True
SAL14524,SAL14524,43,448,900,2000,226,2.7,109,106,286,85,144,524,20.8,20.2,54.6,27.5,51.3,Extreme (>50%),25,25.1,Manageable (<30%),56,19.3,55.7,26.5,1.1,79.2,10.7,156,524,25.6,21.8,37.3,1675,42.4,33.5,50.0,43.6,True
SAL13489,SAL13489,69,541,687,1684,288,2.0,16,16,28,14,12,75,21.3,21.3,37.3,16.0,56.6,Extreme (>50%),0,41.9,Severe (40-50%),0,0.0,65.3,9.3,0.8,68.0,0.0,16,75,13.0,15.6,60.5,276,38.0,30.6,44.3,43.5,True
SAL14092,SAL14092,34,435,951,2167,210,3.0,316,426,1156,251,777,2000,15.8,21.3,57.8,38.8,52.6,Extreme (>50%),146,22.1,Manageable (<30%),435,17.8,72.9,10.2,1.0,77.6,9.4,840,2000,30.4,25.4,23.6,7051,44.2,27.2,52.3,43.4,True
SAL13834,SAL13834,50,599,971,1733,360,1.9,581,227,1182,931,128,2068,28.1,11.0,57.2,6.2,41.2,Severe (40-50%),43,37.1,Moderate (30-40%),395,52.9,26.2,8.3,0.8,74.0,5.5,593,2068,20.1,23.3,44.5,4244,45.2,30.0,46.6,43.3,True
SAL12381,SAL12381,54,497,570,78,215,1.3,67,0,97,0,0,179,37.4,0.0,54.2,0.0,3.2,Manageable (<30%),0,37.7,Moderate (30-40%),0,0.0,10.6,64.2,1.0,130.7,6.1,4,179,12.5,33.2,49.1,265,41.8,58.7,30.0,42.2,True
SAL14165,SAL14165,55,441,783,1465,270,2.1,38,16,15,15,0,74,51.4,21.6,20.3,0.0,43.2,Severe (40-50%),0,34.5,Moderate (30-40%),0,0.0,100.0,8.1,0.8,116.2,0.0,14,74,12.4,25.3,48.9,178,25.8,37.6,33.7,42.1,True
SAL12292,SAL12292,67,487,755,1365,315,1.7,524,107,262,156,52,1055,49.7,10.1,24.8,4.9,41.7,Severe (40-50%),5,41.7,Severe (40-50%),22,14.1,54.0,7.5,0.7,100.5,3.4,165,1055,8.7,12.0,72.6,2012,29.2,36.3,34.8,41.9,True
SAL14185,SAL14185,41,481,908,1725,270,2.4,583,275,850,398,351,1789,32.6,15.4,47.5,19.6,43.8,Severe (40-50%),39,29.7,Manageable (<30%),163,19.8,65.2,8.1,0.8,82.0,5.2,668,1789,23.5,23.6,34.3,4659,39.4,29.3,44.9,41.4,True
SAL13476,SAL13476,33,446,946,1878,250,3.0,186,242,517,108,335,990,18.8,24.4,52.2,33.8,45.8,Severe (40-50%),48,26.4,Manageable (<30%),78,11.7,84.6,7.3,0.9,74.2,4.2,529,990,27.9,24.1,24.2,3243,42.5,26.8,47.1,41.0,True
SAL11474,SAL11474,34,913,1339,2550,300,2.1,7,49,196,44,144,265,2.6,18.5,74.0,54.3,43.9,Severe (40-50%),32,22.4,Manageable (<30%),110,86.0,0.0,26.8,1.0,53.6,36.2,117,265,36.3,29.5,19.3,606,53.3,27.5,55.2,40.9,True
SAL12488,SAL12488,64,527,693,1181,210,1.6,46,10,24,12,0,132,34.8,7.6,18.2,0.0,39.3,Moderate (30-40%),0,30.3,Moderate (30-40%),0,2.3,50.0,9.8,0.8,122.0,0.0,5,132,7.4,20.1,68.6,229,24.4,38.0,31.9,40.5,True
SAL10906,SAL10906,28,882,1606,2409,520,1.8,330,474,2844,2359,152,3743,8.8,12.7,76.0,4.1,34.6,Moderate (30-40%),283,32.4,Moderate (30-40%),4012,88.2,0.1,57.4,1.2,44.0,25.9,198,3743,68.4,20.3,7.8,7803,62.9,38.1,59.0,40.4,True
SAL11480,SAL11480,40,454,1092,1733,365,2.9,1258,1069,3440,2377,598,5978,21.0,17.9,57.5,10.0,36.6,Moderate (30-40%),286,33.4,Moderate (30-40%),1704,46.0,40.0,7.8,1.1,63.4,9.0,2327,5978,25.8,26.6,30.8,18596,46.1,27.2,45.3,40.2,True
SAL13549,SAL13549,71,506,949,1798,400,1.6,44,31,71,34,24,213,20.7,14.6,33.3,11.3,43.7,Severe (40-50%),0,42.1,Severe (40-50%),45,44.1,26.8,19.7,0.8,71.8,9.9,12,213,17.3,8.5,70.9,457,37.3,34.5,39.5,40.1,True
SAL14195,SAL14195,35,601,1132,1577,327,2.3,270,391,1692,1079,463,2444,11.0,16.0,69.2,18.9,32.1,Moderate (30-40%),60,28.9,Manageable (<30%),403,74.5,19.7,14.4,1.1,61.3,5.0,706,2444,30.3,28.4,23.0,6135,51.3,27.4,48.1,39.9,True
SAL13002,SAL13002,61,519,832,1495,310,1.9,392,98,212,154,6,749,52.3,13.1,28.3,0.8,41.5,Severe (40-50%),10,37.3,Moderate (30-40%),29,6.7,61.1,9.7,0.8,88.9,3.5,138,749,12.1,17.4,60.3,1619,29.7,33.5,36.2,39.9,True
SAL12032,SAL12032,31,574,1180,1652,350,2.4,183,151,786,502,151,1162,15.7,13.0,67.6,13.0,32.3,Moderate (30-40%),7,29.7,Manageable (<30%),292,25.6,46.3,11.5,1.0,61.1,7.0,282,1162,41.0,21.4,20.9,3210,52.6,26.6,50.1,39.7,True
SAL14319,SAL14319,32,475,1036,1565,290,2.8,138,155,441,167,253,758,18.2,20.4,58.2,33.4,34.9,Moderate (30-40%),8,28.0,Manageable (<30%),19,4.2,85.5,5.1,0.9,71.5,6.9,439,758,30.6,23.7,24.0,2382,46.0,26.0,45.5,39.4,True
SAL14006,SAL14006,49,556,933,1582,273,1.9,26,3,29,0,0,66,39.4,4.5,43.9,0.0,39.1,Moderate (30-40%),0,29.3,Manageable (<30%),0,0.0,37.9,54.5,1.1,77.3,0.0,9,66,10.1,30.2,39.6,159,34.4,42.8,40.4,39.1,True
SAL14334,SAL14334,56,588,916,1950,335,2.1,623,264,252,144,11,1179,52.8,22.4,21.4,0.9,49.1,Severe (40-50%),96,36.6,Moderate (30-40%),108,3.6,80.2,15.4,0.8,80.4,11.2,202,1179,15.4,20.2,51.2,2610,27.3,33.3,36.9,39.0,True
SAL12316,SAL12316,32,524,1073,1733,300,2.7,281,320,874,350,454,1532,18.3,20.9,57.0,29.6,37.3,Moderate (30-40%),52,28.0,Manageable (<30%),52,7.4,90.0,5.6,0.9,65.3,6.0,851,1532,28.9,23.6,22.9,4730,45.2,24.9,45.7,38.9,True
SAL10098,SAL10098,32,458,1089,1950,295,3.1,207,250,540,168,304,1053,19.7,23.7,51.3,28.9,41.3,Severe (40-50%),52,27.1,Manageable (<30%),122,20.8,77.6,5.9,1.0,66.4,7.0,496,1053,27.5,24.5,23.2,3634,42.2,25.2,45.0,38.8,True
SAL13599,SAL13599,32,441,1104,2167,263,3.3,328,389,743,198,406,1552,21.1,25.1,47.9,26.2,45.3,Severe (40-50%),161,23.8,Manageable (<30%),346,10.6,69.3,13.3,1.1,67.9,11.3,477,1552,29.0,24.4,22.1,5829,40.0,26.9,45.8,38.7,True
SAL12734,SAL12734,53,564,959,1647,380,2.1,690,250,534,380,53,1693,40.8,14.8,31.5,3.1,39.6,Moderate (30-40%),38,39.6,Moderate (30-40%),240,2.7,74.5,3.8,0.7,76.7,6.9,467,1693,19.5,17.9,48.3,4078,34.3,29.8,37.7,38.7,True
SAL13386,SAL13386,40,564,1210,2167,300,2.5,913,1104,2589,1031,1336,4777,19.1,23.1,54.2,28.0,41.3,Severe (40-50%),542,24.8,Manageable (<30%),1475,47.8,38.0,13.4,1.0,65.4,12.8,1480,4777,26.7,25.5,32.4,12793,42.6,26.5,45.8,38.7,True
SAL14003,SAL14003,52,561,976,1733,390,2.1,1443,763,1054,477,262,3424,42.1,22.3,30.8,7.7,41.0,Severe (40-50%),129,40.0,Moderate (30-40%),638,14.9,51.7,10.0,0.8,73.0,5.6,957,3424,19.2,20.1,47.0,7941,34.0,31.2,37.2,38.6,True
SAL13696,SAL13696,55,478,777,1083,283,2.0,174,56,107,68,3,346,50.3,16.2,30.9,0.9,32.2,Moderate (30-40%),0,36.4,Moderate (30-40%),0,6.1,93.4,5.5,0.7,94.8,2.6,91,346,15.3,19.5,51.4,766,31.3,32.9,33.6,38.6,True
SAL11448,SAL11448,54,636,1077,1950,390,1.9,1081,403,936,766,15,2507,43.1,16.1,37.3,0.6,41.8,Severe (40-50%),136,36.2,Moderate (30-40%),534,7.7,51.5,5.5,0.7,70.0,10.8,616,2507,17.1,21.0,49.0,5161,34.9,27.9,39.7,38.5,True
SAL13952,SAL13952,30,518,1103,1603,300,2.8,188,223,734,280,390,1178,16.0,18.9,62.3,33.1,33.5,Moderate (30-40%),28,27.2,Manageable (<30%),29,6.6,90.3,6.1,0.9,63.0,5.4,669,1178,29.2,22.5,22.4,3700,47.3,24.4,46.0,38.4,True
SAL12259,SAL12259,43,608,1069,1733,328,2.1,380,300,689,379,215,1427,26.6,21.0,48.3,15.1,37.4,Moderate (30-40%),59,30.7,Moderate (30-40%),231,22.1,49.9,8.1,0.8,69.4,8.8,457,1427,24.6,22.7,37.1,3288,40.8,27.1,42.3,38.3,True
SAL11884,SAL11884,30,758,1931,2600,650,2.4,285,310,2272,1908,20,3005,9.5,10.3,75.6,0.7,31.1,Moderate (30-40%),262,33.7,Moderate (30-40%),3758,98.8,0.2,32.7,1.4,32.3,26.9,248,3005,63.1,24.2,8.2,8305,62.0,29.2,56.7,38.3,True
SAL11983,SAL11983,62,487,834,1300,300,1.9,449,108,252,155,0,852,52.7,12.7,29.6,0.0,36.0,Moderate (30-40%),14,36.0,Moderate (30-40%),35,4.3,71.9,8.0,0.7,88.4,3.4,151,852,9.4,15.9,65.2,1764,29.2,32.3,33.9,38.2,True
SAL11318,SAL11318,48,416,492,867,175,2.0,28,11,10,0,0,59,47.5,18.6,16.9,0.0,40.7,Severe (40-50%),0,35.6,Moderate (30-40%),0,0.0,83.1,23.7,1.0,94.9,0.0,20,59,14.0,26.4,41.3,121,25.5,38.8,32.3,38.2,True
SAL13943,SAL13943,47,606,1044,1742,340,2.1,639,445,829,561,132,1978,32.3,22.5,41.9,6.7,38.5,Moderate (30-40%),68,32.6,Moderate (30-40%),195,13.0,70.9,6.3,0.8,71.8,7.5,582,1978,21.7,22.3,40.3,4557,37.6,27.6,40.1,38.1,True
SAL10863,SAL10863,57,485,816,1528,280,1.9,43,22,19,7,0,91,47.3,24.2,20.9,0.0,43.2,Severe (40-50%),0,34.3,Moderate (30-40%),0,0.0,94.5,13.2,0.8,89.0,11.0,16,91,6.4,21.1,56.4,204,25.2,33.6,32.4,38.1,True
SAL11482,SAL11482,38,431,1285,2167,450,3.4,576,535,1119,659,265,2297,25.1,23.3,48.7,11.5,38.9,Moderate (30-40%),218,35.0,Moderate (30-40%),1124,6.8,56.0,5.7,1.1,53.9,9.4,888,2297,26.2,25.4,28.5,8269,42.7,25.2,43.1,38.0,True
SAL10822,SAL10822,40,463,933,1517,189,2.6,18,6,39,0,32,70,25.7,8.6,55.7,45.7,37.5,Moderate (30-40%),0,20.3,Manageable (<30%),0,0.0,95.7,0.0,0.7,75.7,20.0,42,70,18.4,25.5,31.6,196,39.5,22.6,44.5,38.0,True
SAL10163,SAL10163,56,615,1013,1733,360,2.0,1551,768,1613,812,445,4357,35.6,17.6,37.0,10.2,39.5,Moderate (30-40%),134,35.5,Moderate (30-40%),919,9.9,52.6,7.3,0.7,72.2,6.0,1035,4357,16.7,19.9,51.5,9735,35.2,28.7,38.5,38.0,True
SAL12898,SAL12898,57,499,839,1300,280,2.0,1351,475,981,547,229,2947,45.8,16.1,33.3,7.8,35.8,Moderate (30-40%),50,33.4,Moderate (30-40%),119,11.1,72.3,9.0,0.7,86.1,4.0,725,2947,15.3,18.0,52.9,6675,31.8,31.3,35.8,37.9,True
SAL14421,SAL14421,61,481,778,1300,300,1.9,154,37,49,22,3,242,63.6,15.3,20.2,1.2,38.6,Moderate (30-40%),3,38.6,Moderate (30-40%),11,0.0,72.7,12.0,0.8,88.4,6.2,33,242,10.1,19.3,64.4,503,25.3,34.5,32.0,37.8,True
SAL11510,SAL11510,45,595,1107,2167,190,2.3,101,91,211,52,154,424,23.8,21.5,49.8,36.3,45.2,Severe (40-50%),33,17.2,Manageable (<30%),81,10.4,65.1,16.5,0.9,72.4,15.3,118,424,21.5,24.3,39.0,987,37.0,26.4,45.2,37.8,True
SAL12103,SAL12103,43,519,881,1170,253,2.0,59,31,104,64,0,200,29.5,15.5,52.0,0.0,30.6,Moderate (30-40%),0,28.7,Manageable (<30%),0,15.5,68.0,16.0,0.9,75.0,5.0,67,200,24.8,25.5,34.8,483,41.4,30.2,41.3,37.8,True
SAL14169,SAL14169,45,531,987,1733,300,2.3,869,533,1010,388,461,2501,34.7,21.3,40.4,18.4,40.5,Severe (40-50%),130,30.4,Moderate (30-40%),262,6.1,70.9,6.5,0.8,72.0,7.7,956,2501,22.1,22.6,38.5,6226,36.2,27.1,40.6,37.8,True
