SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,is_sydney_metro
SAL12759,SAL12759,37,612,1124,1148,250,2.3,367,435,705,292,285,1568,23.4,27.7,45.0,18.2,23.6,Manageable (<30%),26,22.2,Manageable (<30%),8,3.0,90.0,5.4,0.8,65.9,3.4,559,1568,26.5,20.9,32.1,4035,37.6,23.1,35.5,31.5,True
SAL12586,SAL12586,54,708,1146,1517,310,2.0,701,382,542,336,47,1717,40.8,22.2,31.6,2.7,30.5,Moderate (30-40%),68,27.1,Manageable (<30%),130,22.4,58.5,9.6,0.7,64.9,9.6,296,1717,18.4,19.8,49.8,3821,30.4,25.4,33.1,31.5,True
SAL12785,SAL12785,37,596,1539,2571,400,3.3,124,114,109,36,49,359,34.5,31.8,30.4,13.6,38.6,Moderate (30-40%),87,26.0,Manageable (<30%),71,0.8,85.2,1.1,1.0,51.8,30.1,113,359,28.2,22.3,29.2,1234,32.2,20.5,37.0,31.5,True
SAL13794,SAL13794,69,529,991,1420,365,1.9,823,219,191,139,3,1541,53.4,14.2,12.4,0.2,33.1,Moderate (30-40%),28,36.8,Moderate (30-40%),48,1.4,91.4,1.5,0.6,71.1,6.7,163,1541,6.8,11.0,76.8,3288,22.0,26.9,26.9,31.5,True
SAL10791,SAL10791,39,475,1330,1694,330,3.1,913,774,1257,677,288,3065,29.8,25.3,41.0,9.4,29.4,Manageable (<30%),242,24.8,Manageable (<30%),459,29.1,53.3,6.9,1.1,54.1,13.0,1380,3065,27.1,26.3,29.7,10300,36.3,22.5,37.0,31.5,True
SAL13084,SAL13084,50,613,1170,1690,358,2.3,945,521,550,440,6,2109,44.8,24.7,26.1,0.3,33.3,Moderate (30-40%),70,30.6,Moderate (30-40%),192,3.1,82.2,2.1,0.7,61.0,6.6,534,2109,16.4,20.9,45.0,5126,28.4,23.4,32.0,31.4,True
SAL10646,SAL10646,54,514,963,1236,295,2.2,316,150,123,66,0,620,51.0,24.2,19.8,0.0,29.6,Manageable (<30%),0,30.6,Moderate (30-40%),0,0.5,96.3,3.9,0.7,75.3,3.7,180,620,14.7,20.9,49.9,1538,24.9,26.8,28.3,31.4,True
SAL10208,SAL10208,41,618,1340,1863,380,2.5,826,647,751,401,247,2278,36.3,28.4,33.0,10.8,32.1,Moderate (30-40%),116,28.4,Manageable (<30%),402,10.4,88.3,1.8,0.8,56.6,9.4,915,2278,24.2,24.3,33.3,6003,32.9,22.0,34.7,31.4,True
SAL13617,SAL13617,34,763,1466,2000,360,2.5,387,806,979,509,366,2221,17.4,36.3,44.1,16.5,31.5,Moderate (30-40%),183,24.6,Manageable (<30%),407,1.5,76.0,4.2,0.8,49.3,9.6,828,2221,29.2,24.2,25.8,5948,39.1,20.1,38.0,31.4,True
SAL13807,SAL13807,55,517,933,1192,250,2.1,911,367,385,213,70,1755,51.9,20.9,21.9,4.0,29.5,Manageable (<30%),28,26.8,Manageable (<30%),3,3.5,93.7,4.3,0.7,79.5,5.9,356,1755,15.9,19.1,50.4,4067,24.8,26.6,29.5,31.4,True
SAL13268,SAL13268,37,1534,2054,2297,490,1.4,686,620,2561,2187,46,3933,17.4,15.8,65.1,1.2,25.8,Manageable (<30%),366,23.9,Manageable (<30%),2935,86.9,0.2,62.8,1.1,28.5,43.9,157,3933,40.7,33.4,23.5,7183,49.6,33.9,46.4,31.4,True
SAL11893,SAL11893,33,574,1335,1733,335,3.0,401,524,716,330,273,1684,23.8,31.1,42.5,16.2,30.0,Manageable (<30%),91,25.1,Manageable (<30%),91,2.4,91.7,2.3,0.9,51.8,8.8,750,1684,28.0,24.0,24.1,5643,37.8,20.4,37.2,31.4,True
SAL11357,SAL11357,41,635,1116,1252,300,2.2,187,158,187,126,11,547,34.2,28.9,34.2,2.0,25.9,Manageable (<30%),0,26.9,Manageable (<30%),11,9.3,84.3,2.0,0.7,68.7,7.7,161,547,22.9,22.2,35.0,1336,32.9,23.8,32.3,31.4,True
SAL13780,SAL13780,53,497,1067,1929,345,2.2,62,30,16,6,0,128,48.4,23.4,12.5,0.0,41.7,Severe (40-50%),0,32.3,Moderate (30-40%),6,0.0,80.5,2.3,0.7,61.7,4.7,17,128,16.6,23.3,45.4,326,23.2,24.1,31.4,31.3,True
SAL12442,SAL12442,36,587,1374,1800,340,2.9,956,1526,1958,832,952,4564,20.9,33.4,42.9,20.9,30.2,Moderate (30-40%),288,24.7,Manageable (<30%),436,1.2,70.1,2.1,0.9,50.7,9.0,1883,4564,25.7,26.9,24.5,14023,37.6,20.0,36.8,31.3,True
SAL14025,SAL14025,44,688,1421,2100,400,2.4,2284,2040,2235,1785,90,6791,33.6,30.0,32.9,1.3,34.1,Moderate (30-40%),686,28.1,Manageable (<30%),1466,7.5,76.7,5.1,0.8,52.7,17.5,2063,6791,19.3,26.3,36.4,17372,32.1,22.1,34.4,31.2,True
SAL11370,SAL11370,31,1113,2232,2760,650,2.4,232,376,928,749,43,1569,14.8,24.0,59.1,2.7,28.5,Manageable (<30%),292,29.1,Manageable (<30%),1668,82.2,15.3,18.5,1.1,22.3,32.3,225,1569,46.1,23.9,14.5,4086,50.1,20.9,46.0,31.2,True
SAL10780,SAL10780,33,1291,2331,2817,570,1.9,588,931,2477,2037,198,4057,14.5,22.9,61.1,4.9,27.9,Manageable (<30%),706,24.5,Manageable (<30%),3646,73.6,3.1,41.5,1.1,27.9,48.9,362,4057,47.1,30.0,15.2,9381,49.8,27.6,46.6,31.2,True
SAL10852,SAL10852,53,564,1130,1560,355,2.3,454,216,225,103,72,957,47.4,22.6,23.5,7.5,31.9,Moderate (30-40%),14,31.4,Moderate (30-40%),85,1.9,86.9,2.6,0.7,64.3,6.3,249,957,16.6,19.1,48.2,2522,27.4,24.5,30.9,31.2,True
SAL14101,SAL14101,38,819,1355,1517,295,1.9,902,573,1666,1225,145,3297,27.4,17.4,50.5,4.4,25.8,Manageable (<30%),107,21.8,Manageable (<30%),264,24.0,53.7,7.9,0.8,53.6,14.1,537,3297,32.3,21.5,33.9,7198,40.5,21.2,40.2,31.2,True
SAL11233,SAL11233,56,456,763,715,200,2.0,105,48,31,10,0,196,53.6,24.5,15.8,0.0,21.6,Manageable (<30%),10,26.2,Manageable (<30%),0,0.0,99.0,9.7,0.8,99.0,4.1,21,196,15.8,23.5,52.6,456,22.0,32.2,24.1,31.2,True
SAL12262,SAL12262,50,625,1155,1733,380,2.3,1074,647,387,255,0,2167,49.6,29.9,17.9,0.0,34.6,Moderate (30-40%),72,32.9,Moderate (30-40%),161,1.2,96.5,4.0,0.7,64.6,8.1,531,2167,19.9,20.1,45.0,5084,26.0,25.4,30.2,31.2,True
SAL13651,SAL13651,53,545,1113,1690,350,2.3,613,367,220,124,12,1293,47.4,28.4,17.0,0.9,35.0,Moderate (30-40%),65,31.4,Moderate (30-40%),86,2.1,85.5,2.0,0.7,66.7,9.3,255,1293,17.0,20.8,48.1,3215,24.9,24.8,29.7,31.1,True
SAL13011,SAL13011,38,874,1703,2054,390,2.3,781,1180,2508,1768,475,4663,16.7,25.3,53.8,10.2,27.8,Manageable (<30%),435,22.9,Manageable (<30%),1646,58.2,24.2,7.0,0.9,42.2,21.3,1076,4663,26.3,32.0,24.5,12064,42.0,19.2,40.0,31.1,True
SAL13578,SAL13578,47,486,1187,1850,345,2.5,59,37,15,9,0,119,49.6,31.1,12.6,0.0,36.0,Moderate (30-40%),10,29.1,Manageable (<30%),0,0.0,97.5,7.6,0.8,73.9,8.4,25,119,20.3,29.9,36.2,345,22.9,27.4,29.1,31.1,True
SAL10790,SAL10790,37,481,1486,2000,400,3.4,975,924,1312,682,341,3339,29.2,27.7,39.3,10.2,31.1,Moderate (30-40%),311,26.9,Manageable (<30%),934,3.7,77.1,2.5,1.0,48.2,13.9,1682,3339,29.5,25.5,27.2,12320,36.8,20.5,37.4,31.1,True
SAL14159,SAL14159,41,785,1511,1827,350,2.2,403,532,878,556,173,1894,21.3,28.1,46.4,9.1,27.9,Manageable (<30%),125,23.2,Manageable (<30%),412,17.4,62.5,12.7,0.8,52.0,14.6,513,1894,29.6,22.7,35.5,4927,39.3,22.8,38.2,31.1,True
SAL13258,SAL13258,48,679,1282,1751,380,2.2,7726,4836,6129,4145,854,19702,39.2,24.5,31.1,4.3,31.5,Moderate (30-40%),1101,29.6,Manageable (<30%),3459,15.2,66.1,4.7,0.7,56.9,13.8,4520,19702,20.0,22.5,42.0,47693,31.4,23.1,33.5,31.1,True
SAL10801,SAL10801,53,627,833,1300,195,1.8,39,9,7,0,0,58,67.2,15.5,12.1,0.0,36.0,Moderate (30-40%),0,23.4,Manageable (<30%),0,0.0,94.8,5.2,0.7,84.5,0.0,11,58,16.2,23.1,52.3,130,18.4,26.9,29.7,31.0,True
SAL12760,SAL12760,53,466,815,1300,175,2.1,64,24,10,6,0,101,63.4,23.8,9.9,0.0,36.8,Moderate (30-40%),0,21.5,Manageable (<30%),0,0.0,97.0,24.8,0.9,87.1,0.0,27,101,14.5,23.6,48.6,276,17.0,33.1,28.2,31.0,True
SAL11549,SAL11549,34,1469,2437,3033,590,2.1,381,454,1402,1119,134,2294,16.6,19.8,61.1,5.8,28.7,Manageable (<30%),394,24.2,Manageable (<30%),2099,61.6,3.5,30.3,1.1,26.0,60.5,299,2294,37.6,32.4,17.3,4965,47.6,23.8,45.4,31.0,True
SAL13223,SAL13223,60,542,1067,1700,350,2.1,91,52,15,5,0,155,58.7,33.5,9.7,0.0,36.8,Moderate (30-40%),10,32.8,Moderate (30-40%),4,0.0,94.2,6.5,0.7,71.0,10.3,26,155,11.3,19.1,64.1,345,20.1,27.4,26.5,31.0,True
