SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score
10102100909,101021009,10102,315,277,22,11,0.8793650793650793,0.06984126984126984,0.03492063492063492,616,6248,0.550872861929113,35546,0.5486086459957095,87.93650793650794,98.48732294159498,91.44217709074445,81.79491055681531,91.1887265309121,5.061398708455792
10102100915,101021009,10102,361,342,3,12,0.9473684210526315,0.008310249307479225,0.0332409972299169,781,6248,0.550872861929113,35546,0.5486086459957095,94.73684210526315,99.26832028976133,91.44217709074445,93.94955532876511,95.35862388005906,5.581557674361257
10102101015,101021010,10102,344,305,17,17,0.8866279069767442,0.04941860465116279,0.04941860465116279,641,2925,0.5752212389380531,35546,0.5486086459957095,88.66279069767442,99.04922061962357,93.34696979496798,84.28119929691725,92.27739635364216,5.181049555798154
10102101209,101021012,10102,366,355,5,3,0.9699453551912568,0.01366120218579235,0.00819672131147541,784,7404,0.5809792843691148,35546,0.5486086459957095,96.99453551912568,99.33299915917469,93.61457861716576,95.66947355848188,96.88757703468403,5.727878295244187
10102101211,101021012,10102,308,290,6,0,0.9415584415584416,0.01948051948051948,0.0,638,7404,0.5809792843691148,35546,0.5486086459957095,94.15584415584416,98.32562576806157,93.61457861716576,92.32163939956149,95.11510505614545,5.398275877598527
10102161124,101021611,10102,305,274,5,12,0.898360655737705,0.01639344262295082,0.03934426229508197,642,9026,0.545740371243727,35546,0.5486086459957095,89.8360655737705,98.23345837914754,90.74041135760947,88.36334318731524,92.38888033350588,5.1418436653605
10106154217,101061542,10106,330,310,3,0,0.9393939393939394,0.00909090909090909,0.0,715,6827,0.5370093604971289,17823,0.4670719882596504,93.93939393939394,98.82688700601513,65.22378888817023,93.08539944903582,89.57712140009974,5.450474837475423
11103122637,111031226,11103,360,356,0,0,0.9888888888888889,0.0,0.0,1139,8512,0.518108223263741,90057,0.5031117318435754,98.88888888888889,99.25861845934934,74.91753444149796,98.88888888888889,94.20553687054883,5.823445981018071
11103122640,111031226,11103,364,357,4,0,0.9807692307692307,0.01098901098901099,0.0,934,8512,0.518108223263741,90057,0.5031117318435754,98.07692307692307,99.30712761140936,74.91753444149796,96.99915469146238,93.70632987163786,5.78643778909052
11103122905,111031229,11103,348,214,27,97,0.6149425287356322,0.07758620689655173,0.27873563218390807,962,7606,0.5939867239359625,90057,0.5031117318435754,61.49425287356321,99.11309100316926,84.52719746458831,56.723147047166066,76.90938264801034,3.600532733768159
11303126806,113031268,11303,371,359,0,7,0.967654986522911,0.0,0.018867924528301886,786,2934,0.5234611953612845,46360,0.46748479867700593,96.7654986522911,99.38231679710239,62.19520082788953,96.7654986522911,90.63648453085418,5.727447152787223
11303126813,113031268,11303,417,409,4,0,0.9808153477218226,0.009592326139088728,0.0,905,2934,0.5234611953612845,46360,0.46748479867700593,98.08153477218225,99.6369898454175,62.19520082788953,97.14070470242511,91.27682149831858,5.919692819910373
11303126814,113031268,11303,400,392,3,5,0.98,0.0075,0.0125,836,2934,0.5234611953612845,46360,0.46748479867700593,98.0,99.55452428691547,62.19520082788953,97.265,91.23189745165254,5.874082198760438
12203142951,122031429,12203,401,278,55,46,0.6932668329177057,0.1371571072319202,0.11471321695760599,1118,12508,0.5730254718709914,81799,0.5213348374473401,69.32668329177058,99.5609921738568,89.62550934609663,59.81803595748782,81.5058764338334,4.15714134821967
12801160617,128011606,12801,323,298,15,6,0.9226006191950464,0.04643962848297214,0.018575851393188854,1024,4885,0.5459930703028948,59577,0.5054681203071311,92.26006191950464,98.67570014876141,81.9327663152448,87.97553892014685,91.69084196749394,5.333317547077752
20201102311,202011023,20201,325,318,0,7,0.9784615384615385,0.0,0.021538461538461538,877,2917,0.5286335628851033,47757,0.4635071918007648,97.84615384615385,98.72097535735075,60.31991785783585,97.84615384615385,90.60335310184934,5.6622565146911175
20202102608,202021026,20202,589,579,0,3,0.9830220713073005,0.0,0.0050933786078098476,1508,4353,0.5216922339405561,23759,0.45255238095238093,98.30220713073004,99.90379018174762,55.91932928012419,98.30220713073004,90.30610647591415,6.271801271417595
20302103910,203021039,20302,364,257,21,86,0.7060439560439561,0.057692307692307696,0.23626373626373626,1022,7118,0.5271030805687204,102683,0.484385761323861,70.6043956043956,99.30712761140936,69.45985059181166,66.5310650887574,78.57897315241912,4.16558686777665
20302148501,203021485,20302,433,426,0,0,0.9838337182448037,0.0,0.0,956,5648,0.5483495145631068,102683,0.484385761323861,98.38337182448036,99.69277537028653,73.64780738632689,98.38337182448036,93.82908000059152,5.974865985050283
20302148504,203021485,20302,402,383,5,0,0.9527363184079602,0.012437810945273632,0.0,915,5648,0.5483495145631068,102683,0.484385761323861,95.27363184079603,99.5682685466658,73.64780738632689,94.0886364198906,92.11835841957259,5.7154047343919885
20401106011,204011060,20401,575,369,0,185,0.6417391304347826,0.0,0.3217391304347826,1108,2466,0.5308934337997847,26894,0.44821839272024266,64.17391304347827,99.88842895026195,55.9654129745812,64.17391304347827,73.24656780173396,4.078963003124842
20403149103,204031491,20403,353,342,0,11,0.9688385269121813,0.0,0.031161473087818695,815,6753,0.5284864611050243,36635,0.47904543968617197,96.88385269121812,99.18100381605329,68.15818834486772,96.88385269121812,91.8278651593986,5.686400975330739
20403149111,204031491,20403,342,318,0,10,0.9298245614035088,0.0,0.029239766081871343,737,6753,0.5284864611050243,36635,0.47904543968617197,92.98245614035088,99.01688118491688,68.15818834486772,92.98245614035088,89.82793009462405,5.428065152627979
20603111305,206031113,20603,309,257,27,20,0.8317152103559871,0.08737864077669903,0.06472491909385113,957,8204,0.5400566124679086,38348,0.5580975666550239,83.1715210355987,98.34907185822391,90.49544013970636,75.90410657617747,88.46282865726567,4.7711944351202344
20603111307,206031113,20603,394,341,36,17,0.8654822335025381,0.09137055837563451,0.04314720812182741,1650,8204,0.5400566124679086,38348,0.5580975666550239,86.5482233502538,99.51571696526744,90.49544013970636,78.64026385632198,90.43711884325523,5.174619405663154
20803118524,208031185,20803,345,305,25,6,0.8840579710144928,0.07246376811594203,0.017391304347826087,858,6308,0.5242686170212766,64270,0.5238277652351805,88.40579710144928,99.06377336524159,83.5210368022767,81.99957992018484,89.985616202626,5.168590801137989
20803119011,208031190,20803,313,247,34,29,0.7891373801916933,0.10862619808306709,0.0926517571884984,831,7106,0.5384557096309768,64270,0.5238277652351805,78.91373801916933,98.44689864821163,86.94335748011125,70.34163868162379,85.52240016631586,4.537060918592136
