SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score,is_sydney_metro
SAL12649,SAL12649,35,784,1899,1950,400,2.9,67,127,32,24,0,231,29.0,55.0,13.9,0.0,23.7,Manageable (<30%),32,21.1,Manageable (<30%),17,0.0,97.4,0.0,0.8,24.7,18.2,62,231,27.9,25.4,25.4,700,24.6,12.9,23.7,18.9,86.0,True
SAL12931,SAL12931,47,963,2399,2762,450,3.1,77,28,24,13,0,139,55.4,20.1,17.3,0.0,26.6,Manageable (<30%),32,18.8,Manageable (<30%),6,0.0,102.9,5.0,0.8,30.2,59.7,23,139,20.2,25.2,40.2,460,21.1,14.8,27.9,20.5,86.0,True
SAL10798,SAL10798,46,836,2016,2292,393,2.7,61,67,18,5,0,149,40.9,45.0,12.1,0.0,26.2,Manageable (<30%),30,19.5,Manageable (<30%),14,0.0,101.3,2.7,0.8,38.9,32.2,18,149,18.0,25.7,37.1,455,20.2,16.0,23.2,20.9,86.0,True
SAL13611,SAL13611,42,762,1608,1613,350,2.7,67,81,26,12,0,170,39.4,47.6,15.3,0.0,23.1,Manageable (<30%),0,21.8,Manageable (<30%),20,1.8,97.6,0.0,0.8,20.0,5.3,37,170,18.7,26.0,32.3,493,22.5,12.1,22.8,18.5,86.0,True
SAL11921,SAL11921,42,839,1701,1517,350,2.5,974,864,570,410,35,2471,39.4,35.0,23.1,1.4,20.6,Manageable (<30%),97,20.6,Manageable (<30%),136,0.0,93.3,1.3,0.7,38.4,16.1,629,2471,23.5,22.7,35.4,6528,26.2,15.6,26.4,21.7,86.0,True
SAL13040,SAL13040,37,838,1902,2167,285,3.0,158,166,41,14,0,376,42.0,44.1,10.9,0.0,26.3,Manageable (<30%),96,15.0,Manageable (<30%),23,0.8,96.3,4.3,0.8,22.9,26.1,83,376,38.5,30.5,23.0,2141,22.4,12.0,27.1,17.1,86.0,True
SAL12779,SAL12779,40,935,2476,2468,420,2.9,241,229,86,72,0,563,42.8,40.7,15.3,0.0,23.0,Manageable (<30%),142,17.0,Manageable (<30%),69,5.3,91.8,1.6,0.8,24.5,42.1,112,563,24.2,28.0,29.1,1691,21.8,12.1,24.6,17.9,86.0,True
SAL10106,SAL10106,43,757,1428,1284,300,2.5,85,92,26,14,0,214,39.7,43.0,12.1,0.0,20.7,Manageable (<30%),0,21.0,Manageable (<30%),0,0.0,96.7,4.2,0.7,46.7,11.2,32,214,19.2,28.2,32.5,542,21.0,18.3,21.4,20.9,86.0,True
SAL13065,SAL13065,36,849,2083,2167,410,3.0,191,334,79,46,0,634,30.1,52.7,12.5,0.0,24.0,Manageable (<30%),140,19.7,Manageable (<30%),45,0.0,96.7,1.7,0.8,25.7,25.9,137,634,26.8,25.4,26.0,2028,23.3,13.2,23.4,18.5,85.9,True
SAL14189,SAL14189,45,740,1267,1083,215,2.2,221,127,144,52,32,519,42.6,24.5,27.7,6.2,19.7,Manageable (<30%),14,17.0,Manageable (<30%),0,2.9,89.6,5.0,0.7,52.0,8.1,104,519,20.3,20.4,40.0,1272,26.0,18.4,27.8,23.6,85.9,True
SAL13639,SAL13639,37,805,2008,2120,390,2.8,401,672,422,213,146,1519,26.4,44.2,27.8,9.6,24.4,Manageable (<30%),196,19.4,Manageable (<30%),276,0.9,96.8,1.8,0.8,37.9,24.1,482,1519,26.9,26.0,27.0,4310,29.7,15.5,29.1,23.4,85.9,True
SAL11859,SAL11859,59,1007,2068,1409,525,2.3,54,30,16,10,0,101,53.5,29.7,15.8,0.0,15.7,Manageable (<30%),4,25.4,Manageable (<30%),12,0.0,95.0,4.0,0.7,13.9,38.6,3,101,18.0,17.2,60.1,233,22.2,13.0,21.6,16.6,85.9,True
SAL10725,SAL10725,48,599,1297,1235,295,2.7,63,35,15,9,0,112,56.2,31.2,13.4,0.0,22.0,Manageable (<30%),8,22.7,Manageable (<30%),0,0.0,100.0,3.6,0.8,46.4,17.9,7,112,18.8,21.6,39.8,329,20.3,18.8,23.5,22.0,85.9,True
SAL11025,SAL11025,42,746,1427,1500,270,2.5,327,331,144,79,14,833,39.3,39.7,17.3,1.7,24.3,Manageable (<30%),34,18.9,Manageable (<30%),12,1.1,96.2,1.8,0.7,47.3,12.0,184,833,22.8,21.8,35.1,2275,23.2,17.1,25.5,22.4,85.9,True
SAL10018,SAL10018,49,599,1158,1200,205,2.3,193,118,60,29,7,388,49.7,30.4,15.5,1.8,23.9,Manageable (<30%),0,17.7,Manageable (<30%),0,0.8,94.3,2.8,0.7,64.2,10.8,60,388,20.5,22.7,42.5,938,20.6,20.4,25.3,24.2,85.8,True
SAL14059,SAL14059,45,670,1739,1800,350,2.9,100,108,52,15,0,272,36.8,39.7,19.1,0.0,23.9,Manageable (<30%),16,20.1,Manageable (<30%),15,0.0,97.8,2.9,0.9,41.2,15.4,51,272,19.0,24.4,36.7,863,23.8,16.9,25.1,22.4,85.8,True
SAL10626,SAL10626,49,802,1462,1733,270,2.4,58,46,12,7,0,123,47.2,37.4,9.8,0.0,27.4,Manageable (<30%),0,18.5,Manageable (<30%),0,0.0,97.6,0.0,0.8,45.5,19.5,15,123,23.9,23.6,40.4,322,19.5,16.2,24.9,21.5,85.8,True
SAL13359,SAL13359,37,963,2187,2500,400,2.8,75,133,60,43,0,284,26.4,46.8,21.1,0.0,26.4,Manageable (<30%),78,18.3,Manageable (<30%),41,2.1,97.9,1.8,0.8,24.6,37.3,66,284,28.0,26.8,25.2,829,26.9,12.6,27.8,20.3,85.8,True
SAL13647,SAL13647,36,849,2067,2167,440,3.0,1930,2915,1342,1040,50,6327,30.5,46.1,21.2,0.8,24.2,Manageable (<30%),990,21.3,Manageable (<30%),1241,0.5,98.4,0.9,0.8,27.4,20.3,1948,6327,26.9,25.9,26.3,19942,27.2,13.7,26.8,20.9,85.8,True
SAL13892,SAL13892,40,826,1947,1887,400,2.7,239,359,126,60,32,728,32.8,49.3,17.3,4.4,22.4,Manageable (<30%),76,20.5,Manageable (<30%),83,2.1,95.2,1.8,0.8,33.7,20.2,200,728,25.9,25.6,29.6,2043,25.0,15.0,24.4,20.4,85.8,True
SAL11312,SAL11312,47,702,1949,2167,350,2.7,61,41,19,5,0,130,46.9,31.5,14.6,0.0,25.7,Manageable (<30%),18,18.0,Manageable (<30%),17,0.0,96.9,2.3,0.8,40.8,17.7,38,130,14.5,23.9,38.2,380,19.4,15.8,24.4,21.2,85.8,True
SAL11285,SAL11285,42,861,2250,2368,446,3.1,173,202,38,27,0,427,40.5,47.3,8.9,0.0,24.3,Manageable (<30%),100,19.8,Manageable (<30%),32,0.7,96.3,1.4,0.8,28.3,39.1,68,427,22.4,25.4,32.7,1386,19.9,13.6,22.1,18.2,85.8,True
SAL12054,SAL12054,39,729,1354,1251,260,2.4,592,500,471,325,56,1611,36.7,31.0,29.2,3.5,21.3,Manageable (<30%),33,19.2,Manageable (<30%),6,4.0,92.6,2.8,0.7,52.2,12.1,431,1611,26.5,26.9,31.1,5066,29.1,18.4,29.5,24.8,85.8,True
SAL13739,SAL13739,40,688,1679,1733,390,3.0,74,88,35,26,0,207,35.7,42.5,16.9,0.0,23.8,Manageable (<30%),8,23.2,Manageable (<30%),15,2.4,99.5,0.0,0.8,32.4,15.5,78,207,20.8,26.7,31.2,615,24.3,15.0,24.5,21.2,85.8,True
SAL14322,SAL14322,51,529,961,988,200,2.2,65,34,25,11,0,124,52.4,27.4,20.2,0.0,23.7,Manageable (<30%),0,20.8,Manageable (<30%),0,0.0,98.4,2.4,0.7,61.3,3.2,16,124,23.2,23.9,44.3,327,23.7,20.6,27.4,25.4,85.8,True
SAL14305,SAL14305,39,915,2259,2364,410,3.0,343,436,167,100,0,970,35.4,44.9,17.2,0.0,24.1,Manageable (<30%),266,18.1,Manageable (<30%),128,0.6,96.8,4.4,0.8,29.8,34.5,205,970,24.5,27.9,28.3,2957,23.7,14.3,25.2,19.7,85.8,True
SAL14426,SAL14426,42,638,1160,1092,260,2.3,43,34,22,7,0,101,42.6,33.7,21.8,0.0,21.7,Manageable (<30%),0,22.4,Manageable (<30%),0,0.0,100.0,5.0,0.8,69.3,0.0,16,101,17.3,25.0,41.2,260,24.6,23.7,25.3,27.0,85.8,True
SAL10864,SAL10864,38,727,2409,2167,550,3.6,665,880,269,213,3,1863,35.7,47.2,14.4,0.2,20.8,Manageable (<30%),462,22.8,Manageable (<30%),427,0.4,94.8,0.4,0.9,26.6,42.7,572,1863,28.9,26.4,27.1,6906,24.8,14.1,23.7,19.1,85.8,True
SAL12915,SAL12915,44,626,1113,1083,210,2.3,633,521,451,225,53,1663,38.1,31.3,27.1,3.2,22.5,Manageable (<30%),30,18.9,Manageable (<30%),3,3.1,93.2,2.1,0.7,65.8,7.5,478,1663,20.1,22.0,37.8,4369,26.7,20.9,28.0,26.7,85.8,True
SAL11927,SAL11927,51,628,1101,1170,185,2.2,302,192,144,62,18,669,45.1,28.7,21.5,2.7,24.5,Manageable (<30%),24,16.8,Manageable (<30%),0,0.0,94.5,3.6,0.7,65.2,8.7,131,669,19.0,20.2,45.6,1650,22.9,20.6,27.2,25.5,85.8,True
SAL11916,SAL11916,40,828,1970,1950,420,2.7,90,109,33,28,0,239,37.7,45.6,13.8,0.0,22.8,Manageable (<30%),10,21.3,Manageable (<30%),20,1.3,96.2,1.3,0.8,39.7,9.6,50,239,25.4,24.5,29.2,641,23.2,16.3,23.8,20.9,85.8,True
SAL12920,SAL12920,39,710,1306,1213,250,2.5,655,502,383,196,67,1616,40.5,31.1,23.7,4.1,21.4,Manageable (<30%),45,19.1,Manageable (<30%),12,1.3,93.1,3.2,0.7,54.6,13.2,435,1616,21.9,21.8,34.2,4608,25.5,19.0,26.9,24.1,85.8,True
SAL12644,SAL12644,35,832,2208,2167,450,3.3,487,836,341,238,36,1698,28.7,49.2,20.1,2.1,22.6,Manageable (<30%),370,20.4,Manageable (<30%),344,3.4,94.0,0.6,0.9,25.1,27.7,536,1698,28.0,26.5,24.5,5778,26.9,13.1,25.8,19.9,85.8,True
SAL10511,SAL10511,44,1059,2480,2210,250,2.9,67,67,10,4,0,160,41.9,41.9,6.2,0.0,20.6,Manageable (<30%),50,10.1,Manageable (<30%),0,0.0,75.0,0.0,0.8,24.4,55.0,22,160,20.2,25.4,34.0,476,15.4,9.5,20.0,13.8,85.8,True
SAL11622,SAL11622,45,557,1151,1250,250,2.5,119,95,36,14,0,255,46.7,37.3,14.1,0.0,25.1,Manageable (<30%),6,21.7,Manageable (<30%),0,0.0,100.4,1.6,0.8,63.5,5.1,55,255,22.7,23.1,35.7,740,22.0,21.3,25.1,25.2,85.7,True
SAL10724,SAL10724,33,793,1942,2102,410,2.9,160,404,94,70,0,676,23.7,59.8,13.9,0.0,25.0,Manageable (<30%),108,21.1,Manageable (<30%),56,0.4,99.0,1.5,0.8,28.7,15.8,183,676,30.2,26.4,21.6,2071,25.6,14.1,24.2,19.8,85.7,True
SAL12477,SAL12477,50,693,1267,1400,250,2.3,71,38,18,8,0,140,50.7,27.1,12.9,0.0,25.5,Manageable (<30%),10,19.7,Manageable (<30%),0,0.0,100.0,3.6,0.7,52.1,14.3,39,140,20.6,21.7,43.5,345,20.1,18.8,25.5,22.7,85.7,True
SAL13891,SAL13891,47,456,897,867,180,2.4,142,75,56,8,22,285,49.8,26.3,19.6,7.7,22.3,Manageable (<30%),8,20.1,Manageable (<30%),0,0.0,97.5,5.3,0.8,77.5,2.8,112,285,22.7,21.6,38.4,774,23.4,24.7,26.7,27.3,85.7,True
SAL12865,SAL12865,44,1040,2303,2383,579,2.8,129,160,29,23,0,309,41.7,51.8,9.4,0.0,23.9,Manageable (<30%),82,25.1,Manageable (<30%),54,0.0,101.9,0.0,0.7,22.7,43.7,29,309,10.7,30.2,35.6,882,19.3,13.5,19.3,18.6,85.7,True
SAL10168,SAL10168,43,905,2147,2167,415,3.0,50,87,15,5,0,148,33.8,58.8,10.1,0.0,23.3,Manageable (<30%),25,19.3,Manageable (<30%),14,0.0,94.6,2.0,0.8,17.6,24.3,10,148,23.2,28.1,32.4,469,21.1,11.5,21.1,16.5,85.7,True
SAL11018,SAL11018,43,632,1637,1700,300,2.6,66,92,25,13,0,190,34.7,48.4,13.2,0.0,24.0,Manageable (<30%),6,18.3,Manageable (<30%),0,0.0,97.4,5.3,0.8,45.8,11.6,43,190,23.0,27.7,31.3,549,21.9,17.8,23.3,21.3,85.7,True
SAL13773,SAL13773,40,934,2027,1993,400,2.6,63,83,20,12,0,180,35.0,46.1,11.1,0.0,22.7,Manageable (<30%),22,19.7,Manageable (<30%),12,0.0,97.2,5.0,0.8,17.2,21.1,5,180,22.0,26.9,31.6,510,21.2,12.4,22.2,16.6,85.7,True
SAL10931,SAL10931,27,937,2018,1950,435,2.9,91,307,354,338,3,769,11.8,39.9,46.0,0.4,22.3,Manageable (<30%),36,21.6,Manageable (<30%),294,0.8,94.1,0.0,0.8,21.8,12.0,280,769,41.2,20.2,11.0,2309,41.9,12.4,37.0,24.6,85.6,True
SAL11948,SAL11948,46,911,2083,2167,490,2.6,75,92,20,14,0,189,39.7,48.7,10.6,0.0,24.0,Manageable (<30%),48,23.5,Manageable (<30%),28,0.0,99.5,0.0,0.7,24.3,28.6,22,189,19.6,28.9,34.7,501,21.2,13.3,21.8,18.7,85.6,True
SAL13727,SAL13727,46,804,2083,1992,380,2.7,104,73,31,20,0,214,48.6,34.1,14.5,0.0,22.1,Manageable (<30%),28,18.2,Manageable (<30%),11,1.4,90.2,1.9,0.8,22.4,30.8,79,214,18.6,25.6,40.2,609,20.1,12.1,23.5,17.5,85.6,True
SAL12975,SAL12975,49,589,1073,761,260,2.1,74,35,21,8,0,137,54.0,25.5,15.3,0.0,16.4,Manageable (<30%),0,24.2,Manageable (<30%),0,0.0,96.4,7.3,0.7,77.4,5.8,6,137,21.6,17.0,46.6,324,22.3,26.3,22.9,25.9,85.6,True
SAL14068,SAL14068,55,794,1812,1957,265,2.6,55,32,10,3,0,101,54.5,31.7,9.9,0.0,24.9,Manageable (<30%),12,14.6,Manageable (<30%),0,0.0,97.0,9.9,0.8,32.7,25.7,10,101,13.2,21.4,51.1,266,15.5,15.5,22.4,18.0,85.6,True
SAL10060,SAL10060,45,757,1890,2000,350,3.0,55,28,24,11,0,120,45.8,23.3,20.0,0.0,24.4,Manageable (<30%),16,18.5,Manageable (<30%),15,0.0,96.7,4.2,0.9,29.2,21.7,38,120,25.0,29.7,30.5,384,24.0,14.4,28.4,20.5,85.6,True
SAL10144,SAL10144,40,840,2023,2000,500,2.9,79,69,44,29,0,196,40.3,35.2,22.4,0.0,22.8,Manageable (<30%),14,24.7,Manageable (<30%),47,0.0,102.0,2.6,0.8,25.5,19.4,58,196,19.3,30.1,28.0,574,26.2,14.9,26.2,21.4,85.6,True
SAL14382,SAL14382,47,605,1261,1600,220,2.6,50,28,21,3,0,101,49.5,27.7,20.8,0.0,29.3,Manageable (<30%),6,17.4,Manageable (<30%),0,0.0,98.0,0.0,0.8,58.4,11.9,8,101,16.1,27.1,35.0,280,21.8,18.5,28.4,25.8,85.6,True
SAL12082,SAL12082,36,850,2200,2080,450,3.0,513,1071,469,331,63,2093,24.5,51.2,22.4,3.0,21.8,Manageable (<30%),309,20.5,Manageable (<30%),454,0.6,91.9,0.3,0.8,25.8,25.1,599,2093,25.9,29.4,23.0,6485,27.8,13.0,25.5,20.1,85.6,True
SAL10693,SAL10693,38,772,1381,1300,203,2.6,141,177,107,46,17,436,32.3,40.6,24.5,3.9,21.7,Manageable (<30%),6,14.7,Manageable (<30%),3,2.1,87.2,4.8,0.8,46.1,15.1,107,436,25.5,26.6,27.3,1252,26.1,16.7,27.1,22.1,85.6,True
SAL14263,SAL14263,34,779,2468,2383,530,3.7,704,1429,443,355,8,2642,26.6,54.1,16.8,0.3,22.3,Manageable (<30%),796,21.5,Manageable (<30%),700,0.5,94.2,0.4,0.9,20.2,37.9,868,2642,28.4,29.8,19.9,10152,26.2,12.4,24.2,18.7,85.6,True
SAL14273,SAL14273,42,778,1427,1253,230,2.3,535,349,265,99,42,1207,44.3,28.9,22.0,3.5,20.3,Manageable (<30%),29,16.1,Manageable (<30%),8,3.4,87.8,5.0,0.7,49.1,11.2,232,1207,21.5,21.5,37.3,3037,23.5,17.5,26.1,21.9,85.6,True
SAL10668,SAL10668,48,454,955,953,200,2.5,112,59,29,9,0,219,51.1,26.9,13.2,0.0,23.0,Manageable (<30%),18,20.9,Manageable (<30%),0,0.0,100.0,5.9,0.8,72.6,2.7,39,219,19.3,23.3,38.6,674,20.3,24.2,24.3,25.7,85.6,True
SAL12337,SAL12337,43,666,1586,1499,300,2.9,47,45,9,5,0,110,42.7,40.9,8.2,0.0,21.8,Manageable (<30%),6,18.9,Manageable (<30%),0,0.0,94.5,5.5,0.9,30.0,9.1,31,110,16.2,25.1,34.9,327,17.9,15.1,20.3,17.7,85.6,True
SAL11076,SAL11076,49,774,1821,1733,380,2.7,59,41,17,6,0,121,48.8,33.9,14.0,0.0,22.0,Manageable (<30%),26,20.9,Manageable (<30%),18,0.0,95.9,3.3,0.8,38.0,24.0,23,121,13.7,29.9,39.1,358,19.7,16.5,22.4,20.4,85.6,True
SAL12654,SAL12654,44,791,2178,2600,430,3.3,59,33,12,6,0,104,56.7,31.7,11.5,0.0,27.5,Manageable (<30%),30,19.7,Manageable (<30%),6,0.0,101.9,2.9,0.7,22.1,47.1,18,104,23.2,22.7,36.7,384,19.5,12.6,25.9,18.5,85.6,True
SAL14409,SAL14409,36,718,1634,1570,378,2.8,116,206,66,33,9,397,29.2,51.9,16.6,2.3,22.2,Manageable (<30%),6,23.1,Manageable (<30%),38,0.8,96.0,0.0,0.8,37.0,11.1,139,397,28.1,24.7,26.9,1176,26.3,15.9,24.3,21.4,85.6,True
SAL12912,SAL12912,39,826,1590,1448,260,2.4,898,860,863,431,187,2739,32.8,31.4,31.5,6.8,21.0,Manageable (<30%),90,16.4,Manageable (<30%),67,0.8,87.1,3.7,0.7,45.4,16.3,645,2739,24.3,23.1,32.5,7327,29.1,16.5,29.6,23.5,85.5,True
SAL13338,SAL13338,36,925,2203,2000,440,2.9,203,300,191,177,0,715,28.4,42.0,26.7,0.0,21.0,Manageable (<30%),102,20.0,Manageable (<30%),154,0.7,89.4,0.4,0.7,25.2,27.7,174,715,22.8,29.2,23.0,2094,28.4,12.6,26.8,20.4,85.5,True
SAL13951,SAL13951,53,780,1955,2000,480,2.7,85,57,13,5,0,158,53.8,36.1,8.2,0.0,23.6,Manageable (<30%),34,24.6,Manageable (<30%),17,0.0,100.0,0.0,0.7,24.1,32.3,27,158,14.3,19.9,47.2,428,18.1,13.6,21.2,18.4,85.5,True
SAL10217,SAL10217,55,555,1262,1517,270,2.3,94,39,14,11,0,153,61.4,25.5,9.2,0.0,27.7,Manageable (<30%),6,21.4,Manageable (<30%),0,0.0,101.3,0.0,0.7,65.4,15.0,30,153,13.7,21.1,51.0,394,16.7,20.9,24.0,25.0,85.5,True
SAL11791,SAL11791,46,838,2447,2600,538,3.2,188,173,28,19,0,391,48.1,44.2,7.2,0.0,24.5,Manageable (<30%),118,22.0,Manageable (<30%),35,0.0,99.2,2.0,0.8,17.1,47.6,53,391,22.9,25.2,35.8,1272,19.2,12.2,22.1,16.8,85.5,True
SAL10862,SAL10862,44,930,2399,2600,450,3.2,61,44,20,17,0,133,45.9,33.1,15.0,0.0,25.0,Manageable (<30%),36,18.8,Manageable (<30%),30,0.0,95.5,2.3,0.8,11.3,36.1,21,133,27.0,26.0,34.2,430,22.4,10.2,26.6,16.8,85.5,True
SAL14401,SAL14401,44,836,1913,1997,420,2.5,296,372,76,51,0,756,39.2,49.2,10.1,0.0,24.1,Manageable (<30%),92,22.0,Manageable (<30%),59,0.9,98.4,1.9,0.7,35.6,19.0,180,756,22.0,25.9,35.5,1953,21.1,15.7,22.2,19.9,85.5,True
SAL10494,SAL10494,41,721,1607,1733,310,2.7,62,67,21,13,0,157,39.5,42.7,13.4,0.0,24.9,Manageable (<30%),30,19.3,Manageable (<30%),3,0.0,96.2,2.5,0.8,40.8,21.0,9,157,22.3,27.4,30.9,457,21.7,16.3,24.2,21.0,85.5,True
SAL11412,SAL11412,48,873,1978,2058,400,2.8,54,41,16,5,0,110,49.1,37.3,14.5,0.0,24.0,Manageable (<30%),18,20.2,Manageable (<30%),12,0.0,98.2,4.5,0.8,27.3,25.5,14,110,19.0,28.6,37.3,332,20.8,14.5,24.0,19.2,85.5,True
SAL14535,SAL14535,47,646,1385,1517,280,2.6,64,50,11,0,0,121,52.9,41.3,9.1,0.0,25.3,Manageable (<30%),0,20.2,Manageable (<30%),0,0.0,100.0,4.1,0.8,30.6,9.9,30,121,17.5,18.9,41.8,349,17.9,15.0,22.2,19.0,85.5,True
SAL13526,SAL13526,37,818,1625,1647,403,2.7,28,64,12,6,0,105,26.7,61.0,11.4,0.0,23.4,Manageable (<30%),0,24.8,Manageable (<30%),0,0.0,100.0,0.0,0.8,24.8,7.6,44,105,24.7,27.4,23.6,292,24.3,14.0,21.6,19.2,85.5,True
SAL13608,SAL13608,41,920,2424,2600,400,3.1,72,97,14,9,0,188,38.3,51.6,7.4,0.0,24.8,Manageable (<30%),84,16.5,Manageable (<30%),4,0.0,94.7,5.3,0.9,28.7,39.4,41,188,22.3,28.7,29.0,613,18.5,14.1,21.4,17.5,85.5,True
SAL10766,SAL10766,36,835,1950,2167,420,2.8,226,329,135,105,13,699,32.3,47.1,19.3,1.9,25.6,Manageable (<30%),92,21.5,Manageable (<30%),101,0.6,99.0,1.1,0.8,28.8,17.2,216,699,27.2,26.1,26.4,2030,26.4,14.1,26.8,21.2,85.4,True
SAL13914,SAL13914,50,687,1375,1517,250,2.5,61,27,12,0,0,109,56.0,24.8,11.0,0.0,25.5,Manageable (<30%),8,18.2,Manageable (<30%),0,0.0,100.9,8.3,0.8,35.8,9.2,10,109,17.3,25.1,40.1,342,17.7,16.7,24.5,19.7,85.4,True
SAL11769,SAL11769,42,491,1284,1445,240,2.8,81,65,67,25,33,229,35.4,28.4,29.3,14.4,26.0,Manageable (<30%),0,18.7,Manageable (<30%),0,3.9,94.3,0.0,0.8,41.9,2.6,119,229,23.0,22.9,33.6,757,28.4,15.6,31.0,24.5,85.4,True
SAL11792,SAL11792,42,914,2409,2817,450,3.1,95,84,36,20,0,215,44.2,39.1,16.7,0.0,27.0,Manageable (<30%),80,18.7,Manageable (<30%),25,0.0,97.7,1.9,0.8,21.9,41.4,24,215,23.2,26.6,31.6,668,22.5,12.2,26.5,19.2,85.4,True
SAL12267,SAL12267,41,819,2454,2648,620,3.3,59,61,15,4,0,140,42.1,43.6,10.7,0.0,24.9,Manageable (<30%),42,25.3,Manageable (<30%),6,0.0,102.1,0.0,0.8,18.6,45.7,18,140,25.3,28.9,27.1,499,22.7,12.9,23.9,18.7,85.4,True
SAL11239,SAL11239,47,695,1221,1083,230,2.2,1209,889,774,479,105,2990,40.4,29.7,25.9,3.5,20.5,Manageable (<30%),70,18.8,Manageable (<30%),22,0.5,89.0,2.8,0.7,58.1,10.5,572,2990,20.8,21.5,40.9,7432,26.1,19.5,27.2,24.8,85.4,True
SAL11512,SAL11512,46,769,1784,1833,350,2.7,74,51,16,7,0,150,49.3,34.0,10.7,0.0,23.7,Manageable (<30%),12,19.6,Manageable (<30%),0,0.0,96.0,4.0,0.9,32.0,17.3,26,150,16.9,28.6,35.6,444,18.6,15.3,22.7,19.1,85.4,True
SAL12203,SAL12203,38,760,1369,1302,320,2.5,310,322,228,160,0,874,35.5,36.8,26.1,0.0,21.9,Manageable (<30%),34,23.4,Manageable (<30%),0,1.0,96.1,0.9,0.7,49.9,10.2,246,874,24.6,23.6,30.7,2313,28.8,18.7,27.8,25.1,85.4,True
SAL12217,SAL12217,45,606,1448,1670,280,2.9,91,99,19,10,0,207,44.0,47.8,9.2,0.0,26.6,Manageable (<30%),12,19.3,Manageable (<30%),0,0.0,100.0,3.9,0.9,37.7,10.6,37,207,20.0,26.5,35.1,616,19.1,16.3,22.6,20.3,85.4,True
SAL12663,SAL12663,55,575,1304,1244,290,2.4,97,43,14,7,0,165,58.8,26.1,8.5,0.0,22.0,Manageable (<30%),0,22.2,Manageable (<30%),0,0.0,98.2,4.8,0.7,49.7,9.1,27,165,12.6,25.5,51.7,462,16.7,19.4,21.3,21.3,85.4,True
SAL12733,SAL12733,38,851,1575,1326,230,2.4,900,763,1102,610,224,2959,30.4,25.8,37.2,7.6,19.4,Manageable (<30%),94,14.6,Manageable (<30%),81,2.3,82.6,4.4,0.8,42.4,15.9,832,2959,24.8,24.6,29.8,8962,31.2,15.8,31.3,23.5,85.4,True
SAL11176,SAL11176,32,971,2170,2167,450,3.0,295,981,498,395,50,1803,16.4,54.4,27.6,2.8,23.0,Manageable (<30%),316,20.7,Manageable (<30%),496,1.3,94.3,1.6,0.8,22.6,21.8,652,1803,29.0,28.3,16.9,5541,31.4,12.8,27.8,21.0,85.4,True
SAL11141,SAL11141,44,716,1312,1300,256,2.4,109,79,33,11,8,229,47.6,34.5,14.4,3.5,22.9,Manageable (<30%),3,19.5,Manageable (<30%),0,1.3,96.9,6.1,0.8,59.0,10.5,23,229,17.7,23.2,38.9,586,20.4,21.1,23.6,23.5,85.4,True
SAL11097,SAL11097,41,852,2250,2290,515,2.9,83,108,22,12,0,208,39.9,51.9,10.6,0.0,23.5,Manageable (<30%),64,22.9,Manageable (<30%),19,1.4,98.1,1.4,0.9,31.2,37.5,54,208,23.5,27.4,32.2,631,21.8,15.3,22.1,19.8,85.4,True
SAL12522,SAL12522,53,745,1821,2149,347,2.8,71,44,18,0,0,132,53.8,33.3,13.6,0.0,27.2,Manageable (<30%),24,19.1,Manageable (<30%),9,0.0,100.0,3.8,0.8,36.4,26.5,14,132,18.8,20.8,48.8,389,19.6,15.8,25.4,21.0,85.4,True
SAL13314,SAL13314,46,651,1198,1127,250,2.3,519,331,354,192,57,1262,41.1,26.2,28.1,4.5,21.7,Manageable (<30%),38,20.9,Manageable (<30%),6,2.0,93.2,2.4,0.7,60.2,9.5,308,1262,18.9,23.2,39.6,3355,27.2,20.4,28.3,26.4,85.4,True
SAL13219,SAL13219,41,695,1625,1650,395,2.9,56,36,21,11,0,118,47.5,30.5,17.8,0.0,23.4,Manageable (<30%),8,24.3,Manageable (<30%),12,0.0,98.3,0.0,0.9,23.7,15.3,49,118,22.6,28.8,29.6,358,24.2,13.8,26.2,20.4,85.4,True
SAL13804,SAL13804,47,884,2133,2500,468,2.8,66,38,21,19,0,132,50.0,28.8,15.9,0.0,27.0,Manageable (<30%),32,21.9,Manageable (<30%),26,0.0,100.0,0.0,0.7,22.7,42.4,30,132,23.5,20.8,39.1,379,22.6,12.5,27.4,19.9,85.3,True
SAL11715,SAL11715,47,567,992,1029,208,2.4,81,47,33,7,0,164,49.4,28.7,20.1,0.0,23.9,Manageable (<30%),0,21.0,Manageable (<30%),0,0.0,97.6,3.7,0.8,70.1,7.3,15,164,18.9,26.0,40.2,408,23.2,23.0,26.5,27.0,85.3,True
