SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score,is_sydney_metro
SAL12361,SAL12361,49,752,1843,1733,390,2.6,107,96,12,4,0,218,49.1,44.0,5.5,0.0,21.7,Manageable (<30%),32,21.2,Manageable (<30%),0,0.0,100.9,3.2,0.8,28.0,25.2,23,218,20.0,25.6,42.0,629,17.6,14.5,19.9,17.2,86.7,True
SAL11909,SAL11909,37,959,2198,2167,400,2.7,118,149,49,28,0,329,35.9,45.3,14.9,0.0,22.8,Manageable (<30%),48,18.2,Manageable (<30%),20,0.0,97.0,1.8,0.8,20.4,33.1,71,329,21.0,29.0,26.9,936,22.0,11.7,23.3,17.5,86.7,True
SAL11494,SAL11494,38,887,2234,2008,450,2.8,533,672,180,125,30,1408,37.9,47.7,12.8,2.1,20.7,Manageable (<30%),223,20.1,Manageable (<30%),168,1.1,95.6,0.9,0.8,27.3,29.0,272,1408,24.9,26.4,29.0,4179,22.3,13.4,22.3,18.1,86.7,True
SAL13317,SAL13317,38,776,1785,1733,366,2.9,149,196,66,36,0,420,35.5,46.7,15.7,0.0,22.4,Manageable (<30%),14,20.5,Manageable (<30%),12,1.4,99.3,1.4,0.8,32.4,12.1,103,420,23.3,25.7,29.4,1272,23.5,14.6,23.7,19.9,86.7,True
SAL10169,SAL10169,47,687,1197,893,200,2.3,198,104,128,26,34,460,43.0,22.6,27.8,7.4,17.2,Manageable (<30%),6,16.7,Manageable (<30%),0,0.7,89.3,5.0,0.7,62.2,8.0,97,460,19.3,22.9,40.2,1240,25.7,20.4,26.8,24.4,86.7,True
SAL11523,SAL11523,51,636,1066,953,175,2.2,427,278,207,88,15,949,45.0,29.3,21.8,1.6,20.6,Manageable (<30%),22,16.4,Manageable (<30%),0,0.8,91.1,2.1,0.7,66.0,6.4,184,949,17.4,21.1,45.7,2455,22.6,20.2,25.3,24.6,86.7,True
SAL12087,SAL12087,36,908,2147,2037,420,3.1,230,478,125,95,3,852,27.0,56.1,14.7,0.4,21.9,Manageable (<30%),108,19.6,Manageable (<30%),86,0.0,96.5,0.7,0.8,22.3,26.9,239,852,27.4,28.3,23.8,2693,24.5,12.2,23.0,17.9,86.7,True
SAL12405,SAL12405,50,919,2162,2498,340,2.7,82,61,24,10,0,171,48.0,35.7,14.0,0.0,26.7,Manageable (<30%),42,15.7,Manageable (<30%),0,0.0,100.0,2.9,0.7,18.7,42.1,22,171,18.7,24.1,42.4,502,19.2,10.7,25.0,17.3,86.7,True
SAL11303,SAL11303,39,1075,2487,2324,420,2.7,368,370,124,71,20,871,42.3,42.5,14.2,2.3,21.6,Manageable (<30%),211,16.9,Manageable (<30%),90,0.0,92.3,1.1,0.8,29.7,49.6,173,871,20.0,27.3,30.1,2505,20.5,12.9,22.6,18.1,86.7,True
SAL14204,SAL14204,49,582,1485,1517,300,2.7,233,205,27,7,0,473,49.3,43.3,5.7,0.0,23.6,Manageable (<30%),16,20.2,Manageable (<30%),0,0.0,100.0,1.3,0.7,45.7,9.1,108,473,17.7,24.0,42.2,1364,17.0,17.0,20.4,20.0,86.6,True
