Country,Total_Suburbs,Bottom_10pct_Income,Bottom_10pct_Age,Bottom_10pct_Tertiary,Bottom_10pct_Unemployment,Top_10pct_Income,Top_10pct_Age,Top_10pct_Tertiary,Top_10pct_Unemployment,Income_Gap_Dollars,Income_Gap_Percent,Age_Difference,Tertiary_Difference,Bottom_Examples,Top_Examples
England,1065,508.85046728971963,54.28971962616822,21.120075174685095,6.8803738317756995,1439.5555555555557,41.092592592592595,65.38221575455157,3.4462962962962966,930.705088265836,182.90345555208637,-13.197127033575626,44.26214057986647,No usual address (NSW); Sanctuary Point; Ulladulla,Mosman; Randwick; Cronulla
China,140,627.8571428571429,36.92857142857143,42.49041369653884,7.292857142857144,1466.2857142857142,38.07142857142857,67.87520441778578,3.65,838.4285714285713,133.5381114903299,1.1428571428571388,25.384790721246944,Auburn (NSW); Hurstville; Campsie,Lane Cove; Zetland; Pyrmont
India,92,589.8,31.6,35.90692959814183,9.780000000000001,1224.3,32.8,52.62363744910321,3.3199999999999994,634.5,107.57884028484233,1.1999999999999957,16.716707850961377,Lavington; Marayong; Lalor Park,North Kellyville; The Ponds; Box Hill (NSW)
New Zealand,80,461.625,42.0,13.48808280698817,12.4875,1061.25,44.5,27.21917428675434,1.6625,599.625,129.89439480097482,2.5,13.731091479766167,Bidwill (NSW); Airds; Willmot,Daruka; Hinton; Lord Howe Island
Afghanistan,53,427.3333333333333,42.166666666666664,8.044871794871794,20.416666666666664,1001.8333333333334,43.833333333333336,28.030853048351528,2.3833333333333333,574.5,134.4383775351014,1.6666666666666714,19.985981253479736,Burnt Bridge; North Yeoval; Charbon,Osterley (NSW); March; Richmond Vale
