SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus
SAL12306,Leichhardt (NSW),England,1175,15100,20610,5.701115963124697
SAL11442,Erskineville,England,1171,8645,13437,8.714742874153456
SAL10279,Belmore,Greece,1169,9213,17783,6.57369397739414
SAL14107,Wakeley,Iraq,1166,2823,6375,18.29019607843137
SAL12965,Newport (NSW),England,1166,10738,13525,8.621072088724583
SAL10154,Balgowlah,England,1155,7805,11198,10.31434184675835
SAL14089,Vaucluse,South_Africa,1140,8283,12550,9.083665338645417
SAL10679,Bungarribee,India,1137,2009,4389,25.905673274094326
SAL10796,Canterbury (NSW),China,1099,6014,11920,9.21979865771812
SAL13450,Rozelle,England,1098,8401,11781,9.32009167303285
SAL13524,Seaforth (NSW),England,1090,7165,10289,10.593838079502381
SAL12994,North Bondi,England,1085,8139,12169,8.91609828252116
SAL12107,Kensington (NSW),China,1079,8848,15825,6.8183254344391795
SAL11213,Darlinghurst,England,1079,8779,14645,7.367702287470126
SAL13297,Pyrmont,China,1070,7882,16199,6.605346009012902
SAL11485,Fairlight,England,1064,5793,8412,12.648597242035187
SAL13444,Rouse Hill,India,1040,9916,15868,6.554071086463323
SAL13599,South Granville,Lebanon,1037,3976,7240,14.323204419889501
SAL11605,Georges Hall,Lebanon,1032,9049,12846,8.033629145259225
SAL13423,Roselands,Lebanon,1029,10402,16430,6.262933657942788
SAL11663,Glendenning,India,1028,4015,7166,14.345520513536142
SAL13075,Oatley,China,1028,11367,15141,6.789511921273364
SAL10087,Arncliffe,Lebanon,1024,8202,15046,6.805795560281802
SAL12656,Miranda (NSW),England,1021,18003,24294,4.202683790236272
SAL11533,Five Dock,Italy,1019,9221,13442,7.580717155185241
SAL13411,Ropes Crossing,India,1019,5759,9963,10.227843019170932
SAL13352,Redfern,England,1015,10496,17217,5.895336005111227
SAL13647,St Clair (Penrith - NSW),Philippines,1014,20562,27598,3.674179288354228
SAL13615,South Wentworthville,India,1011,4876,8932,11.31885356023287
SAL11835,Haberfield,Italy,1005,6794,9180,10.947712418300654
SAL11237,Denham Court,India,997,7451,12551,7.943590152179109
SAL12943,Neutral Bay,England,997,8640,13433,7.422020397528474
SAL11425,Engadine,England,995,22476,25369,3.9221096613977693
SAL10741,Caddens,India,985,2919,4795,20.5422314911366
SAL11120,Cronulla,England,976,21058,24753,3.942956409324122
SAL14263,West Hoxton,Iraq,974,8777,13730,7.093954843408594
