Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Clontarf (NSW),SAL10934,273888.7534640131,64.4565960355434,5406.635133315593,0.9740259740259773,97.33424470266576,9548.872180451128,10000.0,85.15470512969641,71.7287488061127,1385,47,3.0,2030.9410259392812,1746,5317,1250,0.8859205776173285,4609
Balgowlah Heights,SAL10155,217503.99957219255,63.499658236500345,5371.441903310523,1.46958304853041,96.03554340396445,9432.672590567327,10000.0,85.5297541275686,69.89949748743719,1333,43,3.3,2105.950825513719,3546,4878,1320,0.8444803508569451,4687
St Ives Chase,SAL13655,215167.3437687388,42.03691045796309,4964.438611697744,1.3072453861927613,96.44565960355435,8079.28913192071,10000.0,78.1211616030966,70.66811515480717,1025,42,3.2,943.6348480928976,3283,4223,950,0.9507692307692307,3306
Longueville,SAL12394,168749.97224401613,68.0792891319207,5436.217492727591,2.2214627477785314,100.0,9644.565960355436,10000.0,85.65136413973623,77.45173745173746,1453,46,3.2,2130.2728279472467,2116,5000,1100,0.7941129758060247,4894
Duffys Forest,SAL11304,163723.56040411274,58.988380041011624,5288.282192000254,2.2300068352700038,75.66643882433355,9193.43814080656,10000.0,50.33878740657374,48.07017543859649,1223,43,3.2,110.16362219721236,509,6134,625,1.157431284986477,4250
Willoughby East,SAL14321,158057.32152606887,55.43403964456596,5226.803291477251,2.306903622693099,96.17224880382776,8947.368421052632,10000.0,91.60727013542409,70.10923535253227,1155,42,3.2,3321.454027084818,1864,4219,873,0.842957042957043,4536
East Killara,SAL11358,151270.00613186572,22.624743677375257,4524.141570949961,1.9907723855092314,98.97470950102529,6609.706083390294,10000.0,76.91555388376905,74.18967587034814,905,43,3.2,907.4666165130714,2895,3900,1000,0.994475138121547,3005
Ingleside,SAL11988,143072.62744307893,37.79904306220095,4853.516404647984,2.3923444976076524,54.68215994531784,7785.372522214628,10000.0,10.0,34.973637961335676,989,44,3.2,56.94634879915078,1030,4000,766,0.9333437038189313,2776
Seaforth (NSW),SAL13524,138332.13347338708,62.95283663704716,5330.940317996976,2.8537252221462808,90.22556390977444,9302.802460697198,10000.0,86.879404099231,63.25446644133269,1263,42,3.1,2375.8808198461984,7384,4333,875,0.7917047323223095,4184
Chatswood West,SAL10892,132170.86681666717,48.25700615174299,5059.623647346149,2.828092959671892,92.75461380724539,8397.129186602871,10000.0,84.3900481540931,66.95371367061357,1057,42,3.0,1878.0096308186196,1521,4000,750,0.8732988865439197,3121
East Lindfield,SAL11360,130605.8059272634,54.27204374572796,5189.415925189209,2.9733424470266527,98.90635680109364,8824.333561175667,10000.0,82.95966530787385,74.15730337078652,1132,43,3.1,1591.9330615747695,3710,4000,990,0.8154389779831477,3457
North Wahroonga,SAL13025,127193.95440630244,45.79630895420369,4999.513566735779,2.9306220095693902,93.6431989063568,8205.741626794259,10000.0,64.65412683729058,67.54530477759472,1039,45,3.1,539.6238051187172,2100,3884,950,0.8626638039535056,3189
Northbridge (NSW),SAL13032,121086.9704094517,67.60082023239919,5400.909264571951,3.4603554340396414,97.88106630211894,9528.366370471633,10000.0,86.90022359884169,72.22368075610397,1375,44,2.9,2380.044719768337,6493,4649,740,0.7802517482517483,3874
Lilli Pilli (Sutherland Shire - NSW),SAL12331,110521.30566105936,59.6719070403281,5260.149359657944,3.759398496240607,79.97265892002734,9077.238550922762,10000.0,86.57331136738055,51.51133501259446,1186,44,3.2,2314.662273476112,1405,4000,900,0.778311064988974,3625
North Curl Curl,SAL12998,110452.21661292565,53.246753246753244,5153.052662279736,3.6654135338345952,85.37252221462748,8711.551606288449,10000.0,93.16949152542372,57.430406852248396,1110,40,3.2,3633.898305084746,4288,4000,700,0.8316008316008316,3611
Bayview (NSW),SAL10237,109103.66140545641,9.227614490772385,3999.473247556135,2.6657552973342433,71.56527682843472,6196.172248803828,8428.57142857143,80.06088482399234,44.5518453427065,876,58,2.3,1012.1769647984686,3807,3691,850,0.9723393045310853,1885
Roseville Chase,SAL13427,108916.8010032328,61.038961038961034,5276.844056807342,3.8448393711551603,97.19753930280245,9118.250170881749,10000.0,81.39829167984814,71.58234660925726,1197,45,3.1,1279.65833596963,1618,4000,925,0.771158665895508,4026
Tennyson Point,SAL13805,104387.01214402811,56.185919343814085,5200.08574508324,3.981544771018463,83.6637047163363,8872.180451127819,10000.0,88.88332219995547,55.11049723756906,1142,42,3.1,2776.6644399910933,1247,4000,700,0.8082985315910008,3232
Castle Cove,SAL10844,101566.67233127414,62.67942583732058,5293.893778961932,4.212235133287763,92.89131920710868,9179.767600820232,10000.0,80.64068635820387,66.9859514687101,1219,46,2.9,1128.1372716407718,2643,4000,1000,0.7572411181927179,3439
North Turramurra,SAL13023,98129.20517110212,13.19207108680793,4167.305206616931,3.2467532467532436,84.89405331510595,6336.295283663704,8928.57142857143,58.70365586953901,56.887366818873666,886,56,2.4,361.1096760861704,4194,3629,760,0.9452161833651676,2064
Dolans Bay,SAL11268,95928.89281831353,62.747778537252216,5286.908153069453,4.511278195488714,79.35748462064251,9166.097060833903,10000.0,88.47859622059391,50.93833780160858,1215,41,3.2,2695.7192441187817,699,4000,800,0.7597340930674265,3542
