SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,Stayed_Same_Address,Moved_Within_NSW,From_Victoria,From_Queensland,From_ACT,From_Other_States,Total_Interstate,From_Overseas,Total_Pop,Recent_Mover_Pct,Interstate_Pct,Overseas_Pct,From_Vic_Pct,Suburb_Name,Median_tot_prsnl_inc_weekly,Median_age_persons,Median_tot_hhd_inc_weekly,Tertiary_Pct,Tertiary_Total,Category,Vic_Arrivals_Count,Mobility_Quartile
SAL12640,825,913,1742,38,52,92,183,201,377,9,7,20,5,3,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,194,218,417,38,39,78,0,0,0,274,311,587,77,99,176,1182,1320,2500,1742,377,20,8,5,3,36,78,2233,22.0,1.6,3.5,0.9,Milsons Point,1866,44,3267,65.9,1317,High_Overseas_Arrivals,20.0,
SAL12630,596,546,1138,54,55,108,135,107,245,16,17,27,5,5,15,4,0,4,8,9,17,0,0,0,0,0,0,3,7,11,0,0,0,171,141,313,26,25,52,0,5,3,253,224,480,51,53,103,899,819,1716,1138,245,27,15,11,21,74,52,1509,24.6,4.9,3.4,1.8,Millers Point,1723,43,3160,64.2,827,High_Overseas_Arrivals,27.0,
SAL13167,9935,9413,19344,1101,981,2080,2693,2387,5080,129,80,209,60,62,123,18,18,34,12,15,24,4,10,15,7,0,9,15,12,23,0,0,0,2937,2585,5518,427,457,880,56,40,91,4514,4053,8573,968,848,1811,15415,14313,29731,19344,5080,209,123,23,82,437,880,25741,24.9,1.7,3.4,0.8,Parramatta,1015,32,2092,55.8,11164,High_Overseas_Arrivals,209.0,
SAL13372,3253,3468,6724,435,490,922,1249,1342,2589,43,50,97,17,17,41,7,4,10,7,5,16,0,4,12,0,0,0,13,11,27,0,0,0,1346,1434,2784,162,172,329,22,23,42,1965,2116,4079,215,247,459,5433,5832,11268,6724,2589,97,41,27,38,203,329,9845,31.7,2.1,3.3,1.0,Rhodes,1119,32,2183,58.1,4849,High_Overseas_Arrivals,97.0,
SAL10891,8909,9785,18694,585,726,1306,1634,1731,3364,53,40,97,39,32,70,11,9,14,6,10,15,4,5,7,0,0,3,14,9,21,0,0,0,1759,1837,3603,345,401,744,37,27,58,2715,2990,5711,452,484,937,12080,13257,25338,18694,3364,97,70,21,39,227,744,23029,18.8,1.0,3.2,0.4,Chatswood,938,37,2158,63.5,10191,High_Overseas_Arrivals,97.0,
SAL11283,1530,1837,3365,61,87,140,318,415,732,7,8,12,12,18,26,4,7,7,3,6,13,0,0,0,0,0,0,3,0,8,0,0,0,343,450,796,65,72,136,4,3,8,469,613,1080,81,119,209,2082,2573,4651,3365,732,12,26,8,20,66,136,4299,21.7,1.5,3.2,0.3,Double Bay,1662,39,3077,67.9,2213,High_Overseas_Arrivals,12.0,
SAL12548,630,578,1207,62,46,105,202,195,394,3,5,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,197,408,23,26,49,0,0,3,295,267,564,44,50,90,973,895,1867,1207,394,10,0,0,0,10,49,1660,27.3,0.6,3.0,0.6,Mays Hill,971,31,2076,52.8,610,High_Overseas_Arrivals,10.0,
SAL13020,2737,2902,5643,227,252,477,865,865,1723,38,34,76,25,27,55,0,6,8,13,15,25,0,0,0,4,0,3,13,9,28,4,0,4,963,964,1926,109,125,234,18,14,30,1318,1349,2671,306,270,576,4362,4524,8883,5643,1723,76,55,28,36,195,234,7795,27.6,2.5,3.0,1.0,North Sydney,1566,36,2405,63.0,4233,High_Overseas_Arrivals,76.0,
SAL10733,607,566,1170,7,9,16,8,16,24,0,0,0,6,8,11,0,0,0,5,0,7,0,0,0,0,0,0,36,32,68,0,0,0,56,53,105,0,0,0,0,0,0,61,60,126,20,18,40,687,647,1340,1170,24,0,11,68,7,86,0,1280,8.6,6.7,0.0,0.0,Bywong,1328,47,3172,52.0,403,Brain_Gain_Suburbs,0.0,Medium-Low
SAL12871,1510,1586,3091,29,24,55,42,38,79,0,5,3,0,5,3,0,0,0,3,5,3,0,0,0,0,0,0,96,108,204,0,0,0,145,155,302,11,8,18,0,0,5,194,194,381,54,44,92,1749,1824,3567,3091,79,3,3,204,3,213,18,3401,9.1,6.3,0.5,0.1,Murrumbateman,1389,40,3348,47.6,944,Brain_Gain_Suburbs,3.0,Medium-Low
SAL11215,756,629,1385,71,62,127,310,332,640,20,27,51,13,10,23,7,11,16,3,4,11,4,3,7,0,0,4,8,13,24,0,0,0,366,404,773,74,68,139,7,3,9,511,530,1047,88,65,154,1348,1228,2581,1385,640,51,23,24,38,136,139,2300,39.8,5.9,6.0,2.2,Darlington (Sydney - NSW),780,27,2392,63.0,1095,Brain_Gain_Suburbs,51.0,High Mobility
SAL11811,532,540,1067,15,18,30,13,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,32,67,0,0,0,45,41,87,5,0,3,0,0,0,61,63,124,19,14,26,611,613,1220,1067,18,0,0,67,0,67,3,1155,7.6,5.8,0.3,0.0,Gundaroo,1352,43,3243,54.6,401,Brain_Gain_Suburbs,0.0,Low Mobility
SAL12025,3973,4041,8015,130,151,277,181,191,375,32,26,58,31,39,72,17,13,29,9,7,20,5,5,7,10,0,9,155,145,294,0,0,0,431,432,868,49,43,95,8,0,8,618,627,1247,108,103,218,4706,4777,9479,8015,375,58,72,294,65,489,95,8974,10.7,5.4,1.1,0.6,Jerrabomberra,1485,38,3403,50.0,2540,Brain_Gain_Suburbs,58.0,Medium-High
SAL14141,797,790,1581,7,10,11,28,31,55,0,5,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,45,33,77,0,0,0,70,68,139,10,3,11,0,0,0,83,78,168,25,18,40,908,892,1793,1581,55,5,5,77,0,87,11,1734,8.8,5.0,0.6,0.3,Wamboin,1362,46,3461,54.5,603,Brain_Gain_Suburbs,5.0,Medium-Low
SAL12630,596,546,1138,54,55,108,135,107,245,16,17,27,5,5,15,4,0,4,8,9,17,0,0,0,0,0,0,3,7,11,0,0,0,171,141,313,26,25,52,0,5,3,253,224,480,51,53,103,899,819,1716,1138,245,27,15,11,21,74,52,1509,24.6,4.9,3.4,1.8,Millers Point,1723,43,3160,64.2,827,Brain_Gain_Suburbs,27.0,High Mobility
SAL14024,2060,1960,4023,236,250,489,944,898,1845,46,58,100,39,36,74,8,16,27,18,16,31,0,0,0,5,0,4,10,16,23,0,0,0,1068,1041,2108,98,96,187,21,13,36,1414,1398,2818,274,250,520,3748,3614,7362,4023,1845,100,74,23,62,259,187,6314,36.3,4.1,3.0,1.6,Ultimo,772,30,1805,52.7,2797,Brain_Gain_Suburbs,100.0,High Mobility
SAL13714,5744,3997,9741,510,351,851,1659,1301,2958,111,99,210,76,64,140,29,21,52,34,33,63,0,6,3,6,0,11,14,16,35,0,0,0,1932,1542,3473,226,169,393,39,29,69,2699,2084,4789,722,485,1208,9167,6572,15732,9741,2958,210,140,35,129,514,393,13606,28.4,3.8,2.9,1.5,Surry Hills,1442,35,2308,60.3,7297,Brain_Gain_Suburbs,210.0,High Mobility
SAL10906,1993,1859,3853,245,279,528,1109,1104,2219,41,44,82,37,31,70,8,6,13,11,19,32,3,3,7,0,3,3,14,19,32,0,0,0,1226,1244,2465,120,118,235,21,24,40,1613,1657,3266,331,308,642,3926,3830,7756,3853,2219,82,70,32,55,239,235,6546,41.1,3.7,3.6,1.3,Chippendale,882,28,1606,54.9,3243,Brain_Gain_Suburbs,82.0,High Mobility
