SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,Stayed_Same_Address,Moved_Within_NSW,From_Victoria,From_Queensland,From_ACT,From_Other_States,Total_Interstate,From_Overseas,Total_Pop,Recent_Mover_Pct,Interstate_Pct,Overseas_Pct,From_Vic_Pct,Suburb_Name,Median_tot_prsnl_inc_weekly,Median_age_persons,Median_tot_hhd_inc_weekly,Tertiary_Pct,Tertiary_Total,Category,Vic_Arrivals_Count,Mobility_Quartile
SAL14371,3008,2954,5962,454,411,862,1348,1269,2614,44,26,70,16,17,27,8,0,12,0,8,9,4,0,9,0,0,0,7,12,21,0,0,0,1427,1338,2767,119,125,244,24,32,59,2032,1897,3934,312,294,609,5346,5152,10505,5962,2614,70,27,21,30,148,244,8968,33.5,1.7,2.7,0.8,Wolli Creek,1071,30,2163,53.2,4275,High_Population_Churn,,
SAL11884,2149,2281,4431,390,476,873,877,805,1678,31,29,64,31,40,79,12,18,27,8,8,14,0,0,0,3,7,10,7,3,14,0,0,0,978,910,1887,177,139,318,27,32,60,1572,1557,3133,341,359,696,4062,4196,8256,4431,1678,64,79,14,51,208,318,6635,33.2,3.1,4.8,1.0,Haymarket,758,30,1931,46.1,2822,High_Population_Churn,,
SAL12446,3009,3310,6318,454,445,899,1282,1318,2600,44,41,84,29,36,65,12,5,12,7,8,19,9,8,9,0,0,0,7,7,14,0,0,0,1379,1427,2807,156,176,339,13,9,25,2008,2059,4071,271,261,533,5287,5630,10912,6318,2600,84,65,14,40,203,339,9460,33.2,2.1,3.6,0.9,Macquarie Park,970,31,1886,58.1,4529,High_Population_Churn,,
SAL19494,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284,1808,3327,237,414,50,185,886,413,6434,71.9,13.8,6.4,3.7,No usual address (NSW),0,0,0,17.7,1282,High_Interstate_Arrivals,,
SAL11547,968,961,1929,44,52,100,203,139,338,40,19,58,117,61,181,22,23,45,16,7,27,6,5,8,7,8,23,12,4,16,0,0,0,426,272,696,9,7,10,11,0,11,486,326,816,182,96,286,1649,1384,3035,1929,338,58,181,16,103,358,10,2635,26.8,13.6,0.4,2.2,Forest Hill (NSW),932,25,1788,17.3,256,High_Interstate_Arrivals,,
SAL12665,2661,2852,5507,134,152,286,45,39,81,339,336,674,9,12,23,0,5,4,5,3,10,0,0,0,0,0,4,0,0,0,0,0,0,396,396,798,3,5,10,6,6,10,544,566,1106,255,262,514,3457,3675,7133,5507,81,674,23,0,18,715,10,6313,12.8,11.3,0.2,10.7,Moama,686,49,1348,24.7,815,High_Interstate_Arrivals,,
SAL12841,938,959,1893,41,45,84,18,27,51,103,110,214,4,7,10,0,0,0,0,0,4,0,0,0,0,4,5,0,0,5,0,0,0,131,148,283,0,0,3,3,0,9,179,198,370,126,142,269,1242,1292,2538,1893,51,214,10,5,9,238,3,2185,13.4,10.9,0.1,9.8,Mulwala,638,53,1185,15.0,183,High_Interstate_Arrivals,,
SAL11697,785,760,1550,40,43,80,7,0,14,80,83,159,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,91,92,177,0,0,3,3,0,4,133,137,270,58,53,111,977,947,1926,1550,14,159,0,0,3,162,3,1729,10.4,9.4,0.2,9.2,Gol Gol,932,37,2104,27.2,239,High_Interstate_Arrivals,,
SAL13589,500,471,974,15,16,41,59,56,115,37,60,102,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,123,222,3,8,10,0,0,0,126,145,269,64,47,117,697,665,1364,974,115,102,4,0,0,106,10,1205,19.2,8.8,0.8,8.5,South Albury,775,40,1147,29.1,218,High_Interstate_Arrivals,,
SAL10206,744,736,1482,53,52,110,5,8,17,58,67,127,3,5,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,82,149,0,0,4,5,6,7,126,142,264,61,64,124,932,947,1872,1482,17,127,4,0,3,134,4,1637,9.5,8.2,0.2,7.8,Barooga,719,46,1375,19.4,165,High_Interstate_Arrivals,,
SAL11710,2771,2768,5536,116,131,248,303,317,621,14,6,23,27,32,57,9,8,19,7,15,20,0,0,0,9,7,20,201,210,411,0,0,0,570,598,1175,28,31,55,13,6,15,731,765,1494,120,110,230,3617,3637,7251,5536,621,23,57,411,59,550,55,6762,18.1,8.1,0.8,0.3,Googong,1576,32,3371,45.2,1758,High_Interstate_Arrivals,,
SAL14002,3079,3470,6554,183,201,383,286,331,613,20,30,51,247,272,524,10,13,23,5,5,8,4,0,3,3,0,7,0,6,3,0,0,0,567,661,1229,33,30,62,24,17,40,805,909,1715,392,427,822,4273,4812,9089,6554,613,51,524,3,41,619,62,7848,16.5,7.9,0.8,0.6,Tweed Heads,660,55,1138,27.9,1426,High_Interstate_Arrivals,,
SAL13305,1629,1490,3119,43,43,84,204,216,417,30,18,49,10,11,26,6,3,10,3,3,4,0,0,0,6,5,11,100,91,191,0,0,0,361,347,708,16,23,36,7,0,9,426,418,840,131,92,221,2182,1995,4178,3119,417,49,26,191,25,291,36,3863,19.3,7.5,0.9,1.3,Queanbeyan East,1079,34,1687,36.7,865,High_Interstate_Arrivals,,
SAL11116,1913,1803,3713,76,71,144,222,185,411,29,24,48,15,12,28,3,3,10,0,3,4,0,0,0,6,4,4,105,118,226,0,0,0,380,346,723,15,13,31,9,8,13,478,435,914,113,126,242,2504,2369,4874,3713,411,48,28,226,18,320,31,4475,17.0,7.2,0.7,1.1,Crestwood,982,35,1719,34.3,896,High_Interstate_Arrivals,,
SAL12039,1057,949,2009,153,148,294,157,152,313,24,17,42,36,52,82,3,0,10,10,7,21,0,7,4,0,0,0,10,5,16,0,0,0,246,242,486,17,9,32,12,8,19,434,411,837,62,62,119,1547,1419,2968,2009,313,42,82,16,35,175,32,2529,20.6,6.9,1.3,1.7,Jindabyne,933,32,2058,34.1,575,High_Interstate_Arrivals,,
