Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Peak Hill (NSW),SAL13177,2526.554591093341,32.53588516746412,2500.8745727956257,97.9835953520164,20.98427887901572,512.6452494873548,9357.14285714286,10.0,19.477911646586342,503,48,2.2,0.9198469729276844,1162,814,185,0.3734515981036856,996
Tingha,SAL13891,2551.7121444974696,30.348598769651403,2479.774094326726,96.1807928913192,0.2050580997949419,105.94668489405332,9785.714285714286,10.0,2.6923076923076925,456,47,2.4,2.859759817123163,774,867,180,0.4387651821862348,897
Lake Conjola,SAL12252,2569.2104056672138,1.2303485987696514,1781.158236500342,68.32706766917293,24.81203007518797,550.2392344497607,6428.571428571429,10.0,21.119592875318062,507,66,1.9,35.5531174960669,687,1500,335,0.6827492034592626,869
Harden,SAL11858,2572.7252688838557,31.100478468899524,2504.8109490723077,96.36021872863978,13.260423786739576,929.5967190704032,8857.142857142859,51.120612862996616,16.331658291457288,550,52,2.1,133.61838588989846,1900,910,220,0.3818181818181818,973
Grenfell,SAL11782,2575.6723134505964,25.76896787423103,2441.2197539302806,93.77990430622008,18.9336978810663,970.6083390293916,8571.428571428572,10.0,18.71244635193133,554,54,2.1,2.961384570297973,2600,1083,200,0.4511246875867815,991
Werris Creek,SAL14255,2579.141741324564,29.59671907040328,2487.2587149692417,95.43745727956257,6.3568010936432,481.8865345181134,9357.14285714286,10.0,13.40782122905028,498,50,2.2,6.484993251745859,1478,906,220,0.4198331788693234,941
Mendooran,SAL12581,2594.899014531254,35.13328776486671,2563.868421052632,97.80416951469584,3.691045796308954,382.7751196172249,9785.714285714286,10.0,11.923076923076923,489,45,2.4,0.716205347285227,626,737,205,0.3478055686644644,928
Tenterfield,SAL13807,2597.6495891511186,16.336295283663706,2299.1418318523583,87.50854408749146,26.657552973342447,608.339029391661,8428.57142857143,10.0,21.938232161874332,517,55,2.1,6.072062406528385,4067,1192,250,0.5320636809998511,933
Berrigan,SAL10317,2617.79645754106,36.50034176349966,2583.137047163363,97.676008202324,12.098427887901572,1390.9774436090224,8642.857142857143,10.0,15.946843853820598,586,55,2.2,1.7555265406030096,1264,933,173,0.3674192701496455,980
Warialda,SAL14167,2625.7979068459977,28.63978127136022,2490.0748462064253,93.83116883116882,18.591934381408063,598.0861244019138,9214.285714285716,10.0,18.616144975288304,515,51,2.2,1.236573568273399,1480,1000,230,0.4480955937266617,964
Brewarrina,SAL10560,2642.409230248904,41.69514695830485,2652.352130325815,99.37628161312372,15.44771018455229,1161.9958988380042,9190.476190476193,10.0,17.28395061728395,569,33,2.3,0.2337377171582816,931,715,150,0.2899824253075571,1004
Gulargambone,SAL11798,2643.174397371583,42.99384825700615,2661.476076555024,99.6924128503076,2.6657552973342447,1066.3021189336978,9357.14285714286,10.0,10.526315789473683,563,43,2.2,0.7194558297723903,528,542,160,0.2221614974723323,953
Glen Innes,SAL11653,2645.4263945657813,25.83732057416268,2472.9764183185234,92.4812030075188,21.12098427887901,598.0861244019138,9142.857142857143,10.0,19.518156424581008,515,49,2.1,31.361699895914857,6219,1068,230,0.4785660941000747,904
Boggabilla,SAL10440,2649.743746547093,37.38892686261107,2606.284688995215,97.35987696514012,0.683526999316473,348.59876965140126,10000.0,10.0,6.88836104513064,486,36,2.9,0.7621938713944763,1022,867,155,0.4116809116809117,1105
