SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score,state
80105105115,801051051,80105,229,132,21,76,0.5764192139737991,0.0917030567685589,0.3318777292576419,492,4719,0.7393075356415478,36571,0.5976825521344055,57.64192139737992,92.89987711014813,98.13926977556432,52.35598100722717,75.79018374783197,3.134613400776689,ACT
80105112501,801051125,80105,391,125,0,243,0.319693094629156,0.0,0.6214833759590793,856,1416,0.7173252279635258,36571,0.5976825521344055,31.9693094629156,99.50278119138476,98.13158915982147,31.9693094629156,65.46180692083753,1.9089711764036008,ACT
80105112502,801051125,80105,870,47,6,759,0.0540229885057471,0.0068965517241379,0.8724137931034482,1125,1416,0.7173252279635258,36571,0.5976825521344055,5.402298850574713,99.97736239570531,98.13158915982147,5.365041617122473,52.31695025261803,0.365716290703526,ACT
80101101809,801011018,80101,254,216,24,5,0.8503937007874016,0.0944881889763779,0.0196850393700787,408,1878,0.6856516976998904,56414,0.5319014529374605,85.03937007874016,95.609921738568,94.38142746264796,77.004154008308,89.27542544642687,4.712255613205591,ACT
80101101810,801011018,80101,235,214,15,3,0.9106382978723404,0.0638297872340425,0.0127659574468085,391,1878,0.6856516976998904,56414,0.5319014529374605,91.06382978723404,93.6630877692258,94.38142746264796,85.25124490719783,91.92586822891072,4.975574494789279,ACT
80101101807,801011018,80101,307,287,17,0,0.9348534201954396,0.0553745928338762,0.0,571,1878,0.6856516976998904,56414,0.5319014529374605,93.48534201954396,98.29894573442856,94.38142746264796,88.30862926927607,94.59096894760336,5.356803380173993,ACT
80101101805,801011018,80101,346,301,28,11,0.869942196531792,0.0809248554913294,0.0317919075144508,652,1878,0.6856516976998904,56414,0.5319014529374605,86.9942196531792,99.07994308259492,94.38142746264796,79.9542249991647,91.3933787784962,5.088574447294811,ACT
80109110916,801091109,80109,327,246,29,52,0.7522935779816514,0.0886850152905198,0.1590214067278287,493,3541,0.6813546276698095,20751,0.5282975635835943,75.22935779816514,98.76059116486644,93.62913136278378,68.55764105153888,85.30151084643663,4.358046934747705,ACT
80105106006,801051060,80105,203,126,16,58,0.6206896551724138,0.0788177339901477,0.2857142857142857,489,3036,0.6791946308724832,36571,0.5976825521344055,62.06896551724138,88.20823362007633,97.92987193583856,57.17683030405979,76.59371371049315,3.300902065144686,ACT
80106113117,801061131,80106,205,131,14,57,0.6390243902439025,0.0682926829268292,0.2780487804878049,328,4425,0.6725946192430461,17848,0.5649531526968853,63.90243902439025,88.6771554233232,96.67186792574869,59.53837001784652,77.45233282368744,3.404642820055781,ACT
80106113106,801061131,80106,362,291,16,55,0.8038674033149171,0.0441988950276243,0.1519337016574585,765,4425,0.6725946192430461,17848,0.5649531526968853,80.38674033149171,99.281256063644,96.67186792574869,76.83373523396722,88.95682006023634,4.7383183004725735,ACT
80106113107,801061131,80106,253,155,16,76,0.6126482213438735,0.0632411067193675,0.300395256916996,530,4425,0.6725946192430461,17848,0.5649531526968853,61.26482213438735,95.53149860940432,96.67186792574869,57.390366979643495,78.23878871969032,3.392437989675388,ACT
80106113113,801061131,80106,226,177,8,33,0.7831858407079646,0.0353982300884955,0.1460176991150442,577,4425,0.6725946192430461,17848,0.5649531526968853,78.31858407079646,92.45763534053424,96.67186792574869,75.54624481165322,85.95372229679391,4.24874404023986,ACT
70101100213,701011002,70101,267,163,17,72,0.6104868913857678,0.0636704119850187,0.2696629213483146,478,4791,0.6701636592530423,16782,0.6205442981807425,61.04868913857678,96.58980661018045,99.5440139706358,57.16169394997826,79.02138982760982,3.4132242615103734,NT
70101100223,701011002,70101,220,121,18,78,0.55,0.0818181818181818,0.3545454545454545,377,4791,0.6701636592530423,16782,0.6205442981807425,55.00000000000001,91.51494081883448,99.5440139706358,50.5,74.4132850397775,2.968989485834764,NT
70101100227,701011002,70101,218,153,3,55,0.7018348623853211,0.0137614678899082,0.2522935779816513,362,4791,0.6701636592530423,16782,0.6205442981807425,70.18348623853211,91.151930664252,99.5440139706358,69.21765844625874,82.24954233344147,3.782238415880388,NT
70101100228,701011002,70101,219,109,10,83,0.4977168949771689,0.045662100456621,0.3789954337899543,372,4791,0.6701636592530423,16782,0.6205442981807425,49.77168949771689,91.33707392794774,99.5440139706358,47.4990096119764,71.96850173279587,2.684499555033824,NT
70101100231,701011002,70101,243,183,5,46,0.7530864197530864,0.0205761316872428,0.1893004115226337,373,4791,0.6701636592530423,16782,0.6205442981807425,75.30864197530865,94.5677834551452,99.5440139706358,73.75908144083726,85.77850276487791,4.139842737566486,NT
70101100222,701011002,70101,318,246,12,48,0.7735849056603774,0.0377358490566037,0.1509433962264151,499,4791,0.6701636592530423,16782,0.6205442981807425,77.35849056603774,98.55442726861136,99.5440139706358,74.43930224279104,87.86245742540477,4.459864815361861,NT
70101100219,701011002,70101,248,161,9,75,0.6491935483870968,0.0362903225806451,0.3024193548387097,386,4791,0.6701636592530423,16782,0.6205442981807425,64.91935483870968,95.07389560830477,99.5440139706358,62.56341050988553,80.65505446309102,3.581894823914588,NT
70101100211,701011002,70101,407,287,21,75,0.7051597051597052,0.0515970515970515,0.1842751842751842,698,4791,0.6701636592530423,16782,0.6205442981807425,70.51597051597052,99.59171463682814,99.5440139706358,66.87755434684182,84.680460826248,4.238903388339052,NT
70101100225,701011002,70101,201,128,8,56,0.6368159203980099,0.0398009950248756,0.2786069651741293,467,4791,0.6701636592530423,16782,0.6205442981807425,63.681592039801,87.75629002005046,99.5440139706358,61.14700131184871,77.82302674724757,3.380389379439573,NT
70101100209,701011002,70101,201,99,7,89,0.4925373134328358,0.0348258706467661,0.4427860696517413,354,4791,0.6701636592530423,16782,0.6205442981807425,49.25373134328358,87.75629002005046,99.5440139706358,47.538427266651816,70.69102506412092,2.6145199106602948,NT
30203103708,302031037,30203,411,342,38,25,0.8321167883211679,0.0924574209245742,0.0608272506082725,916,1367,0.6584778420038536,24203,0.5632403248702613,83.21167883211679,99.61192678351982,96.4636828148244,75.51814161649529,90.01280029251708,5.010194611867489,QLD
20605151105,206051511,20605,219,192,10,13,0.8767123287671232,0.045662100456621,0.0593607305936073,695,1244,0.6523335081279497,61024,0.5985327003805563,87.67123287671232,91.33707392794774,97.92582950650024,83.66798023394007,90.42157925376333,4.728659766665084,VIC
70101100911,701011009,70101,266,239,3,14,0.8984962406015038,0.0112781954887218,0.0526315789473684,435,1856,0.6494051784464661,16782,0.6205442981807425,89.84962406015038,96.52351076903176,99.38150831123473,88.83628243541185,93.6568327605578,5.02012191487842,NT
70101100905,701011009,70101,286,270,3,4,0.944055944055944,0.0104895104895104,0.0139860139860139,544,1856,0.6494051784464661,16782,0.6205442981807425,94.4055944055944,97.58586119914624,99.38150831123473,93.41532593280844,96.2558303775094,5.342867826066776,NT
70101100901,701011009,70101,292,280,3,6,0.958904109589041,0.0102739726027397,0.0205479452054794,529,1856,0.6494051784464661,16782,0.6205442981807425,95.8904109589041,97.82355604424036,99.38150831123473,94.90523550384688,97.07005640946537,5.446740857961571,NT
70101100903,701011009,70101,368,345,4,9,0.9375,0.0108695652173913,0.0244565217391304,629,1856,0.6494051784464661,16782,0.6205442981807425,93.75,99.35806222107236,99.38150831123473,92.73097826086956,96.4568181546556,5.541371853787994,NT
70101100811,701011008,70101,304,272,10,16,0.8947368421052632,0.0328947368421052,0.0526315789473684,535,2657,0.6478907583516216,16782,0.6205442981807425,89.47368421052632,98.20677834551452,99.36129616454303,86.53047091412742,93.77681351218624,5.118173694859263,NT
70101100802,701011008,70101,380,304,31,30,0.8,0.081578947368421,0.0789473684210526,632,2657,0.6478907583516216,16782,0.6205442981807425,80.0,99.4405277795744,99.36129616454303,73.47368421052632,89.05178598783357,4.754239500101361,NT
70101100810,701011008,70101,310,268,3,31,0.864516129032258,0.0096774193548387,0.1,519,2657,0.6478907583516216,16782,0.6205442981807425,86.45161290322581,98.36928400491558,99.36129616454303,85.61498439125911,92.52518803479954,4.962143549883983,NT
70101100803,701011008,70101,235,215,9,8,0.9148936170212766,0.0382978723404255,0.0340425531914893,509,2657,0.6478907583516216,16782,0.6205442981807425,91.48936170212764,93.6630877692258,99.36129616454303,87.98551380715256,93.36548162524268,4.998824842895771,NT
70101100807,701011008,70101,237,212,9,12,0.8945147679324894,0.0379746835443038,0.050632911392405,482,2657,0.6478907583516216,16782,0.6205442981807425,89.45147679324894,93.89512321324624,99.36129616454303,86.05458526945468,92.42684544112753,4.895026931723007,NT
70101100808,701011008,70101,312,281,12,13,0.9006410256410257,0.0384615384615384,0.0416666666666666,549,2657,0.6478907583516216,16782,0.6205442981807425,90.06410256410257,98.42183558631396,99.36129616454303,86.60009861932939,94.08446079637676,5.175266335069817,NT
30501110806,305011108,30501,206,163,20,14,0.7912621359223301,0.0970873786407767,0.0679611650485436,569,6260,0.6413277328142608,52616,0.601552585546549,79.12621359223301,88.88736174891663,98.1380570467628,71.4440569327929,85.08871106420006,4.219578462632306,QLD
80106112903,801061129,80106,486,252,33,187,0.5185185185185185,0.0679012345679012,0.3847736625514403,886,1242,0.6382322713257965,17848,0.5649531526968853,51.85185185185185,99.80272944828924,96.34645236401268,48.3310470964792,74.78395475767798,3.2087295453020834,ACT
80110113903,801101139,80110,241,216,20,5,0.8962655601659751,0.0829875518672199,0.0207468879668049,401,2424,0.6365546218487395,6984,0.6107564494971578,89.62655601659752,94.3567686436841,99.0484121337559,82.18866755048984,92.1862021815444,4.919545845849977,ACT
80110113901,801101139,80110,211,196,15,0,0.9289099526066352,0.0710900473933649,0.0,443,2424,0.6365546218487395,6984,0.6107564494971578,92.89099526066352,89.90120302697109,99.0484121337559,86.28737000516611,92.56517843962452,4.975786302538931,ACT
80110113905,801101139,80110,250,222,19,5,0.888,0.076,0.02,520,2424,0.6365546218487395,6984,0.6107564494971578,88.8,95.28976133497189,99.0484121337559,82.05120000000001,92.12173082724274,4.906602209949024,ACT
80110113910,801101139,80110,291,266,25,0,0.9140893470790378,0.0859106529209622,0.0,454,2424,0.6365546218487395,6984,0.6107564494971578,91.40893470790378,97.77908932151868,99.0484121337559,83.55593344433817,94.06257645080213,5.189060176643859,ACT
80110113909,801101139,80110,204,184,20,0,0.9019607843137256,0.0980392156862745,0.0,329,2424,0.6365546218487395,6984,0.6107564494971578,90.19607843137256,88.44592846517043,99.0484121337559,81.35332564398308,90.55722490324963,4.8011462556934665,ACT
80110113906,801101139,80110,221,197,11,9,0.8914027149321267,0.0497737556561085,0.0407239819004524,532,2424,0.6365546218487395,6984,0.6107564494971578,89.14027149321268,91.67825496410322,99.0484121337559,84.70342540079032,91.43961005334626,4.815961286103344,ACT
50302129624,503021296,50302,219,127,19,66,0.5799086757990868,0.0867579908675799,0.3013698630136986,425,7260,0.636060977746627,64337,0.582077264091197,57.99086757990868,91.33707392794774,96.94473190608628,52.95969642000792,75.28238523356583,3.127811408158676,WA
30503111913,305031119,30503,237,188,18,28,0.7932489451476793,0.0759493670886076,0.1181434599156118,461,2713,0.6301974448315911,60875,0.6083667289607547,79.32489451476793,93.89512321324624,98.84507793803763,73.30021898200076,86.99753225568864,4.340872939452478,QLD
70101100502,701011005,70101,321,265,21,21,0.8255451713395638,0.0654205607476635,0.0654205607476635,586,2476,0.6279482627441034,16782,0.6205442981807425,82.55451713395638,98.63365888364272,99.0763048961904,77.15375433080037,90.14254093099348,4.767153145075602,NT
70101100507,701011005,70101,328,275,6,30,0.8384146341463414,0.0182926829268292,0.0914634146341463,601,2476,0.6279482627441034,16782,0.6205442981807425,83.84146341463415,98.78242028329343,99.0763048961904,82.30777810826888,91.21735024090668,4.859499638599016,NT
70101100505,701011005,70101,271,204,14,46,0.7527675276752768,0.051660516605166,0.1697416974169741,489,2476,0.6279482627441034,16782,0.6205442981807425,75.27675276752768,96.84043722915725,99.0763048961904,71.38791683119784,86.11688493811613,4.219865762082597,NT
70101100509,701011005,70101,364,252,26,67,0.6923076923076923,0.0714285714285714,0.184065934065934,595,2476,0.6279482627441034,16782,0.6205442981807425,69.23076923076923,99.30712761140936,99.0763048961904,64.28571428571429,83.72827838354,4.084544321710956,NT
70101100506,701011005,70101,289,152,0,102,0.5259515570934256,0.0,0.3529411764705882,685,2476,0.6279482627441034,16782,0.6205442981807425,52.59515570934256,97.70794256516396,99.0763048961904,52.59515570934256,75.42522160345855,2.9820826999759134,NT
80101114302,801011143,80101,261,248,10,0,0.950191570881226,0.0383141762452107,0.0,540,440,0.6162464985994398,56414,0.5319014529374605,95.0191570881226,96.16858547312592,93.5620270357674,91.37857635677692,94.708501520018,5.290994011236598,ACT
30502111803,305021118,30502,208,174,19,10,0.8365384615384616,0.0913461538461538,0.048076923076923,644,4198,0.612221087939332,26401,0.5949387056066342,83.65384615384616,89.30615742836815,96.97060345385162,76.01238905325444,87.24874528614468,4.469068076162871,QLD
30502111814,305021118,30502,228,187,20,13,0.8201754385964912,0.087719298245614,0.0570175438596491,587,4198,0.612221087939332,26401,0.5949387056066342,82.01754385964912,92.74222236595304,96.97060345385162,74.82302246845182,87.50610719126107,4.456605327476503,QLD
30502111806,305021118,30502,247,197,22,18,0.7975708502024291,0.0890688259109311,0.0728744939271255,655,4198,0.612221087939332,26401,0.5949387056066342,79.75708502024291,94.98091973352308,96.97060345385162,72.65321509941157,87.05655212886556,4.397350052609318,QLD
80104103927,801041039,80104,258,222,25,6,0.8604651162790697,0.0968992248062015,0.0232558139534883,547,4556,0.6087653661143774,49565,0.5652813576332657,86.04651162790698,95.95918763340016,95.93129487096566,77.70867135388498,90.16348705076447,4.78145670425309,ACT
80104104008,801041040,80104,238,225,10,0,0.9453781512605042,0.042016806722689,0.0,534,5220,0.6079664570230608,49565,0.5652813576332657,94.53781512605042,94.0260979238083,95.91189121014165,90.56563801991383,94.2618974715824,5.1773289881705455,ACT
80105105302,801051053,80105,255,106,22,119,0.4156862745098039,0.0862745098039215,0.4666666666666667,451,2932,0.60641158221303,36571,0.5976825521344055,41.5686274509804,95.69642972640838,96.74665286850784,37.982314494425225,68.48394192145877,2.3050541533915045,ACT
