SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus,SAL_CODE_2021,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Total_Population_G01,Tertiary_Total,Tertiary_Percentage,Unemployment_Rate
SAL10391,Blackett,New_Zealand,238,3113,4215,5.646500593119811,SAL10391,31,560,1174,2.9,3586,167,13.939899833055092,9.6
SAL14000,Turrella,China,237,1826,3335,7.106446776611694,SAL14000,32,840,2137,3.0,2673,777,53.402061855670105,6.3
SAL12322,Lewisham (NSW),China,236,3758,5442,4.336640940830577,SAL12322,34,1344,2405,2.2,4060,1854,66.95557963163597,3.5
SAL10347,Bilambil Heights,England,235,4072,4788,4.908103592314118,SAL10347,44,748,1562,2.6,3491,515,27.569593147751608,5.7
SAL13616,South West Rocks,England,235,6296,6918,3.3969355305001447,SAL13616,58,533,980,2.1,5058,508,20.102888800949742,6.2
SAL13943,Toukley,England,235,5442,6196,3.792769528728212,SAL13943,47,606,1044,2.1,4557,384,18.164616840113528,8.0
SAL10264,Bellambi,England,233,4451,5335,4.36738519212746,SAL10264,38,611,1183,2.3,4039,517,26.40449438202247,6.6
SAL11494,Farmborough Heights,England,232,4973,5853,3.9637792584999145,SAL11494,38,887,2234,2.8,4179,834,36.119532265049806,3.7
SAL11504,Fern Bay,England,231,5007,5638,4.097197587797091,SAL11504,43,735,1435,2.4,4046,632,31.087063453025088,4.0
SAL12277,Lane Cove West,England,230,2788,4382,5.248744865358284,SAL12277,37,1293,2966,2.7,3146,1288,67.71819137749738,2.8
SAL12259,Lake Illawarra,England,229,3595,4291,5.336751340013983,SAL12259,43,608,1069,2.1,3288,275,18.223989396951623,6.3
SAL13726,Swansea (NSW),England,229,6409,6989,3.2765774788954074,SAL13726,53,569,1037,2.2,5044,386,16.259477674810448,6.3
SAL10850,Casuarina (NSW),England,228,3868,4638,4.915912031047866,SAL10850,41,983,2327,2.9,3256,822,45.99888080581981,4.4
SAL10879,Chain Valley Bay,England,228,3179,3702,6.158833063209076,SAL10879,63,530,866,2.1,2773,158,11.987860394537178,5.7
SAL12298,Lawson (NSW),England,224,3131,3721,6.019887127116367,SAL12298,45,732,1519,2.4,2651,691,45.52042160737813,4.3
SAL11750,Grays Point,England,224,3766,4371,5.124685426675818,SAL11750,44,1083,3061,3.0,3034,823,45.79855314412911,2.5
SAL13316,Raby,England,223,6160,8163,2.731838784760505,SAL13316,36,812,1907,3.0,5943,723,27.521888085268365,4.8
SAL12799,Mount Riverview,England,222,3827,4460,4.977578475336323,SAL12799,40,918,2248,2.8,3074,721,42.94222751637879,3.0
SAL10861,Caves Beach,England,219,5098,5696,3.844803370786517,SAL10861,49,711,1628,2.6,4016,696,33.190271816881264,4.8
SAL10769,Camden,England,219,4002,4582,4.779572239196858,SAL10769,43,865,1650,2.4,3378,519,28.801331853496116,3.0
SAL13952,Tregear,New_Zealand,219,3924,4751,4.609555882972006,SAL13952,30,518,1103,2.8,3700,151,12.894961571306576,12.3
SAL12498,Mardi,England,218,4054,4994,4.365238285943131,SAL12498,37,790,1955,2.8,3598,554,31.76605504587156,4.0
SAL11845,Hamilton (NSW),England,216,5314,6318,3.418803418803419,SAL11845,39,888,1689,2.1,4614,1366,48.855507868383405,4.5
SAL12032,Jesmond,Afghanistan,216,2515,3865,5.588615782664942,SAL12032,31,574,1180,2.4,3210,602,37.484433374844336,10.2
SAL10017,Adamstown Heights,England,214,7190,8216,2.6046738072054527,SAL10017,39,983,2325,2.8,5621,1492,49.127428383272964,2.9
SAL10196,Bardwell Park,China,214,2279,3245,6.594761171032358,SAL10196,42,916,2386,2.8,2320,653,52.61885576148268,4.0
SAL10669,Bundeena,England,213,2301,2914,7.309540150995196,SAL10669,50,812,1832,2.5,2103,556,44.76650563607085,4.2
SAL13652,St Helens Park,New_Zealand,213,7257,9197,2.315972599760792,SAL13652,33,794,1850,3.0,6647,695,25.674178056889545,4.9
SAL12740,Mortlake (NSW),China,211,1661,2565,8.226120857699804,SAL12740,35,1321,2347,2.1,1954,707,55.58176100628931,3.9
SAL10872,Centennial Park (NSW),England,210,2010,2938,7.147719537100068,SAL10872,36,1415,2154,1.9,2225,1028,67.63157894736842,3.3
SAL10642,Buff Point,England,210,4566,5016,4.186602870813397,SAL10642,44,657,1323,2.4,3559,292,17.49550629119233,4.8
SAL12081,Kareela,England,209,4032,5095,4.102060843964671,SAL12081,42,983,2765,3.0,3572,885,46.045785639958375,3.2
SAL13997,Tuross Head,England,207,2734,3190,6.489028213166144,SAL13997,62,586,1043,1.9,2353,409,29.466858789625363,3.7
SAL12313,Leonay,England,207,3121,3675,5.63265306122449,SAL12313,41,1051,2466,2.9,2582,494,36.83818046234153,3.1
SAL11416,Emerton,New_Zealand,206,2032,2856,7.212885154061624,SAL11416,32,562,1238,2.9,2295,129,16.973684210526315,12.1
SAL12075,Kanwal,England,206,4761,5484,3.7563822027716993,SAL12075,45,652,1344,2.5,4194,336,16.666666666666664,6.1
SAL13025,North Wahroonga,China,206,1835,2932,7.025920873124147,SAL13025,45,1039,3189,3.1,2100,836,68.80658436213992,4.3
SAL13817,Terranora,England,205,4131,4745,4.3203371970495255,SAL13817,42,831,2120,3.0,3365,602,35.0407450523865,3.8
SAL10914,Church Point,England,203,989,1468,13.8283378746594,SAL10914,54,1161,3182,2.6,1066,360,54.29864253393665,3.4
SAL13513,Sawtell,England,201,4657,5222,3.849099961700498,SAL13513,47,750,1405,2.3,3788,842,39.25407925407926,4.6
SAL14098,Wadalba,England,201,4939,5900,3.406779661016949,SAL14098,32,805,1942,3.0,4204,477,26.03711790393013,4.3
SAL12630,Millers Point,England,199,1299,2320,8.577586206896552,SAL12630,43,1723,3160,1.9,1735,901,69.95341614906833,3.5
SAL10467,Bonnet Bay,England,199,2612,3221,6.1782055262340885,SAL10467,44,1104,3087,3.0,2238,654,49.88558352402746,3.0
SAL13017,North St Marys,New_Zealand,199,4005,5152,3.862577639751553,SAL13017,35,597,1255,2.7,4123,272,16.728167281672818,8.7
SAL12380,Loftus,England,199,5407,6045,3.2919768403639376,SAL12380,39,939,2425,2.9,4190,928,41.8961625282167,2.7
SAL10376,Birmingham Gardens,China,197,2596,3513,5.607742670082551,SAL10376,28,666,1468,2.6,2598,489,37.58647194465796,7.7
SAL10808,Cardiff (NSW),England,197,8126,8980,2.1937639198218264,SAL10808,38,780,1512,2.4,6318,948,29.924242424242426,6.0
SAL11176,Currans Hill,England,197,6669,7888,2.4974645030425964,SAL11176,32,971,2170,3.0,5541,617,26.221844453888654,3.0
SAL13834,The Entrance,England,197,4574,5618,3.5065859736561054,SAL13834,50,599,971,1.9,4244,489,23.464491362763916,8.8
SAL13800,Tempe,England,196,3394,4934,3.972436157276044,SAL13800,39,1067,2452,2.7,3550,1109,57.97177208572922,4.3
SAL10339,Bidwill (NSW),New_Zealand,195,3881,4916,3.966639544344996,SAL10339,30,451,899,2.8,4202,161,12.818471337579618,14.1
SAL12681,Mollymook Beach,England,195,2985,3457,5.640728955741973,SAL12681,57,681,1247,2.2,2531,525,35.47297297297297,2.4
SAL10438,Bogangar,England,194,3994,4547,4.266549373213108,SAL10438,41,761,1595,2.6,3313,570,32.20338983050847,4.3
SAL12970,Niagara Park,England,194,3373,3897,4.978188350012831,SAL12970,37,785,1780,2.7,2779,428,31.1046511627907,4.2
SAL11420,Emu Heights (NSW),England,193,4101,4631,4.167566400345498,SAL11420,38,978,2398,2.9,3205,490,30.625000000000004,3.0
SAL13143,Palm Beach (NSW),England,192,1827,2275,8.43956043956044,SAL13143,58,1295,2807,2.3,1652,591,53.72727272727273,3.8
SAL10717,Burwood Heights,China,190,775,1385,13.718411552346572,SAL10717,38,903,2087,2.7,1134,344,50.887573964497044,4.9
SAL11223,Davistown,England,190,3239,3669,5.178522758244753,SAL11223,48,699,1380,2.4,2602,315,23.42007434944238,3.7
SAL11242,Denistone West,China,190,843,1381,13.758146270818248,SAL11242,42,855,2579,3.1,947,341,65.57692307692308,6.5
SAL12225,Kurraba Point,England,189,1235,1874,10.08537886872999,SAL12225,43,1744,3047,2.0,1401,737,71.27659574468085,3.9
SAL11192,Dalmeny,England,189,2460,2887,6.5465881537928645,SAL11192,59,564,1092,2.1,2194,324,25.878594249201274,3.6
SAL14401,Woodford (NSW),England,188,2324,2719,6.914306730415594,SAL14401,44,836,1913,2.5,1953,546,46.82675814751286,4.4
SAL14441,Worrigee,England,188,6832,7449,2.523828701839173,SAL14441,33,735,1586,2.8,5384,495,20.387149917627678,4.8
SAL11351,East Corrimal,England,186,4064,4782,3.889585947302384,SAL11351,39,840,1518,2.3,3432,718,38.1711855396066,4.5
SAL10016,Adamstown,England,186,7947,8956,2.0768200089325592,SAL10016,36,925,1875,2.4,6335,1572,45.159436943407066,4.3
