SA1_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
12502171105,183,0,0,0,191,95.81,0.0,0.0,0.0,95.81,0.0,0.0,39,26.5,600,894,2722,2944,219,339,64.6,89.02,76.81,False,94.63,True,83.35,False,46.79,71.68,84.93,85.34,99.22,Very High
20703116124,193,14,0,0,219,88.13,6.39,0.0,0.0,88.13,6.39,0.0,41,29.4,602,1008,2440,2899,245,355,69.01,89.26,76.91,False,93.31,True,84.36,False,46.77,71.66,84.91,85.34,99.22,Very High
12602150107,186,0,0,0,194,95.88,0.0,0.0,0.0,95.88,0.0,0.0,44,32.93,577,962,3013,3191,162,326,49.69,86.33,75.69,False,90.5,True,90.92,True,47.02,71.93,85.13,85.33,99.21,Very High
12801160328,178,19,0,0,199,89.45,9.55,0.0,0.0,89.45,9.55,0.0,41,27.34,640,1114,3285,3360,144,353,40.79,92.57,78.31,False,87.09,False,86.22,False,46.47,71.34,84.66,85.33,99.21,Very High
50603112517,186,0,0,0,197,94.42,0.0,0.0,0.0,94.42,0.0,0.0,43,34.65,606,914,2568,2534,153,332,46.08,89.66,77.08,False,86.46,True,90.64,True,46.73,71.62,84.88,85.33,99.21,Very High
11602162841,228,0,0,0,231,98.7,0.0,0.0,0.0,98.7,0.0,0.0,36,15.34,769,1228,3103,3200,213,394,54.06,97.59,80.57,False,92.81,True,73.7,False,46.01,70.85,84.26,85.32,99.21,Very High
30601114111,240,0,4,0,252,95.24,0.0,1.59,0.0,95.24,0.0,1.59,44,30.9,699,1103,2545,2678,166,399,41.6,95.69,79.67,False,82.39,False,86.73,True,46.18,71.03,84.41,85.32,99.21,Very High
30907125207,206,0,0,0,221,93.21,0.0,0.0,0.0,93.21,0.0,0.0,43,30.78,653,821,2583,2661,149,343,43.44,93.46,78.69,False,85.23,True,86.86,True,46.38,71.25,84.58,85.32,99.21,Very High
40103101310,160,51,5,0,227,70.48,22.47,2.2,0.0,70.48,22.47,2.2,50,42.62,549,1107,2527,3386,226,354,63.84,82.37,74.05,False,90.85,True,95.66,True,47.37,72.3,85.42,85.32,99.21,Very High
50603113118,212,5,4,0,228,92.98,2.19,1.75,0.0,92.98,2.19,1.75,37,17.91,765,904,2664,2692,242,381,63.52,97.51,80.53,False,92.21,True,74.44,False,46.02,70.86,84.27,85.32,99.21,Very High
30402108817,170,0,0,0,176,96.59,0.0,0.0,0.0,96.59,0.0,0.0,44,31.9,536,1129,3474,3643,230,340,67.65,80.24,73.17,False,98.09,True,91.14,True,47.55,72.49,85.57,85.31,99.2,Very High
50704118120,220,18,3,0,264,83.33,6.82,1.14,0.0,83.33,6.82,1.14,39,28.83,718,913,2399,2856,184,377,48.81,96.36,79.98,False,84.86,True,83.31,False,46.12,70.96,84.35,85.31,99.2,Very High
21302134632,208,53,22,0,326,63.8,16.26,6.75,0.0,63.8,16.26,6.75,45,35.17,745,1078,2514,3271,238,428,55.61,97.1,76.79,False,83.36,True,88.02,True,45.99,70.83,84.24,85.3,99.2,Very High
30402108705,206,0,21,0,235,87.66,0.0,8.94,0.0,87.66,0.0,8.94,43,30.03,656,958,2625,3152,271,410,66.1,93.64,78.77,False,85.42,True,86.36,True,46.36,71.22,84.56,85.3,99.2,Very High
10201103901,228,0,12,0,282,80.85,0.0,4.26,0.0,80.85,0.0,4.26,38,26.91,721,1054,2391,2816,257,416,61.78,96.46,80.03,False,86.68,True,81.28,False,46.1,70.95,84.34,85.29,99.19,Very High
