SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,is_nsw,is_sydney_metro,income_quartile,apartment_category
SAL10160,SAL10160,47,495,1218,800,100,2.3,30,13,0,0,0,55,54.5,23.6,0.0,0.0,15.2,Manageable (<30%),0,8.2,Manageable (<30%),0,0.0,100.0,0.0,0.8,67.3,0.0,3,55,13.7,22.0,44.6,168,9.8,17.5,16.5,17.1,True,True,Q1 (Lowest),
SAL10162,SAL10162,43,830,1857,1441,240,2.6,29,36,3,0,0,74,39.2,48.6,4.1,0.0,17.9,Manageable (<30%),6,12.9,Manageable (<30%),0,0.0,97.3,8.1,0.8,47.3,12.2,4,74,24.2,22.1,33.3,240,16.4,17.4,18.4,16.8,True,True,Q3,
SAL10163,SAL10163,56,615,1013,1733,360,2.0,1551,768,1613,812,445,4357,35.6,17.6,37.0,10.2,39.5,Moderate (30-40%),134,35.5,Moderate (30-40%),919,9.9,52.6,7.3,0.7,72.2,6.0,1035,4357,16.7,19.9,51.5,9735,35.2,28.7,38.5,38.0,True,True,Q1 (Lowest),Low (<10%)
SAL10165,SAL10165,42,1577,3039,3986,625,2.2,1276,1258,1853,1378,271,4473,28.5,28.1,41.4,6.1,30.3,Moderate (30-40%),1242,20.6,Manageable (<30%),2513,37.6,21.8,16.3,0.9,27.4,77.5,716,4473,20.2,33.4,29.1,10454,33.9,18.4,35.8,26.5,True,True,Q4 (Highest),High (30-50%)
SAL10166,SAL10166,46,1550,3020,4333,617,2.2,273,190,324,213,54,795,34.3,23.9,40.8,6.8,33.1,Moderate (30-40%),176,20.4,Manageable (<30%),431,37.6,15.7,13.2,0.9,27.4,75.2,90,795,20.7,30.3,35.1,1900,33.2,17.4,37.2,27.0,True,True,Q4 (Highest),High (30-50%)
SAL10167,SAL10167,45,759,1931,1950,380,2.6,102,125,44,33,0,272,37.5,46.0,16.2,0.0,23.3,Manageable (<30%),32,19.7,Manageable (<30%),19,0.0,98.5,1.1,0.8,27.6,23.9,53,272,23.3,25.1,36.6,730,23.3,13.4,24.2,19.3,True,True,Q3,
SAL10168,SAL10168,43,905,2147,2167,415,3.0,50,87,15,5,0,148,33.8,58.8,10.1,0.0,23.3,Manageable (<30%),25,19.3,Manageable (<30%),14,0.0,94.6,2.0,0.8,17.6,24.3,10,148,23.2,28.1,32.4,469,21.1,11.5,21.1,16.5,True,True,Q3,
SAL10169,SAL10169,47,687,1197,893,200,2.3,198,104,128,26,34,460,43.0,22.6,27.8,7.4,17.2,Manageable (<30%),6,16.7,Manageable (<30%),0,0.7,89.3,5.0,0.7,62.2,8.0,97,460,19.3,22.9,40.2,1240,25.7,20.4,26.8,24.4,True,True,Q1 (Lowest),Low (<10%)
SAL10174,SAL10174,46,851,2181,2167,450,2.9,123,126,19,8,0,270,45.6,46.7,7.0,0.0,22.9,Manageable (<30%),52,20.6,Manageable (<30%),18,0.0,98.1,1.1,0.7,29.6,35.6,41,270,18.8,23.3,39.1,818,18.2,13.8,20.4,17.8,True,True,Q4 (Highest),
SAL10175,SAL10175,40,920,2097,2170,650,2.7,279,364,233,131,8,912,30.6,39.9,25.5,0.9,23.9,Manageable (<30%),218,31.0,Moderate (30-40%),338,2.5,94.3,5.9,0.9,28.3,33.0,215,912,18.7,31.1,27.7,2752,30.2,18.5,27.0,24.4,True,True,Q3,Low (<10%)
SAL10178,SAL10178,43,949,2626,2800,650,2.9,828,833,137,80,19,1826,45.3,45.6,7.5,1.0,24.6,Manageable (<30%),721,24.8,Manageable (<30%),200,2.4,88.6,1.4,0.8,25.4,51.3,373,1826,19.4,26.3,35.1,5536,19.8,14.5,21.4,18.9,True,True,Q4 (Highest),Low (<10%)
SAL10179,SAL10179,41,763,2018,2500,500,2.8,425,409,250,175,6,1105,38.5,37.0,22.6,0.5,28.6,Manageable (<30%),276,24.8,Manageable (<30%),303,11.0,77.6,2.8,0.9,38.3,31.7,325,1105,24.4,28.7,30.0,3277,27.5,17.7,29.4,25.0,True,True,Q3,Medium (10-30%)
SAL10180,SAL10180,33,1353,2225,3000,620,2.0,25,56,121,113,0,203,12.3,27.6,59.6,0.0,31.1,Moderate (30-40%),59,27.9,Manageable (<30%),238,83.3,4.4,28.6,1.2,21.2,31.0,30,203,46.1,30.9,9.4,508,50.2,23.6,46.8,31.6,True,True,Q4 (Highest),Very High (>50%)
SAL10181,SAL10181,34,542,1331,1800,400,2.9,2346,2697,5531,3799,826,10980,21.4,24.6,50.4,7.5,31.2,Moderate (30-40%),757,30.1,Moderate (30-40%),3572,58.5,30.0,6.0,1.2,50.8,10.4,3697,10980,31.2,25.3,23.1,34933,43.3,23.4,41.4,34.8,True,True,Q2,Very High (>50%)
SAL10184,SAL10184,52,1085,2250,2334,660,2.4,29,17,7,0,0,54,53.7,31.5,13.0,0.0,23.9,Manageable (<30%),16,29.3,Manageable (<30%),0,0.0,100.0,0.0,0.7,16.7,27.8,6,54,13.5,22.0,48.9,141,21.3,13.5,23.0,19.5,True,True,Q4 (Highest),
SAL10186,SAL10186,49,629,1268,1871,440,2.4,2992,2034,1214,677,197,6535,45.8,31.1,18.6,3.0,34.1,Moderate (30-40%),418,34.7,Moderate (30-40%),1113,3.3,61.6,3.2,0.7,57.8,10.3,1750,6535,19.0,21.4,44.3,16460,27.1,24.3,29.9,30.6,True,True,Q2,Low (<10%)
SAL10188,SAL10188,41,1196,2300,2700,393,2.3,169,124,214,131,54,523,32.3,23.7,40.9,10.3,27.1,Manageable (<30%),109,17.1,Manageable (<30%),153,38.0,40.2,15.3,0.8,37.1,54.1,62,523,30.5,26.8,30.5,1292,34.4,18.7,36.8,26.0,True,True,Q4 (Highest),High (30-50%)
SAL10189,SAL10189,52,674,1125,1500,300,1.7,25,18,9,0,0,55,45.5,32.7,16.4,0.0,30.8,Moderate (30-40%),0,26.7,Manageable (<30%),0,0.0,94.5,7.3,0.7,50.9,16.4,6,55,6.6,32.0,50.8,122,21.3,21.8,25.3,26.3,True,True,Q1 (Lowest),
SAL10191,SAL10191,50,519,1034,650,157,2.2,145,61,62,0,14,291,49.8,21.0,21.3,4.8,14.5,Manageable (<30%),6,15.2,Manageable (<30%),0,1.4,93.1,4.8,0.8,67.0,8.6,60,291,16.7,19.8,44.6,783,21.4,21.0,23.4,22.9,True,True,Q1 (Lowest),Low (<10%)
SAL10192,SAL10192,40,2167,4591,8834,1246,1.8,18,16,65,59,0,104,17.3,15.4,62.5,0.0,44.4,Severe (40-50%),26,27.1,Manageable (<30%),128,95.2,0.0,26.9,1.0,5.8,101.9,4,104,30.0,40.0,22.7,220,47.4,19.4,51.0,32.7,True,True,Q4 (Highest),Very High (>50%)
SAL10194,SAL10194,41,1033,3134,2641,685,3.3,527,608,75,54,6,1224,43.1,49.7,6.1,0.5,19.4,Manageable (<30%),512,21.9,Manageable (<30%),124,0.0,91.8,0.2,0.8,17.3,62.5,233,1224,25.9,25.7,30.4,4129,19.9,11.7,19.8,15.3,True,True,Q4 (Highest),
SAL10195,SAL10195,30,990,2417,2600,550,3.5,77,935,558,521,0,1610,4.8,58.1,34.7,0.0,24.8,Manageable (<30%),589,22.8,Manageable (<30%),870,2.0,82.8,3.4,0.9,14.2,28.6,385,1610,29.8,30.6,8.1,5747,36.2,12.5,30.5,22.3,True,True,Q4 (Highest),Low (<10%)
SAL10196,SAL10196,42,916,2386,2800,550,2.8,342,293,148,116,0,798,42.9,36.7,18.5,0.0,27.1,Manageable (<30%),260,23.1,Manageable (<30%),200,4.8,86.3,2.5,0.9,27.4,51.3,165,798,24.5,27.1,31.6,2320,24.9,15.0,27.6,21.7,True,True,Q4 (Highest),Low (<10%)
SAL10197,SAL10197,42,793,2099,2600,550,2.9,345,283,137,91,22,793,43.5,35.7,17.3,2.8,28.6,Manageable (<30%),221,26.2,Manageable (<30%),191,6.4,65.6,5.8,0.9,37.1,34.0,220,793,21.7,27.4,32.1,2344,24.8,18.8,27.4,24.1,True,True,Q3,Low (<10%)
SAL10198,SAL10198,48,670,1262,744,200,2.2,105,51,23,6,9,190,55.3,26.8,12.1,4.7,13.6,Manageable (<30%),0,15.8,Manageable (<30%),0,0.0,97.4,5.3,0.7,63.7,8.4,38,190,21.1,24.8,38.8,459,18.3,20.5,20.6,20.4,True,True,Q1 (Lowest),
SAL10199,SAL10199,41,742,1736,2167,410,2.8,530,671,265,171,8,1553,34.1,43.2,17.1,0.5,28.8,Manageable (<30%),251,23.6,Manageable (<30%),193,1.5,89.2,3.1,0.8,40.7,20.3,374,1553,22.3,25.6,31.8,4516,25.0,17.8,26.8,23.8,True,True,Q3,Low (<10%)
SAL10200,SAL10200,58,571,995,1148,185,2.1,356,131,149,78,4,672,53.0,19.5,22.2,0.6,26.6,Manageable (<30%),10,18.6,Manageable (<30%),0,2.4,85.7,3.0,0.7,73.7,10.4,78,672,14.6,17.3,54.3,1569,22.1,22.6,28.3,27.8,True,True,Q1 (Lowest),Low (<10%)
SAL10202,SAL10202,50,443,784,1219,260,2.4,44,8,12,6,0,74,59.5,10.8,16.2,0.0,35.9,Moderate (30-40%),0,33.2,Moderate (30-40%),0,0.0,98.6,17.6,1.1,79.7,0.0,15,74,9.2,22.4,44.9,196,22.3,33.4,30.0,34.1,True,True,Q1 (Lowest),
