SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority,Median_rent_weekly_2016,Median_tot_hhd_inc_weekly_2016,public_housing_dwellings_2016,unemployment_rate_2016,rent_to_income_ratio_2016,rental_stress_2016,rent_change_5yr,income_change_5yr,unemployment_change_5yr,rent_pct_change,income_pct_change,affordability_deterioration,stress_transition,stress_trend,stress_acceleration,high_acceleration
21005154306,0,900,549,33,4.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,50.0,66.7,0.0,0.0,0.5481335952848723,0.5,1.0,25.962671905697444,30.000000000000004,Moderate (25-50),Moderate (25-50),31.82907662082515,Moderate Priority,0.0,803.5714285714284,0.0,49.995,0.0,0,0.0,96.42857142857156,0.005000000000002558,0.0,12.000000000000018,-12.000000000000018,0,Remained Affordable,25.962671905697444,1
21402138205,0,1625,949,25,4.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,50.0,100.0,0.0,0.0,0.5481335952848723,0.5,1.0,25.962671905697444,30.000000000000004,Moderate (25-50),Moderate (25-50),31.82907662082515,Moderate Priority,0.0,1450.892857142857,0.0,49.995,0.0,0,0.0,174.1071428571429,0.005000000000002558,0.0,12.000000000000002,-12.000000000000002,0,Remained Affordable,25.962671905697444,1
31802146908,0,466,350,18,1.1,0.0,0,0,No Data,12,7,171.42857142857142,1,0,0,0,0.0,0,0,0.0,0,50.0,6.5,0.0,0.0,0.5481335952848723,0.5,1.0,25.962671905697444,30.000000000000004,Moderate (25-50),Moderate (25-50),31.82907662082515,Moderate Priority,0.0,416.07142857142856,0.0,49.995,0.0,0,0.0,49.928571428571445,0.005000000000002558,0.0,12.000000000000004,-12.000000000000004,0,Remained Affordable,25.962671905697444,1
40402110221,0,450,450,60,1.0,0.0,0,0,No Data,0,4,0.0,0,0,0,0,0.0,0,0,0.0,0,50.0,66.7,0.0,0.0,0.5481335952848723,0.5,1.0,25.962671905697444,30.000000000000004,Moderate (25-50),Moderate (25-50),31.82907662082515,Moderate Priority,0.0,401.7857142857142,0.0,49.995,0.0,0,0.0,48.21428571428578,0.005000000000002558,0.0,12.000000000000018,-12.000000000000018,0,Remained Affordable,25.962671905697444,1
80106113003,0,900,331,39,1.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,42.9,31.8,0.0,0.0,0.5481335952848723,0.429,1.0,25.252671905697444,28.58,Moderate (25-50),Moderate (25-50),30.835076620825145,Moderate Priority,0.0,803.5714285714284,0.0,42.894999999999996,0.0,0,0.0,96.42857142857156,0.005000000000002558,0.0,12.000000000000018,-12.000000000000018,0,Remained Affordable,25.252671905697444,1
30910126810,0,1375,1375,37,2.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,40.0,100.0,0.0,0.0,0.5481335952848723,0.4,1.0,24.962671905697448,28.000000000000004,Low (0-25),Moderate (25-50),30.42907662082515,Moderate Priority,0.0,1227.6785714285713,0.0,39.995,0.0,0,0.0,147.32142857142867,0.005000000000002558,0.0,12.000000000000009,-12.000000000000009,0,Remained Affordable,24.962671905697448,1
31202135305,0,612,474,59,1.9,0.0,0,0,No Data,4,9,44.44444444444444,0,0,0,0,0.0,0,0,0.0,0,40.0,38.5,0.0,0.0,0.5481335952848723,0.4,1.0,24.962671905697448,28.000000000000004,Low (0-25),Moderate (25-50),30.42907662082515,Moderate Priority,0.0,546.4285714285713,0.0,39.995,0.0,0,0.0,65.57142857142867,0.005000000000002558,0.0,12.00000000000002,-12.00000000000002,0,Remained Affordable,24.962671905697448,1
70203106104,20,1020,211,27,5.8,0.0196078431372549,0,0,Affordable (<30%),26,46,56.52173913043478,1,0,57,29,0.0,0,0,0.0,0,52.6,13.1,0.0,0.0,0.5481335952848723,0.526,1.0,26.22267190569745,30.520000000000003,Moderate (25-50),Moderate (25-50),32.193076620825146,Moderate Priority,16.666666666666668,910.7142857142857,0.0,52.595,0.018300653594771243,0,3.333333333333332,109.28571428571433,0.005000000000002558,19.999999999999993,12.000000000000007,7.999999999999986,0,Remained Affordable,24.392606546220325,1
10903118014,0,549,549,50,1.0,0.0,0,0,No Data,0,4,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,100.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,490.1785714285714,0.0,33.294999999999995,0.0,0,0.0,58.82142857142861,0.005000000000002558,0.0,12.000000000000009,-12.000000000000009,0,Remained Affordable,24.292671905697446,1
11901135602,0,1125,1062,38,2.5,0.0,0,0,No Data,0,3,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,60.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,1004.4642857142857,0.0,33.294999999999995,0.0,0,0.0,120.53571428571433,0.005000000000002558,0.0,12.000000000000005,-12.000000000000005,0,Remained Affordable,24.292671905697446,1
11901157239,0,2124,875,40,2.5,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,50.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,1896.4285714285713,0.0,33.294999999999995,0.0,0,0.0,227.57142857142867,0.005000000000002558,0.0,12.000000000000005,-12.000000000000005,0,Remained Affordable,24.292671905697446,1
12101140105,0,3750,1875,40,2.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,100.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,3348.2142857142853,0.0,33.294999999999995,0.0,0,0.0,401.7857142857147,0.005000000000002558,0.0,12.000000000000014,-12.000000000000014,0,Remained Affordable,24.292671905697446,1
20504149323,0,1125,824,61,1.3,0.0,0,0,No Data,0,5,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,75.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,1004.4642857142857,0.0,33.294999999999995,0.0,0,0.0,120.53571428571433,0.005000000000002558,0.0,12.000000000000005,-12.000000000000005,0,Remained Affordable,24.292671905697446,1
30903123510,0,824,599,56,1.5,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,75.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,735.7142857142857,0.0,33.294999999999995,0.0,0,0.0,88.28571428571433,0.005000000000002558,0.0,12.000000000000007,-12.000000000000007,0,Remained Affordable,24.292671905697446,1
31602158003,0,725,575,56,2.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,60.0,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,647.3214285714286,0.0,33.294999999999995,0.0,0,0.0,77.67857142857144,0.005000000000002558,0.0,12.000000000000002,-12.000000000000002,0,Remained Affordable,24.292671905697446,1
40304107712,0,1499,612,71,1.8,0.0,0,0,No Data,0,7,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,27.3,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,1338.392857142857,0.0,33.294999999999995,0.0,0,0.0,160.6071428571429,0.005000000000002558,0.0,12.000000000000002,-12.000000000000002,0,Remained Affordable,24.292671905697446,1
40602113804,0,1125,350,49,3.5,0.0,0,0,No Data,0,4,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,14.3,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,1004.4642857142857,0.0,33.294999999999995,0.0,0,0.0,120.53571428571433,0.005000000000002558,0.0,12.000000000000005,-12.000000000000005,0,Remained Affordable,24.292671905697446,1
60201104502,0,900,774,63,2.0,0.0,0,0,No Data,0,5,0.0,0,0,0,0,0.0,0,0,0.0,0,33.3,37.5,0.0,0.0,0.5481335952848723,0.3329999999999999,1.0,24.292671905697446,26.66,Low (0-25),Moderate (25-50),29.491076620825147,Moderate Priority,0.0,803.5714285714284,0.0,33.294999999999995,0.0,0,0.0,96.42857142857156,0.005000000000002558,0.0,12.000000000000018,-12.000000000000018,0,Remained Affordable,24.292671905697446,1
