Metric,Value
Median Rent Growth (%),19.999999999999993
Median Income Growth (%),12.00000000000001
Median Affordability Deterioration (ppt),7.999999999999982
SA1s Entered Stress,2021.0
SA1s Exited Stress,0.0
SA1s Remained Stressed,3655.0
SA1s with Accelerating Stress,614.0
Projected Stressed SA1s 2026 (BAU),8646.0
Projected Stressed SA1s 2026 (Crisis),16791.0
Projected Stressed SA1s 2026 (Policy),5672.0
