SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster
31103131218,672,2962,0.22687373396353816,True
30907155728,602,1210,0.4975206611570248,True
31103131427,602,2761,0.21803694313654473,True
31004130008,577,2399,0.2405168820341809,True
31601141516,534,4378,0.12197350388305161,True
30907155201,516,2237,0.23066607063030845,True
31103131920,488,3817,0.12784909614880796,True
31004129932,462,1622,0.2848335388409371,True
31103131407,459,1897,0.24196099103848182,True
50503125808,442,2744,0.16107871720116618,True
51002126705,434,3292,0.13183475091130012,True
31103131113,433,2324,0.18631669535283993,True
30907155719,432,1574,0.2744599745870394,True
31004130253,420,1588,0.26448362720403024,True
31004130238,408,1990,0.2050251256281407,True
31001127608,404,2664,0.15165165165165165,True
30907155511,404,1345,0.3003717472118959,True
31102130727,402,1345,0.2988847583643123,True
30907155809,398,1678,0.23718712753277713,True
30907155418,390,1289,0.30256012412723043,True
31304137320,386,1472,0.26222826086956524,True
30907155710,380,1033,0.36786060019361083,True
30907155705,378,1405,0.2690391459074733,True
31103131707,373,1510,0.24701986754966887,True
31402157819,373,1885,0.19787798408488064,True
31103131145,372,1313,0.2833206397562833,True
30907125650,372,1538,0.24187256176853056,True
30907125146,370,1320,0.2803030303030303,True
30906124927,369,1353,0.2727272727272727,True
31004130237,365,1592,0.2292713567839196,True
31103131206,363,1594,0.22772898368883313,True
31103131608,362,2195,0.16492027334851936,True
30907155323,361,1240,0.2911290322580645,True
31401138329,359,3369,0.10655981003265064,True
30907155714,357,1083,0.3296398891966759,True
31601141517,355,2973,0.11940800538176925,True
31004130425,353,1331,0.26521412471825695,True
30906124909,352,1504,0.23404255319148937,True
31004130246,350,1606,0.21793275217932753,True
31004130212,350,1910,0.18324607329842932,True
31103131414,346,1455,0.23780068728522336,True
30903123621,344,2424,0.1419141914191419,True
31004130251,342,1093,0.312900274473925,True
21305146422,340,1402,0.24251069900142652,True
30906124832,338,1427,0.23686054660126138,True
31105132808,336,1733,0.19388343912290826,True
31004130248,334,914,0.36542669584245074,True
31102131022,333,1507,0.22096881220968811,True
50503125815,331,2923,0.11323982210058159,True
31103131140,331,1192,0.27768456375838924,True
31004129928,330,1329,0.24830699774266365,True
30906124922,329,1355,0.24280442804428043,True
31105132520,329,1266,0.2598736176935229,True
31103131313,328,1479,0.22177146720757268,True
30907155513,328,1158,0.28324697754749567,True
30906124942,327,1488,0.21975806451612903,True
30907155523,326,1021,0.31929480901077373,True
30907155519,326,1036,0.31467181467181465,True
31004130245,324,841,0.38525564803804996,True
31305137910,322,2267,0.14203793559770622,True
31103131719,322,1244,0.25884244372990356,True
31004129933,320,1590,0.20125786163522014,True
30907155738,317,1407,0.22530206112295664,True
31103131727,317,1313,0.24143183549124142,True
31104156919,317,1147,0.2763731473408893,True
31004130258,316,1262,0.25039619651347067,True
30907155725,316,1236,0.255663430420712,True
31004130441,315,1440,0.21875,True
30907155203,315,1155,0.2727272727272727,True
31004130022,314,1653,0.1899576527525711,True
30305107506,312,1532,0.20365535248041775,True
30907125148,312,964,0.3236514522821577,True
90104100404,310,930,0.3333333333333333,True
90104100403,309,988,0.31275303643724695,True
30909154038,309,2443,0.12648383135489152,True
30903123920,308,1665,0.18498498498498497,True
31103131322,307,1126,0.27264653641207814,True
30907125149,307,1668,0.18405275779376498,True
30907155709,306,1389,0.2203023758099352,True
31103131319,306,1057,0.28949858088930935,True
31106133104,306,1330,0.23007518796992482,True
30907155211,305,1255,0.24302788844621515,True
30907125642,303,1127,0.2688553682342502,True
12503147935,300,2398,0.12510425354462051,True
31105132521,300,2028,0.14792899408284024,True
50102100533,300,2807,0.10687566797292483,True
31105132614,297,1572,0.18893129770992367,True
31004130201,297,1205,0.24647302904564317,True
30903123618,294,1533,0.1917808219178082,True
31004156616,293,1300,0.22538461538461538,True
30907125147,293,1297,0.2259059367771781,True
30906124807,291,1254,0.23205741626794257,True
31102130704,290,1296,0.22376543209876543,True
30907155817,288,1110,0.2594594594594595,True
31004130244,288,1180,0.2440677966101695,True
30907125651,288,1282,0.22464898595943839,True
30903123833,288,2291,0.12570929725010913,True
30907125111,286,1094,0.26142595978062155,True
30907125151,283,1038,0.2726396917148362,True
30910156124,283,1272,0.22248427672955975,True
31103131311,283,1539,0.1838856400259909,True
31402157826,283,1811,0.15626725565985644,True
30906124933,281,1533,0.18330071754729288,True
31004129915,280,1159,0.24158757549611734,True
50705131344,280,1456,0.19230769230769232,True
30906124603,280,1340,0.208955223880597,True
30907125129,279,1203,0.23192019950124687,True
30910156211,279,1708,0.16334894613583137,True
31004130016,279,1598,0.17459324155193992,True
21304157807,278,1871,0.14858364510956706,True
31304137347,277,1624,0.1705665024630542,True
30907155733,276,1112,0.24820143884892087,True
31106133630,276,1312,0.21036585365853658,True
30907155510,276,1055,0.2616113744075829,True
30903123501,276,1831,0.1507373020207537,True
30907155720,275,834,0.32973621103117506,True
30906124930,275,1049,0.2621544327931363,True
30903123832,274,1513,0.1810971579643093,True
30907125403,274,1446,0.18948824343015214,True
31004130454,273,1094,0.24954296160877515,True
50705131217,273,1280,0.21328125,True
30907155222,273,1409,0.1937544357700497,True
