SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster,anchor_strength
50604113633,834,1090,0.7651376146788991,True,5.147411062867535
50701125926,628,810,0.7753086419753087,True,4.996190653343058
31303137017,524,720,0.7277777777777777,True,4.558362068886126
21203155710,652,929,0.7018299246501615,True,4.548964788254287
50703117429,733,1128,0.649822695035461,True,4.287860920190106
11603131505,527,772,0.6826424870466321,True,4.279551478644041
50701125921,504,830,0.6072289156626506,True,3.7797318654876886
11603131931,742,1411,0.52586817859674,True,3.476354688292401
11601130652,913,1831,0.4986346258874932,True,3.399606396361354
11603131956,591,1113,0.5309973045822103,True,3.3896248169060623
11601130628,418,750,0.5573333333333333,True,3.3651067260366045
11601130624,502,978,0.5132924335378323,True,3.1929818664520133
50604113448,547,1094,0.5,True,3.153137643474008
11601130616,330,626,0.5271565495207667,True,3.0586247026748095
31303137001,476,960,0.49583333333333335,True,3.0580602600654694
11603131936,478,968,0.493801652892562,True,3.047595956159522
11601130630,502,1039,0.48315688161693937,True,3.0055209484023764
50402105432,952,2179,0.43689765947682424,True,2.996949696318862
11601130618,276,521,0.5297504798464492,True,2.979325972567573
11601130617,420,854,0.4918032786885246,True,2.971786639515925
21203155736,868,1998,0.4344344344344344,True,2.9399668832484287
11603131542,408,844,0.4834123222748815,True,2.9071040090823024
11603131506,707,1604,0.4407730673316708,True,2.8925486123699873
70102101208,349,709,0.4922425952045134,True,2.8835242184974996
11603131937,545,1204,0.4526578073089701,True,2.852929685864596
11601130601,465,1042,0.44625719769673705,True,2.74188706321346
31303137013,372,815,0.456441717791411,True,2.7028554258987723
11601130637,230,466,0.49356223175965663,True,2.686171831373417
11603131946,430,976,0.4405737704918033,True,2.6725681134678396
11603131950,400,899,0.44493882091212456,True,2.66694613005854
11603131762,392,889,0.4409448818897638,True,2.634120773737627
11603131522,622,1524,0.40813648293963256,True,2.6261731854893675
50703116935,502,1204,0.4169435215946844,True,2.593634771918662
50703116937,577,1416,0.4074858757062147,True,2.5914365269943236
50703116936,389,933,0.41693461950696675,True,2.487493120599267
50403105742,224,499,0.44889779559118237,True,2.4312755312500802
11602163115,350,857,0.40840140023337224,True,2.393553300131917
70102101207,457,1172,0.38993174061433444,True,2.3890607654779714
11603131404,311,752,0.41356382978723405,True,2.3750983928307834
11601130611,364,907,0.4013230429988975,True,2.3677647593208677
11601130651,227,522,0.43486590038314177,True,2.3610372754265483
11603131945,491,1298,0.3782742681047766,True,2.344724999844163
11603131938,269,658,0.4088145896656535,True,2.2887165759431047
11603131501,300,754,0.3978779840848806,True,2.270733527088412
11603131742,417,1126,0.3703374777975133,True,2.2351649710149406
11603131514,422,1143,0.36920384951881013,True,2.232713087976841
50102101411,262,658,0.3981762917933131,True,2.2186996298337
11603131944,352,944,0.3728813559322034,True,2.187496563602246
11603131929,450,1278,0.352112676056338,True,2.1519251195431965
11603131527,271,706,0.3838526912181303,True,2.1518022095838747
11603131535,420,1181,0.3556308213378493,True,2.148946477685521
11601130613,327,887,0.3686583990980834,True,2.13564312282031
11603131914,481,1402,0.34308131241084167,True,2.1195371746493143
11603131523,430,1236,0.3478964401294498,True,2.1103774099875494
11603131907,310,844,0.36729857819905215,True,2.1082177758004295
11603131402,365,1024,0.3564453125,True,2.1039659830971664
11601156132,268,714,0.3753501400560224,True,2.099975699906573
11603131753,253,668,0.3787425149700599,True,2.097223906520494
11603131952,397,1135,0.3497797356828194,True,2.0939396000862747
11603131544,414,1193,0.347024308466052,True,2.0919591847238133
11603131525,588,1807,0.3254012174875484,True,2.0755476458146833
11601130641,375,1075,0.3488372093023256,True,2.068461329089498
50403129920,263,712,0.3693820224719101,True,2.0596553569206195
11603131737,302,842,0.3586698337292161,True,2.049343595325213
11601130638,457,1378,0.3316400580551524,True,2.0319152519159527
11601130602,302,850,0.3552941176470588,True,2.0300556556045053
50604113636,254,695,0.36546762589928056,True,2.025152432331281
11603131511,234,644,0.36335403726708076,True,1.983762438369151
50604113252,269,765,0.3516339869281046,True,1.9685954339484484
50703116921,488,1555,0.31382636655948554,True,1.9433266204911497
11601130615,267,772,0.34585492227979275,True,1.9336703676119154
50703116931,400,1248,0.32051282051282054,True,1.92114148311108
70104104218,359,1116,0.3216845878136201,True,1.8934689491851309
50703116946,278,828,0.3357487922705314,True,1.8906725547661105
50703116917,470,1535,0.30618892508143325,True,1.884549383835646
11601156104,513,1713,0.29947460595446584,True,1.8693873527019846
31303137012,251,743,0.33781965006729475,True,1.86794979941503
11603131916,330,1036,0.3185328185328185,True,1.8481651195699138
11603131504,330,1047,0.3151862464183381,True,1.8287479120099623
70104104210,372,1219,0.3051681706316653,True,1.8070772535746509
50701116022,225,686,0.32798833819241985,True,1.777872266525167
11603131738,259,812,0.31896551724137934,True,1.7736656926515046
11603131760,217,659,0.3292867981790592,True,1.7730431390367714
11603131512,338,1115,0.3031390134529148,True,1.7660879249278851
11603131410,234,727,0.3218707015130674,True,1.7572806194081612
11603131520,387,1346,0.287518573551263,True,1.7138997521799455
11601130619,308,1042,0.29558541266794625,True,1.69469204729799
11602162930,347,1199,0.28940783986655544,True,1.6936732781332298
21301132812,204,645,0.31627906976744186,True,1.6835566445647059
11603131947,214,683,0.31332357247437775,True,1.6827474934397069
50403105745,300,1020,0.29411764705882354,True,1.6785618425731987
11603131734,258,857,0.30105017502917153,True,1.6728840605816577
11603131926,309,1089,0.2837465564738292,True,1.6277326353728836
50703117407,322,1144,0.28146853146853146,True,1.6262273147532302
50403105750,358,1298,0.275808936825886,True,1.6226728929728842
31303137003,203,667,0.30434782608695654,True,1.6185582589960659
50601111724,424,1588,0.26700251889168763,True,1.6159230526599198
11603131423,225,757,0.29722589167767505,True,1.6111233485287508
11602162902,700,2856,0.24509803921568626,True,1.6060068350574974
31402157824,257,899,0.28587319243604004,True,1.5874422840098505
11603131515,242,843,0.2870699881376038,True,1.5768930833789
50703116948,221,759,0.29117259552042163,True,1.5731115960392277
31202135003,576,2361,0.24396442185514614,True,1.5510873127948606
11602162925,252,907,0.27783902976846747,True,1.5373915668790905
11603131537,315,1182,0.26649746192893403,True,1.5338906914381367
11603131521,217,764,0.28403141361256545,True,1.5293657442738642
11602162912,410,1616,0.2537128712871287,True,1.5269945655590693
50102101407,268,991,0.2704339051463169,True,1.5129996465522635
11603131703,269,998,0.2695390781563126,True,1.5089934939584797
11602163212,603,2562,0.23536299765807964,True,1.5071644189518711
11603131403,206,730,0.2821917808219178,True,1.504849412894063
11602162916,234,851,0.27497062279670975,True,1.5012256290361141
11601130625,316,1213,0.2605111294311624,True,1.500258005395895
11603131646,334,1298,0.2573189522342065,True,1.4960859766021357
11602163113,355,1402,0.25320970042796004,True,1.487589450394059
50102101404,240,886,0.2708803611738149,True,1.485723774308981
31303137002,211,767,0.27509778357235987,True,1.4735850116763947
50902124112,222,817,0.2717258261933905,True,1.4692682169695794
11601130424,349,1398,0.24964234620886983,True,1.4623881766199767
21304157212,364,1474,0.24694708276797828,True,1.4569624400977115
11603131954,352,1436,0.24512534818941503,True,1.4380200250978554
11602162923,235,900,0.2611111111111111,True,1.426667193534465
11602162922,295,1180,0.25,True,1.422589863581015
11603131747,216,819,0.26373626373626374,True,1.418874027307374
50701125919,205,790,0.25949367088607594,True,1.3825501450656508
11603131948,297,1225,0.24244897959183673,True,1.381254502442535
11603131536,399,1739,0.22944220816561242,True,1.3746948558344363
