SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster
21203130421,849,1639,0.5179987797437462,True
21305158616,847,1344,0.6302083333333334,True
21305146614,847,1409,0.6011355571327183,True
20904143719,840,1622,0.5178791615289766,True
21203130640,839,1432,0.5858938547486033,True
21203130617,837,1340,0.6246268656716418,True
21203155714,836,1430,0.5846153846153846,True
11602162917,836,1113,0.7511230907457322,True
21305158715,834,1043,0.7996164908916586,True
12504158907,834,1412,0.5906515580736544,True
21305158409,833,1031,0.8079534432589719,True
21305158315,831,1022,0.8131115459882583,True
50302104340,829,934,0.8875802997858673,True
12003139631,824,1341,0.6144668158090977,True
21603159310,821,2544,0.32272012578616355,True
12504158923,821,1389,0.5910727141828653,True
21304135949,819,1369,0.5982468955441929,True
21305158804,819,1402,0.5841654778887304,True
11601130332,817,1291,0.632842757552285,True
11602162911,814,1249,0.6517213771016813,True
12504149115,812,1090,0.744954128440367,True
21305158825,812,1224,0.6633986928104575,True
40204104338,810,1716,0.47202797202797203,True
21305157905,810,919,0.8813928182807399,True
31103131920,806,3817,0.2111605973277443,True
21305158702,805,1286,0.6259720062208398,True
21305157920,803,1354,0.5930576070901034,True
21305159033,801,1885,0.4249336870026525,True
21305158328,801,1461,0.5482546201232033,True
21305158822,799,1444,0.5533240997229917,True
12003139646,797,1815,0.4391184573002755,True
12504158824,796,1013,0.7857847976307996,True
21305158405,796,808,0.9851485148514851,True
21304157205,795,1169,0.6800684345594525,True
20604111817,789,1863,0.42351046698872785,True
21305158831,788,1838,0.42872687704026113,True
21304157212,785,1474,0.5325644504748982,True
12504148954,784,1552,0.5051546391752577,True
11601130334,783,1066,0.7345215759849906,True
30501111102,783,1400,0.5592857142857143,True
12003139632,781,2252,0.34680284191829486,True
20604111815,780,1327,0.587792012057272,True
21203155613,780,1837,0.42460533478497553,True
12602150002,779,6164,0.1263789746917586,True
21305146635,778,1011,0.7695351137487636,True
11602130929,778,1637,0.4752596212583995,True
12504171908,774,945,0.819047619047619,True
11602163109,774,1453,0.5326909841706814,True
21305158613,772,1613,0.4786112833230006,True
11602163209,769,1482,0.5188933873144399,True
21305158346,766,1527,0.501637197118533,True
21305158904,764,1461,0.5229295003422314,True
50601130824,763,1384,0.5513005780346821,True
12504171724,762,997,0.7642928786359077,True
11601162722,759,1558,0.4871630295250321,True
12504171907,759,891,0.8518518518518519,True
12504171925,757,682,1.1099706744868034,True
21305158216,754,1254,0.6012759170653907,True
12504158903,748,1229,0.6086248982912937,True
21305158612,746,830,0.8987951807228916,True
20904143735,745,1347,0.5530809205642168,True
12504158936,745,1106,0.6735985533453888,True
50604113528,745,3928,0.18966395112016293,True
12504158822,744,772,0.9637305699481865,True
12504171710,743,1217,0.610517666392769,True
21305158329,743,802,0.92643391521197,True
21305158834,742,1085,0.6838709677419355,True
21305158222,739,737,1.0027137042062415,True
12504149340,739,1294,0.5710973724884081,True
21005144525,738,1296,0.5694444444444444,True
50603112735,735,1350,0.5444444444444444,True
11602163217,731,1095,0.6675799086757991,True
21305157912,731,1061,0.6889726672950047,True
11602162918,730,1534,0.4758800521512386,True
21203130422,730,1718,0.42491268917345754,True
21203155702,729,1079,0.6756255792400371,True
21305158716,727,1068,0.6807116104868914,True
11601130426,726,1467,0.4948875255623722,True
11602162903,726,1135,0.639647577092511,True
20904122526,726,1517,0.47857613711272246,True
21305158345,725,995,0.7286432160804021,True
21305146627,724,917,0.7895310796074155,True
21203130615,722,1570,0.45987261146496816,True
21305158520,721,1297,0.5558982266769468,True
21305158818,721,1201,0.6003330557868443,True
12504149163,718,924,0.7770562770562771,True
21305158220,718,1245,0.576706827309237,True
20802118207,717,1055,0.6796208530805687,True
12504171701,717,1112,0.6447841726618705,True
11602163308,714,1949,0.366341713699333,True
21305146636,712,1163,0.6122098022355976,True
11602163239,712,967,0.7362978283350569,True
21305158611,707,953,0.7418677859391396,True
21305157910,706,748,0.9438502673796791,True
11601130319,705,1024,0.6884765625,True
11602163218,704,1444,0.48753462603878117,True
12504171719,702,1627,0.43146896127842654,True
21301133921,700,1245,0.5622489959839357,True
20604150527,699,1614,0.43308550185873607,True
12504149162,698,700,0.9971428571428571,True
11601162726,697,749,0.9305740987983978,True
21005144510,696,896,0.7767857142857143,True
20904143744,692,1472,0.4701086956521739,True
12003139640,691,1265,0.5462450592885375,True
12504149312,691,1372,0.5036443148688047,True
21305146612,690,1583,0.43588123815540114,True
11602163235,688,1075,0.64,True
11602163214,686,1431,0.47938504542278126,True
21203155735,684,1244,0.5498392282958199,True
21005144527,679,1032,0.6579457364341085,True
21305158820,678,1293,0.5243619489559165,True
11602162920,678,1103,0.614687216681777,True
12504158904,677,1449,0.46721877156659763,True
21305146401,675,1857,0.36348949919224555,True
12302170421,674,1809,0.37258153676064126,True
21305159025,674,1554,0.4337194337194337,True
21005144231,674,1411,0.47767540751240256,True
21305158327,674,1145,0.588646288209607,True
12504149157,674,816,0.8259803921568627,True
21305158711,674,1052,0.6406844106463878,True
21203155806,673,1518,0.44334650856389984,True
21305158704,671,1267,0.5295974743488555,True
40203103806,671,1184,0.566722972972973,True
21305158347,670,829,0.8082026537997588,True
20604111835,667,1677,0.3977340488968396,True
11602162904,667,1249,0.5340272217774219,True
21305158316,665,1371,0.4850474106491612,True
11601130417,665,1530,0.434640522875817,True
11602156340,665,1240,0.5362903225806451,True
21305158339,664,1038,0.6396917148362236,True
21305146607,664,1572,0.4223918575063613,True
21305158301,662,1226,0.5399673735725938,True
21005144526,661,1686,0.39205219454329776,True
12504171904,661,770,0.8584415584415584,True
12003139614,661,1120,0.5901785714285714,True
11602163116,661,1127,0.5865128660159716,True
12003139602,661,1329,0.49736644093303234,True
50604113525,660,3677,0.17949415284199075,True
12504148942,659,1002,0.6576846307385229,True
12504171813,658,1366,0.4816983894582723,True
21305158349,657,1142,0.5753064798598949,True
12504158809,657,1040,0.6317307692307692,True
12504171706,655,889,0.7367829021372329,True
50601130821,655,1521,0.43063773833004604,True
12504171713,654,870,0.7517241379310344,True
11602162908,654,1357,0.4819454679439941,True
20604111829,654,1458,0.448559670781893,True
21305158302,651,1239,0.5254237288135594,True
20904122524,650,1443,0.45045045045045046,True
21305157911,648,1382,0.46888567293777134,True
20904143714,648,1472,0.44021739130434784,True
21203155512,646,1186,0.5446880269814502,True
21305146620,646,1338,0.4828101644245142,True
12504158942,646,750,0.8613333333333333,True
21005154323,645,1747,0.3692043503148254,True
12601172012,645,1031,0.6256062075654704,True
12601172032,643,2081,0.3089860643921192,True
