SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
31103131218,672,2962,0.22687373396353816,True,385,1703,1808,3.1,0.2129424778761062,0.21736725663716813,Affordable,Affordable
30907155728,602,1210,0.4975206611570248,True,410,1509,1843,3.0,0.2224633749321758,0.18894778580074292,Affordable,Affordable
31103131427,602,2761,0.21803694313654473,True,360,1732,1452,3.4,0.24793388429752067,0.27527018436109346,Affordable,Affordable
31004130008,577,2399,0.2405168820341809,True,360,1560,1706,3.3,0.21101992966002345,0.21101992966002345,Affordable,Affordable
31601141516,534,4378,0.12197350388305161,True,530,1999,2146,2.9,0.24697110904007455,0.21496164599612874,Affordable,Affordable
30907155201,516,2237,0.23066607063030845,True,465,2014,2151,3.4,0.21617852161785217,0.21607123699173908,Affordable,Affordable
31103131920,488,3817,0.12784909614880796,True,420,1842,2167,3.7,0.19381633594831565,0.19615917077846012,Affordable,Affordable
31004129932,462,1622,0.2848335388409371,True,370,1733,1962,3.7,0.18858307849133538,0.2038343919077864,Affordable,Affordable
31103131407,459,1897,0.24196099103848182,True,370,1591,1625,3.2,0.2276923076923077,0.22594082840236687,Affordable,Affordable
50503125808,442,2744,0.16107871720116618,True,305,2000,1924,3.1,0.15852390852390852,0.23988485526947065,Affordable,Affordable
51002126705,434,3292,0.13183475091130012,True,323,681,1100,1.9,0.29363636363636364,0.14286713286713287,Affordable,Affordable
31103131113,433,2324,0.18631669535283993,True,380,1820,1860,3.0,0.20430107526881722,0.22580645161290322,Affordable,Affordable
30907155719,432,1574,0.2744599745870394,True,430,1703,1850,3.2,0.23243243243243245,0.21243243243243243,Affordable,Affordable
31004130253,420,1588,0.26448362720403024,True,350,1717,1652,3.0,0.211864406779661,0.23984913391693052,Affordable,Affordable
31004130238,408,1990,0.2050251256281407,True,365,1500,1910,4.2,0.19109947643979058,0.18123238018525978,Affordable,Affordable
31001127608,404,2664,0.15165165165165165,True,0,0,0,0.0,,,Unknown,Unknown
30907155511,404,1345,0.3003717472118959,True,435,1500,1774,3.3,0.2452085682074408,0.195126181597433,Affordable,Affordable
31102130727,402,1345,0.2988847583643123,True,370,1681,1494,3.1,0.24765729585006693,0.25965400061785604,Affordable,Affordable
30907155809,398,1678,0.23718712753277713,True,460,1906,1987,2.6,0.2315047810770005,0.2213619294645968,Affordable,Affordable
30907155418,390,1289,0.30256012412723043,True,430,2143,1841,2.7,0.23356871265616513,0.26862491121046256,Affordable,Affordable
31304137320,386,1472,0.26222826086956524,True,355,1517,1389,2.5,0.25557955363570917,0.2520352217976408,Affordable,Affordable
30907155710,380,1033,0.36786060019361083,True,455,1844,2080,3.2,0.21875,0.20458579881656805,Affordable,Affordable
30907155705,378,1405,0.2690391459074733,True,450,1733,1785,3.0,0.25210084033613445,0.22404654169360053,Affordable,Affordable
31103131707,373,1510,0.24701986754966887,True,350,1593,1465,3.9,0.23890784982935154,0.2509320031504332,Affordable,Affordable
31402157819,373,1885,0.19787798408488064,True,370,1856,1889,2.8,0.19587083112758072,0.22673779370444272,Affordable,Affordable
31103131145,372,1313,0.2833206397562833,True,393,1688,1552,2.9,0.25322164948453607,0.25099127676447264,Affordable,Affordable
30907125650,372,1538,0.24187256176853056,True,505,2167,2333,3.3,0.21645949421345906,0.21434930264763097,Affordable,Affordable
30907125146,370,1320,0.2803030303030303,True,440,1519,1702,2.9,0.25851938895417154,0.20595679291331465,Affordable,Affordable
30906124927,369,1353,0.2727272727272727,True,510,2167,2371,3.4,0.21509911429776465,0.21091392791097557,Affordable,Affordable
31004130237,365,1592,0.2292713567839196,True,355,1387,1674,3.3,0.2120669056152927,0.19120485249517508,Affordable,Affordable
31103131206,363,1594,0.22772898368883313,True,360,1127,1417,2.5,0.25405786873676783,0.1835405244014983,Affordable,Affordable
31103131608,362,2195,0.16492027334851936,True,350,1690,1684,2.7,0.20783847980997625,0.23159144893111638,Affordable,Affordable
30907155323,361,1240,0.2911290322580645,True,440,1733,1805,2.9,0.24376731301939059,0.2215640315363307,Affordable,Affordable
31401138329,359,3369,0.10655981003265064,True,425,1993,2283,2.9,0.18615856329391153,0.20145557464874153,Affordable,Affordable
30907155714,357,1083,0.3296398891966759,True,460,1909,2148,3.4,0.21415270018621974,0.20509239363987966,Affordable,Affordable
31601141517,355,2973,0.11940800538176925,True,490,2019,1918,2.9,0.25547445255474455,0.24292131226437796,Affordable,Affordable
31004130425,353,1331,0.26521412471825695,True,405,1560,1974,2.8,0.20516717325227962,0.182370820668693,Affordable,Affordable
30906124909,352,1504,0.23404255319148937,True,460,1857,2141,3.0,0.2148528724894909,0.20015808572557756,Affordable,Affordable
31004130246,350,1606,0.21793275217932753,True,380,1700,1743,3.3,0.21801491681009752,0.22507612869058652,Affordable,Affordable
31004130212,350,1910,0.18324607329842932,True,350,1591,1645,2.7,0.2127659574468085,0.2231938274491466,Affordable,Affordable
31103131414,346,1455,0.23780068728522336,True,373,1439,1492,3.7,0.25,0.2225716642606723,Affordable,Affordable
30903123621,344,2424,0.1419141914191419,True,525,1733,1424,2.1,0.3686797752808989,0.2808448573898012,Moderately_Affordable,Affordable
31004130251,342,1093,0.312900274473925,True,370,1700,1841,3.3,0.20097772949483977,0.21309488990097356,Affordable,Affordable
21305146422,340,1402,0.24251069900142652,True,390,2000,2027,3.5,0.19240256536753825,0.22769534363022276,Affordable,Affordable
30906124832,338,1427,0.23686054660126138,True,450,1495,1557,2.5,0.28901734104046245,0.22157996146435452,Affordable,Affordable
31105132808,336,1733,0.19388343912290826,True,390,1512,1884,3.4,0.2070063694267516,0.185203331700147,Affordable,Affordable
31004130248,334,914,0.36542669584245074,True,335,1207,1365,2.9,0.2454212454212454,0.2040574809805579,Affordable,Affordable
31102131022,333,1507,0.22096881220968811,True,420,1733,2071,3.3,0.20280057943022695,0.1931062660179029,Affordable,Affordable
50503125815,331,2923,0.11323982210058159,True,378,2060,1983,2.9,0.19062027231467474,0.2397300128011172,Affordable,Affordable
31103131140,331,1192,0.27768456375838924,True,400,1777,1784,3.2,0.2242152466367713,0.2298637461193515,Affordable,Affordable
31004129928,330,1329,0.24830699774266365,True,350,1820,1422,2.9,0.24613220815752462,0.29535864978902954,Affordable,Affordable
30906124922,329,1355,0.24280442804428043,True,470,1623,1755,2.9,0.2678062678062678,0.21341222879684418,Affordable,Affordable
31105132520,329,1266,0.2598736176935229,True,315,1387,1183,2.1,0.26627218934911245,0.27056375577085634,Affordable,Affordable
31103131313,328,1479,0.22177146720757268,True,400,1789,1966,3.2,0.2034587995930824,0.2099929571953987,Affordable,Affordable
30907155513,328,1158,0.28324697754749567,True,450,2062,1639,3.7,0.2745576571079927,0.29032712254188764,Affordable,Affordable
30906124942,327,1488,0.21975806451612903,True,460,2080,2031,3.0,0.22648941408173315,0.2363367799113737,Affordable,Affordable
30907155523,326,1021,0.31929480901077373,True,425,1700,1792,3.1,0.23716517857142858,0.2189217032967033,Affordable,Affordable
30907155519,326,1036,0.31467181467181465,True,430,1700,1788,3.3,0.24049217002237136,0.21941146102219927,Affordable,Affordable
31004130245,324,841,0.38525564803804996,True,370,1635,1728,3.5,0.21412037037037038,0.21834935897435898,Affordable,Affordable
31305137910,322,2267,0.14203793559770622,True,375,1733,1193,1.7,0.3143336127409891,0.3352247082339287,Moderately_Affordable,Moderately_Affordable
31103131719,322,1244,0.25884244372990356,True,360,1543,1452,3.0,0.24793388429752067,0.24523204068658613,Affordable,Affordable
31004129933,320,1590,0.20125786163522014,True,370,1890,2062,3.0,0.17943743937924345,0.21151980899798553,Affordable,Affordable
30907155738,317,1407,0.22530206112295664,True,490,2222,2185,3.4,0.2242562929061785,0.23467699348706214,Affordable,Affordable
31103131727,317,1313,0.24143183549124142,True,390,1604,1613,3.8,0.24178549287042778,0.2294816157184415,Affordable,Affordable
31104156919,317,1147,0.2763731473408893,True,420,1950,2223,3.2,0.18893387314439947,0.20242914979757085,Affordable,Affordable
31004130258,316,1262,0.25039619651347067,True,375,1650,1687,3.4,0.22228808535862477,0.22570790205644978,Affordable,Affordable
