SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,anchor_strength
20604111737,3118,2285,1.3645514223194748,True,10.978181505638132
12003167812,3254,3237,1.0052517763361137,True,8.13042364621787
20703116353,299,212,1.4103773584905661,True,8.044485660010396
20703116357,1564,1524,1.026246719160105,True,7.548702549246544
20604150401,1205,1263,0.9540775930324624,True,6.769241943492473
20703116351,1401,1504,0.9315159574468085,True,6.749443317619644
11903166404,1735,1918,0.9045881126173096,True,6.747629292600215
11703164816,1057,1105,0.9565610859728507,True,6.661621124277
11703164727,968,1000,0.968,True,6.656224144310261
20604150408,1476,1635,0.9027522935779817,True,6.588077055055852
20703116358,1048,1107,0.9467028003613369,True,6.58487900054139
20802117757,1024,1086,0.9429097605893186,True,6.536672781740561
11703164513,1615,1833,0.8810692853246045,True,6.50908369946311
11903166405,365,349,1.0458452722063036,True,6.173241165305153
40101100160,755,815,0.9263803680981595,True,6.1400874098350275
11703164503,1346,1585,0.849211356466877,True,6.119107222364889
20604150414,2124,2660,0.7984962406015037,True,6.117700571731387
20703116334,1503,1800,0.835,True,6.10876272626567
20604150426,918,1027,0.8938656280428432,True,6.099100935075482
12003167805,1022,1164,0.8780068728522337,True,6.08502203677196
12602172303,1111,1281,0.8672911787665886,True,6.083107019917639
11903166412,848,945,0.8973544973544973,True,6.0518118412614
11703163916,1266,1498,0.8451268357810414,True,6.037930233836156
20703116346,1182,1389,0.8509719222462203,True,6.021314670426532
20604150418,734,810,0.9061728395061729,True,5.980623390644719
11903166406,934,1071,0.8720821661998133,True,5.9655186352526925
20604150411,1114,1337,0.8332086761406133,True,5.84630006571291
11903137461,1330,1644,0.8090024330900243,True,5.819709329966848
20804119556,514,554,0.927797833935018,True,5.793324525164549
12602172315,1303,1622,0.8033292231812577,True,5.762434550221971
21205156710,441,473,0.9323467230443975,True,5.679212807603097
40101100155,1105,1382,0.7995658465991317,True,5.60376137930602
12001167314,1965,2682,0.732662192393736,True,5.556331517855881
12003167827,1368,1781,0.768107804604155,True,5.547148460973946
12001167306,1731,2337,0.7406931964056482,True,5.523372933791545
12003167820,1054,1362,0.7738619676945668,True,5.38708225579245
11903137329,346,376,0.9202127659574468,True,5.382623334738334
11903166519,738,906,0.8145695364238411,True,5.380474465408138
12602172332,1188,1574,0.7547649301143583,True,5.344390763194821
11903166522,669,827,0.8089480048367593,True,5.264049322352567
20604150318,736,924,0.7965367965367965,True,5.259204208497134
20703116303,708,901,0.7857935627081021,True,5.157835419294946
20703116312,1126,1537,0.7325959661678595,True,5.1481822659783925
11703164514,958,1289,0.743211792086889,True,5.102811210037498
12003167818,836,1104,0.7572463768115942,True,5.09613489395761
12501171017,846,1122,0.7540106951871658,True,5.083314427518395
11703163911,765,1004,0.7619521912350598,True,5.0602633066250515
11703164321,1143,1610,0.7099378881987578,True,4.999585772998215
11903166417,949,1304,0.727760736196319,True,4.989863821610631
12001167303,524,680,0.7705882352941177,True,4.826501014114722
11703164618,614,822,0.7469586374695864,True,4.796686219505111
12101168411,831,1173,0.7084398976982097,True,4.76343116651528
12501171002,1725,2702,0.6384159881569208,True,4.758473067573952
11903166408,788,1110,0.7099099099099099,True,4.7356431178617555
11703164311,567,763,0.7431192660550459,True,4.712952613912049
11903166415,588,800,0.735,True,4.688143244983916
12602150002,3525,6164,0.5718689162881246,True,4.6709791944234755
12602172309,761,1090,0.6981651376146789,True,4.632986540254622
12601172032,1333,2081,0.6405574243152331,True,4.609411015325293
11903166411,718,1025,0.7004878048780487,True,4.607711663262157
20604150421,1009,1523,0.6625082074852265,True,4.5830367434824835
11703164822,473,636,0.7437106918238994,True,4.58215575968832
11703164314,510,699,0.7296137339055794,True,4.550140902723733
80105105311,504,693,0.7272727272727273,True,4.526951584927535
12501171018,1740,2872,0.6058495821727019,True,4.520979803341451
20604150420,858,1284,0.6682242990654206,True,4.514368952540881
11703164814,679,987,0.6879432624113475,True,4.486829797322729
12003167803,667,969,0.6883384932920537,True,4.477151921309538
12501171028,742,1096,0.677007299270073,True,4.475489475529724
12001167319,563,797,0.7063989962358845,True,4.475075964358102
11703163908,772,1155,0.6683982683982684,True,4.445035000441117
11904167116,428,587,0.7291311754684838,True,4.419597208349559
12001167301,733,1095,0.6694063926940639,True,4.417084126004054
12501171020,1052,1661,0.633353401565322,True,4.407758720508695
11903166511,664,982,0.6761710794297352,True,4.394968019343673
11703164815,688,1024,0.671875,True,4.390865228962302
12003167830,835,1285,0.6498054474708171,True,4.3722995267904485
12003167824,975,1538,0.6339401820546163,True,4.363703525196856
12501171010,925,1456,0.6353021978021978,True,4.339669414181123
12003167828,604,893,0.6763717805151176,True,4.332315776764422
11902165909,583,858,0.6794871794871795,True,4.328266052434564
11903166413,878,1378,0.637155297532656,True,4.3191387083944734
12101168443,786,1220,0.6442622950819672,True,4.296088035455802
11903166410,786,1224,0.6421568627450981,True,4.28204853207196
12501158315,702,1075,0.6530232558139535,True,4.280800500512639
11701163501,855,1349,0.6338028169014085,True,4.279607984878569
11703164805,664,1011,0.6567754698318496,True,4.2689006874337165
20702115755,535,788,0.6789340101522843,True,4.266512406310761
12602172334,519,764,0.6793193717277487,True,4.248347059172343
12101168401,641,977,0.6560900716479018,True,4.241352203342134
11902165928,648,990,0.6545454545454545,True,4.238465050933587
12501158321,505,742,0.6805929919137467,True,4.237737221011011
12602172341,709,1099,0.6451319381255687,True,4.2354621144268165
20604111743,1143,1902,0.6009463722397477,True,4.232036327301328
12001167318,580,873,0.6643757159221076,True,4.228585840749265
12001167313,424,609,0.6962233169129721,True,4.2136055954416305
12101168403,725,1137,0.6376429199648197,True,4.200504626867174
12003167815,320,440,0.7272727272727273,True,4.197411725912739
12101139931,685,1066,0.6425891181988743,True,4.196670895865132
11903137421,701,1097,0.6390154968094804,True,4.188065010229803
12601172130,887,1438,0.6168289290681502,True,4.187634169703793
12602172325,469,693,0.6767676767676768,True,4.163970611567424
11903137426,463,683,0.677891654465593,True,4.162176497336393
12602172314,549,833,0.65906362545018,True,4.158637616742325
40101100159,445,654,0.6804281345565749,True,4.150828644723132
21205132253,1101,1861,0.5916174099946265,True,4.144210140071928
12003167829,607,939,0.6464323748668797,True,4.14374457226141
11903166423,556,849,0.6548881036513545,True,4.1405727601879505
12602172331,338,476,0.7100840336134454,True,4.136949656081076
20703116352,442,652,0.6779141104294478,True,4.130916929999923
11903137312,485,729,0.6652949245541838,True,4.115653199714321
12001167320,652,1032,0.6317829457364341,True,4.094949891752164
12003167724,552,852,0.647887323943662,True,4.091640395352499
30306107917,358,517,0.6924564796905223,True,4.073944710017028
40101100158,775,1267,0.611681136543015,True,4.070219576276239
30303106432,425,633,0.6714060031595577,True,4.064986922850683
20604111830,576,901,0.6392896781354052,True,4.064502936191638
20604111820,808,1333,0.6061515378844711,True,4.058668810940181
11902165915,758,1242,0.6103059581320451,True,4.047550199086866
20604150416,502,775,0.6477419354838709,True,4.029337116632347
11903137429,809,1345,0.6014869888475837,True,4.028178963838056
11902165918,642,1033,0.6214908034849952,True,4.018649480116701
12101168441,579,922,0.6279826464208242,True,3.9958712277114197
11703163913,756,1259,0.6004765687053217,True,3.9807772991252675
11701163505,711,1174,0.6056218057921635,True,3.9777712052929424
12501171022,2362,4615,0.5118093174431203,True,3.975574723448641
12003167814,739,1231,0.6003249390739236,True,3.9661368705121696
20802117756,863,1476,0.5846883468834688,True,3.953412804524322
11703164733,636,1039,0.6121270452358036,True,3.952363331033586
21205156708,288,415,0.6939759036144578,True,3.932363581147905
12601172129,560,902,0.6208425720620843,True,3.9297602074198554
30303106420,624,1024,0.609375,True,3.9230049115581194
11903166526,805,1374,0.5858806404657934,True,3.9207623091105064
12103140861,589,959,0.6141814389989573,True,3.9185528407027754
11703164813,570,925,0.6162162162162163,True,3.9113641616258663
12602172511,925,1623,0.5699322242760321,True,3.8931353463017353
30501111025,625,1034,0.6044487427466151,True,3.8922572359164036
20604150529,1086,1953,0.5560675883256528,True,3.887566871179536
11701163539,721,1223,0.5895339329517579,True,3.8803271669188284
12601172121,369,563,0.655417406749556,True,3.8758128047611398
20703116409,778,1341,0.5801640566741237,True,3.8627386977534988
20604150404,838,1461,0.5735797399041752,True,3.8614596659955636
11703164609,719,1228,0.5855048859934854,True,3.852183730810475
12003167823,658,1112,0.591726618705036,True,3.8407338900203682
12003167802,401,627,0.6395534290271132,True,3.83505149527309
12001167316,806,1408,0.5724431818181818,True,3.8315474976033936
20604151011,964,1729,0.5575477154424523,True,3.831539323129429
20703116306,508,827,0.6142684401451027,True,3.828396121411929
12502171235,763,1325,0.5758490566037736,True,3.82281299859174
11904167119,651,1104,0.5896739130434783,True,3.8211132335274014
11903137427,686,1173,0.5848252344416027,True,3.8202739338998564
