SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
11603131711,528,1364,0.3870967741935484,True,390,2000,1468,3.3,0.2656675749318801,0.3143994969608049,Affordable,Moderately_Affordable
12702151917,526,1087,0.48390064397424104,True,410,2167,1336,3.2,0.3068862275449102,0.37430907415937353,Moderately_Affordable,Moderately_Affordable
12702151526,524,684,0.7660818713450293,True,351,1842,825,2.6,0.4254545454545455,0.5152447552447552,Expensive,Very_Expensive
12702151410,518,1115,0.46457399103139013,True,475,2167,1781,3.3,0.26670409882088714,0.2807843476007429,Affordable,Affordable
12702151005,517,1030,0.5019417475728155,True,480,2232,1587,3.1,0.30245746691871456,0.32456012796277445,Moderately_Affordable,Moderately_Affordable
12702151523,515,1016,0.5068897637795275,True,380,2000,1169,3.1,0.32506415739948674,0.3948147660722511,Moderately_Affordable,Moderately_Affordable
12702151606,513,912,0.5625,True,430,1868,1363,3.6,0.31548055759354365,0.3162706699023647,Moderately_Affordable,Moderately_Affordable
12701159711,513,1307,0.3925019127773527,True,550,2700,2250,3.5,0.24444444444444444,0.27692307692307694,Affordable,Affordable
12702151531,508,792,0.6414141414141414,True,335,1280,895,2.3,0.3743016759776536,0.3300386764073915,Moderately_Affordable,Moderately_Affordable
12702151616,507,996,0.5090361445783133,True,300,1700,784,2.8,0.3826530612244898,0.500392464678179,Moderately_Affordable,Very_Expensive
21005144345,500,1098,0.4553734061930783,True,443,2100,2125,3.6,0.20847058823529413,0.22805429864253393,Affordable,Affordable
12703173227,497,1310,0.3793893129770992,True,420,2071,1454,3.4,0.28885832187070154,0.3286953761506719,Affordable,Moderately_Affordable
12702151532,496,836,0.5933014354066986,True,340,1392,900,2.5,0.37777777777777777,0.3569230769230769,Moderately_Affordable,Moderately_Affordable
12702151414,495,1155,0.42857142857142855,True,410,1867,1538,3.3,0.2665799739921977,0.2801340402120636,Affordable,Affordable
12702151906,493,949,0.5194942044257113,True,480,2167,1578,3.2,0.3041825095057034,0.3169055279321439,Moderately_Affordable,Moderately_Affordable
12703173201,491,1344,0.36532738095238093,True,325,1647,1070,2.7,0.3037383177570093,0.3552120776419842,Moderately_Affordable,Moderately_Affordable
21005154506,490,1008,0.4861111111111111,True,420,2000,1828,4.2,0.22975929978118162,0.2524827470122875,Affordable,Affordable
12702151541,490,1128,0.43439716312056736,True,450,1679,1542,3.4,0.2918287937743191,0.25127207422927267,Affordable,Affordable
12702151017,488,939,0.5197018104366348,True,430,2167,1589,3.5,0.27061044682190055,0.31471171999806363,Affordable,Moderately_Affordable
12702151920,484,1468,0.329700272479564,True,430,1800,1369,3.2,0.3140978816654492,0.30342192504354665,Moderately_Affordable,Moderately_Affordable
12702151016,483,739,0.6535859269282814,True,250,2167,1112,3.0,0.22482014388489208,0.44970946319867183,Affordable,Expensive
12702151633,483,960,0.503125,True,380,1733,1323,3.2,0.2872260015117158,0.30228501657073087,Affordable,Moderately_Affordable
12702151544,481,1052,0.45722433460076045,True,430,2334,1468,3.5,0.29291553133514986,0.36690421295325926,Affordable,Moderately_Affordable
21005154323,472,1747,0.2701774470520893,True,427,2000,2186,4.1,0.19533394327538883,0.21113378844394398,Affordable,Affordable
12702151607,456,1245,0.36626506024096384,True,445,1733,1321,3.4,0.3368660105980318,0.3027426774588016,Moderately_Affordable,Moderately_Affordable
12702151914,456,1115,0.40896860986547084,True,430,2167,1430,3.2,0.3006993006993007,0.3497041420118343,Moderately_Affordable,Moderately_Affordable
12703173207,456,1361,0.33504775900073475,True,420,2116,1292,3.2,0.32507739938080493,0.3779471302691117,Moderately_Affordable,Moderately_Affordable
12703173225,456,1132,0.4028268551236749,True,270,1942,809,2.4,0.3337453646477132,0.5539602548255206,Moderately_Affordable,Very_Expensive
12702151030,455,993,0.45820745216515607,True,500,2200,1768,3.2,0.2828054298642534,0.28715628263139575,Affordable,Affordable
12702151533,453,831,0.5451263537906137,True,450,1700,1157,3.1,0.3889369057908384,0.33907319992021806,Moderately_Affordable,Moderately_Affordable
21005154519,450,1205,0.37344398340248963,True,384,1733,1531,3.9,0.25081645983017636,0.2612169019745767,Affordable,Affordable
21005144330,449,1879,0.23895689196381054,True,400,1972,1836,3.6,0.2178649237472767,0.24786324786324787,Affordable,Affordable
12702151923,449,1280,0.35078125,True,460,2000,1638,3.2,0.28083028083028083,0.2817695125387433,Affordable,Affordable
12701159603,448,1672,0.2679425837320574,True,590,2700,2536,3.7,0.23264984227129337,0.245692793011405,Affordable,Affordable
12702151710,447,938,0.47654584221748403,True,480,2000,1963,3.6,0.2445236882322975,0.23511893099259376,Affordable,Affordable
21005154514,443,1290,0.3434108527131783,True,406,1700,1778,4.2,0.2283464566929134,0.22064549623604743,Affordable,Affordable
12702151628,442,1025,0.43121951219512195,True,450,2000,1398,3.5,0.3218884120171674,0.3301419610432486,Moderately_Affordable,Moderately_Affordable
12702151536,437,893,0.48936170212765956,True,420,2167,1134,3.4,0.37037037037037035,0.440984940984941,Moderately_Affordable,Expensive
12702151620,432,932,0.463519313304721,True,500,2448,1421,3.4,0.3518648838845883,0.3975531857305256,Moderately_Affordable,Moderately_Affordable
12702151605,432,1362,0.31718061674008813,True,440,2167,1350,3.3,0.32592592592592595,0.3704273504273504,Moderately_Affordable,Moderately_Affordable
12702151412,431,1154,0.3734835355285962,True,450,2167,1731,3.5,0.25996533795493937,0.2888948140247967,Affordable,Affordable
12701159621,428,1477,0.2897765741367637,True,455,2167,1812,3.5,0.2511037527593819,0.27598064187468163,Affordable,Affordable
12702151627,424,1157,0.36646499567847884,True,430,2058,1460,3.5,0.2945205479452055,0.32528977871443626,Affordable,Moderately_Affordable
12702151925,421,1412,0.2981586402266289,True,375,2167,1173,2.8,0.319693094629156,0.4263230375762345,Moderately_Affordable,Expensive
12702151937,421,1333,0.3158289572393098,True,400,2442,1279,3.1,0.3127443315089914,0.440608648583629,Moderately_Affordable,Expensive
12702151542,421,872,0.4827981651376147,True,470,2000,1431,3.6,0.3284416491963662,0.32252862441541685,Moderately_Affordable,Moderately_Affordable
21005154504,420,1093,0.38426349496797807,True,391,1517,1649,3.7,0.23711340206185566,0.21229649671129355,Affordable,Affordable
12702151913,420,872,0.481651376146789,True,490,1783,1523,3.2,0.3217334208798424,0.2701651598565584,Moderately_Affordable,Affordable
21005144347,418,1407,0.2970859985785359,True,430,2220,2399,4.0,0.17924135056273446,0.21355051784397344,Affordable,Affordable
12702151507,417,624,0.6682692307692307,True,320,1408,816,2.0,0.39215686274509803,0.39819004524886875,Moderately_Affordable,Moderately_Affordable
21005154312,416,1113,0.37376460017969454,True,355,1568,1383,2.7,0.25668835864063627,0.2616385783413983,Affordable,Affordable
12702151040,415,712,0.5828651685393258,True,450,2600,1542,3.5,0.2918287937743191,0.38910505836575876,Affordable,Moderately_Affordable
12702151515,413,1168,0.3535958904109589,True,420,2167,1447,3.6,0.2902557014512785,0.3455956621125937,Affordable,Moderately_Affordable
21005144344,412,1183,0.34826711749788675,True,413,2000,1942,3.8,0.21266735324407826,0.23766141170878555,Affordable,Affordable
12702151603,412,1403,0.2936564504632929,True,445,2020,1320,3.6,0.3371212121212121,0.3531468531468531,Moderately_Affordable,Moderately_Affordable
12702151905,409,1247,0.3279871692060946,True,490,2383,1545,3.3,0.31715210355987056,0.35593726661687825,Moderately_Affordable,Moderately_Affordable
21005154511,408,839,0.4862932061978546,True,400,1733,1579,4.0,0.253324889170361,0.2532761728455205,Affordable,Affordable
12701159744,407,835,0.4874251497005988,True,570,2392,2176,3.9,0.2619485294117647,0.2536764705882353,Affordable,Affordable
12702151031,405,1002,0.4041916167664671,True,390,1600,1391,3.2,0.2803738317757009,0.2654426809710778,Affordable,Affordable
12702151525,405,461,0.8785249457700651,True,330,1544,785,2.4,0.42038216560509556,0.45389514943655074,Expensive,Expensive
12703173224,403,1010,0.39900990099009903,True,430,1950,1339,3.3,0.32113517550410753,0.33607169529499625,Moderately_Affordable,Moderately_Affordable
12702151704,403,1069,0.37698783910196443,True,470,1733,1828,3.3,0.25711159737417943,0.2187763002861471,Affordable,Affordable
12702151046,402,860,0.46744186046511627,True,520,2470,1718,3.2,0.30267753201396974,0.3317811408614668,Moderately_Affordable,Moderately_Affordable
12701150506,401,1646,0.24362089914945323,True,500,2500,2201,3.5,0.22716946842344388,0.26211861741166603,Affordable,Affordable
12702151701,401,834,0.48081534772182255,True,440,2442,1463,3.5,0.3007518796992481,0.38519375361480623,Moderately_Affordable,Moderately_Affordable
12702151403,400,955,0.418848167539267,True,455,2167,1805,3.4,0.2520775623268698,0.2770509269124228,Affordable,Affordable
12702151638,398,1058,0.3761814744801512,True,470,2167,1463,3.6,0.3212576896787423,0.3418160786581839,Moderately_Affordable,Moderately_Affordable
12702151702,394,972,0.4053497942386831,True,460,2167,1702,3.7,0.2702702702702703,0.2938172285998373,Affordable,Affordable
12702151630,394,957,0.4117032392894462,True,460,2286,1195,3.4,0.38493723849372385,0.4414547795300933,Moderately_Affordable,Expensive
12702152001,393,859,0.4575087310826543,True,450,2175,1671,3.2,0.26929982046678635,0.3003728766744925,Affordable,Moderately_Affordable
21005154303,393,928,0.4234913793103448,True,371,1800,1517,3.4,0.24456163480553725,0.273819786014908,Affordable,Affordable
12702150935,392,1127,0.34782608695652173,True,269,1733,894,2.6,0.30089485458612975,0.4473412493546722,Moderately_Affordable,Expensive
12702151529,392,726,0.5399449035812672,True,365,1300,852,2.5,0.4284037558685446,0.352112676056338,Expensive,Moderately_Affordable
21005154502,392,1011,0.3877349159248269,True,392,1720,1697,3.2,0.2309958750736594,0.23389692217034586,Affordable,Affordable
21005154402,392,1012,0.38735177865612647,True,361,1550,1491,3.5,0.2421193829644534,0.23990094412629623,Affordable,Affordable
12702152002,389,929,0.418729817007535,True,480,2080,1694,3.3,0.2833530106257379,0.2833530106257379,Affordable,Affordable
12702151708,387,976,0.39651639344262296,True,460,2000,1395,3.5,0.32974910394265233,0.3308519437551696,Moderately_Affordable,Moderately_Affordable
12703173204,386,1149,0.3359442993907746,True,400,2167,1343,3.4,0.29784065524944153,0.3723580961108884,Affordable,Moderately_Affordable
21005154324,386,1525,0.25311475409836065,True,369,1722,1694,3.3,0.21782762691853602,0.23458359821996186,Affordable,Affordable
21005154208,384,1050,0.3657142857142857,True,393,2000,1831,3.8,0.2146368104860732,0.2520690669243373,Affordable,Affordable
12702151626,384,1234,0.31118314424635335,True,430,1950,1542,3.5,0.2788586251621271,0.2918287937743191,Affordable,Affordable
12702151706,384,730,0.5260273972602739,True,460,1733,1571,3.4,0.2928071292170592,0.2545659305684767,Affordable,Affordable
12702151417,381,1248,0.30528846153846156,True,488,1920,2137,3.5,0.22835751052877867,0.20733594902991254,Affordable,Affordable
12701159601,376,1641,0.2291285801340646,True,555,2700,2518,3.8,0.22041302621127878,0.24744913545548972,Affordable,Affordable
12702151939,376,1213,0.3099752679307502,True,400,2000,1220,3.1,0.32786885245901637,0.37831021437578816,Moderately_Affordable,Moderately_Affordable
12702151909,375,930,0.4032258064516129,True,475,2323,1704,3.3,0.27875586854460094,0.3145991332611051,Affordable,Moderately_Affordable
12703173216,375,974,0.38501026694045176,True,450,2174,1542,3.6,0.2918287937743191,0.325351691110446,Affordable,Moderately_Affordable
12701159302,374,924,0.40476190476190477,True,535,2167,2144,3.7,0.24953358208955223,0.23324483352468428,Affordable,Affordable
12702151938,371,1159,0.3201035375323555,True,390,2000,1365,2.9,0.2857142857142857,0.33812341504649196,Affordable,Moderately_Affordable
12702151622,369,1228,0.3004885993485342,True,450,2000,1608,3.6,0.2798507462686567,0.2870264064293915,Affordable,Affordable
12702151418,367,1024,0.3583984375,True,550,2167,2100,3.6,0.2619047619047619,0.23813186813186812,Affordable,Affordable
12702151037,366,1017,0.35988200589970504,True,440,2000,1474,3.3,0.29850746268656714,0.3131197161047907,Affordable,Moderately_Affordable
