SA1_CODE_2021,India_population,total_population,concentration_ratio,is_cluster,anchor_strength
12504171821,1662,1167,1.424164524421594,True,10.562143129750341
12504171708,1968,1510,1.3033112582781456,True,9.88598222699457
12504171717,1569,1218,1.2881773399014778,True,9.479479211411455
12504149156,2612,2185,1.1954233409610984,True,9.405894801620065
12504158902,2003,1659,1.2073538276069922,True,9.179390973957881
12504158938,1585,1284,1.2344236760124612,True,9.09643153230432
11602163106,1505,1289,1.1675717610550815,True,8.543370577642792
12504171924,1029,847,1.2148760330578512,True,8.427976611073397
12504171805,1643,1477,1.112389979688558,True,8.237122739835677
12504171909,1183,1020,1.1598039215686275,True,8.207530846735485
11301125633,955,813,1.1746617466174663,True,8.061419196757797
12504171818,1546,1416,1.0918079096045197,True,8.018316826967485
12504158919,1110,972,1.1419753086419753,True,8.008690870884763
12504149139,235,161,1.4596273291925466,True,7.9751582247268225
12504158946,974,842,1.156769596199525,True,7.96139441419466
12504171720,1044,915,1.140983606557377,True,7.9318580761010535
11601130343,399,304,1.3125,True,7.863797218079226
12504158943,857,741,1.156545209176788,True,7.812005011148695
12504158908,2407,2412,0.9979270315091211,True,7.770410529881389
12504158939,1345,1259,1.068308181096108,True,7.697045612569726
12504171923,473,387,1.2222222222222223,True,7.530364504293983
12504149161,1303,1250,1.0424,True,7.47733507236803
11602163229,1901,1944,0.977880658436214,True,7.383645588036647
11601162707,1317,1282,1.0273010920436818,True,7.379998230684283
12504171925,757,682,1.1099706744868034,True,7.359864109869904
31701144609,937,879,1.0659840728100114,True,7.295328443934963
12504158931,1084,1043,1.0393096836049855,True,7.264083823889187
11301125634,1507,1526,0.9875491480996068,True,7.227417496521512
21305158312,1740,1803,0.9650582362728786,True,7.2014719884618135
12504158801,1175,1154,1.0181975736568458,True,7.198528683655826
12504158818,2164,2329,0.9291541434091884,True,7.136067018421976
11601130344,1321,1340,0.985820895522388,True,7.084997199972959
21305158330,1518,1577,0.9625871908687381,True,7.051728464768791
12504158917,898,870,1.032183908045977,True,7.020174902247717
12504149164,1180,1191,0.9907640638119227,True,7.008780724695959
12504158932,911,899,1.0133481646273637,True,6.906616274702686
21305158411,897,887,1.0112739571589628,True,6.8768348943259
21305158408,1156,1186,0.9747048903878583,True,6.875164503065675
12504171901,1177,1212,0.9711221122112211,True,6.867361262109714
12504171714,390,340,1.1470588235294117,True,6.846458671747919
21305158307,1074,1095,0.9808219178082191,True,6.8462114704687975
12504158945,1046,1063,0.9840075258701787,True,6.842477596021243
11602163105,1377,1470,0.936734693877551,True,6.771082243412825
21305158406,1110,1150,0.9652173913043478,True,6.769084805652165
12504158924,1156,1227,0.9421352893235534,True,6.645432029858101
30304106903,1008,1050,0.96,True,6.6400464195394635
21305158222,739,737,1.0027137042062415,True,6.624578680597668
12504149155,994,1037,0.9585342333654774,True,6.616515217681429
21305158405,796,808,0.9851485148514851,True,6.581634064748776
11601162720,1112,1187,0.93681550126369,True,6.571586822761926
12504171712,1185,1278,0.9272300469483568,True,6.563250995129765
12504149162,698,700,0.9971428571428571,True,6.530937454398856
12504158813,872,907,0.9614112458654906,True,6.510614999660565
12504158802,877,916,0.9574235807860262,True,6.489078670980347
12504171705,1319,1467,0.8991138377641446,True,6.4604808953991615
21305158414,1050,1134,0.9259259259259259,True,6.442127195256437
12504158822,744,772,0.9637305699481865,True,6.373520542065275
12504158912,1120,1239,0.903954802259887,True,6.347549308991783
21305158402,950,1035,0.9178743961352657,True,6.294336579147942
12504171906,928,1010,0.9188118811881189,True,6.279260306553705
12504171718,629,652,0.9647239263803681,True,6.218340132505412
21305157910,706,748,0.9438502673796791,True,6.192630548292755
11602163203,1254,1448,0.8660220994475138,True,6.178973154601946
21305158329,743,802,0.92643391521197,True,6.125619063442627
12504158920,1025,1161,0.8828596037898363,True,6.121239105403947
11601162726,697,749,0.9305740987983978,True,6.093603090287548
12504158817,1348,1616,0.8341584158415841,True,6.011878847876271
50302104340,829,934,0.8875802997858673,True,5.9658050384961925
21305158317,1037,1208,0.8584437086092715,True,5.9619353916255715
12504148955,861,977,0.8812691914022518,True,5.9567234268592015
21305158612,746,830,0.8987951807228916,True,5.946487503745882
12504158913,463,480,0.9645833333333333,True,5.922430307668242
21305157905,810,919,0.8813928182807399,True,5.903805357816632
21305158324,1284,1557,0.8246628131021194,True,5.903360290668496
21305158605,1036,1232,0.8409090909090909,True,5.839346061465739
12504149112,640,711,0.90014064697609,True,5.8176355167780995
12504171918,601,665,0.9037593984962407,True,5.784292818993386
12504171808,597,660,0.9045454545454545,True,5.783293454709889
12504171803,939,1114,0.8429084380610413,True,5.770449912812336
21305158607,1686,2183,0.7723316536875859,True,5.738970289130785
12504171914,525,575,0.9130434782608695,True,5.720492411630083
12504148961,524,575,0.9113043478260869,True,5.707862068866105
12504158934,1219,1519,0.8025016458196181,True,5.70306312171796
12504158922,1142,1418,0.8053596614950634,True,5.67086891400118
11602163228,933,1126,0.8285968028419183,True,5.66716830982905
