SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster,anchor_strength
12503148149,1105,1141,0.9684487291849255,True,6.78737793707355
12003168036,1314,1403,0.9365645046329294,True,6.726024102081248
12003168013,493,473,1.0422832980972516,True,6.46479917541997
12501158202,2141,2542,0.8422501966955154,True,6.459633883716552
12501158239,1187,1302,0.9116743471582182,True,6.454678537179812
11903166421,1058,1196,0.8846153846153846,True,6.161417228801244
12003168025,513,528,0.9715909090909091,True,6.064887377232007
12501158204,1634,2033,0.8037383177570093,True,5.947179767911182
12003168017,727,827,0.879081015719468,True,5.793408539345817
11903137403,686,797,0.8607277289836889,True,5.622561260306815
12503148154,1367,1789,0.7641140301844606,True,5.517747718957781
12003168032,767,934,0.8211991434689507,True,5.455874438248677
12501158308,905,1140,0.793859649122807,True,5.405421554358681
12501158657,735,905,0.8121546961325967,True,5.361220041177596
11903137425,695,872,0.7970183486238532,True,5.216763777445438
12003168004,955,1303,0.7329240214888718,True,5.02988012813821
11903137427,865,1173,0.7374254049445865,True,4.987860567695232
12501158234,977,1358,0.719440353460972,True,4.95371351076879
12501158301,793,1077,0.7363045496750232,True,4.916366931076118
12501158307,1204,1747,0.6891814539210075,True,4.8892150855714975
11903137462,682,912,0.7478070175438597,True,4.880558655950964
11903166422,1108,1599,0.6929330831769857,True,4.858302125068297
12003168028,811,1122,0.7228163992869875,True,4.842508712897612
12501158237,799,1106,0.7224231464737794,True,4.82911823725739
12501158325,605,808,0.7487623762376238,True,4.797230682638533
11903166416,729,1012,0.7203557312252964,True,4.749337416393119
11904138130,1060,1563,0.6781829814459372,True,4.7248785457011016
11903166411,716,1025,0.6985365853658536,True,4.592931026213979
11903166402,744,1079,0.6895273401297498,True,4.560109229355322
11903166401,566,787,0.7191867852604829,True,4.559902625044355
12501158238,1040,1605,0.6479750778816199,True,4.502090063152378
12501158319,773,1145,0.6751091703056769,True,4.490537168807737
11904167004,712,1059,0.67233238904627,True,4.416875138182227
11903137422,630,926,0.6803455723542117,True,4.386395997193266
11903166414,361,495,0.7292929292929293,True,4.296734465594149
12003168015,465,676,0.6878698224852071,True,4.226399881462168
12501158309,626,956,0.6548117154811716,True,4.217607253594361
11904138149,878,1414,0.620933521923621,True,4.209174780882309
11904138131,567,869,0.6524741081703107,True,4.138070016587909
11903166420,692,1096,0.6313868613138686,True,4.129920400948369
12501158649,393,570,0.6894736842105263,True,4.120536679568576
11903137428,475,712,0.6671348314606742,True,4.11316500106731
12503148157,855,1408,0.6072443181818182,True,4.100277820739481
12003168005,583,912,0.6392543859649122,True,4.071987141435149
12003168023,483,736,0.65625,True,4.05699322003279
11903166518,549,857,0.6406067677946324,True,4.042176353262961
11903137426,448,683,0.6559297218155198,True,4.005777823877789
12003168016,896,1540,0.5818181818181818,True,3.955814319743299
11904138153,721,1201,0.6003330557868443,True,3.9514072648973584
12503148156,580,946,0.6131078224101479,True,3.902278476716816
12003168035,832,1438,0.5785813630041725,True,3.8909791309338067
11903137402,736,1251,0.5883293365307753,True,3.884496153997883
12003168030,585,960,0.609375,True,3.8837417467734916
12501158306,781,1349,0.5789473684210527,True,3.8568632708420223
12501158240,546,908,0.6013215859030837,True,3.7910011521171825
12501158201,534,895,0.5966480446927375,True,3.748302170773707
11904138124,457,755,0.6052980132450331,True,3.708581744556533
11903166714,591,1026,0.5760233918128655,True,3.6770491434858164
12003168003,354,566,0.6254416961130742,True,3.6726673100252603
11904167026,523,893,0.5856662933930571,True,3.6671446258677545
11904138154,608,1065,0.5708920187793427,True,3.660455874899171
12503148114,433,731,0.5923392612859097,True,3.597302713085466
11904167023,701,1285,0.5455252918287937,True,3.57533643285766
11903137429,728,1345,0.5412639405204461,True,3.5678352988121214
11903137401,520,912,0.5701754385964912,True,3.566875023806744
12003168022,431,736,0.5855978260869565,True,3.5536568322462116
11904137934,545,967,0.5635987590486039,True,3.5521482334860117
12501158313,811,1554,0.5218790218790219,True,3.496328684601751
21003153615,596,1122,0.5311942959001783,True,3.3953499105008835
12504171701,586,1112,0.5269784172661871,True,3.35950048958567
12501158656,484,897,0.5395763656633222,True,3.336820583292912
12501158322,296,511,0.5792563600782779,True,3.29813055398356
11904167024,411,753,0.545816733067729,True,3.2863752942664743
12501158320,645,1273,0.5066771406127258,True,3.278606190054814
12503148153,390,714,0.5462184873949579,True,3.2602184151180564
11903166403,563,1098,0.5127504553734062,True,3.248301952270863
21003153523,679,1366,0.4970717423133236,True,3.2419480307156174
21003153608,447,867,0.5155709342560554,True,3.147453950276238
12003168011,574,1184,0.4847972972972973,True,3.0805814218054723
21003153616,768,1664,0.46153846153846156,True,3.0669650628487592
11904137827,362,701,0.5164051355206848,True,3.0438998944420486
11903137410,364,714,0.5098039215686274,True,3.0077908077087208
12003167616,245,450,0.5444444444444444,True,2.997347169563175
12003168018,650,1418,0.45839210155148097,True,2.969697649813519
11903166713,589,1270,0.4637795275590551,True,2.958970215932253
12503148131,586,1264,0.46360759493670883,True,2.9555099243823295
12501158311,456,952,0.4789915966386555,True,2.9336718763106697
11903166716,388,790,0.4911392405063291,True,2.928947829523996
12504171802,402,824,0.4878640776699029,True,2.9266656527943766
12503148151,262,500,0.524,True,2.919808712861149
11904167032,527,1141,0.4618755477651183,True,2.895542280029097
11904138145,552,1205,0.4580912863070539,True,2.893010470406912
12003167810,385,799,0.4818523153942428,True,2.869834026588185
12302170304,549,1209,0.45409429280397023,True,2.8652978782021155
12504171706,421,889,0.4735658042744657,True,2.8627078033848834
40403110733,511,1114,0.45870736086175945,True,2.861565424950798
