SA1_CODE_2021,Lebanon_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12503148112,320,1224,0.26143790849673204,True,450,2167,1575,3.4,0.2857142857142857,0.31750915750915754,Affordable,Moderately_Affordable
12503147911,320,1353,0.23651145602365115,True,498,2000,1578,3.6,0.3155893536121673,0.2924831822170225,Moderately_Affordable,Affordable
11901136105,319,841,0.3793103448275862,True,211,2400,1045,2.9,0.20191387559808613,0.5299963194700037,Affordable,Very_Expensive
11902136639,318,912,0.34868421052631576,True,500,2510,1916,3.8,0.2609603340292276,0.30231251003693593,Affordable,Moderately_Affordable
12503147912,316,1213,0.2605111294311624,True,246,2383,1068,3.2,0.2303370786516854,0.5149092480553155,Affordable,Very_Expensive
11902136606,314,1474,0.2130257801899593,True,420,1957,1432,2.7,0.29329608938547486,0.3153738719381177,Affordable,Moderately_Affordable
12503148305,311,1271,0.24468922108575925,True,0,2324,1604,3.8,0.0,0.334356416650681,Affordable,Moderately_Affordable
11901135623,309,1348,0.22922848664688428,True,430,2500,1514,3.6,0.28401585204755614,0.3810588354841988,Affordable,Moderately_Affordable
11901165502,308,1012,0.30434782608695654,True,225,2925,978,3.1,0.23006134969325154,0.6901840490797546,Affordable,Very_Expensive
11901136107,307,1203,0.25519534497090607,True,212,2600,835,2.7,0.25389221556886227,0.718562874251497,Affordable,Very_Expensive
11901135628,307,1209,0.25392886683209265,True,550,2046,1692,3.8,0.32505910165484636,0.279050736497545,Moderately_Affordable,Affordable
11901165608,305,907,0.3362734288864388,True,530,2600,1708,3.8,0.31030444964871196,0.351288056206089,Moderately_Affordable,Moderately_Affordable
11901135609,299,1171,0.2553373185311699,True,393,2191,1384,3.1,0.28395953757225434,0.365329035126723,Affordable,Moderately_Affordable
11902136640,296,772,0.38341968911917096,True,500,1655,1487,3.6,0.3362474781439139,0.2568413429206973,Moderately_Affordable,Affordable
11901165526,296,1393,0.21249102656137833,True,600,2817,1681,3.8,0.35693039857227843,0.38672035876081085,Moderately_Affordable,Moderately_Affordable
12503171401,295,1146,0.25741710296684117,True,450,2101,1861,3.4,0.2418054809242343,0.26052990534452114,Affordable,Affordable
12503147927,293,1102,0.2658802177858439,True,423,2000,1325,3.2,0.3192452830188679,0.3483309143686502,Moderately_Affordable,Moderately_Affordable
11901136127,293,1182,0.2478849407783418,True,428,2000,1652,3.2,0.25907990314769974,0.2793816353138387,Affordable,Affordable
12503148317,292,1231,0.2372055239642567,True,450,2167,1491,3.8,0.30181086519114686,0.33539699736882833,Moderately_Affordable,Moderately_Affordable
11901136124,289,1126,0.2566607460035524,True,530,2383,1912,4.0,0.27719665271966526,0.28761667203089797,Affordable,Affordable
11901165515,288,1261,0.22839016653449642,True,500,1867,1593,3.3,0.31387319522912743,0.27046211791974506,Moderately_Affordable,Affordable
11901165504,287,1232,0.23295454545454544,True,450,2600,1431,3.3,0.31446540880503143,0.4192872117400419,Moderately_Affordable,Expensive
12503148104,286,1127,0.25377107364685003,True,450,2106,1695,3.5,0.26548672566371684,0.2867256637168142,Affordable,Affordable
12503148330,285,1084,0.2629151291512915,True,200,2167,744,2.5,0.26881720430107525,0.6721464019851117,Affordable,Very_Expensive
11901165529,282,1146,0.24607329842931938,True,535,2253,2108,3.6,0.25379506641366223,0.24664282586483724,Affordable,Affordable
11904166819,282,1191,0.2367758186397985,True,555,2600,2031,3.1,0.27326440177252587,0.29542097488921715,Affordable,Affordable
12503148113,280,1173,0.23870417732310314,True,475,2167,1687,3.7,0.2815649081209247,0.2964297113674707,Affordable,Affordable
12503148425,279,1134,0.24603174603174602,True,490,2167,1704,3.6,0.2875586854460094,0.2934723726977248,Affordable,Affordable
12503171448,279,1336,0.2088323353293413,True,480,2085,1531,3.4,0.31352057478772044,0.31427423001557553,Moderately_Affordable,Moderately_Affordable
