SA1_CODE_2021,New_Zealand_population,total_population,concentration_ratio,is_cluster,anchor_strength
30907155728,602,1210,0.4975206611570248,True,3.1850860763882363
31004130245,324,841,0.38525564803804996,True,2.2282513187572355
30907155710,380,1033,0.36786060019361083,True,2.1861217449643235
31004130248,334,914,0.36542669584245074,True,2.124638509441545
30907155417,265,704,0.37642045454545453,True,2.1017422185044747
31102130732,226,587,0.3850085178875639,True,2.0886519658446288
31403139432,230,630,0.36507936507936506,True,1.986914402253988
30907155714,357,1083,0.3296398891966759,True,1.9384582420545247
90104100404,310,930,0.3333333333333333,True,1.9132643040597446
30906124929,224,647,0.3462132921174652,True,1.8751259506859197
30907125148,312,964,0.3236514522821577,True,1.8597670077266886
30907155720,275,834,0.32973621103117506,True,1.853249685937909
30907155523,326,1021,0.31929480901077373,True,1.8487042269466254
31004130251,342,1093,0.312900274473925,True,1.8266274592230114
30907155519,326,1036,0.31467181467181465,True,1.821937273853769
30907155418,390,1289,0.30256012412723043,True,1.805892900228311
30907155511,404,1345,0.3003717472118959,True,1.8033980484096963
90104100403,309,988,0.31275303643724695,True,1.7941304047784112
31102130727,402,1345,0.2988847583643123,True,1.7929907047602724
31004129932,462,1622,0.2848335388409371,True,1.7482305172551418
31105132623,263,854,0.3079625292740047,True,1.7171833889080574
30907155323,361,1240,0.2911290322580645,True,1.7152286777976642
31103131145,372,1313,0.2833206397562833,True,1.677705386220487
30907155747,241,789,0.30544993662864384,True,1.6765956806131324
30907155719,432,1574,0.2744599745870394,True,1.6661745225521447
30907155419,224,729,0.30727023319615915,True,1.6642064335991635
30907125146,370,1320,0.2803030303030303,True,1.658329366033902
31103131319,306,1057,0.28949858088930935,True,1.6579142958956312
51103127903,213,690,0.30869565217391304,True,1.6564534655067453
31103131137,265,900,0.29444444444444445,True,1.6440294686968338
30907155513,328,1158,0.28324697754749567,True,1.6417158395950275
30906124927,369,1353,0.2727272727272727,True,1.6127735469922553
31103131140,331,1192,0.27768456375838924,True,1.6119963714021455
30907155712,205,680,0.3014705882352941,True,1.6061979626498002
31004130253,420,1588,0.26448362720403024,True,1.5981774497144838
30907155705,378,1405,0.2690391459074733,True,1.5974296694100762
31104156919,317,1147,0.2763731473408893,True,1.5924762757988808
30907155506,248,869,0.285385500575374,True,1.5746010567586277
30907155203,315,1155,0.2727272727272727,True,1.5697478764327941
31304137320,386,1472,0.26222826086956524,True,1.5624673447754729
31103131322,307,1126,0.27264653641207814,True,1.5622918591233457
31004130425,353,1331,0.26521412471825695,True,1.5566204435283413
30907155801,205,703,0.29160739687055476,True,1.5536481004293943
30907125151,283,1038,0.2726396917148362,True,1.540134594797323
30907125640,208,722,0.2880886426592798,True,1.5390658232807213
30907125642,303,1127,0.2688553682342502,True,1.5370535878669789
31103131315,221,778,0.28406169665809766,True,1.5346937035909687
31102130817,261,948,0.27531645569620256,True,1.5330568728709348
31004130008,577,2399,0.2405168820341809,True,1.5295848779591337
31004130316,212,750,0.2826666666666667,True,1.5154585855071976
31105132520,329,1266,0.2598736176935229,True,1.5070311874545916
31304137321,238,868,0.27419354838709675,True,1.5016109739167045
51103128206,236,861,0.27409988385598144,True,1.498794649602661
31103131719,322,1244,0.25884244372990356,True,1.495501646364707
31103131407,459,1897,0.24196099103848182,True,1.4835176376767325
30907125111,286,1094,0.26142595978062155,True,1.4795355701163178
31103131218,672,2962,0.22687373396353816,True,1.4773439775561301
30906124930,275,1049,0.2621544327931363,True,1.4734130010221318
30907155725,316,1236,0.255663430420712,True,1.4723405829653888
30907155510,276,1055,0.2616113744075829,True,1.4713069494859765
30907155817,288,1110,0.2594594594594595,True,1.4702080055643068
31103131707,373,1510,0.24701986754966887,True,1.4634088824076956
30907155215,218,805,0.2708074534161491,True,1.459400791428568
90104100402,205,751,0.2729693741677763,True,1.4543470234379017
31102130735,210,773,0.2716688227684347,True,1.4539329987451153
31106133406,271,1052,0.2576045627376426,True,1.4440801900819538
31004130258,316,1262,0.25039619651347067,True,1.4420071002735504
30907155201,516,2237,0.23066607063030845,True,1.4412114989925566
31004129928,330,1329,0.24830699774266365,True,1.4407065943374198
31004130234,212,789,0.26869455006337134,True,1.4405499862235718
30907155746,253,973,0.26002055498458376,True,1.4398207292453131
30907155723,241,919,0.2622415669205658,True,1.4394276300367372
30907125650,372,1538,0.24187256176853056,True,1.4322673420724965
30910156220,237,906,0.26158940397350994,True,1.4314880239074388
31103131738,267,1043,0.25599232981783315,True,1.4312497831221462
90104100407,230,877,0.26225769669327254,True,1.4273159332041192
30907155809,398,1678,0.23718712753277713,True,1.4205045553767377
30903123809,209,788,0.2652284263959391,True,1.4182049161420696
21305146422,340,1402,0.24251069900142652,True,1.4142938960601967
31004130017,242,941,0.25717321997874604,True,1.412668298924987
30907155423,217,828,0.26207729468599034,True,1.4111538993058361
30906124922,329,1355,0.24280442804428043,True,1.4080453751420758
31004130201,297,1205,0.24647302904564317,True,1.404179888375191
31004130454,273,1094,0.24954296160877515,True,1.4007166115575351
30907155733,276,1112,0.24820143884892087,True,1.3958892371472171
31103131427,602,2761,0.21803694313654473,True,1.3958544557876733
31103131727,317,1313,0.24143183549124142,True,1.3911426415394639
30103102121,201,767,0.2620599739243807,True,1.3910844943645921
30907155211,305,1255,0.24302788844621515,True,1.3909908016697021
31103131414,346,1455,0.23780068728522336,True,1.390973452825851
31004130244,288,1180,0.2440677966101695,True,1.3829922764206615
30906124832,338,1427,0.23686054660126138,True,1.3799495699331408
30907125133,234,926,0.2526997840172786,True,1.379636080248092
30903123710,206,798,0.2581453634085213,True,1.3766166308429397
90104100401,200,772,0.25906735751295334,True,1.3739131886163407
30906124909,352,1504,0.23404255319148937,True,1.3730031622609844
30907125623,253,1021,0.24779627815866798,True,1.3721308222876492
31004129915,280,1159,0.24158757549611734,True,1.362156434351552
31004129930,249,1013,0.2458045409674235,True,1.3572001663846982
31004130237,365,1592,0.2292713567839196,True,1.3533047529469213
30907155502,223,892,0.25,True,1.3529115129637599
31103131737,250,1022,0.2446183953033268,True,1.3516274312944676
31103131206,363,1594,0.22772898368883313,True,1.3429528569335865
30907125150,204,810,0.2518518518518518,True,1.3406099206718953
30907155512,251,1036,0.24227799227799227,True,1.3396589777657983
30907125203,220,896,0.24553571428571427,True,1.3254417347476624
30903123604,265,1118,0.2370304114490161,True,1.3234584273945889
