SA1_CODE_2021,Iraq_population,total_population,concentration_ratio,is_cluster,anchor_strength
21005154510,1132,1462,0.774281805745554,True,5.4452330119587575
12702151525,405,461,0.8785249457700651,True,5.276731083814972
12702151006,912,1244,0.7331189710610932,True,4.997478394777018
21005154526,749,998,0.750501002004008,True,4.968371574840918
21005154520,1103,1581,0.6976597090449083,True,4.888288953321477
12702151526,524,684,0.7660818713450293,True,4.798275861985396
12702151612,843,1205,0.6995850622406639,True,4.713910832318997
12702151614,943,1430,0.6594405594405595,True,4.517251031241403
12702151631,781,1154,0.6767764298093587,True,4.508586267214807
12702151518,625,901,0.6936736958934517,True,4.466807971073875
12702151613,781,1170,0.6675213675213675,True,4.4469303866375105
12702151615,850,1291,0.6584043377226956,True,4.441867009517714
12702151611,711,1067,0.6663542642924086,True,4.376666724474147
12702151709,754,1150,0.6556521739130434,True,4.344821898203273
12702151528,573,846,0.6773049645390071,True,4.302667428003678
12702151527,558,823,0.6780072904009721,True,4.289175462965426
12702151008,571,849,0.6725559481743227,True,4.270151194438003
21005154527,765,1190,0.6428571428571429,True,4.269331394833237
12702151635,827,1330,0.6218045112781955,True,4.177912690734293
21005154505,772,1255,0.6151394422310758,True,4.090848944629076
12702151016,483,739,0.6535859269282814,True,4.040523694105728
12702151507,417,624,0.6682692307692307,True,4.033326534235294
12702151517,988,1691,0.5842696629213483,True,4.029529272408776
12702151531,508,792,0.6414141414141414,True,3.997580293444022
12702151416,636,1031,0.6168768186226964,True,3.9830315237089193
12702151915,805,1368,0.5884502923976608,True,3.937958635027657
12702151004,614,1030,0.596116504854369,True,3.8280350217798076
12702151519,578,968,0.5971074380165289,True,3.798381024831809
12702151608,646,1102,0.5862068965517241,True,3.794134034707424
21005154521,543,912,0.5953947368421053,True,3.750361229213571
12702151520,601,1030,0.583495145631068,True,3.7345191501267974
12702151508,332,520,0.6384615384615384,True,3.7082755897567448
12702151912,860,1575,0.546031746031746,True,3.690134142100221
12702151532,496,836,0.5933014354066986,True,3.683565374334842
12702151019,668,1194,0.559463986599665,True,3.6397518862358935
12702151703,321,515,0.6233009708737864,True,3.599283584698554
12702151524,331,539,0.614100185528757,True,3.5649344614310903
12702151036,710,1315,0.5399239543726235,True,3.5455037453690497
12702151040,415,712,0.5828651685393258,True,3.515076380629809
12702151606,513,912,0.5625,True,3.5112505868185306
12702151543,604,1103,0.5475974614687217,True,3.5074868437449034
12702151001,593,1086,0.5460405156537753,True,3.487494876963212
21005124650,861,1672,0.5149521531100478,True,3.480693055048708
12702151610,596,1095,0.5442922374429223,True,3.479070867198165
12702151634,638,1187,0.5374894692502106,True,3.472130616590452
12702151034,649,1223,0.5306623058053965,True,3.4370850887288666
12702151533,453,831,0.5451263537906137,True,3.3351360177048504
12703173229,787,1589,0.49528005034612965,True,3.303269349728226
12702151534,767,1564,0.4904092071611253,True,3.258175655578174
21005154507,641,1281,0.5003903200624512,True,3.234817410355398
12702151529,392,726,0.5399449035812672,True,3.2255280548935956
12702151906,493,949,0.5194942044257113,True,3.2221812539237575
12702151017,488,939,0.5197018104366348,True,3.218181996659998
12702151616,507,996,0.5090361445783133,True,3.171540254942059
12702151523,515,1016,0.5068897637795275,True,3.166087582896658
12702151919,858,1838,0.46681175190424373,True,3.1536723259317143
12702151005,517,1030,0.5019417475728155,True,3.1371234953865557
12702151706,384,730,0.5260273972602739,True,3.1315690963924783
12702151505,300,548,0.5474452554744526,True,3.1243304369063187
21005154515,361,682,0.5293255131964809,True,3.1185975959957526
12702151633,483,960,0.503125,True,3.110361468691806
12702151010,294,542,0.5424354243542435,True,3.0848168907083156
12702151504,561,1152,0.4869791666666667,True,3.083309494609688
12702152014,320,606,0.528052805280528,True,3.047625675580206
12702151405,570,1189,0.479394449116905,True,3.04290315349363
12702151917,526,1087,0.48390064397424104,True,3.032702381354882
12702151719,346,668,0.5179640718562875,True,3.0297400806311576
12702151711,534,1108,0.48194945848375453,True,3.0277350567170283
21005154516,573,1205,0.4755186721991701,True,3.020793895511296
21005154506,490,1008,0.4861111111111111,True,3.012160339900114
12702151609,536,1128,0.475177304964539,True,2.98696363356095
12702151623,600,1286,0.4665629860031104,True,2.985347558881123
12702151536,437,893,0.48936170212765956,True,2.9764049986948566
12701159744,407,835,0.4874251497005988,True,2.930042802374244
12702151033,561,1214,0.46210873146622733,True,2.925842288130445
21005154511,408,839,0.4862932061978546,True,2.924428824392686
12702151542,421,872,0.4827981651376147,True,2.9185174738637167
21005154301,624,1378,0.4528301886792453,True,2.9152082942202573
12702151913,420,872,0.481651376146789,True,2.91044241989289
12702151710,447,938,0.47654584221748403,True,2.9092138325047956
12702151624,843,1953,0.43164362519201227,True,2.908480569864
12702151918,565,1232,0.4586038961038961,True,2.906903940085064
12702151410,518,1115,0.46457399103139013,True,2.904471938547023
12703173230,309,613,0.5040783034257749,True,2.891681631192611
12702151701,401,834,0.48081534772182255,True,2.8831861960866036
21005144345,500,1098,0.4553734061930783,True,2.830877095211687
12702151544,481,1052,0.45722433460076045,True,2.82470638674747
12702151620,432,932,0.463519313304721,True,2.8139041829367764
12702151030,455,993,0.45820745216515607,True,2.8053718311470752
12702151046,402,860,0.46744186046511627,True,2.8041540673285654
12702151908,244,485,0.5030927835051546,True,2.767643305923533
21005124307,217,423,0.5130023640661938,True,2.7622586965135514
12703173104,249,501,0.49700598802395207,True,2.7441991388177627
12702152001,393,859,0.4575087310826543,True,2.7342327210175648
21005144338,551,1274,0.4324960753532182,True,2.730584751568822
21005144343,578,1352,0.4275147928994083,True,2.719550911270112
