SA1_CODE_2021,Malaysia_population,total_population,concentration_ratio,is_cluster
20604150406,790,1959,0.4032669729453803,True
20604150504,703,5908,0.11899119837508464,True
12003167812,451,3237,0.13932653691689836,True
90101100104,440,1134,0.3880070546737213,True
50604113324,434,2762,0.15713251267197684,True
50604113528,419,3928,0.10667006109979633,True
20604150408,417,1635,0.25504587155963304,True
50607114602,375,1387,0.27036770007209804,True
20604150518,371,2943,0.12606184165817194,True
20703116312,360,1537,0.2342225113858165,True
11902166017,345,1079,0.31974050046339203,True
20604150413,340,1173,0.2898550724637681,True
50604113343,332,1533,0.21656881930854532,True
50603112434,329,1706,0.19284876905041032,True
50603113118,326,1522,0.21419185282522996,True
20604150420,322,1284,0.2507788161993769,True
50603112525,321,1095,0.29315068493150687,True
21205132253,320,1861,0.17195056421278881,True
50704117910,319,788,0.40482233502538073,True
50704118227,317,1214,0.26112026359143325,True
50603112819,316,1549,0.2040025823111685,True
50704117916,316,1208,0.26158940397350994,True
20703116346,313,1389,0.22534197264218864,True
50603113108,309,1711,0.18059614260666276,True
20604150427,303,1206,0.2512437810945274,True
20604150414,302,2660,0.11353383458646617,True
20702115752,300,1100,0.2727272727272727,True
21101125436,294,1269,0.23167848699763594,True
50603112437,293,1511,0.19391131700860356,True
20604111737,292,2285,0.12778993435448577,True
20604150314,287,1106,0.25949367088607594,True
20604150421,282,1523,0.1851608667104399,True
21503140302,279,861,0.3240418118466899,True
20604150404,278,1461,0.19028062970568105,True
50603112831,277,1073,0.2581547064305685,True
20604111743,268,1902,0.14090431125131442,True
90101100101,267,648,0.41203703703703703,True
90101100103,267,682,0.3914956011730205,True
50604113305,264,1560,0.16923076923076924,True
90101100105,263,836,0.3145933014354067,True
50603112926,262,1173,0.22335890878090367,True
21503140301,259,807,0.32094175960346966,True
50704118224,258,1318,0.19575113808801214,True
21101125438,258,1148,0.22473867595818817,True
21205132221,258,1004,0.25697211155378485,True
50603112707,251,1688,0.14869668246445497,True
50603113133,249,1182,0.21065989847715735,True
50603113125,246,1281,0.1920374707259953,True
50603112517,245,1201,0.20399666944213155,True
20604150505,244,1161,0.21016365202411713,True
21503140311,244,1317,0.1852695520121488,True
20604150411,243,1337,0.18175018698578907,True
50603112751,238,742,0.32075471698113206,True
50704117908,238,912,0.26096491228070173,True
20604111749,237,826,0.28692493946731235,True
20702115751,236,1144,0.2062937062937063,True
50704118418,236,1199,0.19683069224353628,True
50704117905,234,1264,0.185126582278481,True
50603113114,234,878,0.26651480637813213,True
20703116303,232,901,0.25749167591564925,True
20702142505,232,1494,0.15528781793842034,True
50603113132,231,1172,0.197098976109215,True
20604150434,230,1381,0.166545981173063,True
50704117917,229,1337,0.1712789827973074,True
50604113758,227,1373,0.16533139111434814,True
50603112912,227,1292,0.17569659442724458,True
50603113128,225,930,0.24193548387096775,True
50604113534,222,1027,0.21616358325219084,True
21502146935,222,1198,0.18530884808013356,True
50603112426,222,1383,0.16052060737527116,True
11902165907,221,920,0.24021739130434783,True
50603113120,220,1219,0.1804757998359311,True
21101125416,220,1263,0.17418844022169439,True
50603112830,219,1076,0.20353159851301114,True
20703116351,216,1504,0.14361702127659576,True
50603113110,215,1217,0.17666392769104355,True
21205132254,213,1032,0.2063953488372093,True
20604150426,212,1027,0.20642648490749757,True
21205156713,212,893,0.2374020156774916,True
20604150401,211,1263,0.16706254948535235,True
21204131740,211,1131,0.1865605658709107,True
20703116357,211,1524,0.1384514435695538,True
21101125435,209,792,0.2638888888888889,True
50603112923,209,1281,0.16315378610460576,True
50603112825,209,1083,0.19298245614035087,True
50604113325,208,1234,0.1685575364667747,True
50704117911,208,989,0.2103134479271992,True
50604113354,207,911,0.22722283205268934,True
20703116409,207,1341,0.15436241610738255,True
21204146004,207,1637,0.1264508246792914,True
21205132550,206,1350,0.15259259259259259,True
50704117607,206,1243,0.16572807723250202,True
20604150512,205,1598,0.12828535669586985,True
50603113105,205,927,0.22114347357065803,True
20604150432,203,1491,0.13615023474178403,True
20703116334,203,1800,0.11277777777777778,True
20604150309,201,718,0.2799442896935933,True
50604113348,200,1403,0.14255167498218105,True
50607114605,199,836,0.23803827751196172,True
50302129513,198,1758,0.11262798634812286,True
20604150524,197,1187,0.16596461668070767,True
50603113111,195,663,0.29411764705882354,True
50604113736,194,1680,0.11547619047619048,True
20702115756,194,656,0.29573170731707316,True
20604150403,194,960,0.20208333333333334,True
50603112521,193,863,0.22363847045191193,True
50704117831,191,1093,0.1747483989021043,True
50603112722,191,849,0.2249705535924617,True
50603112835,190,866,0.21939953810623555,True
50603112436,189,938,0.20149253731343283,True
50603113123,189,1040,0.18173076923076922,True
20703116352,189,652,0.2898773006134969,True
50301103533,188,1575,0.11936507936507937,True
11902165926,188,830,0.22650602409638554,True
21205132120,187,902,0.2073170731707317,True
50601130836,187,1268,0.1474763406940063,True
20703116350,187,1007,0.18570009930486595,True
50603112832,187,993,0.18831822759315206,True
20702142437,186,1390,0.13381294964028778,True
12003167827,185,1781,0.10387422796181921,True
20702142514,185,1437,0.12874043145441894,True
50604113360,185,1015,0.18226600985221675,True
50701115920,185,1196,0.15468227424749165,True
21503140305,184,978,0.18813905930470348,True
20604150903,184,1735,0.10605187319884726,True
21205132333,184,1446,0.1272475795297372,True
20703116335,183,1026,0.1783625730994152,True
50603112913,183,1540,0.11883116883116883,True
50603113136,183,923,0.19826652221018418,True
21204131720,181,1186,0.15261382799325462,True
50603113129,181,1305,0.13869731800766283,True
21101125635,181,1580,0.11455696202531646,True
50603113102,181,1144,0.15821678321678323,True
