SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster
12601172113,682,1337,0.5100972326103216,True
30501111035,681,2881,0.2363762582436654,True
11902165924,680,1171,0.5807002561912895,True
11703164814,679,987,0.6879432624113475,True
20701114714,678,1351,0.5018504811250926,True
20702115712,678,1381,0.49094858797972485,True
12502171118,676,1390,0.48633093525179855,True
11703164318,675,2178,0.30991735537190085,True
20702115716,674,1637,0.41172877214416614,True
11703164821,671,1157,0.5799481417458946,True
11903166522,669,827,0.8089480048367593,True
12003167803,667,969,0.6883384932920537,True
11703164805,664,1011,0.6567754698318496,True
11903166511,664,982,0.6761710794297352,True
20604111836,659,1422,0.46343178621659636,True
12602172512,658,1597,0.41202254226675017,True
12003167823,658,1112,0.591726618705036,True
12601172137,657,1494,0.4397590361445783,True
11802156418,655,2381,0.2750944981100378,True
12602172404,654,2375,0.2753684210526316,True
12001167320,652,1032,0.6317829457364341,True
11904167119,651,1104,0.5896739130434783,True
11902165928,648,990,0.6545454545454545,True
12501171024,646,1450,0.44551724137931037,True
12504171725,645,2108,0.305977229601518,True
11701132330,642,3047,0.2106990482441746,True
11902165918,642,1033,0.6214908034849952,True
20701114727,642,1685,0.3810089020771513,True
12103141057,641,1557,0.41168914579319205,True
12101168401,641,977,0.6560900716479018,True
20604111835,639,1677,0.3810375670840787,True
11703133129,638,2398,0.26605504587155965,True
11903137323,638,1135,0.5621145374449339,True
11703164733,636,1039,0.6121270452358036,True
12101168434,636,1195,0.5322175732217573,True
12502171237,635,1788,0.35514541387024606,True
11703164731,632,1349,0.46849518161601184,True
12502171202,631,1175,0.5370212765957447,True
20702142404,627,1381,0.4540188269370022,True
20703116417,627,1325,0.47320754716981134,True
80105105101,626,1079,0.5801668211306765,True
11903137019,626,1559,0.40153944836433614,True
30501111025,625,1034,0.6044487427466151,True
30303106420,624,1024,0.609375,True
12601172112,624,1465,0.425938566552901,True
20703116524,622,1384,0.44942196531791906,True
20703116415,620,1129,0.5491585473870682,True
11703164527,620,1518,0.40843214756258234,True
