SA1_CODE_2021,Malaysia_population,total_population,concentration_ratio,is_cluster,anchor_strength
20604150406,790,1959,0.4032669729453803,True,2.69112067102422
90101100104,440,1134,0.3880070546737213,True,2.3625923678982472
50704117910,319,788,0.40482233502538073,True,2.335145174693164
90101100101,267,648,0.41203703703703703,True,2.3036937095623435
90101100103,267,682,0.3914956011730205,True,2.1888468090856286
11902166017,345,1079,0.31974050046339203,True,1.8693432598655375
21503140302,279,861,0.3240418118466899,True,1.8259074323858544
21503140301,259,807,0.32094175960346966,True,1.784654947252815
50603112751,238,742,0.32075471698113206,True,1.756601516657277
90101100105,263,836,0.3145933014354067,True,1.7541562369945947
50603112525,321,1095,0.29315068493150687,True,1.692813740748635
20604150413,340,1173,0.2898550724637681,True,1.6904007180531935
50607114602,375,1387,0.27036770007209804,True,1.6031693790708077
20604111749,237,826,0.28692493946731235,True,1.5701309317919365
20702115752,300,1100,0.2727272727272727,True,1.556484617658784
20604150408,417,1635,0.25504587155963304,True,1.539324622240259
50704117916,316,1208,0.26158940397350994,True,1.5064676825705468
50704118227,317,1214,0.26112026359143325,True,1.5045883758989422
20604150309,201,718,0.2799442896935933,True,1.4860192300524264
20604150314,287,1106,0.25949367088607594,True,1.4695024030732518
50603113114,234,878,0.26651480637813213,True,1.4550603762069854
50603112831,277,1073,0.2581547064305685,True,1.4527968765072752
20604150420,322,1284,0.2507788161993769,True,1.4489128100293576
20604150427,303,1206,0.2512437810945274,True,1.436367656323454
50704117908,238,912,0.26096491228070173,True,1.429164830438267
21205132221,258,1004,0.25697211155378485,True,1.4279498405562556
21101125435,209,792,0.2638888888888889,True,1.411042265050443
20703116303,232,901,0.25749167591564925,True,1.4035970268892812
20703116312,360,1537,0.2342225113858165,True,1.379307784645307
21101125436,294,1269,0.23167848699763594,True,1.317549846149651
50603113128,225,930,0.24193548387096775,True,1.3114197578884563
11902165907,221,920,0.24021739130434783,True,1.2978170667323627
20703116346,313,1389,0.22534197264218864,True,1.2955795569397288
21205156713,212,893,0.2374020156774916,True,1.272781566775362
50604113343,332,1533,0.21656881930854532,True,1.2578625614308592
21101125438,258,1148,0.22473867595818817,True,1.2488341811136592
50603112926,262,1173,0.22335890878090367,True,1.244590244186338
50603113118,326,1522,0.21419185282522996,True,1.2401622967887678
50604113354,207,911,0.22722283205268934,True,1.2128105186588065
50603113105,205,927,0.22114347357065803,True,1.1782250427204575
50603112819,316,1549,0.2040025823111685,True,1.174830833147334
50604113534,222,1027,0.21616358325219084,True,1.1688336253789156
50603113133,249,1182,0.21065989847715735,True,1.1631503964024528
20604150505,244,1161,0.21016365202411713,True,1.1561645162557395
20702115751,236,1144,0.2062937062937063,True,1.128026392751653
50704117911,208,989,0.2103134479271992,True,1.1235647365102939
50603112517,245,1201,0.20399666944213155,True,1.1230692975049366
21205132254,213,1032,0.2063953488372093,True,1.1075124914725332
20604150426,212,1027,0.20642648490749757,True,1.1067126963295018
50603112830,219,1076,0.20353159851301114,True,1.0977736362929063
