SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster,anchor_strength
11901157130,474,953,0.49737670514165794,True,3.065489209981553
31001127212,397,780,0.5089743589743589,True,3.046950571920412
11901157224,604,1270,0.4755905511811024,True,3.0462661327957705
12702151347,328,625,0.5248,True,3.0417711076016674
21204131723,501,1026,0.48830409356725146,True,3.0365678947032713
21303134909,319,606,0.5264026402640264,True,3.0364594020762596
12503148004,568,1187,0.4785172704296546,True,3.0356563492702238
21204131707,346,668,0.5179640718562875,True,3.0297400806311576
12702152018,373,731,0.5102599179206566,True,3.0229102769297134
21204131810,336,647,0.5193199381761978,True,3.0224851075709327
21204131807,525,1089,0.4820936639118457,True,3.020462017160053
21301133828,579,1220,0.4745901639344262,True,3.0198305507786305
21303134718,264,489,0.5398773006134969,True,3.0123694766060582
21204131719,512,1061,0.4825636192271442,True,3.0113300968213323
12702152024,580,1226,0.4730831973898858,True,3.0110566386411977
12702151137,553,1166,0.47427101200686106,True,2.99604808899764
12503148012,401,806,0.4975186104218362,True,2.9833465105908528
21301132905,457,941,0.485653560042508,True,2.9755358311797906
21301133714,731,1624,0.4501231527093596,True,2.9689135195232255
12702151142,232,426,0.5446009389671361,True,2.968640660157846
11901157212,638,1394,0.45767575322812054,True,2.9565416369389292
21301132916,594,1284,0.46261682242990654,True,2.955455977331857
31001127404,362,727,0.49793672627235214,True,2.9350396506243133
21301133529,485,1023,0.47409579667644186,True,2.93285550595478
12702151139,560,1212,0.46204620462046203,True,2.924623520703556
21204131714,454,952,0.47689075630252103,True,2.918713264919886
21204131749,369,748,0.49331550802139035,True,2.9172227394124617
12702150925,450,943,0.47720042417815484,True,2.9163948067616174
21303134706,398,819,0.48595848595848595,True,2.910386622615587
12702151330,267,513,0.52046783625731,True,2.9099288962892764
21301133414,435,909,0.47854785478547857,True,2.908442657708284
31001127403,342,688,0.49709302325581395,True,2.9018950769342315
21301133534,387,796,0.4861809045226131,True,2.8981269678821695
40402110226,471,1003,0.4695912263210369,True,2.8912633122739746
12503148024,569,1252,0.4544728434504792,True,2.8839194004085233
31001127211,316,632,0.5,True,2.87945088693864
21204131808,416,876,0.4748858447488584,True,2.8650272468816227
12503148002,318,642,0.4953271028037383,True,2.855655406052306
21204131802,393,823,0.4775212636695018,True,2.8538346383403255
31001127112,429,914,0.46936542669584247,True,2.846131131867597
21303134732,445,955,0.46596858638743455,True,2.8425569985852657
31001127438,522,1160,0.45,True,2.8168116588292156
21301133417,371,781,0.47503201024327785,True,2.8116640460119555
21301132913,486,1074,0.45251396648044695,True,2.8002759439647473
21301133320,417,901,0.462819089900111,True,2.793336023710126
21204131740,504,1131,0.44562334217506633,True,2.7738085308176674
11901136116,398,861,0.462253193960511,True,2.768416543463607
21204146029,585,1347,0.43429844097995546,True,2.7679228484799943
21303134907,459,1023,0.44868035190615835,True,2.7509608589176557
12702150912,417,916,0.45524017467248906,True,2.7475936215751346
21301133724,606,1414,0.42857142857142855,True,2.7465123390254993
12702151540,333,705,0.4723404255319149,True,2.7448368094485693
12503148010,413,908,0.45484581497797355,True,2.740839919812615
21301133722,361,776,0.4652061855670103,True,2.740829330501422
21303134711,541,1244,0.43488745980707394,True,2.7377322401759234
21204131704,353,757,0.4663143989431968,True,2.7369376622671364
21301133514,422,933,0.45230439442658094,True,2.7352530113156797
21204131727,437,972,0.4495884773662551,True,2.73449553892439
31001127101,335,714,0.469187675070028,True,2.7293168607670495
12503148023,361,780,0.46282051282051284,True,2.7267737954732096
12702150915,503,1150,0.4373913043478261,True,2.7217007502955637
21301133413,403,889,0.453318335208099,True,2.7205514013704652
21301133425,477,1083,0.4404432132963989,True,2.7173631758064865
21204131725,284,591,0.4805414551607445,True,2.7162553759666612
12702152019,367,800,0.45875,True,2.710333047884997
12702151539,331,709,0.46685472496473907,True,2.7101546892966963
21301132907,335,720,0.4652777777777778,True,2.706572553593991
11901157122,396,879,0.45051194539249145,True,2.695834774917096
21301133717,451,1028,0.438715953307393,True,2.682169905743518
20607151802,341,742,0.45956873315363883,True,2.681496578623111
21301132908,532,1251,0.42525979216626697,True,2.6700027159522213
31001127413,305,654,0.46636085626911317,True,2.669256049075652
31001127412,350,770,0.45454545454545453,True,2.6639937379390295
20607151812,237,487,0.486652977412731,True,2.6630968165505946
21301133317,308,664,0.463855421686747,True,2.6594414356694362
21204131806,568,1355,0.4191881918819188,True,2.6592797686964986
21301133603,337,738,0.45663956639566394,True,2.6590331528154163
12702151144,436,999,0.4364364364364364,True,2.6535043774391163
31001127405,274,581,0.47160068846815834,True,2.6488731166276085
31001127411,304,657,0.4627092846270928,True,2.64684136999795
31001127435,536,1275,0.4203921568627451,True,2.6425842969856874
11901157216,490,1149,0.42645778938207135,True,2.6425218647687685
21301133508,374,840,0.4452380952380952,True,2.6388932544201587
21301133402,351,780,0.45,True,2.6386340290191437
21204131825,455,1057,0.4304635761589404,True,2.635510149790961
12702150939,425,981,0.4332313965341488,True,2.6229732132155785
21301133444,215,441,0.4875283446712018,True,2.6206005842451146
21301133824,263,560,0.46964285714285714,True,2.6187046680847876
21301133707,265,566,0.46819787985865724,True,2.6141811339702303
21301133510,443,1035,0.4280193236714976,True,2.6091307064323437
21301133716,376,855,0.439766081871345,True,2.6088002227841547
12503148006,465,1098,0.42349726775956287,True,2.6020458286597683
12702150910,432,1008,0.42857142857142855,True,2.6017447405724954
12702151212,393,907,0.43329658213891953,True,2.5895324226616188
40402110103,212,439,0.48291571753986334,True,2.5890522531444153
11901157226,377,865,0.43583815028901735,True,2.5866533083798666
12503148029,341,771,0.44228274967574577,True,2.5806361366256136
40402110225,431,1019,0.422963689892051,True,2.5667236786390695
21204131816,474,1139,0.4161545215100966,True,2.564891323189131
21204131741,548,1351,0.40562546262028126,True,2.5587253485915786
21303134733,294,657,0.4474885844748858,True,2.5448565521520656
20607151822,214,452,0.47345132743362833,True,2.542735703582566
21301133842,434,1038,0.41811175337186895,True,2.5401735813993147
21303134735,553,1376,0.4018895348837209,True,2.5388023777407325
21204131812,362,842,0.42992874109263657,True,2.534173190028356
12702150930,319,727,0.43878954607977994,True,2.5310789513868133
40204104334,211,447,0.4720357941834452,True,2.5285004562769453
11901157227,393,929,0.42303552206673845,True,2.5282087269688787
31001156309,508,1254,0.405103668261563,True,2.5247875537541193
21301133405,363,850,0.42705882352941177,True,2.518431592884867
21301133422,311,710,0.43802816901408453,True,2.5155971709982383
40402110215,400,954,0.4192872117400419,True,2.513191374132733
31001156301,454,1106,0.4104882459312839,True,2.51231015208294
12702150917,311,711,0.43741209563994377,True,2.5120590596466235
21301133516,516,1285,0.40155642023346305,True,2.5089417301528014
31001127407,387,923,0.419284940411701,True,2.4993597686177758
12702152017,475,1175,0.40425531914893614,True,2.492402962348872
21301133840,270,607,0.44481054365733114,True,2.4918815183484666
21303134729,573,1461,0.3921971252566735,True,2.491482987057571
12503148028,484,1203,0.4023275145469659,True,2.4880532528792534
21301132903,312,721,0.43273231622746183,True,2.4865678161560716
12702150914,499,1249,0.39951961569255406,True,2.482857839161468
21301133507,293,671,0.4366616989567809,True,2.481801597362494
21301132918,285,650,0.43846153846153846,True,2.479934870897935
21301133526,303,700,0.4328571428571429,True,2.474656276465836
40401109736,284,649,0.43759630200308164,True,2.473508362397992
21301133521,381,917,0.4154852780806979,True,2.4702347348736153
21303134810,327,771,0.42412451361867703,True,2.4569590790423024
21301133844,395,963,0.4101765316718588,True,2.45343573566513
31001127422,314,738,0.4254742547425474,True,2.4475715563567055
31001127210,274,629,0.4356120826709062,True,2.446733355740287
12702150935,451,1127,0.40017746228926354,True,2.4465578199683553
20607113901,241,542,0.4446494464944649,True,2.4406531217781575
21204131805,462,1162,0.39759036144578314,True,2.4403011178897076
31001127115,236,529,0.44612476370510395,True,2.439437038389208
21204146010,435,1084,0.40129151291512916,True,2.4389062507904335
21204131814,348,836,0.41626794258373206,True,2.4372787427349816
21204131715,259,592,0.4375,True,2.4327982135692934
21301133609,411,1019,0.40333660451422965,True,2.428499113427532
21301133607,472,1199,0.39366138448707255,True,2.4245980178216784
21303134710,324,773,0.4191461836998706,True,2.4242682523607177
21204131750,651,1741,0.3739230327398047,True,2.4230379148846932
21301133517,370,904,0.4092920353982301,True,2.4214543840318044
21204131803,311,740,0.42027027027027025,True,2.413613501903715
21204131804,394,976,0.4036885245901639,True,2.4136075731260678
12702151214,286,673,0.424962852897474,True,2.4050697083317263
21301133301,456,1162,0.3924268502581756,True,2.4034902119171755
21301132910,272,635,0.4283464566929134,True,2.4027973673863134
21301132911,393,978,0.401840490797546,True,2.401539782570642
40402110209,357,875,0.408,True,2.3992574584514856
12702151207,286,675,0.4237037037037037,True,2.397943575862595
12702151637,316,761,0.4152431011826544,True,2.3913442319910914
21204131815,265,619,0.4281098546042003,True,2.3903497929356226
21301133537,258,601,0.4292845257903494,True,2.3854602993651923
21301133426,480,1243,0.38616251005631536,True,2.3848884067986846
40402110250,336,821,0.4092570036540804,True,2.3819097010942674
11901157129,275,650,0.4230769230769231,True,2.3778619047264864
21303134709,337,827,0.407496977025393,True,2.372873599489453
12702151206,397,1002,0.3962075848303393,True,2.3718776907164885
11901136132,421,1077,0.39090064995357476,True,2.3629965062294906
21301133316,239,556,0.42985611510791366,True,2.355886155897007
21301132912,749,2106,0.35565052231718897,True,2.354432493680549
31001127436,482,1266,0.3807266982622433,True,2.3528973357508214
12702150927,313,765,0.4091503267973856,True,2.3523660190709585
21303134704,236,549,0.42987249544626593,True,2.3505686581200202
12702150936,454,1184,0.38344594594594594,True,2.3468032332801787
21303134720,471,1236,0.38106796116504854,True,2.3462274289731364
21301132901,428,1108,0.3862815884476534,True,2.341429206950534
12701159426,392,1001,0.3916083916083916,True,2.3393939738788716
21303134926,295,719,0.4102920723226704,True,2.3347093727755186
21301133410,334,833,0.4009603841536615,True,2.3312360115601107
21303134727,381,972,0.39197530864197533,True,2.330458078064923
21301133327,252,600,0.42,True,2.3240235852655586
12702150938,375,957,0.39184952978056425,True,2.323506717629269
21301132915,433,1132,0.3825088339222615,True,2.3229931830967097
21303134916,357,905,0.39447513812154694,True,2.319724062038729
21303134811,403,1043,0.38638542665388304,True,2.3188592481479806
21303134903,317,791,0.40075853350189633,True,2.3091912621255575
21301133314,418,1093,0.38243366880146384,True,2.3090851276554925
21301133318,400,1039,0.3849855630413859,True,2.3075886149399687
21301133818,223,524,0.4255725190839695,True,2.303047842678767
21301133843,261,634,0.4116719242902208,True,2.2923310969742055
31001127113,367,948,0.3871308016877637,True,2.2872008842911367
31001127419,298,743,0.40107671601615075,True,2.2863151882509083
21301133424,348,892,0.3901345291479821,True,2.284265727496014
21204146002,484,1312,0.36890243902439024,True,2.2813476091568154
40401109720,428,1138,0.37609841827768015,True,2.279704359667128
11901136133,353,909,0.38833883388338836,True,2.2792759189617406
31001127207,261,638,0.4090909090909091,True,2.277959115174994
11901136109,323,821,0.3934226552984166,True,2.2742754635821223
40402110207,535,1479,0.36173089925625423,True,2.273165501131088
12702151625,462,1253,0.3687150837988827,True,2.2630725450820752
31001127107,309,784,0.39413265306122447,True,2.2609704590829978
21204131717,348,902,0.3858093126385809,True,2.258941273754373
12503147923,584,1653,0.35329703569267995,True,2.2510715782113757
21301133310,356,931,0.38238453276047263,True,2.2475552506053185
21303134728,332,858,0.38694638694638694,True,2.247439751367724
20607114203,305,777,0.39253539253539255,True,2.2467097247046026
11901136138,348,907,0.3836824696802646,True,2.2464884552662014
12702152022,361,947,0.3812038014783527,True,2.2459171705059173
21301133819,243,595,0.4084033613445378,True,2.245061981086131
12702151514,260,646,0.4024767801857585,True,2.2395902568171833
31001127208,238,582,0.40893470790378006,True,2.23951602295481
21303134707,263,655,0.4015267175572519,True,2.238892540652643
40402110108,460,1261,0.3647898493259318,True,2.2374013479607124
12702151627,427,1157,0.3690579083837511,True,2.236167333200888
21303134908,215,517,0.4158607350096712,True,2.235367229501152
40402110223,417,1130,0.36902654867256635,True,2.2272528826219675
12503148030,310,800,0.3875,True,2.2241697534694533
21204156511,263,661,0.3978819969742814,True,2.2185697641868094
21303134814,334,876,0.3812785388127854,True,2.216803193641064
31001127434,469,1303,0.35993860322333077,True,2.2146060121383155
12702151210,352,933,0.37727759914255093,True,2.21328698396626
21301133328,265,669,0.3961136023916293,True,2.211698836811884
12702151217,333,875,0.38057142857142856,True,2.211554229327133
12702151138,284,726,0.39118457300275483,True,2.2111665663860838
21301133330,476,1328,0.35843373493975905,True,2.210645971131665
12702151208,201,484,0.4152892561983471,True,2.2044665437554594
12503148027,403,1098,0.3670309653916211,True,2.202705096373719
21301133437,292,753,0.38778220451527223,True,2.202669856351904
21303134715,219,537,0.40782122905027934,True,2.1996358149928628
12503148025,394,1072,0.3675373134328358,True,2.1974636113535837
21301133604,260,659,0.3945371775417299,True,2.195410175878453
21303134712,277,711,0.38959212376933894,True,2.1924768614519077
21204146034,384,1046,0.367112810707457,True,2.1855118932758217
40402110240,380,1034,0.36750483558994196,True,2.184007507299948
21301133326,283,733,0.3860845839017735,True,2.1809818682123074
12702150911,394,1087,0.3624655013799448,True,2.1671398264683
21204131819,373,1023,0.364613880742913,True,2.160065896809013
12503148019,316,843,0.3748517200474496,True,2.158734235522207
31001127415,381,1059,0.3597733711048159,True,2.1390040149944336
11901135415,696,2132,0.32645403377110693,True,2.137224505576606
21301133434,242,623,0.3884430176565008,True,2.1337413632237765
11901135614,380,1059,0.3588290840415486,True,2.1324492564194015
21301133523,239,615,0.3886178861788618,True,2.1298743132987576
21301132902,376,1048,0.35877862595419846,True,2.1283627771760036
40402110201,415,1176,0.352891156462585,True,2.1281754957554626
21301133433,344,946,0.36363636363636365,True,2.1249252425568583
21301133821,246,638,0.38557993730407525,True,2.124309609420819
12503147924,532,1577,0.3373493975903614,True,2.1180554202005255
21301133606,366,1021,0.3584720861900098,True,2.1169073813790136
21301133321,338,931,0.36305048335123524,True,2.115132154988821
21204146032,220,563,0.3907637655417407,True,2.1094063842520527
21204131726,400,1138,0.351493848857645,True,2.1068405719882493
21204131820,294,794,0.3702770780856423,True,2.105756618090563
21303134708,299,810,0.3691358024691358,True,2.10547032089161
21303134933,251,660,0.3803030303030303,True,2.102858637826314
11901157211,255,673,0.3789004457652303,True,2.1010702055606068
21301133420,394,1122,0.3511586452762923,True,2.0995374254643866
21204131024,279,749,0.3724966622162884,True,2.0989403194715894
21301133611,450,1311,0.34324942791762014,True,2.0977576680215146
11901157235,287,775,0.37032258064516127,True,2.097122139095505
21204146019,466,1367,0.3408924652523775,True,2.0952373328995657
12702151218,419,1208,0.3468543046357616,True,2.0950883477030104
21204146026,370,1045,0.35406698564593303,True,2.094731830779666
21301133332,312,857,0.36406067677946324,True,2.091966622460359
11901157210,301,823,0.36573511543134873,True,2.0885036843618905
