SA1_CODE_2021,England_population,total_population,concentration_ratio,is_cluster,anchor_strength
50503110547,1195,1808,0.6609513274336283,True,4.683988844989015
50705118806,415,550,0.7545454545454545,True,4.550426150924408
50503110709,556,778,0.7146529562982005,True,4.518439940102275
50503110720,468,641,0.7301092043681747,True,4.490611693655006
50503110517,795,1185,0.6708860759493671,True,4.481250086705725
50501107907,527,834,0.63189448441247,True,3.9614073639246996
50201102901,407,619,0.6575121163166397,True,3.9524810015872274
40201102622,629,1027,0.6124634858812074,True,3.9477680295944775
50503110542,520,829,0.6272617611580217,True,3.9239927885545844
50501107421,637,1077,0.5914577530176416,True,3.819834249294922
50503110510,669,1145,0.5842794759825327,True,3.8020688118651287
50503110506,580,984,0.5894308943089431,True,3.7515807306647444
50503110017,530,907,0.5843439911797134,True,3.6666194831954
40202103512,393,641,0.6131045241809673,True,3.664127780583601
50501107404,724,1304,0.5552147239263804,True,3.65673947708189
50503110020,676,1219,0.5545529122231337,True,3.614393585306561
50501107614,1530,3118,0.490699166132136,True,3.598628892032154
50705119152,457,781,0.5851472471190781,True,3.5851206365431274
50705131210,433,735,0.5891156462585034,True,3.577725555463232
50503125803,1373,2787,0.49264442052386076,True,3.5595931331647255
50503109903,453,784,0.5778061224489796,True,3.535074018766238
50503130613,218,333,0.6546546546546547,True,3.527980892192184
50503110509,408,699,0.5836909871244635,True,3.5101513357159706
50503110526,456,796,0.5728643216080402,True,3.5086125957886405
50501107420,469,828,0.5664251207729468,True,3.485062359681431
50501107608,597,1114,0.5359066427289049,True,3.4263677559322505
50503109910,547,1012,0.5405138339920948,True,3.40862903355787
50501107406,494,905,0.5458563535911602,True,3.3867972759214733
50503125517,534,996,0.536144578313253,True,3.368203255865931
50503110002,484,893,0.541993281075028,True,3.351767148055702
50503110533,1816,4067,0.446520776985493,True,3.351112563611371
50501107617,1272,2721,0.46747519294377066,True,3.3420416734160314
50503125809,853,1736,0.4913594470046083,True,3.3166424586991075
50501107611,1200,2568,0.4672897196261682,True,3.3135092626541978
40701114829,508,956,0.5313807531380753,True,3.3118029209285202
50503109901,522,991,0.5267406659939455,True,3.2971761092249143
50503110528,647,1272,0.5086477987421384,True,3.292930251996794
50503110546,379,684,0.554093567251462,True,3.2914106795044495
50705131313,400,729,0.5486968449931413,True,3.2888677241737008
50501107403,520,990,0.5252525252525253,True,3.2858485067795464
50503110545,668,1328,0.5030120481927711,True,3.272487765184983
50503110540,347,625,0.5552,True,3.2491428167707883
50503109938,418,785,0.532484076433121,True,3.215070120417138
50501107607,274,479,0.5720250521920668,True,3.212933780293613
50503110728,473,911,0.5192096597145993,True,3.1989583569283986
50501108007,498,970,0.51340206185567,True,3.1895647790559343
40304117704,623,1258,0.49523052464228934,True,3.1873781236042555
50503110519,490,954,0.5136268343815513,True,3.1826599817812524
40205104928,713,1473,0.48404616429056346,True,3.1806106939226906
50605113930,384,719,0.5340751043115438,True,3.1794790547517513
50503110549,378,707,0.5346534653465347,True,3.174524307667832
50503110548,411,784,0.5242346938775511,True,3.1564293323758363
31904151828,523,1039,0.5033686236766122,True,3.151838451299235
50705119114,470,918,0.5119825708061002,True,3.1511800699212595
50503110514,579,1179,0.4910941475826972,True,3.124845862552951
50503110553,351,659,0.5326251896813353,True,3.1231176671243275
50201102112,489,971,0.5036045314109165,True,3.1195306243565235
50503109934,516,1040,0.49615384615384617,True,3.09999050312149
50501107402,528,1075,0.49116279069767443,True,3.0800761786243553
50503110735,347,660,0.5257575757575758,True,3.076839788608701
50503110507,534,1092,0.489010989010989,True,3.0720974751304646
50503110505,527,1081,0.48751156336725254,True,3.0562569301694724
50503130312,439,880,0.49886363636363634,True,3.036470573993753
50501107606,255,466,0.5472103004291845,True,3.034378215326799
50604113405,368,718,0.5125348189415042,True,3.0294890877533622
50503130627,432,868,0.4976958525345622,True,3.0213809890519303
50501107110,453,925,0.4897297297297297,True,2.996214087257006
50503110501,463,951,0.4868559411146162,True,2.9892392720092076
50503110018,455,933,0.48767416934619506,True,2.9857815952079805
50703117003,638,1385,0.46064981949458483,True,2.975753820861276
50503110508,364,729,0.4993141289437586,True,2.9459021079616283
50503125542,506,1075,0.47069767441860466,True,2.9317456444810595
50501107104,465,975,0.47692307692307695,True,2.9303039178137698
50503110504,295,573,0.5148342059336823,True,2.9295916911441493
50601111521,357,718,0.4972144846796657,True,2.923886178475
50501107602,375,762,0.4921259842519685,True,2.918104893400539
50601111055,370,751,0.49267643142476697,True,2.914773319793277
50705119123,311,613,0.5073409461663948,True,2.9136606711398843
50501107107,392,809,0.484548825710754,True,2.8946024324508657
50503110541,388,806,0.4813895781637717,True,2.8708049445706663
50201102322,491,1069,0.4593077642656688,True,2.8470094011204146
50503110103,1687,4409,0.3826264459061012,True,2.8434117831680674
50705119154,237,458,0.517467248908297,True,2.8317208507863314
50503110518,499,1096,0.4552919708029197,True,2.829461168898425
50705119148,340,701,0.48502139800285304,True,2.8285877921203935
50503110523,483,1058,0.45652173913043476,True,2.8222561530662884
50503109960,424,910,0.46593406593406594,True,2.8198745138724757
50705131222,289,582,0.4965635738831615,True,2.8154563346071653
40204104737,510,1136,0.448943661971831,True,2.799778601235818
50501107612,825,1981,0.4164563351842504,True,2.7971684442982365
50501107114,426,924,0.461038961038961,True,2.792413408696314
40701114411,386,826,0.46731234866828086,True,2.784445437662828
50601111610,493,1101,0.4477747502270663,True,2.77733879198333
50201102408,760,1825,0.41643835616438357,True,2.762915809301305
40205105203,485,1088,0.44577205882352944,True,2.757638954587996
