SA1_CODE_2021,England_population,total_population,concentration_ratio,is_cluster
50503110533,1816,4067,0.446520776985493,True
50503110103,1687,4409,0.3826264459061012,True
50501107614,1530,3118,0.490699166132136,True
50503125803,1373,2787,0.49264442052386076,True
50501107617,1272,2721,0.46747519294377066,True
50501107611,1200,2568,0.4672897196261682,True
50503110547,1195,1808,0.6609513274336283,True
50503125815,1113,2923,0.3807731782415327,True
50201102429,1017,3147,0.323164918970448,True
50501107616,898,2249,0.39928857269897733,True
50201102427,883,3246,0.2720271102895872,True
50503125809,853,1736,0.4913594470046083,True
50501107612,825,1981,0.4164563351842504,True
50503125808,811,2744,0.2955539358600583,True
50503110517,795,1185,0.6708860759493671,True
50902123607,776,2983,0.2601407978545089,True
50201102408,760,1825,0.41643835616438357,True
50501107404,724,1304,0.5552147239263804,True
40205104928,713,1473,0.48404616429056346,True
50503110020,676,1219,0.5545529122231337,True
50503110510,669,1145,0.5842794759825327,True
50503110545,668,1328,0.5030120481927711,True
50503125710,657,1938,0.33900928792569657,True
50503110031,649,1892,0.3430232558139535,True
50201102109,647,1649,0.39235900545785324,True
50503110528,647,1272,0.5086477987421384,True
50703117003,638,1385,0.46064981949458483,True
50501107421,637,1077,0.5914577530176416,True
40201102622,629,1027,0.6124634858812074,True
40304117704,623,1258,0.49523052464228934,True
50501107608,597,1114,0.5359066427289049,True
31601141516,587,4378,0.13407948835084513,True
50503110506,580,984,0.5894308943089431,True
50503110514,579,1179,0.4910941475826972,True
50705119120,577,1705,0.33841642228739005,True
11501155412,568,3134,0.18123803446075304,True
50201102728,564,1914,0.2946708463949843,True
50402105108,561,2869,0.19553851516207738,True
50503110709,556,778,0.7146529562982005,True
40304107426,551,1350,0.40814814814814815,True
50503109910,547,1012,0.5405138339920948,True
40303106715,544,2995,0.18163606010016695,True
21402138228,537,2256,0.23803191489361702,True
40304108305,535,1364,0.39222873900293254,True
50503110507,534,1092,0.489010989010989,True
50503125517,534,996,0.536144578313253,True
50503110017,530,907,0.5843439911797134,True
50501107402,528,1075,0.49116279069767443,True
50503110505,527,1081,0.48751156336725254,True
21402159114,527,1706,0.30890973036342323,True
50501107907,527,834,0.63189448441247,True
31901149302,525,3422,0.15341905318527177,True
31904151828,523,1039,0.5033686236766122,True
50503109901,522,991,0.5267406659939455,True
50503110542,520,829,0.6272617611580217,True
50501107403,520,990,0.5252525252525253,True
50503109934,516,1040,0.49615384615384617,True
50201102416,515,1860,0.2768817204301075,True
50501107904,514,1185,0.4337552742616034,True
50403106809,513,2014,0.25471698113207547,True
40204104737,510,1136,0.448943661971831,True
50601111520,510,1806,0.2823920265780731,True
40701114829,508,956,0.5313807531380753,True
50503125542,506,1075,0.47069767441860466,True
50503125537,504,1191,0.42317380352644834,True
50705118825,503,1440,0.34930555555555554,True
50503110722,501,1290,0.3883720930232558,True
40302105909,500,2160,0.23148148148148148,True
50503110518,499,1096,0.4552919708029197,True
50501108014,499,1127,0.4427684117125111,True
50501108007,498,970,0.51340206185567,True
50701116023,496,3353,0.14792722934685357,True
50503110721,496,1205,0.41161825726141077,True
50501107406,494,905,0.5458563535911602,True
50601111610,493,1101,0.4477747502270663,True
50201102322,491,1069,0.4593077642656688,True
50503110519,490,954,0.5136268343815513,True
50201102112,489,971,0.5036045314109165,True
50501107609,488,1167,0.4181662382176521,True
50901122712,488,2339,0.20863616930312098,True
50503110711,487,1515,0.3214521452145215,True
40205105203,485,1088,0.44577205882352944,True
50503110002,484,893,0.541993281075028,True
50503110523,483,1058,0.45652173913043476,True
50604113442,483,1107,0.4363143631436314,True
50503110530,482,1231,0.3915515840779854,True
50503125802,482,1375,0.35054545454545455,True
50201102204,480,2168,0.22140221402214022,True
50503125801,475,1399,0.33952823445318087,True
50705119124,474,1212,0.3910891089108911,True
50503110728,473,911,0.5192096597145993,True
50605114023,472,1137,0.415127528583993,True
50705119114,470,918,0.5119825708061002,True
50201102749,469,1114,0.42100538599640935,True
50501107420,469,828,0.5664251207729468,True
12202142120,469,1488,0.31518817204301075,True
50601111517,468,1420,0.3295774647887324,True
50503110720,468,641,0.7301092043681747,True
50501107908,468,1109,0.4220018034265104,True
50501107104,465,975,0.47692307692307695,True
50201102523,465,1416,0.3283898305084746,True
50503110501,463,951,0.4868559411146162,True
50503110016,462,1037,0.4455159112825458,True
50501107117,459,1100,0.4172727272727273,True
31602142122,458,2181,0.2099954149472719,True
40304107214,457,1473,0.3102511880515954,True
40304108029,457,1037,0.4406943105110897,True
50705119152,457,781,0.5851472471190781,True
50501107713,457,1298,0.35208012326656396,True
31102130719,456,1733,0.2631275245239469,True
50503110526,456,796,0.5728643216080402,True
50503110018,455,933,0.48767416934619506,True
40304108317,455,2132,0.21341463414634146,True
50403106819,455,1510,0.30132450331125826,True
50503125510,454,1238,0.3667205169628433,True
50501107110,453,925,0.4897297297297297,True
50503109903,453,784,0.5778061224489796,True
30903123501,452,1831,0.2468596395412343,True
50501107905,451,1139,0.39596136962247586,True
50501107124,450,1007,0.4468718967229394,True
40701114408,449,1379,0.3255982596084119,True
21201155104,448,1061,0.4222431668237512,True
31301136359,447,1352,0.3306213017751479,True
31301136234,447,2259,0.19787516600265603,True
21402138227,447,1680,0.26607142857142857,True
50501107927,446,1237,0.3605497170573969,True
50902123610,446,1654,0.26964933494558646,True
40701114821,444,2166,0.20498614958448755,True
50601111507,442,1352,0.3269230769230769,True
50503109905,441,1022,0.4315068493150685,True
50503110037,440,1277,0.3445575567736883,True
50503110001,439,1052,0.41730038022813687,True
50503130312,439,880,0.49886363636363634,True
