SA1_CODE_2021,Malaysia_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
20604150406,790,1959,0.4032669729453803,True,385,1777,1062,1.7,0.3625235404896422,0.3861364624076489,Moderately_Affordable,Moderately_Affordable
20604150504,703,5908,0.11899119837508464,True,351,1710,1260,1.8,0.2785714285714286,0.3131868131868132,Affordable,Moderately_Affordable
12003167812,451,3237,0.13932653691689836,True,600,2499,1353,2.3,0.4434589800443459,0.4262323042810848,Expensive,Expensive
90101100104,440,1134,0.3880070546737213,True,140,1679,1980,2.5,0.0707070707070707,0.19568764568764568,Affordable,Affordable
50604113324,434,2762,0.15713251267197684,True,403,1850,2035,2.9,0.19803439803439804,0.2097902097902098,Affordable,Affordable
50604113528,419,3928,0.10667006109979633,True,463,2300,2714,3.7,0.17059690493736182,0.19556714471968709,Affordable,Affordable
20604150408,417,1635,0.25504587155963304,True,400,1950,803,1.8,0.49813200498132004,0.5603985056039851,Expensive,Very_Expensive
50607114602,375,1387,0.27036770007209804,True,300,3148,2433,3.1,0.12330456226880394,0.2985867400170729,Affordable,Affordable
20604150518,371,2943,0.12606184165817194,True,437,1898,1413,1.8,0.30927105449398445,0.3099787685774947,Moderately_Affordable,Moderately_Affordable
20703116312,360,1537,0.2342225113858165,True,378,1571,1166,2.0,0.3241852487135506,0.3109249241324713,Moderately_Affordable,Moderately_Affordable
11902166017,345,1079,0.31974050046339203,True,520,2000,1578,3.2,0.32953105196451205,0.2924831822170225,Moderately_Affordable,Affordable
20604150413,340,1173,0.2898550724637681,True,400,2175,1486,2.3,0.2691790040376851,0.33776788487421056,Affordable,Moderately_Affordable
50604113343,332,1533,0.21656881930854532,True,400,1759,1570,2.6,0.25477707006369427,0.25854973052425284,Affordable,Affordable
50603112434,329,1706,0.19284876905041032,True,350,1700,1760,2.7,0.19886363636363635,0.2229020979020979,Affordable,Affordable
50603113118,326,1522,0.21419185282522996,True,400,2196,2664,3.5,0.15015015015015015,0.19022869022869024,Affordable,Affordable
20604150420,322,1284,0.2507788161993769,True,340,1549,1100,1.8,0.3090909090909091,0.324965034965035,Moderately_Affordable,Moderately_Affordable
50603112525,321,1095,0.29315068493150687,True,470,1886,1760,2.9,0.26704545454545453,0.2472902097902098,Affordable,Affordable
21205132253,320,1861,0.17195056421278881,True,460,1988,1385,2.0,0.33212996389891697,0.3312413218550403,Moderately_Affordable,Moderately_Affordable
50704117910,319,788,0.40482233502538073,True,550,3000,2270,3.1,0.2422907488986784,0.3049813622500847,Affordable,Moderately_Affordable
50704118227,317,1214,0.26112026359143325,True,486,2167,2411,3.0,0.20157610949813357,0.207414733752353,Affordable,Affordable
50603112819,316,1549,0.2040025823111685,True,350,1550,1585,2.5,0.22082018927444794,0.22567338024751274,Affordable,Affordable
50704117916,316,1208,0.26158940397350994,True,400,2000,1897,3.0,0.21085925144965736,0.24329913628806618,Affordable,Affordable
20703116346,313,1389,0.22534197264218864,True,381,1700,1065,1.8,0.35774647887323946,0.36836403033586135,Moderately_Affordable,Moderately_Affordable
50603113108,309,1711,0.18059614260666276,True,463,2000,2277,3.2,0.20333772507685552,0.2026958548697679,Affordable,Affordable
20604150427,303,1206,0.2512437810945274,True,351,2000,1206,1.7,0.291044776119403,0.3827018752391887,Affordable,Moderately_Affordable
20604150414,302,2660,0.11353383458646617,True,420,1800,713,1.6,0.5890603085553997,0.5825871183514942,Very_Expensive,Very_Expensive
20702115752,300,1100,0.2727272727272727,True,763,3550,3303,3.3,0.23100211928549802,0.24802626982463494,Affordable,Affordable
21101125436,294,1269,0.23167848699763594,True,566,2500,2862,3.2,0.19776380153738643,0.20158039025963553,Affordable,Affordable
50603112437,293,1511,0.19391131700860356,True,300,1750,1225,2.8,0.24489795918367346,0.32967032967032966,Affordable,Moderately_Affordable
20604111737,292,2285,0.12778993435448577,True,413,1771,522,1.7,0.7911877394636015,0.7829354553492485,Very_Expensive,Very_Expensive
20604150314,287,1106,0.25949367088607594,True,450,1792,1337,1.7,0.3365744203440538,0.3093032621828433,Moderately_Affordable,Moderately_Affordable
20604150421,282,1523,0.1851608667104399,True,375,1600,975,1.6,0.38461538461538464,0.378698224852071,Moderately_Affordable,Moderately_Affordable
21503140302,279,861,0.3240418118466899,True,230,1083,1220,2.8,0.1885245901639344,0.20485498108448927,Affordable,Affordable
20604150404,278,1461,0.19028062970568105,True,361,2000,928,1.8,0.3890086206896552,0.4973474801061008,Moderately_Affordable,Expensive
50603112831,277,1073,0.2581547064305685,True,388,1800,1653,2.6,0.23472474289171205,0.2512913583693983,Affordable,Affordable
20604111743,268,1902,0.14090431125131442,True,340,2000,826,1.7,0.4116222760290557,0.5587632706276774,Expensive,Very_Expensive
90101100101,267,648,0.41203703703703703,True,0,0,0,0.0,,,Unknown,Unknown
90101100103,267,682,0.3914956011730205,True,150,1500,2486,2.7,0.06033789219629927,0.13924128968376756,Affordable,Affordable
50604113305,264,1560,0.16923076923076924,True,400,2000,2378,3.1,0.16820857863751051,0.19408682150481982,Affordable,Affordable
90101100105,263,836,0.3145933014354067,True,200,1010,1886,2.4,0.10604453870625663,0.12358267395382984,Affordable,Affordable
50603112926,262,1173,0.22335890878090367,True,420,2288,1850,2.9,0.22702702702702704,0.28540540540540543,Affordable,Affordable
21503140301,259,807,0.32094175960346966,True,250,792,1062,3.0,0.23540489642184556,0.17209908735332463,Affordable,Affordable
50704118224,258,1318,0.19575113808801214,True,430,1905,1916,2.7,0.2244258872651357,0.22944435522723622,Affordable,Affordable
21101125438,258,1148,0.22473867595818817,True,580,2800,2600,3.2,0.2230769230769231,0.2485207100591716,Affordable,Affordable
21205132221,258,1004,0.25697211155378485,True,472,2500,2233,3.0,0.21137483206448723,0.2583623273278446,Affordable,Affordable
50603112707,251,1688,0.14869668246445497,True,455,2000,2215,3.4,0.2054176072234763,0.20836950859524223,Affordable,Affordable
50603113133,249,1182,0.21065989847715735,True,420,2200,2194,3.2,0.19143117593436645,0.2314003225580254,Affordable,Affordable
50603113125,246,1281,0.1920374707259953,True,400,2014,2169,3.2,0.18441678192715538,0.21427811469305244,Affordable,Affordable
50603112517,245,1201,0.20399666944213155,True,450,1997,2568,3.2,0.17523364485981308,0.17945722501797268,Affordable,Affordable
20604150505,244,1161,0.21016365202411713,True,391,1560,1329,1.9,0.2942061700526712,0.2708803611738149,Affordable,Affordable
21503140311,244,1317,0.1852695520121488,True,200,941,1010,3.1,0.19801980198019803,0.215003808073115,Affordable,Affordable
20604150411,243,1337,0.18175018698578907,True,375,1900,877,1.7,0.427594070695553,0.4999561441978774,Expensive,Expensive
50603112751,238,742,0.32075471698113206,True,340,1383,1317,1.9,0.25816249050873197,0.24233397581916943,Affordable,Affordable
50704117908,238,912,0.26096491228070173,True,350,1868,2011,2.7,0.174042764793635,0.21435948437440233,Affordable,Affordable
