SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster
12702151342,1370,1957,0.7000510986203372,True
21301133504,1319,2428,0.5432454695222405,True
12702151136,1252,1428,0.876750700280112,True
12702151130,1122,1104,1.016304347826087,True
12702151101,1103,1059,1.0415486307837583,True
12702151141,1005,1350,0.7444444444444445,True
12702151150,963,1202,0.8011647254575707,True
12702151338,955,1370,0.6970802919708029,True
12702151335,952,1381,0.6893555394641564,True
21301133415,949,1297,0.7316885119506553,True
21301133703,944,1147,0.8230165649520488,True
12702151112,927,1321,0.7017411052233157,True
12702151211,921,1202,0.7662229617304492,True
12702151118,917,1061,0.8642789820923656,True
21301133726,892,1360,0.6558823529411765,True
21301133527,887,1158,0.7659758203799655,True
12702151122,877,1168,0.7508561643835616,True
12702151148,864,937,0.9220917822838848,True
12702151337,862,1315,0.6555133079847909,True
12702151308,862,1334,0.6461769115442278,True
12702151155,859,1225,0.7012244897959183,True
40402110227,851,1159,0.734253666954271,True
12702151134,850,1137,0.7475813544415127,True
12702151113,848,972,0.8724279835390947,True
21204131732,840,1282,0.6552262090483619,True
21204131720,830,1186,0.6998313659359191,True
12702151301,818,867,0.9434832756632064,True
21301133805,804,3774,0.21303656597774245,True
12702151111,798,1153,0.6921075455333912,True
40401109721,782,1610,0.4857142857142857,True
21301133712,782,1381,0.5662563359884142,True
12702151127,771,900,0.8566666666666667,True
12702151314,771,1185,0.6506329113924051,True
12702151154,764,971,0.7868177136972193,True
11901157242,764,1216,0.6282894736842105,True
21303134717,762,1077,0.7075208913649025,True
20607151826,757,1044,0.725095785440613,True
21301133536,757,1184,0.6393581081081081,True
12702151320,753,1221,0.6167076167076168,True
12702151117,753,930,0.8096774193548387,True
12702151309,751,1199,0.6263552960800667,True
21301132912,749,2106,0.35565052231718897,True
12702151229,746,1433,0.520586182833217,True
12702151326,745,1390,0.5359712230215827,True
12702151235,744,1162,0.6402753872633391,True
21204131821,742,1257,0.5902943516308672,True
12702151108,741,1103,0.671804170444243,True
31001127420,736,1540,0.4779220779220779,True
21301133714,731,1624,0.4501231527093596,True
21301133706,725,1008,0.7192460317460317,True
12702151128,725,1356,0.5346607669616519,True
21204131703,720,1445,0.4982698961937716,True
