SA1_CODE_2021,China_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12501171020,1052,1661,0.633353401565322,True,480,2184,1923,2.1,0.24960998439937598,0.2620904836193448,Affordable,Affordable
20703116358,1048,1107,0.9467028003613369,True,351,1962,927,1.8,0.3786407766990291,0.48842419716206126,Moderately_Affordable,Expensive
20802117757,1024,1086,0.9429097605893186,True,392,2028,1174,1.7,0.3339011925042589,0.3986371379897785,Moderately_Affordable,Moderately_Affordable
12003167805,1022,1164,0.8780068728522337,True,560,2167,2111,2.4,0.26527711984841307,0.2368910104580403,Affordable,Affordable
20604150421,1009,1523,0.6625082074852265,True,375,1600,975,1.6,0.38461538461538464,0.378698224852071,Moderately_Affordable,Moderately_Affordable
11701132336,1005,2511,0.4002389486260454,True,660,2900,2259,2.3,0.2921646746347942,0.2962508938604556,Affordable,Affordable
21205156720,982,2154,0.4558960074280409,True,421,1855,1260,2.0,0.3341269841269841,0.33974358974358976,Moderately_Affordable,Moderately_Affordable
12003167824,975,1538,0.6339401820546163,True,500,2350,1691,2.6,0.29568302779420463,0.32070236091525267,Affordable,Moderately_Affordable
11703164727,968,1000,0.968,True,600,3000,1341,1.9,0.44742729306487694,0.5162622612287042,Expensive,Very_Expensive
20604151011,964,1729,0.5575477154424523,True,381,1800,1475,1.7,0.2583050847457627,0.2816166883963494,Affordable,Affordable
11904167106,962,1787,0.5383324006715166,True,530,2600,2341,2.1,0.22639897479709525,0.25630072618539085,Affordable,Affordable
11703164514,958,1289,0.743211792086889,True,680,3000,1819,2.0,0.37383177570093457,0.38059796168647186,Moderately_Affordable,Moderately_Affordable
30501110537,952,2444,0.3895253682487725,True,460,2300,1447,1.7,0.3178991015894955,0.3668066556801871,Moderately_Affordable,Moderately_Affordable
11903166417,949,1304,0.727760736196319,True,480,1733,1687,3.1,0.2845287492590397,0.23706169349322875,Affordable,Affordable
40101100147,946,1996,0.47394789579158314,True,347,1466,870,1.6,0.3988505747126437,0.38885941644562333,Moderately_Affordable,Moderately_Affordable
11903166406,934,1071,0.8720821661998133,True,510,2500,1875,2.5,0.272,0.3076923076923077,Affordable,Moderately_Affordable
30302105805,929,1792,0.5184151785714286,True,400,2084,2402,2.7,0.16652789342214822,0.20021776724524434,Affordable,Affordable
12602172511,925,1623,0.5699322242760321,True,470,2200,2043,1.9,0.23005384238864415,0.24850333220377274,Affordable,Affordable
12501171010,925,1456,0.6353021978021978,True,530,2400,1971,2.1,0.2688990360223237,0.2809975412715139,Affordable,Affordable
20604150426,918,1027,0.8938656280428432,True,369,1800,942,1.7,0.39171974522292996,0.44096031357177856,Moderately_Affordable,Expensive
11703164818,908,1882,0.4824654622741764,True,650,2945,2341,1.9,0.2776591200341734,0.29030986100614464,Affordable,Affordable
20604150903,900,1735,0.5187319884726225,True,400,2079,1447,1.7,0.27643400138217,0.3315613205039604,Affordable,Moderately_Affordable
30305107501,889,2576,0.3451086956521739,True,423,1560,1711,2.9,0.2472238457042665,0.2104032729398013,Affordable,Affordable
20703116619,888,1798,0.4938820912124583,True,404,1641,1361,2.1,0.29684055841293167,0.27824563386650086,Affordable,Affordable
12601172130,887,1438,0.6168289290681502,True,500,2500,1893,2.5,0.26413100898045433,0.3047665488236011,Affordable,Moderately_Affordable
11903166413,878,1378,0.637155297532656,True,530,1595,1726,2.9,0.3070683661645423,0.21325430073981638,Moderately_Affordable,Affordable
20802117756,863,1476,0.5846883468834688,True,384,1811,1338,1.8,0.28699551569506726,0.3123490858916868,Affordable,Moderately_Affordable
20604150420,858,1284,0.6682242990654206,True,340,1549,1100,1.8,0.3090909090909091,0.324965034965035,Moderately_Affordable,Moderately_Affordable
12501158402,856,1732,0.4942263279445728,True,580,2212,1952,3.5,0.29713114754098363,0.2615069356872636,Affordable,Affordable
11701163501,855,1349,0.6338028169014085,True,650,2947,2382,2.3,0.27287993282955497,0.28550668475101726,Affordable,Affordable
12601172136,852,1643,0.5185636031649422,True,650,3033,2442,3.2,0.26617526617526616,0.2866187866187866,Affordable,Affordable
11903166412,848,945,0.8973544973544973,True,500,2500,1596,2.4,0.3132832080200501,0.3614806246385194,Moderately_Affordable,Moderately_Affordable
12501171017,846,1122,0.7540106951871658,True,550,2400,1976,1.9,0.2783400809716599,0.2802865151043289,Affordable,Affordable
20604150404,838,1461,0.5735797399041752,True,361,2000,928,1.8,0.3890086206896552,0.4973474801061008,Moderately_Affordable,Expensive
12003167818,836,1104,0.7572463768115942,True,500,2817,1398,2.1,0.35765379113018597,0.46500495212941567,Moderately_Affordable,Expensive
12003167830,835,1285,0.6498054474708171,True,450,2600,1775,2.6,0.2535211267605634,0.3380281690140845,Affordable,Moderately_Affordable
12101168411,831,1173,0.7084398976982097,True,700,3113,2233,2.3,0.31347962382445144,0.3217127699886321,Moderately_Affordable,Moderately_Affordable
20604150406,828,1959,0.4226646248085758,True,385,1777,1062,1.7,0.3625235404896422,0.3861364624076489,Moderately_Affordable,Moderately_Affordable
11701163516,816,1874,0.43543223052294555,True,650,2500,2281,2.6,0.28496273564226215,0.252925505007925,Affordable,Affordable
11703163905,812,1802,0.4506104328523862,True,500,2200,1437,1.6,0.34794711203897005,0.3533001445318773,Moderately_Affordable,Moderately_Affordable
11903137429,809,1345,0.6014869888475837,True,480,2084,2023,2.9,0.23727137913989124,0.23772767025362182,Affordable,Affordable
20604111820,808,1333,0.6061515378844711,True,620,2800,2037,1.9,0.30436917034855177,0.317208564631245,Moderately_Affordable,Moderately_Affordable
12001167316,806,1408,0.5724431818181818,True,580,2800,2289,2.4,0.25338575797291396,0.2822865208186309,Affordable,Affordable
11903166526,805,1374,0.5858806404657934,True,480,2167,1812,3.0,0.26490066225165565,0.27598064187468163,Affordable,Affordable
11703164520,794,1860,0.4268817204301075,True,600,2754,2042,2.0,0.2938295788442703,0.3112333308219694,Affordable,Moderately_Affordable
12502171113,789,1554,0.5077220077220077,True,460,2227,1827,2.9,0.25177887246852765,0.2812934192244537,Affordable,Affordable
