SA2_CODE,SA2_Name,Total_Pop,Total_Dwellings,MultiGen_Demand_Score,Generational_Overlap_Score,Cultural_MultiGen_Score,Large_Family_Indicator,Pct_High_MultiGen_Culture,Pct_Young_Children,Pct_Parents,Pct_Grandparents,Pct_Separate_Houses,Pct_Apartments,Pct_Owned
506031129,Riverton - Shelley - Rossmoyne,14518,5007,71.81,22.62,22.76,25.63,9.31,19.14,27.86,21.67,82.78,2.42,72.80
115041301,Pitt Town - McGraths Hill,11414,3567,71.75,23.23,5.07,30.11,2.34,20.87,27.48,21.83,91.81,5.02,81.86
604031094,North West,4188,1505,71.72,23.67,2.87,32.16,1.43,19.72,24.93,26.93,97.34,0.40,71.96
212021299,Narre Warren North,8241,2308,71.71,22.57,13.25,28.26,6.01,17.76,25.64,25.20,98.61,0.13,93.11
121031410,St Ives,21665,7291,71.61,23.63,17.00,22.16,7.43,21.02,28.62,21.92,70.22,22.82,83.09
115011291,Baulkham Hills (West) - Bella Vista,21683,6859,71.56,23.48,25.44,20.68,11.65,18.87,28.70,23.87,80.67,10.48,80.89
127021518,Horsley Park - Kemps Creek,4344,1183,71.54,21.18,21.09,39.76,9.94,15.95,23.94,24.82,96.28,1.86,80.39
801071086,Oxley (ACT),1703,606,71.51,23.73,5.75,27.37,2.64,19.67,24.49,27.72,91.42,0.00,75.91
801071090,Wanniassa,7885,2897,71.48,23.53,7.62,26.51,3.42,19.82,26.80,24.51,89.75,0.79,77.32
127011597,West Hoxton - Middleton Grange,17194,4522,71.45,22.25,21.36,27.59,9.57,25.32,30.41,14.21,92.84,0.71,77.05
215031405,Swan Hill Surrounds,6477,2303,71.37,23.02,3.07,37.18,0.73,18.09,23.58,28.55,94.70,0.96,75.34
123021706,Macquarie Fields,14198,4623,71.31,22.87,14.11,26.04,6.52,22.76,26.88,19.54,70.56,1.23,54.83
125031483,Guildford - South Granville,22386,6130,71.28,21.14,32.65,32.10,15.54,24.13,23.66,16.52,61.92,19.64,48.73
213011329,Cairnlea,10038,2808,71.20,22.30,35.84,24.87,16.31,19.22,29.78,19.33,88.32,3.77,81.94
127031522,Casula,16584,4979,71.12,22.14,23.13,27.61,10.05,21.07,25.82,19.93,71.06,4.08,64.45
506041137,Thornlie,23665,8401,71.10,22.66,15.81,26.49,6.50,19.46,26.89,22.23,91.11,1.24,75.86
507041180,Leeming,10883,3817,71.09,23.75,9.81,24.04,3.34,18.02,25.78,28.78,93.53,0.31,86.72
507041184,Winthrop,6020,1966,71.02,22.73,17.41,25.74,4.77,16.41,24.49,29.10,98.78,0.00,87.64
115011621,Kellyville - East,17709,5247,71.01,23.35,20.48,21.97,9.12,21.24,31.61,18.90,92.19,1.58,82.05
126021590,Putney,4163,1350,70.93,22.92,15.78,25.07,6.82,17.03,25.97,27.14,83.93,0.74,82.74
115011553,Castle Hill - Central,7677,2622,70.89,23.70,22.95,19.62,10.29,21.17,31.67,19.81,60.37,24.45,67.54
212031457,Narre Warren South - East,13152,3717,70.77,22.55,19.97,25.98,9.42,20.75,29.50,18.68,96.77,0.08,86.95
303051075,Parkinson - Drewvale,16095,4828,70.74,23.24,21.33,22.04,9.62,23.26,30.60,17.57,87.32,0.08,76.45
801081091,Chapman,2867,1023,70.72,23.68,6.21,26.65,2.79,18.07,27.28,26.89,89.93,2.93,88.27
501031018,Donnybrook - Balingup,6155,2305,70.62,23.78,2.03,33.50,0.93,16.67,24.87,32.28,96.36,0.13,80.82
303031062,Mansfield (Qld),8880,2946,70.61,22.70,15.11,26.06,6.80,20.86,30.02,18.64,94.03,2.07,70.77
511041288,Geraldton - South,10333,3710,70.59,23.50,3.88,29.92,1.76,22.09,27.47,21.36,86.20,0.35,69.08
127021512,Cabramatta West - Mount Pritchard,18249,5154,70.52,21.80,30.55,27.85,14.43,19.20,25.73,20.97,86.26,3.20,60.32
119011361,Yagoona - Birrong,22484,6546,70.48,21.83,30.81,27.62,14.30,21.59,24.15,19.95,66.96,18.04,59.04
125031479,Chester Hill - Sefton,20842,5785,70.48,21.60,33.45,28.58,15.91,21.72,24.69,18.78,72.27,13.34,57.39
