SA2_CODE,SA2_Name,Total_Pop,Total_Dwellings,Market_Opportunity_Score,MultiGen_Demand_Score,Pct_Owned,Pct_Separate_Houses,Cultural_MultiGen_Score,Large_Family_Indicator,Supply_Gap_Score
210021232,Gisborne,14222,4747,76.54,66.37,83.91,91.24,2.59,27.38,-4.26
105031103,Dubbo Surrounds,5963,1900,76.50,64.61,85.68,97.89,0.10,34.40,-30.09
509021236,Chittering,5930,1926,76.46,62.65,88.06,98.75,1.15,29.46,-32.29
103011060,Bathurst Surrounds,6909,2372,76.46,64.05,86.21,98.44,0.77,32.15,-31.82
505011072,Duncraig,15982,5543,76.42,64.69,85.46,91.77,3.85,23.96,-4.52
203011035,Golden Plains - South,8111,2685,76.39,61.80,89.53,99.52,0.94,28.74,-36.78
114011281,Tomerong - Wandandian - Woollamia,3708,1263,76.33,62.28,88.28,98.81,1.70,28.97,-34.08
211031265,Croydon Hills - Warranwood,18059,6114,76.19,64.23,85.53,96.96,6.57,23.91,-26.55
319041516,Booral - River Heads,5775,2033,76.16,63.48,86.28,98.38,1.35,29.88,-31.79
308031218,Rockhampton Surrounds - East,3507,1222,76.15,62.94,86.99,98.28,0.23,33.93,-32.89
201011005,Buninyong,7261,2522,76.05,65.69,83.78,95.44,1.75,29.29,-13.96
121011683,Castle Cove - Northbridge,13440,4410,76.04,68.27,81.86,84.38,8.91,22.75,27.25
126021722,Denistone,6969,2262,76.03,69.87,80.55,80.68,23.85,18.57,21.77
125041490,North Rocks,8451,2740,75.94,69.48,80.69,86.06,21.60,20.10,19.84
504031068,The Vines,12457,4057,75.92,65.29,83.98,93.79,4.90,24.69,-13.96
304021091,Pinjarra Hills - Pullenvale,5673,1722,75.91,60.98,89.55,95.70,3.30,26.66,-24.05
313031370,Kilcoy,5799,2043,75.89,80.17,75.09,97.45,10.85,30.58,-12.63
